,namespace,grade,id,Porcentagem de engajamento em série de exercícios
114,ceespacolivre,em 1a serie,37493,1.0
565,psantagema,outro,48398,1.0
589,sasadapt,ef 1o ano,39785,1.0
21,acessocampolargo,ef 7o ano,105393,0.9682539682539683
22,acessocampolargo,ef 8o ano,175665,0.9525862068965517
210,colegioensitec,ef 3o ano,225162,0.9525641025641025
358,integra,ef 2o ano,148212,0.9142857142857143
41,acessohauer,ef 6o ano,221010,0.9088639200998752
51,acessosantafelicidade,ef 6o ano,69768,0.9030612244897959
20,acessocampolargo,ef 6o ano,70256,0.9
34,acessofazendariogrande,em 2a serie,593198,0.8808808808808809
408,objetivolorena,ef 5o ano,209932,0.8685503685503686
209,colegioensitec,ef 2o ano,75050,0.86
141,colegiobilac,ef 3o ano,479713,0.8596709870388833
37,acessohauer,ef 2o ano,70508,0.8555555555555555
42,acessohauer,ef 7o ano,978267,0.850197628458498
139,colegiobilac,ef 1o ano,647505,0.8312258064516129
140,colegiobilac,ef 2o ano,258300,0.8051587301587302
471,physicsaugustomontenegro,ef 3o ano,1739184,0.8037549407114625
24,acessocampolargo,em 1a serie,597193,0.8021552915169936
28,acessofazendariogrande,ef 5o ano,314100,0.8
30,acessofazendariogrande,ef 7o ano,418704,0.7923076923076923
23,acessocampolargo,ef 9o ano,702600,0.7923015236567763
360,integra,ef 5o ano,78735,0.7857142857142857
144,colegiobilac,ef 6o ano,295152,0.7773049645390071
47,acessosantafelicidade,ef 2o ano,69758,0.775
332,einsteinassis,em 1a serie,2591379,0.7632508833922261
84,amadeus,ef 2o ano,1164060,0.7629259694477086
40,acessohauer,ef 5o ano,352590,0.7604617604617605
357,integra,ef 1o ano,185260,0.75625
145,colegiobilac,ef 7o ano,221370,0.7543520309477756
319,eccos,ef 2o ano,36079,0.75
359,integra,ef 4o ano,370550,0.7481481481481481
33,acessofazendariogrande,em 1a serie,453648,0.7477183833116037
373,invictus,em 3a serie,142584,0.7425287356321839
372,invictus,em 2a serie,298032,0.7404761904761905
460,physicsalmirantebarroso,ef 5o ano,1556685,0.7404366486284755
25,acessocampolargo,em 2a serie,737772,0.7381796690307328
361,integra,ef 6o ano,74114,0.7380952380952381
146,colegiobilac,ef 8o ano,368970,0.7290178571428572
414,objetivolorena,em 2a serie,314982,0.7224428997020854
473,physicsaugustomontenegro,ef 5o ano,1521870,0.7220721436516765
193,colegioeag,em 2a serie,432421,0.7180397727272727
446,overzonanorte,ef 7o ano,70942,0.7152173913043478
86,amadeus,ef 4o ano,1219724,0.7136197136197137
29,acessofazendariogrande,ef 6o ano,488558,0.7107728337236534
31,acessofazendariogrande,ef 8o ano,488530,0.7100591715976331
560,psantagema,ef 8o ano,1134696,0.7098591549295775
32,acessofazendariogrande,ef 9o ano,523395,0.7076866223207686
488,physicsbatistacampos,ef 5o ano,1694273,0.7020154675415983
618,stellamarisxaxim,ef 3o ano,4400151,0.7015041493775933
55,acessosantafelicidade,em 1a serie,383625,0.6947499481220171
334,einsteinassis,em 3a serie,2714910,0.69472049689441
67,acessosjpinhais,em 1a serie,1233274,0.694396798170383
68,acessosjpinhais,em 2a serie,1142048,0.6895604395604396
192,colegioeag,em 1a serie,550340,0.6826852531181218
330,einsteinassis,ef 8o ano,4071969,0.6806122448979591
44,acessopinhais,em 2a serie,801642,0.68
223,colegiofuturageracao,ef 6o ano,35636,0.6752136752136753
496,physicscidadenova,ef 3o ano,2024288,0.675139146567718
337,elitecuritibaemilianoperneta,em 2a serie,3801200,0.6750260145681581
85,amadeus,ef 3o ano,1354264,0.6714200831847891
472,physicsaugustomontenegro,ef 4o ano,1992870,0.6714176245210728
247,colegioiguatemy,ef 9o ano,178725,0.6666666666666666
56,acessosantafelicidade,em 2a serie,1011404,0.6624161073825503
469,physicsaugustomontenegro,ef 1o ano,1449240,0.6558067375886525
143,colegiobilac,ef 5o ano,479609,0.6557522123893805
107,ceabb,ef 4o ano,513548,0.654712643678161
151,colegiobrasilia,ef 4o ano,4211900,0.6541145490454247
470,physicsaugustomontenegro,ef 2o ano,1449280,0.6505636070853462
50,acessosantafelicidade,ef 5o ano,279056,0.6494565217391305
12,acessoalmirantetamandare,em 2a serie,384109,0.6494140625
299,colegiouniverso,ef 6o ano,223422,0.6349206349206349
613,stellamarisjuveve,em 2a serie,566800,0.6280193236714976
246,colegioiguatemy,ef 8o ano,536160,0.6277523888658081
331,einsteinassis,ef 9o ano,3866408,0.6255813953488372
100,arco,outro,186668,0.625
611,stellamarisjuveve,ef 9o ano,2064888,0.6247165532879818
8,acessoalmirantetamandare,ef 7o ano,384098,0.6213235294117647
108,ceabb,ef 5o ano,660294,0.6166484118291348
194,colegioeag,em 3a serie,589680,0.6136363636363636
563,psantagema,em 2a serie,1417020,0.6126327557294577
11,acessoalmirantetamandare,em 1a serie,279256,0.607909604519774
649,villalobos,ef 1o ano,826821,0.603448275862069
266,colegiojoaopaulo,ef 6o ano,35205,0.6
433,overmossoro,ef 6o ano,35109,0.5916666666666667
268,colegiojoaopaulo,ef 8o ano,211248,0.5901639344262295
497,physicscidadenova,ef 4o ano,1951938,0.5872678018575851
495,physicscidadenova,ef 2o ano,1915950,0.5838095238095238
519,physicsumarizal,ef 3o ano,1806463,0.5766423357664233
520,physicsumarizal,ef 4o ano,2311835,0.5748148148148148
10,acessoalmirantetamandare,ef 9o ano,209496,0.5736607142857143
383,liessinbarra,ef 8o ano,172855,0.572829131652661
52,acessosantafelicidade,ef 7o ano,104659,0.5706521739130435
340,escolaceciliameireles,ef 6o ano,65799,0.5674740484429066
484,physicsbatistacampos,ef 1o ano,1034280,0.5654261704681873
339,escolaceciliameireles,ef 5o ano,65802,0.5588235294117647
226,colegioglobal,em 1a serie,36120,0.5555555555555556
510,physicsmacapa,ef 7o ano,275752,0.5530612244897959
475,physicsaugustomontenegro,ef 7o ano,724740,0.5524703960800327
147,colegiobilac,ef 9o ano,295184,0.5497835497835498
328,einsteinassis,ef 6o ano,3372578,0.5482905982905983
561,psantagema,ef 9o ano,2553162,0.5462565030536077
54,acessosantafelicidade,ef 9o ano,348890,0.5411155836687752
302,colegiouniverso,ef 9o ano,297920,0.540952380952381
486,physicsbatistacampos,ef 3o ano,1896290,0.54
487,physicsbatistacampos,ef 4o ano,1689471,0.5365517241379311
517,physicsumarizal,ef 1o ano,1207551,0.5327205882352941
280,colegiosete,ef 1o ano,184637,0.5281385281385281
405,nucleocriativo,ef 8o ano,208584,0.5248780487804878
39,acessohauer,ef 4o ano,211564,0.5228571428571429
388,mariliamattoso,ef 8o ano,142492,0.5202702702702703
417,overabelcabral,ef 4o ano,161670,0.5166666666666667
164,colegiocb,ef 4o ano,420822,0.5141242937853108
461,physicsalmirantebarroso,ef 6o ano,968632,0.5140235457063712
624,stellamarisxaxim,ef 9o ano,709500,0.5123839009287926
623,stellamarisxaxim,ef 8o ano,816017,0.5116099071207431
196,colegioecursodesafio,ef 7o ano,2203744,0.5083555082490686
349,hamiltondarocha,ef 8o ano,361164,0.5079726651480638
462,physicsalmirantebarroso,ef 7o ano,1003255,0.5067466266866567
186,colegioeag,ef 1o ano,746387,0.5057974748776088
87,amadeus,ef 5o ano,1252474,0.5055456171735242
494,physicscidadenova,ef 1o ano,1735248,0.503734827264239
626,stellamarisxaxim,em 2a serie,1242080,0.5019170442662949
301,colegiouniverso,ef 8o ano,111717,0.5
572,qescola,infantil ii,49114,0.5
119,cem,ef 4o ano,2148603,0.4991438356164384
211,colegioensitec,ef 4o ano,211142,0.4959083469721768
300,colegiouniverso,ef 7o ano,148952,0.49477351916376305
406,nucleocriativo,ef 9o ano,208590,0.49105691056910566
264,colegiojoaopaulo,ef 4o ano,237596,0.4843517138599106
534,portinari,ef 5o ano,567984,0.48214285714285715
591,senhorbonfim,ef 7o ano,40902,0.47058823529411764
601,stellamarisaguaverde,ef 6o ano,1169852,0.4666666666666667
443,overpontanegra,em 2a serie,141524,0.46484375
619,stellamarisxaxim,ef 4o ano,3300450,0.45754716981132076
