,namespace,grade,Média de séries de exercícios por turma
0,escolamaster,em 2a serie,643.0
1,santadoroteia,em 2a serie,624.0
2,sagradafamilia,em 2a serie,624.0
3,colegioliceu,em 2a serie,624.0
4,santadoroteia,em 1a serie,580.0
5,colegioliceu,em 1a serie,580.0
6,sagradafamilia,em 1a serie,580.0
7,escolamaster,em 1a serie,478.0
8,colegiobrasilia,infantil iv,123.0
9,porto,em 2a serie,114.75
10,colegiobrasilia,infantil iii,109.5
11,universitariolondrina,ef 4o ano,109.0
12,cem,ef 1o ano,105.0
13,cem,ef 2o ano,105.0
14,porto,em 3a serie,104.0
15,einsteinassis,ef 8o ano,101.0
16,colegiobrasilia,ef 5o ano,100.75
17,einsteinassis,ef 9o ano,96.0
18,universitariolondrina,ef 3o ano,91.0
19,einsteinassis,ef 7o ano,90.0
20,santoagostinholeblon,em 3a serie,88.0
21,alpha,em 2a serie,87.0
22,colegiointegral,em 3a serie,86.5
23,einsteinassis,ef 6o ano,82.0
24,santoamerico,em 3a serie,81.2
25,alpha,em 1a serie,80.0
26,alpha,ef 7o ano,75.0
27,sas,em 1a serie,74.0
28,profederal,outro,72.66666666666667
29,einsteinassis,em 2a serie,71.0
30,einsteinassis,em 1a serie,68.0
31,alpha,ef 6o ano,68.0
32,physicsumarizal,ef 4o ano,68.0
33,einsteinassis,em 3a serie,67.0
34,santoamerico,ef 6o ano,67.0
35,alpha,ef 9o ano,66.0
36,insa,em 2a serie,66.0
37,alpha,ef 8o ano,64.0
38,alpha,em 3a serie,63.0
39,physicsalmirantebarroso,ef 3o ano,63.0
40,stellamarisxaxim,ef 3o ano,62.5
41,universitariolondrina,em 1a serie,62.0
42,colegioecursodesafio,em 3a serie,61.0
43,universitariolondrina,ef 2o ano,61.0
44,cem,ef 4o ano,61.0
45,cem,ef 5o ano,60.0
46,colegiointegral,em 2a serie,59.0
47,insa,em 3a serie,58.0
48,institutoeurofarma,outro,57.0
49,physicsalmirantebarroso,ef 4o ano,57.0
50,physicsumarizal,ef 2o ano,57.0
51,physicscidadenova,ef 3o ano,56.0
52,stellamarisjuveve,ef 1o ano,56.0
53,physicsaugustomontenegro,ef 4o ano,56.0
54,elitecuritibaemilianoperneta,em 1a serie,56.0
55,physicsbatistacampos,ef 3o ano,55.0
56,physicscidadenova,ef 2o ano,54.0
57,physicscidadenova,ef 4o ano,54.0
58,amadeus,ef 7o ano,54.0
59,physicsbatistacampos,ef 2o ano,53.0
60,qescola,em 1a serie,51.0
61,elitecuritibaemilianoperneta,em 2a serie,50.0
62,physicscidadenova,ef 1o ano,50.0
63,physicsbatistacampos,ef 4o ano,50.0
64,colegiointegral,em 1a serie,49.833333333333336
65,physicsbatistacampos,ef 5o ano,49.0
66,colegioecursodesafio,em 2a serie,49.0
67,stellamarisxaxim,ef 2o ano,49.0
68,colegioecursodesafio,em 1a serie,48.0
69,physicsaugustomontenegro,ef 3o ano,48.0
70,acessosjpinhais,ef 2o ano,48.0
71,stellamarisxaxim,ef 4o ano,46.5
72,physicsaugustomontenegro,ef 2o ano,46.0
73,colegioflamingo,em 3a serie,46.0
74,physicscidadenova,ef 6o ano,46.0
75,santoamerico,ef 8o ano,45.2
76,cem,ef 6o ano,45.0
77,physicscidadenova,ef 5o ano,45.0
78,physicsalmirantebarroso,ef 5o ano,45.0
79,physicsalmirantebarroso,ef 1o ano,45.0
80,physicsalmirantebarroso,ef 2o ano,44.0
81,physicsumarizal,ef 5o ano,44.0
82,colegiointegral,ef 9o ano,43.833333333333336
83,amadeus,ef 8o ano,43.333333333333336
84,villalobos,em 2a serie,43.25
85,colegioflamingo,em 1a serie,43.0
86,universitariolondrina,ef 5o ano,43.0
87,physicscidadenova,ef 7o ano,42.5
88,colegiobrasilia,ef 4o ano,42.333333333333336
89,physicsaugustomontenegro,ef 5o ano,42.0
90,colegioecursodesafio,ef 9o ano,40.5
91,physicsaugustomontenegro,ef 1o ano,40.0
92,cem,em 3a serie,39.0
93,cem,em 1a serie,39.0
94,colegiointegral,ef 8o ano,38.75
95,stellamarisxaxim,ef 7o ano,38.5
96,cats,outro,38.0
97,colegioflamingo,em 2a serie,38.0
98,macvest,outro,37.0
99,universitariolondrina,ef 1o ano,36.25
100,sas,em 2a serie,36.0
101,cem,ef 8o ano,36.0
102,physicsbatistacampos,ef 6o ano,36.0
103,physicsumarizal,ef 1o ano,36.0
104,cem,ef 7o ano,36.0
105,colegioguilhermedealmeida,em 2a serie,35.5
106,stellamarisxaxim,em 1a serie,35.0
107,stellamarisxaxim,em 2a serie,35.0
108,physicsmacapa,outro,35.0
109,universitariolondrina,em 2a serie,35.0
110,acessosjpinhais,em 1a serie,35.0
111,physicsmacapa,em 3a serie,35.0
112,colegioecursodesafio,ef 7o ano,34.0
113,stellamarisxaxim,ef 6o ano,33.666666666666664
114,physicsumarizal,ef 9o ano,33.0
115,physicsbatistacampos,ef 1o ano,33.0
116,villalobos,em 3a serie,32.5
117,physicsumarizal,ef 3o ano,32.5
118,acessosjpinhais,em 2a serie,32.0
119,colegiobrasilia,ef 1o ano,32.0
120,cem,em 2a serie,32.0
121,cem,ef 9o ano,32.0
122,acessosjpinhais,ef 3o ano,32.0
123,physicscidadenova,ef 8o ano,32.0
124,gerabixo,outro,31.0
125,colegioecursodesafio,ef 8o ano,31.0
126,acessosantafelicidade,outro,31.0
127,acessosantafelicidade,em 3a serie,31.0
128,physicsaugustomontenegro,infantil ii,31.0
129,villalobos,ef 9o ano,30.6
130,porto,em 1a serie,30.0
131,acessopinhais,em 1a serie,30.0
132,colegioecursodesafio,ef 6o ano,30.0
133,physicsaugustomontenegro,ef 8o ano,30.0
134,physicsalmirantebarroso,ef 6o ano,29.0
135,acessosantafelicidade,em 2a serie,29.0
136,physicsalmirantebarroso,ef 7o ano,29.0
137,physicsaugustomontenegro,ef 9o ano,29.0
138,colegioguilhermedealmeida,em 1a serie,28.5
139,colegiosete,em 2a serie,28.0
140,informacao,em 3a serie,28.0
141,stellamarisjuveve,ef 9o ano,28.0
142,physicsbatistacampos,ef 9o ano,27.2
143,colegiobrasilia,ef 9o ano,27.166666666666668
144,colegiobrasilia,ef 6o ano,26.857142857142858
145,santoamerico,ef 9o ano,26.6
146,stellamarisxaxim,ef 5o ano,26.0
147,stellamarisaguaverde,ef 6o ano,26.0
148,colegiosete,ef 7o ano,26.0
149,physicsbatistacampos,ef 8o ano,26.0
150,villalobos,ef 8o ano,25.75
151,acessoboqueirao,em 3a serie,25.5
152,colegiointegral,ef 6o ano,25.375
153,physicsalcindocacela,outro,25.142857142857142
154,colegiosete,em 1a serie,25.0
155,eacorcovado,em 3a serie,25.0
156,physicscidadenova,ef 9o ano,25.0
157,santoamerico,ef 7o ano,24.666666666666668
158,colegiointegral,ef 7o ano,24.625
159,physicsbatistacampos,outro,24.4
160,colegiosete,em 3a serie,24.0
161,stellamarisaguaverde,ef 7o ano,24.0
162,physicsalmirantebarroso,ef 8o ano,24.0
163,physicsalmirantebarroso,ef 9o ano,24.0
164,villalobos,ef 5o ano,24.0
165,qescola,em 3a serie,23.75
166,colegioiguatemy,ef 6o ano,23.0
167,acessopinhais,em 2a serie,23.0
168,physicsmacapa,em 2a serie,23.0
169,colegiosete,ef 8o ano,23.0
170,universitariolondrina,em 3a serie,23.0
171,stellamarisxaxim,ef 8o ano,23.0
172,physicsaugustomontenegro,ef 6o ano,23.0
173,universitariolondrina,ef 9o ano,22.0
174,eccos,ef 8o ano,22.0
175,progressaodc,em 3a serie,22.0
176,porto,ef 9o ano,22.0
177,colegiointegral,ef 5o ano,21.0
178,eacorcovado,em 2a serie,21.0
179,educarse,outro,21.0
180,progressaodc,em 2a serie,21.0
181,physicsalmirantebarroso,outro,21.0
182,acessocampolargo,em 2a serie,21.0
183,stellamarisjuveve,ef 6o ano,21.0
184,stellamarisjuveve,em 1a serie,21.0
185,physicsbatistacampos,ef 7o ano,20.875
186,villalobos,outro,20.75
187,universitariolondrina,outro,20.5
188,stellamarisxaxim,ef 9o ano,20.0
189,acessocampolargo,ef 9o ano,20.0
190,physicsaugustomontenegro,ef 7o ano,20.0
191,villalobos,ef 4o ano,20.0
192,colegiosete,ef 9o ano,20.0
193,physicscidadenova,em 3a serie,20.0
194,physicscidadenova,outro,20.0
195,acessosjpinhais,ef 5o ano,19.5
196,acessosjpinhais,ef 9o ano,19.5
197,villalobos,ef 7o ano,19.5
198,psantagema,ef 9o ano,19.5
199,physicsumarizal,outro,19.25
200,stellamarisjuveve,ef 7o ano,19.0
201,colegiodasamericas,ef 3o ano,19.0
202,physicsaugustomontenegro,infantil i,19.0
203,colegioensitec,ef 5o ano,18.0
204,ceabb,ef 5o ano,18.0
205,colegioensitec,em 2a serie,18.0
206,colegiocb,em 2a serie,18.0
207,santoamerico,em 2a serie,18.0
208,alpha,ef 4o ano,18.0
209,alpha,ef 5o ano,18.0
210,physicsumarizal,ef 7o ano,18.0
211,porto,ef 6o ano,18.0
212,colegiointegral,ef 4o ano,17.5
213,colegioecursoprogressao,ef 9o ano,17.5
214,acessoboqueirao,outro,17.333333333333332
215,casdinhosjc,ef 9o ano,17.166666666666668
216,colegiocb,em 1a serie,17.0
217,acessofazendariogrande,ef 9o ano,17.0
218,integradaeducativa,em 3a serie,17.0
219,stellamarisjuveve,ef 8o ano,17.0
220,colegiocb,em 3a serie,17.0
221,acessocampolargo,em 1a serie,17.0
222,acessofazendariogrande,em 2a serie,17.0
223,eccos,ef 4o ano,17.0
224,amadeus,ef 6o ano,17.0
225,physicsumarizal,ef 8o ano,17.0
226,eccos,ef 9o ano,17.0
227,universobarcarena,em 1a serie,17.0
228,alpha,ef 3o ano,17.0
229,acessopinhais,em 3a serie,17.0
230,acessopinhais,outro,17.0
231,stellamarisjuveve,em 2a serie,17.0
232,colegioguilhermedealmeida,ef 8o ano,16.333333333333332
233,villalobos,ef 6o ano,16.25
234,psantagema,em 2a serie,16.0
235,portinari,ef 5o ano,16.0
236,physicsumarizal,ef 6o ano,16.0
237,amadeus,ef 5o ano,16.0
238,colegiosete,ef 6o ano,16.0
239,colegiobrasilia,ef 3o ano,16.0
240,sas,outro,16.0
241,colegiocb,ef 5o ano,16.0
242,physicsalcindocacela,em 2a serie,16.0
243,colegioensitec,ef 9o ano,16.0
244,colegioecursoprogressao,em 1a serie,16.0
245,ceabb,ef 3o ano,16.0
246,casdinhosjc,ef 8o ano,15.5
247,casdvest,outro,15.333333333333334
248,integradaeducativa,em 1a serie,15.0
249,acessofazendariogrande,ef 6o ano,15.0
250,progressaoig,em 3a serie,15.0
251,universobarcarena,em 3a serie,15.0
252,universitariolondrina,ef 7o ano,15.0
253,colegiobrasilia,em 2a serie,15.0
254,progressaodc,em 1a serie,15.0
255,colegioeag,em 3a serie,15.0
256,colegioecursoprogressao,em 2a serie,15.0
257,acessosjpinhais,ef 4o ano,15.0
258,objetivolorena,ef 8o ano,15.0
259,colegiobrasilia,ef 7o ano,15.0
260,universitariolondrina,ef 8o ano,15.0
261,integradaeducativa,ef 9o ano,15.0
262,overabelcabral,em 2a serie,15.0
263,integradaeducativa,em 2a serie,15.0
264,overabelcabral,em 1a serie,15.0
265,colegioiguatemy,ef 8o ano,15.0
266,villalobos,em 1a serie,14.571428571428571
267,colegioiguatemy,ef 7o ano,14.5
268,colegioecursoprogressao,em 3a serie,14.5
269,psantagema,em 1a serie,14.5
270,stellamarisjuveve,ef 3o ano,14.5
271,colegiobrasilia,em 3a serie,14.5
272,psantagema,em 3a serie,14.333333333333334
273,insa,em 1a serie,14.0
274,acessofazendariogrande,ef 8o ano,14.0
275,colegioensitec,em 1a serie,14.0
276,ceabb,ef 4o ano,14.0
277,colegiobrasilia,ef 2o ano,14.0
278,colegioeag,em 1a serie,14.0
279,colegioiguatemy,em 3a serie,14.0
280,colegioeag,ef 8o ano,14.0
281,acessoboqueirao,em 2a serie,14.0
282,colegioguilhermedealmeida,ef 2o ano,13.75
283,colegiojoaopaulo,ef 3o ano,13.5
284,overabelcabral,ef 7o ano,13.5
285,colegioensitec,ef 6o ano,13.0
286,colegioecursoprogressao,ef 8o ano,13.0
287,acessosjpinhais,ef 8o ano,13.0
288,colegiobilac,ef 3o ano,13.0
289,colegiobilac,ef 5o ano,13.0
290,moaciralves,ef 6o ano,13.0
291,physicsalmirantebarroso,em 1a serie,13.0
292,acessofazendariogrande,em 1a serie,13.0
293,informacao,em 2a serie,13.0
294,amadeus,em 1a serie,13.0
295,universitariolondrina,ef 6o ano,13.0
296,eacorcovado,em 1a serie,12.8
297,colegiobrasilia,ef 8o ano,12.625
298,acessocampolargo,outro,12.0
299,spdacruz,outro,12.0
300,acessocampolargo,em 3a serie,12.0
301,master,ef 8o ano,12.0
302,master,outro,12.0
303,acessofazendariogrande,ef 7o ano,12.0
304,portinari,em 2a serie,12.0
305,acessofazendariogrande,outro,12.0
306,acessofazendariogrande,em 3a serie,12.0
307,integradaeducativa,ef 8o ano,12.0
308,stellamarisjuveve,ef 5o ano,11.666666666666666
309,overmarciliofurtado,em 1a serie,11.5
310,acessoboqueirao,em 1a serie,11.5
311,acessoboqueirao,ef 8o ano,11.25
312,acessosantafelicidade,em 1a serie,11.0
313,colegiodasamericas,em 3a serie,11.0
314,colegioeag,em 2a serie,11.0
315,portinari,ef 4o ano,11.0
316,acessoalmirantetamandare,em 2a serie,11.0
317,physicsumarizal,em 1a serie,11.0
318,amadeus,em 2a serie,11.0
319,aridesa,em 3a serie,11.0
320,amadeus,ef 4o ano,11.0
321,colegioguilhermedealmeida,ef 9o ano,11.0
322,colegiocb,ef 6o ano,11.0
323,acessoalmirantetamandare,ef 6o ano,11.0
324,acessosantafelicidade,ef 9o ano,11.0
325,amadeus,ef 3o ano,11.0
326,acessoalmirantetamandare,ef 7o ano,11.0
327,spdacruz,em 3a serie,11.0
328,stellamarisaguaverde,ef 3o ano,11.0
329,colegiobrasilia,infantil ii,10.5
330,acessosjpinhais,ef 6o ano,10.333333333333334
331,physicscidadenova,em 1a serie,10.333333333333334
332,colegiouirapuru,ef 4o ano,10.2
333,overzonanorte,ef 5o ano,10.0
