,namespace,grade,Porcentagem de visualização de relatórios de SE por alunos
0,nucleocriativo,ef 9o ano,1.0
1,psantagema,outro,1.0
2,eccos,outro,1.0
3,progressaoig,ef 9o ano,1.0
4,nucleocriativo,em 1a serie,1.0
5,nucleocriativo,ef 7o ano,1.0
6,nucleocriativo,ef 8o ano,1.0
7,nucleocriativo,ef 6o ano,0.9523809523809523
8,colegiopremium,ef 9o ano,0.6590909090909091
9,overzonanorte,ef 7o ano,0.6086956521739131
10,colegiopremium,ef 8o ano,0.6041666666666666
11,colegiopremium,ef 6o ano,0.6041666666666666
12,colegiouirapuru,ef 8o ano,0.5688073394495413
13,colegiobetelbrasileirosp,ef 8o ano,0.5384615384615384
14,acessocampolargo,ef 6o ano,0.5333333333333333
15,overmossoro,ef 6o ano,0.5333333333333333
16,spdacruz,ef 9o ano,0.5324675324675324
17,escolaceciliameireles,ef 5o ano,0.5277777777777778
18,colegiojoaopaulo,ef 6o ano,0.5185185185185185
19,sasadapt,ef 1o ano,0.5
20,acessohauer,ef 6o ano,0.4550561797752809
21,invictus,em 1a serie,0.45454545454545453
22,colegiojoaopaulo,ef 7o ano,0.45
23,integra,ef 5o ano,0.42857142857142855
24,colegiobilac,ef 7o ano,0.4219858156028369
25,colegiosete,ef 2o ano,0.4067796610169492
26,portinari,ef 7o ano,0.40522875816993464
27,acessocampolargo,ef 8o ano,0.3875
28,colegiofuturageracao,ef 6o ano,0.38461538461538464
29,colegioensitec,ef 4o ano,0.38461538461538464
30,colegiobilac,ef 6o ano,0.3803191489361702
31,acessocampolargo,ef 7o ano,0.37777777777777777
32,colegiojoaopaulo,ef 8o ano,0.375
33,qescola,ef 1o ano,0.375
34,escolaceciliameireles,ef 6o ano,0.37254901960784315
35,ciadosaber,ef 6o ano,0.3684210526315789
36,colegioensitec,ef 2o ano,0.36666666666666664
37,ceprimeiromundo,em 1a serie,0.3615023474178404
38,colegioensitec,ef 3o ano,0.3525641025641026
39,colegiopremium,ef 7o ano,0.34523809523809523
40,overmossoro,em 1a serie,0.34375
41,amaisteste,ef 6o ano,0.3333333333333333
42,colegioensitec,ef 8o ano,0.3134920634920635
43,colegiojoaopaulo,ef 5o ano,0.30718954248366015
44,colegiobetelbrasileirosp,ef 4o ano,0.30612244897959184
45,colegiosete,ef 4o ano,0.3055555555555556
46,colegiobilac,ef 4o ano,0.2948717948717949
47,acessohauer,ef 5o ano,0.29473684210526313
48,colegiobilac,ef 8o ano,0.2885714285714286
49,colegioensitec,em 1a serie,0.28846153846153844
50,colegiosete,ef 1o ano,0.2857142857142857
51,portinari,em 1a serie,0.28399122807017546
52,acessoalmirantetamandare,em 2a serie,0.2784090909090909
53,acessoalmirantetamandare,em 1a serie,0.275
54,einsteinassis,em 3a serie,0.2701492537313433
55,overzonanorte,em 2a serie,0.2692307692307692
56,colegiojoaopaulo,ef 4o ano,0.2682926829268293
57,overmarciliofurtado,ef 6o ano,0.2682926829268293
58,spdacruz,em 1a serie,0.26536312849162014
59,colegiodasamericas,ef 4o ano,0.2653061224489796
60,colegiodasamericas,em 2a serie,0.2647058823529412
61,professoratalitha,outro,0.2608695652173913
62,colegioiguatemy,em 3a serie,0.2602040816326531
63,colegioensitec,ef 6o ano,0.25846153846153846
64,overmossoro,ef 8o ano,0.25
65,escolaceciliameireles,ef 2o ano,0.25
66,colegioensitec,ef 7o ano,0.25
67,acessosantafelicidade,ef 7o ano,0.25
68,eacorcovado,ef 5o ano,0.2465753424657534
69,colegioiguatemy,ef 3o ano,0.24
70,colegiouirapuru,ef 7o ano,0.2347560975609756
71,colegiobilac,ef 5o ano,0.23333333333333334
72,invictus,em 3a serie,0.23333333333333334
73,colegiobilac,ef 1o ano,0.225
74,mariliamattoso,ef 8o ano,0.22297297297297297
75,cursosazambuja,outro,0.22033227848101267
76,colegioeag,em 1a serie,0.2188449848024316
77,hamiltondarocha,ef 8o ano,0.21818181818181817
78,villalobos,ef 1o ano,0.21666666666666667
79,portinari,ef 6o ano,0.21666666666666667
80,santoamerico,outro,0.21580928481806774
81,acessosantafelicidade,ef 6o ano,0.21428571428571427
82,colegiouirapuru,ef 4o ano,0.21212121212121213
83,isem,ef 7o ano,0.21212121212121213
84,acessoalmirantetamandare,ef 7o ano,0.20855614973262032
85,eacorcovado,ef 8o ano,0.20679012345679013
86,mariliamattoso,ef 9o ano,0.20512820512820512
87,colegioeag,ef 1o ano,0.2047244094488189
88,colegiosete,ef 5o ano,0.20398773006134968
89,colegiobilac,ef 3o ano,0.20361990950226244
90,colegioecursoprogressao,ef 6o ano,0.20202020202020202
91,mariliamattoso,ef 7o ano,0.20125786163522014
92,ceespacolivre,em 1a serie,0.2
93,colegiofuturageracao,ef 7o ano,0.2
94,arco,outro,0.2
95,colegioguilhermedealmeida,ef 9o ano,0.19936204146730463
