,namespace,Número de AAs iniciadas por aluno
1256,progressaodc,43.552083333333336
373,colegioecursoprogressao,39.615584415584415
1482,universitariolondrina,36.52621359223301
1258,progressaoig,33.608
331,colegiobrasilia,27.285024154589372
569,crescercampinas,25.071748878923767
528,colegioup,23.31896551724138
1440,spdacruz,22.220338983050848
1214,porto,22.115176151761517
1151,overabelcabral,20.992236024844722
10,acessoboqueirao,20.583333333333332
324,colegiobatistaindependente,20.372340425531913
1155,overmarciliofurtado,19.009646302250804
1237,prismapatrocinio,18.158536585365855
16,acessopinhais,16.73846153846154
330,colegiobilac,16.145510835913313
18,acessosantafelicidade,16.06741573033708
1158,overpontanegra,15.756446991404012
11,acessocampolargo,15.072033898305085
1213,portinari,14.78659793814433
1159,overzonanorte,14.778242677824268
14,acessofazendariogrande,14.48
567,crb,13.172704296545914
921,integradaeducativa,13.0
926,invictus,11.943396226415095
681,elitecuritibaemilianoperneta,11.580645161290322
1197,pioxiicolegio,11.261194029850746
1049,mariliamattoso,11.095652173913043
598,cursoisfera,10.781609195402298
26,aescobjetivo,10.37882096069869
946,isem,10.27816091954023
401,colegioglobal,9.93581081081081
209,cem,9.897142857142857
396,colegiofuturageracao,9.710144927536232
661,educandarioterciocorreia,9.631067961165048
9,acessoalmirantetamandare,9.483253588516746
1039,maplebearslz,9.382739212007504
1445,stellamarisxaxim,9.300683371298405
1444,stellamarisjuveve,9.162870159453304
514,colegiosete,9.072375127421
19,acessosjpinhais,8.727735368956743
414,colegiointegral,8.566840926064227
381,colegioensitec,8.55045871559633
1154,overlimaesilva,8.521212121212121
354,colegiodasamericas,8.449101796407186
173,cbpdigital,8.333333333333334
1329,santamariacn,8.155737704918034
340,colegiocb,7.926289926289926
15,acessohauer,7.861581920903955
1266,psantagema,7.774774774774775
1055,master,7.656293543892243
1132,objetivolorena,7.417777777777777
315,colegioarena,7.247088186356073
420,colegiojoaopaulo,7.210069444444445
1153,overjoaopessoa,7.173228346456693
557,contemporaneocidadeverde,6.978819969742814
550,conexaosaber,6.9625
1195,pioxi,6.876623376623376
22,adrianochan,6.837448559670782
1506,villalobos,6.7727272727272725
558,contemporaneolagoanova,6.731137088204038
1156,overmossoro,6.1066666666666665
45,amadeus,6.0651204281891165
897,insa,5.951456310679611
1189,physicscidadenova,5.762486126526082
1484,universobarcarena,5.300546448087432
369,colegioecursodesafio,5.277932960893855
377,colegioeducallis,5.215175537938845
1264,provaspoliedro,5.121143717080511
202,ceespacolivre,5.072289156626506
305,colegioalphaunis,5.031716417910448
394,colegioflamingo,4.9523809523809526
1335,santoamerico,4.941256830601093
1190,physicsconselheirofurtado,4.883870967741935
