,namespace,id,Porcentagem de engajamento em série de exercícios
57,colegioprogresso,2489172,1.0
46,colegioexatus,2489172,1.0
59,colegiosantamaria,7467516,0.8823529411764706
152,sasadapt,714870,0.8402777777777778
15,anchietaba,14935032,0.8222222222222222
93,integra,1147025,0.660741885625966
32,charlesdarwin,2489172,0.6
4,acessocampolargo,4740006,0.5817176063027323
104,liessinbarra,172855,0.572829131652661
6,acessohauer,3434317,0.5588820265885063
151,sas,382756,0.5194805194805194
128,physicsaugustomontenegro,15280790,0.5155065910972426
84,fundacaobradesco,5162456,0.5043715846994535
79,escoladofuturo,4978344,0.5
154,sasadaptfund,2489172,0.5
114,novoemlasalle,48230,0.5
5,acessofazendariogrande,5706389,0.4887145609688962
74,einsteinassis,26167366,0.480849309420738
95,invictus,1900375,0.4508975712777191
28,ceabb,4496653,0.42062540858574854
153,sasadaptem,237530,0.4125874125874126
37,colegiobilac,5993914,0.408169836431546
34,cognitivo,43219,0.3888888888888889
55,colegionobre,2729521,0.38011695906432746
2,acessoalmirantetamandare,4967353,0.36093161012385566
36,colegiobetelbrasileirosp,2773243,0.35621107063109647
76,elitecuritibaemilianoperneta,18202289,0.3518796992481203
7,acessopinhais,6350245,0.31825211596322023
62,colegiouniverso,2113476,0.30767452612112806
157,stellamarisaguaverde,3634142,0.30534745543787134
33,ciadosaber,182612,0.30022075055187636
51,colegioiguatemy,11022975,0.298274964681389
77,escolaceciliameireles,153526,0.2945590994371482
21,beityaacov,47631,0.29411764705882354
24,calculo2,144414,0.27367424242424243
121,overmossoro,326412,0.27351485148514854
99,jazzvestibular,481580,0.2725988700564972
89,idb,183202,0.2721518987341772
133,physicsumarizal,23281506,0.2659312037466034
91,insa,1787418,0.2615073581268513
159,stellamarisxaxim,70127755,0.2614669931202696
103,liessin,243136,0.2567049808429119
9,acessosjpinhais,42918406,0.25432278381055845
58,colegioriobranco,2489172,0.25
42,colegioeag,15056347,0.2493391580177523
