,namespace,Número de exercícios por turma
0,colegioliceu,4188.0
1,santadoroteia,4156.5
2,sagradafamilia,4156.5
3,escolamaster,3854.75
4,profederal,738.5
5,insa,488.3333333333333
6,gerabixo,357.0
7,alpha,353.5
8,sas,324.6
9,cats,293.0
10,colegioflamingo,248.2
11,macvest,230.5
12,colegiointegral,226.52459016393442
13,master,225.0
14,einsteinassis,222.875
15,santoagostinholeblon,217.0
16,porto,190.04545454545453
17,colegioecursodesafio,184.15384615384616
18,institutoeurofarma,178.0
19,elitecuritibaemilianoperneta,173.5
20,santoamerico,158.06382978723406
21,informacao,156.5
22,universitariolondrina,154.69387755102042
23,physicscidadenova,151.73684210526315
24,qescola,148.64705882352942
25,educarse,138.0
26,physicsalmirantebarroso,133.52
27,physicsbatistacampos,132.93333333333334
28,adrianochan,131.29770992366412
29,cursosazambuja,128.63333333333333
30,physicsalcindocacela,128.5
31,physicsmacapa,125.66666666666667
32,casdinhosjc,125.125
33,acessopinhais,122.5
34,physicsumarizal,118.41176470588235
35,jazzvestibular,118.0
36,physicsaugustomontenegro,115.2
37,aridesa,109.0
38,colegiobrasilia,105.78787878787878
39,colegioiguatemy,102.07692307692308
40,acessoboqueirao,99.72222222222223
41,ceabb,99.28571428571429
42,progressaodc,89.25
43,overnascimentodecastro,86.0
44,eacorcovado,84.06451612903226
45,villalobos,83.24444444444444
46,colegioensitec,83.15384615384616
47,amadeus,81.15384615384616
48,colegioecursoprogressao,78.3076923076923
49,stellamarisjuveve,77.03333333333333
50,colegioguilhermedealmeida,73.82857142857142
51,francobrasileiro,72.33333333333333
52,colegiocb,71.53846153846153
53,cem,69.25
54,colegiobilac,68.9
55,integradaeducativa,68.73333333333333
56,acessosjpinhais,68.42105263157895
57,psantagema,67.58333333333333
58,progressaoig,65.0
59,stellamarisxaxim,64.0
60,acessosantafelicidade,62.142857142857146
61,colegiosete,61.52
62,apogeustoantonio2,60.2
63,santamariacn,60.0
64,colegioeag,59.9375
65,positivoon,56.0
66,casdvest,55.333333333333336
67,spdacruz,54.666666666666664
68,acessofazendariogrande,53.111111111111114
69,liessinbarra,51.0
70,cursoenfase,49.666666666666664
71,acessocampolargo,49.375
72,portinari,46.233333333333334
73,abdiasmartins,44.0
74,colegiojoaopaulo,43.4
75,colegiodasamericas,42.225806451612904
76,sistemadeensinogpi,39.0
77,litteratus,38.0
78,stellamarisaguaverde,37.5
79,nucleocriativo,36.0
80,valdemiracoelho,35.666666666666664
81,colegiouirapuru,35.64705882352941
82,overzonanorte,34.625
83,eccos,33.333333333333336
84,colegiobetelbrasileirosp,31.666666666666668
85,cicerofranklin,30.0
86,universobarcarena,29.0
87,moaciralves,28.125
88,navegasas,27.0
89,antoniomelo,27.0
90,liessin,26.666666666666668
91,overabelcabral,25.666666666666668
92,colegiopremium,25.333333333333332
93,objetivolorena,25.0
94,acessoalmirantetamandare,24.416666666666668
95,pioxi,23.375
96,professoratalitha,23.0
97,invictus,21.75
98,colegiofuturageracao,18.666666666666668
99,physicsconselheirofurtado,18.428571428571427
100,colegiouniverso,17.125
101,colegioarena,17.0
102,educamais,16.666666666666668
103,acessohauer,16.416666666666668
104,overmarciliofurtado,15.875
105,mariliamattoso,14.7
106,rede,14.0
107,ceespacolivre,13.6
108,escolaceciliameireles,12.666666666666666
109,senhorbonfim,12.25
110,integra,12.142857142857142
111,arco,12.0
112,redeinspira,12.0
113,overmossoro,11.25
114,gamt,10.666666666666666
115,colegioglobal,10.5
116,overpontanegra,10.5
117,ceprimeiromundo,10.38888888888889
118,eldapereira,10.0
119,ciadosaber,9.5
120,aescobjetivo,9.4
121,hamiltondarocha,8.25
122,faculdadeflamingo,7.666666666666667
123,cursoisfera,7.666666666666667
124,overjoaopessoa,7.0
125,escola,7.0
126,meta,7.0
127,herciliovilanova,6.0
128,contemporaneocidadeverde,5.6
129,amaisteste,4.0
130,ipdhsolucoes,4.0
131,novotempo,4.0
132,mocinhagomes,4.0
133,sasadapt,3.75
134,joaorosa,3.0
135,conexaosaber,3.0
136,mesalva,3.0
137,albertocabral,2.6666666666666665
138,sobral,2.0
139,josesoares,1.5
140,isem,1.3333333333333333
141,pesenglish,1.0
142,abiliomartins,1.0
143,venceslauchaves,1.0
