,namespace,Média de séries de exercícios por turma
0,colegioliceu,609.3333333333334
1,santadoroteia,602.0
2,sagradafamilia,602.0
3,escolamaster,560.5
4,santoagostinholeblon,88.0
5,profederal,72.66666666666667
6,einsteinassis,72.0
7,institutoeurofarma,57.0
8,elitecuritibaemilianoperneta,53.0
9,cem,49.583333333333336
10,alpha,48.40909090909091
11,porto,47.45454545454545
12,sas,47.2
13,insa,46.0
14,colegioflamingo,42.2
15,universitariolondrina,39.30612244897959
16,cats,38.0
17,colegioecursodesafio,37.69230769230769
18,macvest,37.0
19,stellamarisxaxim,33.285714285714285
20,colegiointegral,32.42622950819672
21,gerabixo,31.0
22,colegiobrasilia,30.818181818181817
23,physicsalmirantebarroso,30.8
24,santoamerico,30.170212765957448
25,physicscidadenova,29.63157894736842
26,physicsbatistacampos,29.233333333333334
27,physicsumarizal,26.823529411764707
28,physicsaugustomontenegro,26.466666666666665
29,acessopinhais,21.75
30,villalobos,21.711111111111112
31,educarse,21.0
32,informacao,20.5
33,physicsmacapa,20.22222222222222
34,acessosjpinhais,19.31578947368421
35,amadeus,18.53846153846154
36,physicsalcindocacela,17.166666666666668
37,casdinhosjc,16.75
38,colegiosete,16.24
39,progressaodc,15.5
40,stellamarisjuveve,15.5
41,casdvest,15.333333333333334
42,colegioecursoprogressao,14.307692307692308
43,acessofazendariogrande,13.444444444444445
44,acessoboqueirao,13.333333333333334
45,stellamarisaguaverde,13.0
46,master,12.0
47,integradaeducativa,11.666666666666666
48,acessocampolargo,11.5
49,ceabb,11.428571428571429
50,colegiocb,11.384615384615385
51,colegioguilhermedealmeida,11.228571428571428
52,eacorcovado,11.096774193548388
53,aridesa,11.0
54,progressaoig,11.0
55,colegioiguatemy,10.384615384615385
56,colegioensitec,10.307692307692308
57,qescola,10.294117647058824
58,acessosantafelicidade,10.214285714285714
59,jazzvestibular,10.0
60,eccos,9.88888888888889
61,psantagema,9.833333333333334
62,overabelcabral,9.5
63,colegioeag,8.875
64,colegiobilac,8.7
65,universobarcarena,8.1
66,objetivolorena,8.0
67,apogeustoantonio2,7.8
68,abdiasmartins,7.5
69,cursosazambuja,7.333333333333333
70,sistemadeensinogpi,7.0
71,overnascimentodecastro,7.0
72,adrianochan,6.916030534351145
73,spdacruz,6.75
74,francobrasileiro,6.666666666666667
75,nucleocriativo,6.333333333333333
76,valdemiracoelho,6.333333333333333
77,cursoenfase,6.333333333333333
78,acessoalmirantetamandare,6.333333333333333
79,overmarciliofurtado,6.25
80,portinari,6.2
81,navegasas,6.0
82,colegiodasamericas,6.0
83,moaciralves,5.125
84,arco,5.0
85,colegiouniverso,5.0
86,liessinbarra,5.0
87,colegiobetelbrasileirosp,5.0
88,positivoon,5.0
89,mariliamattoso,4.8
90,colegiouirapuru,4.705882352941177
91,educamais,4.333333333333333
92,acessohauer,4.166666666666667
93,santamariacn,4.0
94,overzonanorte,3.875
95,ceprimeiromundo,3.8333333333333335
96,colegiopremium,3.6666666666666665
97,colegiojoaopaulo,3.6
98,integra,3.5714285714285716
99,overpontanegra,3.125
100,pioxi,3.125
101,hamiltondarocha,3.0
102,joaorosa,3.0
103,escola,3.0
104,litteratus,3.0
105,invictus,3.0
106,faculdadeflamingo,2.888888888888889
107,senhorbonfim,2.75
108,albertocabral,2.6666666666666665
109,liessin,2.6666666666666665
110,aescobjetivo,2.6
111,colegioglobal,2.5
112,antoniomelo,2.5
113,rede,2.5
114,overjoaopessoa,2.5
115,escolaceciliameireles,2.3333333333333335
116,physicsconselheirofurtado,2.142857142857143
117,colegioarena,2.0
118,cursoisfera,2.0
119,herciliovilanova,2.0
120,gamt,2.0
121,professoratalitha,2.0
122,colegiofuturageracao,1.6666666666666667
123,ceespacolivre,1.6
124,ciadosaber,1.5
125,overmossoro,1.5
126,josesoares,1.5
127,isem,1.3333333333333333
128,sasadapt,1.25
129,abiliomartins,1.0
130,sobral,1.0
131,venceslauchaves,1.0
132,meta,1.0
133,ipdhsolucoes,1.0
134,cicerofranklin,1.0
135,redeinspira,1.0
136,eldapereira,1.0
137,mocinhagomes,1.0
138,amaisteste,1.0
139,pesenglish,1.0
140,contemporaneocidadeverde,1.0
141,novotempo,1.0
142,mesalva,1.0
143,conexaosaber,1.0
