,namespace,Porcentagem de visualização de relatórios de SE por alunos
136,novoemlasalle,1.0
40,colegiobetelbrasileirosp,0.3284132841328413
130,meta,0.3076923076923077
144,overmossoro,0.28440366972477066
41,colegiobilac,0.2655485674353599
163,professoratalitha,0.2608695652173913
91,esperanza,0.2564102564102564
27,calculo2,0.25
107,invictus,0.23333333333333334
86,escolaceciliameireles,0.22429906542056074
52,colegiofuturageracao,0.2222222222222222
6,acessohauer,0.21278195488721804
49,colegioensitec,0.2012266355140187
138,nucleocriativo,0.20048899755501223
174,santamariacn,0.19736842105263158
158,portinari,0.18397177419354838
36,ciadosaber,0.1836734693877551
119,liessinbarra,0.17857142857142858
24,beityaacov,0.17647058823529413
127,mariliamattoso,0.1737057220708447
178,sasadapt,0.1724137931034483
186,spdacruz,0.165
57,colegiojoaopaulo,0.16292735042735043
66,colegiouirapuru,0.16287691547207117
44,colegiodasamericas,0.15205971799834117
74,cursosazambuja,0.14964420259522812
98,hamiltondarocha,0.14791987673343607
55,colegioiguatemy,0.14640961162335847
105,integra,0.1456953642384106
4,acessocampolargo,0.14422442244224423
117,lidera,0.14285714285714285
109,isem,0.1417910447761194
2,acessoalmirantetamandare,0.14084507042253522
54,colegioguilhermedealmeida,0.14025999413547063
112,jazzvestibular,0.13333333333333333
53,colegioglobal,0.13076923076923078
96,gamt,0.12916666666666668
118,liessin,0.12686567164179105
46,colegioeag,0.11778627343892227
43,colegiocb,0.1143717080511663
5,acessofazendariogrande,0.11423270606944076
77,eacorcovado,0.11415067315955314
18,antoniomelo,0.11149825783972125
7,acessopinhais,0.10910285902070326
192,valdemiracoelho,0.10869565217391304
60,colegiopremium,0.10638297872340426
65,colegiosete,0.1022629619020338
160,positivoon,0.1
164,progressaodc,0.09858387799564271
93,francobrasileiro,0.09843400447427293
182,senhorbonfim,0.0967741935483871
157,pioxi,0.09536784741144415
0,abdiasmartins,0.08841463414634146
92,faculdadeflamingo,0.08703856586861658
48,colegioecursoprogressao,0.08390349297803384
34,ceprimeiromundo,0.08235981308411215
83,elitecuritibaemilianoperneta,0.0799163179916318
8,acessosantafelicidade,0.07981715893108299
13,alpha,0.07936883629191321
147,overzonanorte,0.07878787878787878
166,psantagema,0.0784382694336968
143,overmarciliofurtado,0.07761828814460393
133,mocinhagomes,0.07692307692307693
188,stellamarisjuveve,0.07617425164273546
32,ceespacolivre,0.07602339181286549
134,murilorocha,0.07594128908742821
81,einsteinassis,0.07057731001392974
165,progressaoig,0.06993006993006994
9,acessosjpinhais,0.06808095153559382
131,moaciralves,0.06755555555555555
20,arco,0.06666666666666667
146,overpontanegra,0.06524064171122995
1,abiliomartins,0.06521739130434782
106,integradaeducativa,0.06133796698523023
3,acessoboqueirao,0.05896059163205349
78,eccos,0.05594855305466238
82,eldapereira,0.05555555555555555
116,laboratoriosromildo,0.05555555555555555
31,ceabb,0.055281342546890426
139,objetivolorena,0.05453701554885124
142,overjoaopessoa,0.05194805194805195
56,colegiointegral,0.049173942243116185
120,litteratus,0.04878048780487805
187,stellamarisaguaverde,0.04815650865312265
72,cursoenfase,0.04365904365904366
141,overabelcabral,0.04222166373460669
155,physicsmacapa,0.04014352993944831
14,amadeus,0.03952712943316156
159,porto,0.036217463981533075
15,amaisteste,0.03571428571428571
51,colegioflamingo,0.03526300323244196
151,physicsaugustomontenegro,0.03519839093070031
30,cats,0.03409090909090909
47,colegioecursodesafio,0.03380451127819549
17,anossaatmosfera,0.033311014395714766
39,colegioarena,0.03164556962025317
104,institutoeurofarma,0.02889063454656542
19,apogeustoantonio2,0.0285935085007728
148,pesenglish,0.02857142857142857
162,profederal,0.027683997299122215
150,physicsalmirantebarroso,0.02768119818133191
176,santoamerico,0.02653892743089968
67,colegiouniverso,0.02604482132041187
153,physicscidadenova,0.02554642256678498
194,villalobos,0.025389221556886228
190,universitariolondrina,0.02535909042306733
189,stellamarisxaxim,0.025248435774751565
154,physicsconselheirofurtado,0.023278370514064017
145,overnascimentodecastro,0.023255813953488372
156,physicsumarizal,0.022781889839469383
152,physicsbatistacampos,0.021891616698721576
113,joaorosa,0.021164021164021163
11,aescobjetivo,0.020361990950226245
42,colegiobrasilia,0.020147830233667143
33,cem,0.01977793199167245
103,insa,0.01934651762682717
191,universobarcarena,0.016880093131548313
108,ipdhsolucoes,0.015372168284789644
71,cursobase,0.015311004784688996
10,adrianochan,0.014001244555071561
121,macvest,0.012679425837320573
28,casdinhosjc,0.011086238140923143
179,sasadaptem,0.009917355371900827
149,physicsalcindocacela,0.009696351109977035
161,primeirodemaio,0.007409602845287492
26,brasilcursinhos,0.007344871253693541
70,cparaiso,0.007142857142857143
73,cursoisfera,0.006896551724137931
69,contemporaneocidadeverde,0.006172839506172839
97,gerabixo,0.0046380885453267745
50,colegioexatus,0.004545454545454545
63,colegiosantamaria,0.004524886877828055
25,benjaminconstant,0.0044444444444444444
128,master,0.003968253968253968
80,educarse,0.003341687552213868
29,casdvest,0.0019653720168460458
170,redeinspira,0.0017406440382941688
102,informacao,0.0015762925598991173
59,colegionobre,0.001075268817204301
88,escoladofuturo,0.0010460251046025104
167,qescola,0.0007954962672867458
58,colegioliceu,0.0006522717049032838
177,sas,0.0005213764337851929
172,sagradafamilia,0.0002830544722606617
173,santadoroteia,0.00010748065348237318
180,sasadaptfund,0.0
193,venceslauchaves,0.0
171,saea,0.0
183,serios,0.0
184,sistemadeensinogpi,0.0
16,anchietaba,0.0
169,redefilhasdejesus,0.0
12,albertocabral,0.0
175,santoagostinholeblon,0.0
181,saseducacao,0.0
168,rede,0.0
185,sobral,0.0
124,mariacarmo,0.0
140,objetivoteresina,0.0
37,cicerofranklin,0.0
90,esmg,0.0
89,escolamaster,0.0
87,escoladeimpacto,0.0
35,charlesdarwin,0.0
85,escola,0.0
84,engenhomoscou,0.0
79,educamais,0.0
76,domhelder,0.0
137,novotempo,0.0
75,dante,0.0
38,cognitivo,0.0
68,conexaosaber,0.0
64,colegiosaoluis,0.0
62,colegioriobranco,0.0
61,colegioprogresso,0.0
45,colegiodosjesuitas,0.0
94,fundacaobradesco,0.0
95,galois,0.0
99,herciliovilanova,0.0
100,idb,0.0
135,navegasas,0.0
132,mobile,0.0
21,arena,0.0
129,mesalva,0.0
22,aridesa,0.0
126,mariamerces,0.0
125,marialeao,0.0
123,manoelqueiroz,0.0
122,manoelbatista,0.0
23,barraazul,0.0
115,josesoares,0.0
114,joaoxxiii,0.0
111,jardimsaopaulo,0.0
110,ismart,0.0
101,imaculada,0.0
195,zecarioca,0.0
