,namespace,Semana,Número de AAs iniciadas por aluno
370,colegioecursoprogressao,34,13.763636363636364
1180,progressaoig,34,12.344
1169,progressaodc,34,9.9375
546,colegioup,26,8.543103448275861
1292,spdacruz,33,7.665254237288136
545,colegioup,25,6.987068965517241
1288,spdacruz,25,6.625
289,colegiobatistaindependente,34,6.585106382978723
229,cem,33,6.525714285714286
1161,progressaodc,25,6.520833333333333
284,colegiobatistaindependente,26,6.425531914893617
593,crescercampinas,33,6.336322869955157
1340,universitariolondrina,25,6.1825242718446605
1167,progressaodc,32,6.0625
557,conexaosaber,25,5.966666666666667
755,integradaeducativa,25,5.914583333333334
581,crb,26,5.878685762426285
594,crescercampinas,34,5.5440956651718984
1351,universitariolondrina,36,5.355987055016182
1162,progressaodc,26,5.3125
330,colegiocb,35,5.184275184275184
1168,progressaodc,33,4.864583333333333
1341,universitariolondrina,26,4.855016181229773
319,colegiobrasilia,33,4.761674718196457
412,colegiofuturageracao,25,4.753623188405797
312,colegiobrasilia,25,4.670692431561997
368,colegioecursoprogressao,32,4.58961038961039
780,isem,28,4.528735632183908
283,colegiobatistaindependente,25,4.3936170212765955
361,colegioecursoprogressao,25,4.296103896103896
1122,portoseguro,35,4.2522045855379185
587,crb,37,4.239258635214827
1178,progressaoig,32,4.2
1119,porto,36,4.168021680216802
1350,universitariolondrina,35,4.151456310679611
735,insa,26,4.058252427184466
206,cbpdigital,35,3.9973958333333335
203,cbpdigital,25,3.9973958333333335
912,overabelcabral,25,3.87111801242236
1174,progressaoig,26,3.864
333,colegiodasamericas,25,3.8532934131736525
913,overabelcabral,26,3.847826086956522
1346,universitariolondrina,31,3.8258899676375404
310,colegiobilac,37,3.804953560371517
424,colegioglobal,34,3.800675675675676
318,colegiobrasilia,32,3.748792270531401
565,contemporaneocidadeverde,33,3.7155824508320725
369,colegioecursoprogressao,33,3.664935064935065
1031,physicscidadenova,26,3.660377358490566
1347,universitariolondrina,32,3.6427184466019416
1112,porto,26,3.6205962059620598
323,colegiobrasilia,37,3.6175523349436394
570,contemporaneolagoanova,33,3.6046758767268865
548,colegioup,28,3.603448275862069
1075,pioxiicolegio,36,3.571641791044776
367,colegioecursoprogressao,31,3.5428571428571427
948,overmarciliofurtado,26,3.5337620578778135
1197,psantagema,25,3.4324324324324325
1173,progressaoig,25,3.432
304,colegiobilac,31,3.3962848297213624
1117,porto,34,3.3712737127371275
321,colegiobrasilia,35,3.345410628019324
362,colegioecursoprogressao,26,3.272727272727273
74,acessopinhais,26,3.230769230769231
756,integradaeducativa,26,3.216666666666667
955,overmarciliofurtado,35,3.189710610932476
1170,progressaodc,35,3.1145833333333335
921,overabelcabral,35,3.0962732919254656
1144,prismapatrocinio,34,3.080792682926829
309,colegiobilac,36,3.065015479876161
1163,progressaodc,27,3.0520833333333335
942,overlimaesilva,34,3.0424242424242425
73,acessopinhais,25,3.0307692307692307
1076,pioxiicolegio,37,3.0223880597014925
1145,prismapatrocinio,35,2.986280487804878
1348,universitariolondrina,33,2.965695792880259
1177,progressaoig,31,2.936
597,crescercampinas,37,2.901345291479821
988,overzonanorte,26,2.8786610878661087
28,acessocampolargo,25,2.7542372881355934
564,contemporaneocidadeverde,32,2.7337367624810893
1120,porto,37,2.7235772357723578
1355,universobarcarena,31,2.7194899817850637
1293,spdacruz,34,2.6970338983050848
983,overpontanegra,35,2.69054441260745
997,overzonanorte,35,2.6861924686192467
596,crescercampinas,36,2.6741405082212255
1135,prismapatrocinio,25,2.6661585365853657
14,acessoboqueirao,25,2.64375
363,colegioecursoprogressao,27,2.6233766233766236
303,colegiobilac,30,2.6222910216718267
978,overpontanegra,26,2.6103151862464182
364,colegioecursoprogressao,28,2.5844155844155843
660,educandarioterciocorreia,26,2.5825242718446604
527,colegiosete,37,2.580020387359837
465,colegiojoaopaulo,33,2.5729166666666665
665,educandarioterciocorreia,34,2.5533980582524274
920,overabelcabral,34,2.551242236024845
320,colegiobrasilia,34,2.534621578099839
1289,spdacruz,26,2.5338983050847457
957,overmarciliofurtado,37,2.530546623794212
