,namespace,Semana,Porcentagem de engajamento em série de exercícios
860,sasadapt,25,1.0
198,ceespacolivre,32,1.0
154,arco,31,1.0
58,acessohauer,26,0.9543218552354181
547,integra,31,0.9133858267716536
61,acessohauer,31,0.8990825688073395
227,colegiobilac,26,0.8823529411764706
60,acessohauer,30,0.8773333333333333
63,acessohauer,34,0.8621951219512195
548,integra,32,0.8611111111111112
41,acessocampolargo,34,0.8286501377410468
902,stellamarisxaxim,28,0.8235294117647058
46,acessofazendariogrande,26,0.8173800259403372
188,ceabb,29,0.8118361153262519
584,liessinbarra,27,0.8035714285714286
47,acessofazendariogrande,27,0.7999114652501107
566,invictus,35,0.796875
549,integra,33,0.7897727272727273
550,integra,34,0.7894736842105263
38,acessocampolargo,31,0.7841068917018285
83,acessosantafelicidade,31,0.7714604236343366
53,acessofazendariogrande,35,0.7680722891566265
33,acessocampolargo,24,0.7680032733224222
545,integra,25,0.7659574468085106
185,ceabb,25,0.758744394618834
90,acessosjpinhais,24,0.7573286312541326
51,acessofazendariogrande,33,0.7538877620013522
234,colegiobilac,33,0.74149377593361
278,colegioeag,30,0.7382978723404255
475,einsteinassis,33,0.7375249500998003
582,liessinbarra,24,0.7261904761904762
494,escolaceciliameireles,30,0.7241379310344828
191,ceabb,32,0.7150259067357513
583,liessinbarra,26,0.7142857142857143
14,acessoalmirantetamandare,32,0.7073170731707317
568,invictus,37,0.7053571428571429
228,colegiobilac,27,0.6972213350367295
705,physicsaugustomontenegro,24,0.6927966101694916
708,physicsaugustomontenegro,31,0.6873691556175855
276,colegioeag,26,0.6854636591478697
192,ceabb,33,0.685337726523888
93,acessosjpinhais,27,0.6844700082169268
473,einsteinassis,31,0.6821907600596125
52,acessofazendariogrande,34,0.6813186813186813
39,acessocampolargo,32,0.6804662379421221
34,acessocampolargo,25,0.6772237196765498
474,einsteinassis,32,0.6757990867579908
563,invictus,25,0.6711111111111111
551,integra,35,0.6666666666666666
305,colegioecursoprogressao,34,0.6666666666666666
226,colegiobilac,24,0.6666666666666666
235,colegiobilac,34,0.6660459342023588
