,namespace,Semana,Número de exercícios por turma
0,abdiasmartins,31,1.0
1,abdiasmartins,32,10.5
2,abdiasmartins,33,25.0
3,abdiasmartins,34,3.0
4,abdiasmartins,35,2.0
5,abdiasmartins,36,11.0
6,abiliomartins,33,1.0
7,abiliomartins,34,1.0
8,acessoalmirantetamandare,24,5.142857142857143
9,acessoalmirantetamandare,25,1.4
10,acessoalmirantetamandare,26,10.166666666666666
11,acessoalmirantetamandare,27,5.285714285714286
12,acessoalmirantetamandare,30,1.0
13,acessoalmirantetamandare,31,8.0
14,acessoalmirantetamandare,32,4.5
15,acessoalmirantetamandare,33,1.8
16,acessoalmirantetamandare,34,9.25
17,acessoalmirantetamandare,35,5.5
18,acessoalmirantetamandare,36,4.2
19,acessoalmirantetamandare,37,4.333333333333333
20,acessoboqueirao,24,30.285714285714285
21,acessoboqueirao,25,12.588235294117647
22,acessoboqueirao,26,15.4375
23,acessoboqueirao,27,13.285714285714286
24,acessoboqueirao,29,5.0
25,acessoboqueirao,30,10.428571428571429
26,acessoboqueirao,31,10.5
27,acessoboqueirao,32,36.5
28,acessoboqueirao,33,6.142857142857143
29,acessoboqueirao,34,14.928571428571429
30,acessoboqueirao,35,5.5
31,acessoboqueirao,36,8.0
32,acessoboqueirao,37,10.0
33,acessocampolargo,24,10.8
34,acessocampolargo,25,7.166666666666667
35,acessocampolargo,26,6.0
36,acessocampolargo,27,4.166666666666667
37,acessocampolargo,30,3.875
38,acessocampolargo,31,7.4
39,acessocampolargo,32,12.4
40,acessocampolargo,33,5.333333333333333
41,acessocampolargo,34,15.333333333333334
42,acessocampolargo,35,3.6666666666666665
43,acessocampolargo,36,4.0
44,acessofazendariogrande,24,3.75
45,acessofazendariogrande,25,7.125
46,acessofazendariogrande,26,12.625
47,acessofazendariogrande,27,10.714285714285714
48,acessofazendariogrande,30,7.6
49,acessofazendariogrande,31,3.0
50,acessofazendariogrande,32,4.333333333333333
51,acessofazendariogrande,33,5.875
52,acessofazendariogrande,34,4.6
53,acessofazendariogrande,35,12.0
54,acessofazendariogrande,36,5.2
55,acessofazendariogrande,37,3.5
56,acessohauer,24,1.0
57,acessohauer,25,2.6666666666666665
58,acessohauer,26,5.666666666666667
59,acessohauer,27,1.0
60,acessohauer,30,10.0
61,acessohauer,31,2.2
62,acessohauer,33,4.166666666666667
63,acessohauer,34,10.0
64,acessohauer,35,1.0
65,acessohauer,37,1.5
66,acessopinhais,24,19.0
67,acessopinhais,25,9.75
68,acessopinhais,26,17.0
69,acessopinhais,27,14.0
70,acessopinhais,30,7.5
71,acessopinhais,31,20.0
72,acessopinhais,32,22.5
73,acessopinhais,33,15.75
74,acessopinhais,34,22.0
75,acessopinhais,35,23.0
76,acessopinhais,36,5.5
77,acessosantafelicidade,24,12.166666666666666
78,acessosantafelicidade,25,27.166666666666668
79,acessosantafelicidade,26,10.6
80,acessosantafelicidade,27,6.666666666666667
81,acessosantafelicidade,29,7.0
82,acessosantafelicidade,30,16.2
83,acessosantafelicidade,31,5.0
84,acessosantafelicidade,32,5.5
85,acessosantafelicidade,33,17.444444444444443
86,acessosantafelicidade,34,19.0
87,acessosantafelicidade,35,7.0
88,acessosantafelicidade,36,6.25
89,acessosantafelicidade,37,7.0
90,acessosjpinhais,24,11.375
91,acessosjpinhais,25,9.416666666666666
92,acessosjpinhais,26,13.1
93,acessosjpinhais,27,4.166666666666667
94,acessosjpinhais,30,6.875
95,acessosjpinhais,31,10.6
96,acessosjpinhais,32,7.230769230769231
97,acessosjpinhais,33,15.357142857142858
98,acessosjpinhais,34,14.3125
99,acessosjpinhais,35,5.230769230769231
100,acessosjpinhais,36,9.333333333333334
101,acessosjpinhais,37,12.8
102,adrianochan,24,14.94767441860465
103,adrianochan,25,5.580459770114943
104,adrianochan,26,12.714285714285714
105,adrianochan,27,23.0
106,adrianochan,30,24.8
107,adrianochan,31,34.58461538461538
108,adrianochan,32,16.142857142857142
109,adrianochan,33,22.08670520231214
110,adrianochan,34,19.959537572254334
111,adrianochan,35,29.686046511627907
112,adrianochan,36,11.857142857142858
113,adrianochan,37,54.26470588235294
114,aescobjetivo,24,3.6
115,aescobjetivo,25,3.0
116,aescobjetivo,36,4.0
117,albertocabral,35,2.6666666666666665
118,alpha,24,13.0
119,alpha,25,20.473684210526315
120,alpha,26,52.8235294117647
121,alpha,27,12.0
122,alpha,30,17.0
123,alpha,31,86.72222222222223
124,alpha,32,27.35
125,alpha,33,64.57142857142857
126,alpha,34,35.0
127,alpha,35,48.94444444444444
128,alpha,36,42.25
129,alpha,37,10.615384615384615
130,amadeus,24,12.4
131,amadeus,29,9.76923076923077
132,amadeus,30,10.538461538461538
133,amadeus,31,16.176470588235293
134,amadeus,32,11.61111111111111
135,amadeus,33,10.0
136,amadeus,34,15.321428571428571
137,amadeus,35,10.7
138,amadeus,36,14.52
139,amadeus,37,8.285714285714286
140,amaisteste,28,4.0
141,anchietaba,30,1650.0
142,anossaatmosfera,24,83.0
143,anossaatmosfera,25,30.0
144,anossaatmosfera,26,60.0
145,anossaatmosfera,27,76.0
146,anossaatmosfera,28,40.0
147,anossaatmosfera,31,40.0
148,anossaatmosfera,32,22.0
149,anossaatmosfera,33,80.0
150,anossaatmosfera,34,35.0
151,anossaatmosfera,35,60.0
152,anossaatmosfera,36,35.0
153,anossaatmosfera,37,40.0
154,antoniomelo,31,15.0
155,antoniomelo,32,10.0
156,antoniomelo,33,26.0
157,antoniomelo,34,3.0
158,apogeustoantonio2,24,15.5
159,apogeustoantonio2,25,44.142857142857146
160,apogeustoantonio2,26,7.0
161,apogeustoantonio2,27,12.0
162,apogeustoantonio2,28,28.0
163,apogeustoantonio2,29,10.0
164,apogeustoantonio2,30,24.0
165,apogeustoantonio2,31,5.0
166,apogeustoantonio2,32,5.0
167,apogeustoantonio2,34,4.0
168,apogeustoantonio2,35,20.0
169,arco,30,6.0
170,arco,31,6.0
171,arena,26,1650.0
172,arena,27,243.0
173,aridesa,35,109.0
174,barraazul,35,1.0
175,beityaacov,32,3.0
176,benjaminconstant,33,149.0
177,brasilcursinhos,24,66.5
178,brasilcursinhos,25,66.0
179,brasilcursinhos,26,116.5
180,brasilcursinhos,27,76.5
181,brasilcursinhos,28,83.5
182,brasilcursinhos,29,4.0
183,brasilcursinhos,30,16.0
184,brasilcursinhos,31,57.5
185,brasilcursinhos,32,87.0
186,brasilcursinhos,33,138.0
187,brasilcursinhos,34,122.5
188,brasilcursinhos,35,98.5
189,brasilcursinhos,36,107.0
190,brasilcursinhos,37,27.0
191,calculo2,34,11.0
192,casdinhosjc,24,19.4
193,casdinhosjc,25,25.8
194,casdinhosjc,26,27.333333333333332
195,casdinhosjc,29,21.2
196,casdinhosjc,30,12.4
197,casdinhosjc,31,18.444444444444443
198,casdinhosjc,32,39.857142857142854
199,casdinhosjc,33,10.0
200,casdvest,24,1.8
201,casdvest,25,8.0
202,casdvest,26,6.0
203,casdvest,27,2.8
204,casdvest,28,7.6
205,casdvest,29,4.0
206,casdvest,30,1.4
207,casdvest,31,4.8
208,casdvest,32,8.2
209,casdvest,33,11.0
210,casdvest,35,1.0
211,casdvest,36,1.0
212,cats,29,13.0
213,cats,30,61.0
214,cats,31,5.0
215,cats,33,5.0
216,cats,34,29.0
217,cats,35,104.0
218,cats,36,42.0
219,cats,37,34.0
220,ceabb,24,28.0
221,ceabb,25,14.833333333333334
222,ceabb,26,7.5
223,ceabb,27,29.0
224,ceabb,29,26.5
225,ceabb,30,6.5
226,ceabb,31,15.666666666666666
227,ceabb,32,21.0
228,ceabb,33,10.2
229,ceabb,34,10.8
230,ceabb,35,31.0
231,ceabb,37,7.0
