,namespace,Semana,Média de séries de exercícios por turma
0,abdiasmartins,31,1.0
1,abdiasmartins,32,1.5
2,abdiasmartins,33,3.5
3,abdiasmartins,34,1.0
4,abdiasmartins,35,1.0
5,abdiasmartins,36,2.0
6,abiliomartins,33,1.0
7,abiliomartins,34,1.0
8,acessoalmirantetamandare,24,1.4285714285714286
9,acessoalmirantetamandare,25,1.0
10,acessoalmirantetamandare,26,1.0
11,acessoalmirantetamandare,27,1.2857142857142858
12,acessoalmirantetamandare,30,1.0
13,acessoalmirantetamandare,31,1.5
14,acessoalmirantetamandare,32,1.1666666666666667
15,acessoalmirantetamandare,33,1.0
16,acessoalmirantetamandare,34,2.5
17,acessoalmirantetamandare,35,1.0
18,acessoalmirantetamandare,36,1.6
19,acessoalmirantetamandare,37,1.0
20,acessoboqueirao,24,3.142857142857143
21,acessoboqueirao,25,1.8823529411764706
22,acessoboqueirao,26,2.0625
23,acessoboqueirao,27,1.8571428571428572
24,acessoboqueirao,29,1.0
25,acessoboqueirao,30,1.8571428571428572
26,acessoboqueirao,31,1.8333333333333333
27,acessoboqueirao,32,3.875
28,acessoboqueirao,33,1.0
29,acessoboqueirao,34,2.4285714285714284
30,acessoboqueirao,35,1.0
31,acessoboqueirao,36,1.3
32,acessoboqueirao,37,1.0
33,acessocampolargo,24,1.8
34,acessocampolargo,25,2.5
35,acessocampolargo,26,2.0
36,acessocampolargo,27,1.3333333333333333
37,acessocampolargo,30,1.625
38,acessocampolargo,31,1.6
39,acessocampolargo,32,2.0
40,acessocampolargo,33,1.0
41,acessocampolargo,34,1.8333333333333333
42,acessocampolargo,35,2.0
43,acessocampolargo,36,1.6666666666666667
44,acessofazendariogrande,24,1.5
45,acessofazendariogrande,25,1.5
46,acessofazendariogrande,26,2.375
47,acessofazendariogrande,27,2.0
48,acessofazendariogrande,30,2.2
49,acessofazendariogrande,31,1.0
50,acessofazendariogrande,32,1.5
51,acessofazendariogrande,33,1.75
52,acessofazendariogrande,34,1.4
53,acessofazendariogrande,35,1.6666666666666667
54,acessofazendariogrande,36,2.4
55,acessofazendariogrande,37,1.0
56,acessohauer,24,1.0
57,acessohauer,25,2.6666666666666665
58,acessohauer,26,1.0
59,acessohauer,27,1.0
60,acessohauer,30,1.0
61,acessohauer,31,1.0
62,acessohauer,33,1.1666666666666667
63,acessohauer,34,1.0
64,acessohauer,35,1.0
65,acessohauer,37,1.5
66,acessopinhais,24,2.5
67,acessopinhais,25,2.5
68,acessopinhais,26,3.0
69,acessopinhais,27,5.0
70,acessopinhais,30,2.0
71,acessopinhais,31,3.0
72,acessopinhais,32,3.0
73,acessopinhais,33,2.25
74,acessopinhais,34,2.0
75,acessopinhais,35,3.5
76,acessopinhais,36,2.5
77,acessosantafelicidade,24,2.3333333333333335
78,acessosantafelicidade,25,4.0
79,acessosantafelicidade,26,1.4
80,acessosantafelicidade,27,1.3333333333333333
81,acessosantafelicidade,29,1.6666666666666667
82,acessosantafelicidade,30,2.8
83,acessosantafelicidade,31,1.0
84,acessosantafelicidade,32,1.8333333333333333
85,acessosantafelicidade,33,2.2222222222222223
86,acessosantafelicidade,34,3.0
87,acessosantafelicidade,35,1.0
88,acessosantafelicidade,36,1.0
89,acessosantafelicidade,37,1.0
90,acessosjpinhais,24,3.0
91,acessosjpinhais,25,2.8333333333333335
92,acessosjpinhais,26,2.6
93,acessosjpinhais,27,1.8333333333333333
94,acessosjpinhais,30,3.75
95,acessosjpinhais,31,3.0
96,acessosjpinhais,32,2.230769230769231
97,acessosjpinhais,33,3.642857142857143
98,acessosjpinhais,34,2.75
99,acessosjpinhais,35,2.769230769230769
100,acessosjpinhais,36,2.6666666666666665
101,acessosjpinhais,37,4.2
102,adrianochan,24,1.0290697674418605
103,adrianochan,25,1.0459770114942528
104,adrianochan,26,1.7142857142857142
105,adrianochan,27,1.6666666666666667
106,adrianochan,30,3.0
107,adrianochan,31,1.9923076923076923
108,adrianochan,32,2.0
109,adrianochan,33,1.0867052023121386
110,adrianochan,34,1.0404624277456647
111,adrianochan,35,1.058139534883721
112,adrianochan,36,1.2857142857142858
113,adrianochan,37,2.0058823529411764
114,aescobjetivo,24,1.0
115,aescobjetivo,25,1.0
116,aescobjetivo,36,1.0
117,albertocabral,35,2.6666666666666665
118,alpha,24,3.4705882352941178
119,alpha,25,3.6842105263157894
120,alpha,26,3.588235294117647
121,alpha,27,1.0
122,alpha,30,1.0
123,alpha,31,9.555555555555555
124,alpha,32,2.75
125,alpha,33,7.809523809523809
126,alpha,34,5.75
127,alpha,35,7.722222222222222
128,alpha,36,8.85
129,alpha,37,2.6923076923076925
130,amadeus,24,1.8
131,amadeus,29,3.4615384615384617
132,amadeus,30,3.6923076923076925
133,amadeus,31,3.2941176470588234
134,amadeus,32,2.7222222222222223
135,amadeus,33,1.95
136,amadeus,34,3.607142857142857
137,amadeus,35,1.95
138,amadeus,36,2.92
139,amadeus,37,2.2857142857142856
140,amaisteste,28,1.0
141,anchietaba,30,220.0
142,anossaatmosfera,24,8.0
143,anossaatmosfera,25,3.0
144,anossaatmosfera,26,6.0
145,anossaatmosfera,27,7.6
146,anossaatmosfera,28,4.0
147,anossaatmosfera,31,4.0
148,anossaatmosfera,32,2.2
149,anossaatmosfera,33,8.0
150,anossaatmosfera,34,3.2
151,anossaatmosfera,35,5.0
152,anossaatmosfera,36,3.0
153,anossaatmosfera,37,4.0
154,antoniomelo,31,1.0
155,antoniomelo,32,1.0
156,antoniomelo,33,2.0
157,antoniomelo,34,1.0
158,apogeustoantonio2,24,3.75
159,apogeustoantonio2,25,5.0
160,apogeustoantonio2,26,1.6
161,apogeustoantonio2,27,1.0
162,apogeustoantonio2,28,4.0
163,apogeustoantonio2,29,1.0
164,apogeustoantonio2,30,2.0
165,apogeustoantonio2,31,1.0
166,apogeustoantonio2,32,1.0
167,apogeustoantonio2,34,1.0
168,apogeustoantonio2,35,1.0
169,arco,30,2.0
170,arco,31,3.0
171,arena,26,220.0
172,arena,27,24.0
173,aridesa,35,11.0
174,barraazul,35,1.0
175,beityaacov,32,1.0
176,benjaminconstant,33,15.0
177,brasilcursinhos,24,8.5
178,brasilcursinhos,25,9.0
179,brasilcursinhos,26,14.0
180,brasilcursinhos,27,10.0
181,brasilcursinhos,28,11.0
182,brasilcursinhos,29,1.0
183,brasilcursinhos,30,4.0
184,brasilcursinhos,31,10.5
185,brasilcursinhos,32,11.0
186,brasilcursinhos,33,16.5
187,brasilcursinhos,34,13.0
188,brasilcursinhos,35,13.5
189,brasilcursinhos,36,13.0
190,brasilcursinhos,37,4.0
191,calculo2,34,3.0
192,casdinhosjc,24,2.8
193,casdinhosjc,25,3.4
194,casdinhosjc,26,3.0
195,casdinhosjc,29,3.4
196,casdinhosjc,30,2.6
197,casdinhosjc,31,2.7777777777777777
198,casdinhosjc,32,3.7142857142857144
199,casdinhosjc,33,2.0
200,casdvest,24,1.0
201,casdvest,25,2.8
202,casdvest,26,2.0
203,casdvest,27,1.0
204,casdvest,28,1.0
205,casdvest,29,1.0
206,casdvest,30,1.0
207,casdvest,31,1.6
208,casdvest,32,1.8
209,casdvest,33,2.6
210,casdvest,35,1.0
211,casdvest,36,1.0
212,cats,29,2.0
213,cats,30,10.0
214,cats,31,1.0
215,cats,33,1.0
216,cats,34,4.0
217,cats,35,12.0
218,cats,36,5.0
219,cats,37,3.0
220,ceabb,24,2.0
221,ceabb,25,2.1666666666666665
222,ceabb,26,1.5
223,ceabb,27,3.5714285714285716
224,ceabb,29,2.5
225,ceabb,30,1.0
226,ceabb,31,1.6666666666666667
227,ceabb,32,2.0
228,ceabb,33,1.0
229,ceabb,34,1.0
230,ceabb,35,2.0
231,ceabb,37,1.0
232,ceespacolivre,25,1.0
233,ceespacolivre,26,1.0
234,ceespacolivre,32,1.0
235,ceespacolivre,35,1.0
236,ceespacolivre,36,1.0
237,cem,24,6.0
238,cem,25,6.0
239,cem,26,2.888888888888889
240,cem,29,1.0
241,cem,30,1.0
242,cem,31,6.6923076923076925
243,cem,32,5.461538461538462
244,cem,33,5.363636363636363
245,cem,34,6.583333333333333
246,cem,35,4.166666666666667
247,cem,36,5.166666666666667
248,cem,37,2.0
249,ceprimeiromundo,24,1.25
250,ceprimeiromundo,25,1.4444444444444444
251,ceprimeiromundo,26,1.625
252,ceprimeiromundo,27,1.2
253,ceprimeiromundo,28,1.6
254,ceprimeiromundo,31,1.0
255,ceprimeiromundo,32,1.75
256,ceprimeiromundo,34,1.0
257,ceprimeiromundo,36,1.3333333333333333
258,ceprimeiromundo,37,1.5
259,charlesdarwin,24,2.0
260,charlesdarwin,28,2.0
261,ciadosaber,34,1.5
262,cicerofranklin,27,1.0
263,cognitivo,32,2.0
264,colegioarena,36,2.0
265,colegiobetelbrasileirosp,25,5.0
266,colegiobilac,24,1.0
267,colegiobilac,26,1.0
268,colegiobilac,27,1.4444444444444444
269,colegiobilac,28,1.4
270,colegiobilac,29,1.7777777777777777
271,colegiobilac,30,1.0
272,colegiobilac,31,1.0
273,colegiobilac,32,1.5
274,colegiobilac,33,1.6666666666666667
275,colegiobilac,34,1.4444444444444444
276,colegiobilac,35,1.0
277,colegiobilac,36,1.0
278,colegiobrasilia,24,3.6
279,colegiobrasilia,25,5.166666666666667
280,colegiobrasilia,26,3.75
281,colegiobrasilia,28,23.6
282,colegiobrasilia,29,20.2
283,colegiobrasilia,30,3.375
284,colegiobrasilia,31,2.5535714285714284
285,colegiobrasilia,32,3.125
286,colegiobrasilia,33,3.259259259259259
287,colegiobrasilia,34,3.450980392156863
288,colegiobrasilia,35,4.478260869565218
289,colegiobrasilia,36,3.6
290,colegiobrasilia,37,8.241379310344827
291,colegiocb,24,1.2857142857142858
292,colegiocb,25,1.125
293,colegiocb,26,1.3333333333333333
294,colegiocb,27,2.0
295,colegiocb,28,1.0
296,colegiocb,30,1.2
297,colegiocb,31,1.875
298,colegiocb,32,1.9090909090909092
299,colegiocb,33,2.5
300,colegiocb,34,1.4166666666666667
301,colegiocb,35,1.3
302,colegiocb,36,2.111111111111111
303,colegiocb,37,1.3333333333333333
304,colegiodasamericas,24,3.0
305,colegiodasamericas,25,1.1111111111111112
306,colegiodasamericas,26,5.666666666666667
307,colegiodasamericas,30,1.0
308,colegiodasamericas,31,1.0
309,colegiodasamericas,32,1.8888888888888888
310,colegiodasamericas,33,3.0
311,colegiodasamericas,34,2.3
312,colegiodasamericas,35,2.5
313,colegiodasamericas,36,2.0
314,colegiodasamericas,37,2.7777777777777777
315,colegiodosjesuitas,35,202.0
316,colegioeag,24,1.8666666666666667
317,colegioeag,25,1.4375
318,colegioeag,26,1.125
319,colegioeag,27,1.0
320,colegioeag,30,1.0
321,colegioeag,31,1.3076923076923077
322,colegioeag,32,2.0
323,colegioeag,33,1.5714285714285714
324,colegioeag,34,1.2
325,colegioeag,35,1.0
326,colegioeag,36,1.4166666666666667
327,colegioecursodesafio,24,1.1428571428571428
328,colegioecursodesafio,25,1.0
329,colegioecursodesafio,30,2.3
330,colegioecursodesafio,31,8.76923076923077
331,colegioecursodesafio,32,7.153846153846154
332,colegioecursodesafio,33,6.461538461538462
333,colegioecursodesafio,34,4.923076923076923
334,colegioecursodesafio,35,5.5
335,colegioecursodesafio,36,2.5454545454545454
336,colegioecursodesafio,37,1.75
337,colegioecursoprogressao,24,2.4
338,colegioecursoprogressao,25,2.3333333333333335
339,colegioecursoprogressao,26,1.75
340,colegioecursoprogressao,27,2.0833333333333335
341,colegioecursoprogressao,28,2.0
342,colegioecursoprogressao,29,1.0
343,colegioecursoprogressao,30,1.0
344,colegioecursoprogressao,31,3.2
345,colegioecursoprogressao,32,1.8
346,colegioecursoprogressao,33,2.75
347,colegioecursoprogressao,34,1.5
348,colegioecursoprogressao,35,1.1
349,colegioecursoprogressao,36,1.2
350,colegioecursoprogressao,37,1.0
351,colegioensitec,24,1.0
352,colegioensitec,25,3.7142857142857144
353,colegioensitec,26,1.5
354,colegioensitec,28,1.0
355,colegioensitec,29,1.6666666666666667
356,colegioensitec,30,1.2727272727272727
357,colegioensitec,31,1.0
358,colegioensitec,32,2.25
359,colegioensitec,33,1.6666666666666667
360,colegioensitec,34,1.4
361,colegioensitec,35,1.0
362,colegioensitec,36,1.0
363,colegioensitec,37,3.0
364,colegioexatus,33,220.0
365,colegioflamingo,24,5.6
366,colegioflamingo,25,5.6
367,colegioflamingo,26,3.6
368,colegioflamingo,31,3.6
369,colegioflamingo,32,3.4
370,colegioflamingo,33,6.4
371,colegioflamingo,34,4.4
372,colegioflamingo,35,4.6
373,colegioflamingo,36,4.4
374,colegioflamingo,37,1.0
375,colegiofuturageracao,25,1.5
376,colegiofuturageracao,35,2.0
377,colegioglobal,24,2.0
378,colegioglobal,31,1.0
379,colegioglobal,32,1.0
380,colegioguilhermedealmeida,24,1.4
381,colegioguilhermedealmeida,25,1.8125
382,colegioguilhermedealmeida,26,2.888888888888889
383,colegioguilhermedealmeida,30,1.0
384,colegioguilhermedealmeida,31,1.0
385,colegioguilhermedealmeida,32,1.9473684210526316
386,colegioguilhermedealmeida,33,3.8484848484848486
387,colegioguilhermedealmeida,34,2.8
388,colegioguilhermedealmeida,35,2.0434782608695654
389,colegioguilhermedealmeida,36,2.2142857142857144
390,colegioguilhermedealmeida,37,1.0
391,colegioiguatemy,24,2.25
392,colegioiguatemy,25,1.0
393,colegioiguatemy,30,3.0
394,colegioiguatemy,31,1.5
395,colegioiguatemy,32,3.0
396,colegioiguatemy,33,1.4615384615384615
397,colegioiguatemy,34,2.25
398,colegioiguatemy,35,3.5
399,colegioiguatemy,36,1.0
400,colegioiguatemy,37,1.0
401,colegiointegral,24,1.8636363636363635
402,colegiointegral,26,2.875
403,colegiointegral,27,4.32258064516129
404,colegiointegral,28,5.82051282051282
405,colegiointegral,29,4.243243243243243
406,colegiointegral,30,4.05
407,colegiointegral,31,5.357142857142857
408,colegiointegral,32,6.515151515151516
409,colegiointegral,33,5.484848484848484
410,colegiointegral,34,5.488372093023256
411,colegiointegral,35,3.34
412,colegiointegral,36,4.7105263157894735
413,colegiointegral,37,1.3
414,colegiojoaopaulo,24,1.0
415,colegiojoaopaulo,25,1.25
416,colegiojoaopaulo,26,1.8333333333333333
417,colegiojoaopaulo,27,4.5
418,colegiojoaopaulo,28,1.0
419,colegiojoaopaulo,31,1.1
420,colegiojoaopaulo,32,1.3333333333333333
421,colegiojoaopaulo,33,1.0
422,colegiojoaopaulo,34,2.6666666666666665
423,colegiojoaopaulo,35,1.3333333333333333
424,colegiojoaopaulo,36,1.25
425,colegioliceu,35,609.3333333333334
426,colegionobre,30,110.5
427,colegionobre,35,1.0
428,colegiopremium,24,2.0
429,colegiopremium,32,1.5
430,colegiopremium,33,1.0
431,colegiopremium,34,1.0
432,colegiopremium,35,2.0
433,colegioprogresso,28,222.0
434,colegioriobranco,27,1.0
435,colegiosantamaria,33,220.0
436,colegiosantamaria,34,1.0
437,colegiosaoluis,32,111.0
438,colegiosaoluis,34,1.0
439,colegiosete,24,1.8333333333333333
440,colegiosete,25,1.0
441,colegiosete,27,1.0
442,colegiosete,28,3.466666666666667
443,colegiosete,29,3.6
444,colegiosete,30,2.8666666666666667
445,colegiosete,31,1.8333333333333333
446,colegiosete,32,2.08
447,colegiosete,33,2.608695652173913
448,colegiosete,34,2.8181818181818183
449,colegiosete,35,2.55
450,colegiosete,36,2.125
451,colegiosete,37,1.5
452,colegiouirapuru,24,1.0
453,colegiouirapuru,25,1.0
454,colegiouirapuru,28,1.0
455,colegiouirapuru,29,2.0
456,colegiouirapuru,31,1.25
457,colegiouirapuru,32,2.4285714285714284
458,colegiouirapuru,33,2.5714285714285716
459,colegiouirapuru,34,2.0714285714285716
460,colegiouirapuru,35,1.3846153846153846
461,colegiouirapuru,36,1.4615384615384615
462,colegiouniverso,24,1.6666666666666667
463,colegiouniverso,25,2.0
464,colegiouniverso,26,1.0
465,colegiouniverso,31,1.0
466,colegiouniverso,32,1.0
467,colegiouniverso,33,1.0
468,colegiouniverso,34,1.0
469,colegiouniverso,35,1.25
470,colegiouniverso,36,1.6
471,conexaosaber,25,1.0
472,conexaosaber,34,1.0
473,contemporaneocidadeverde,28,1.0
474,contemporaneocidadeverde,32,1.0
475,cparaiso,30,12.0
476,cparaiso,34,2.0
477,cursobase,25,6.0
478,cursobase,26,1.0
479,cursobase,31,1.0
480,cursobase,32,2.0
481,cursobase,35,1.0
482,cursobase,36,4.0
483,cursoenfase,25,1.0
484,cursoenfase,26,1.0
485,cursoenfase,31,1.0
486,cursoenfase,32,2.6666666666666665
487,cursoenfase,33,1.0
488,cursoenfase,34,1.0
489,cursoisfera,25,3.0
490,cursoisfera,26,1.0
491,cursoisfera,31,1.0
492,cursoisfera,33,2.0
493,cursoisfera,34,1.0
494,cursoisfera,36,1.0
495,cursosazambuja,24,1.5151515151515151
496,cursosazambuja,25,1.1081081081081081
497,cursosazambuja,26,1.0526315789473684
498,cursosazambuja,27,1.5294117647058822
499,cursosazambuja,28,1.0588235294117647
500,cursosazambuja,29,1.0
501,cursosazambuja,30,1.0
502,cursosazambuja,31,1.0
503,cursosazambuja,32,1.7272727272727273
504,cursosazambuja,33,2.9545454545454546
505,cursosazambuja,34,1.0606060606060606
506,cursosazambuja,35,1.05
507,cursosazambuja,36,1.0
508,dante,34,108.0
509,domhelder,26,1.0
510,domhelder,27,1.0
511,domhelder,34,1.0
512,eacorcovado,24,2.05
513,eacorcovado,25,1.4705882352941178
514,eacorcovado,26,1.6842105263157894
515,eacorcovado,29,1.5
516,eacorcovado,30,1.6
517,eacorcovado,31,1.2352941176470589
518,eacorcovado,32,3.2142857142857144
519,eacorcovado,33,1.7222222222222223
520,eacorcovado,34,3.1818181818181817
521,eacorcovado,35,1.5789473684210527
522,eacorcovado,36,1.6666666666666667
523,eacorcovado,37,2.0
524,eccos,24,1.875
525,eccos,25,1.4166666666666667
526,eccos,26,1.25
527,eccos,27,1.0
528,eccos,31,1.5555555555555556
529,eccos,32,1.6666666666666667
530,eccos,33,1.6363636363636365
531,eccos,34,2.4285714285714284
532,eccos,35,2.1666666666666665
533,eccos,36,2.4
534,eccos,37,1.0
535,educamais,25,1.0
536,educamais,34,2.5
537,educamais,36,3.0
538,educarse,25,3.0
539,educarse,26,1.0
540,educarse,29,2.0
541,educarse,30,2.0
542,educarse,32,4.0
543,educarse,33,3.0
544,educarse,34,1.0
545,educarse,35,4.0
546,educarse,37,1.0
547,einsteinassis,24,8.0
548,einsteinassis,25,5.0
549,einsteinassis,26,6.5
550,einsteinassis,31,13.285714285714286
551,einsteinassis,32,12.857142857142858
552,einsteinassis,33,9.142857142857142
553,einsteinassis,34,12.857142857142858
554,einsteinassis,35,9.857142857142858
555,einsteinassis,36,10.142857142857142
556,einsteinassis,37,3.5
557,eldapereira,33,1.0
558,elitecuritibaemilianoperneta,24,3.5
559,elitecuritibaemilianoperneta,25,1.0
560,elitecuritibaemilianoperneta,26,1.0
561,elitecuritibaemilianoperneta,29,7.0
562,elitecuritibaemilianoperneta,30,2.5
563,elitecuritibaemilianoperneta,31,3.5
564,elitecuritibaemilianoperneta,32,8.0
565,elitecuritibaemilianoperneta,33,4.5
566,elitecuritibaemilianoperneta,34,11.5
567,elitecuritibaemilianoperneta,35,10.0
568,elitecuritibaemilianoperneta,36,1.0
569,engenhomoscou,27,1.0
570,engenhomoscou,34,1.0
571,escola,34,3.0
572,escolaceciliameireles,28,1.0
573,escolaceciliameireles,29,2.0
574,escolaceciliameireles,30,1.0
575,escoladeimpacto,28,1.0
576,escoladofuturo,25,90.0
577,escoladofuturo,32,220.0
578,escoladofuturo,33,166.0
579,escoladofuturo,36,2.0
580,escolamaster,35,560.5
581,esmg,25,324.0
582,esperanza,34,1.0
583,esperanza,35,1.0
584,esperanza,36,1.0
585,faculdadeflamingo,27,1.0
586,faculdadeflamingo,28,1.0
587,faculdadeflamingo,29,2.0
588,faculdadeflamingo,30,2.0
589,faculdadeflamingo,31,1.6666666666666667
590,faculdadeflamingo,32,2.142857142857143
591,faculdadeflamingo,33,2.0869565217391304
592,faculdadeflamingo,34,1.3636363636363635
593,faculdadeflamingo,35,1.391304347826087
594,faculdadeflamingo,36,1.5
595,faculdadeflamingo,37,1.0
596,francobrasileiro,25,1.0
597,francobrasileiro,26,3.0
598,francobrasileiro,27,1.0
599,francobrasileiro,31,1.0
600,francobrasileiro,33,1.0
601,fundacaobradesco,27,8.0
602,galois,28,46.0
603,gamt,25,1.0
604,gamt,26,1.0
605,gamt,32,1.0
606,gerabixo,24,2.0
607,gerabixo,25,2.0
608,gerabixo,26,4.0
609,gerabixo,27,2.0
610,gerabixo,28,2.5
611,gerabixo,29,2.0
612,gerabixo,32,3.0
613,gerabixo,33,1.0
614,gerabixo,34,2.0
615,gerabixo,36,5.0
616,gerabixo,37,1.0
617,hamiltondarocha,34,1.0
618,hamiltondarocha,36,2.5714285714285716
619,hamiltondarocha,37,1.25
620,herciliovilanova,34,2.0
621,idb,25,292.5
622,idb,26,2.0
623,imaculada,34,220.0
624,informacao,24,1.0
625,informacao,25,1.0
626,informacao,27,4.0
627,informacao,28,1.0
628,informacao,30,6.0
629,informacao,31,2.5
630,informacao,32,1.0
631,informacao,33,2.0
632,informacao,34,1.0
633,informacao,36,3.0
634,insa,25,1.0
635,insa,26,1.0
636,insa,30,51.0
637,insa,31,3.0
638,insa,32,1.6666666666666667
639,insa,33,2.0
640,insa,34,2.6666666666666665
641,insa,35,1.0
642,insa,36,1.0
643,institutoeurofarma,30,7.0
644,institutoeurofarma,31,17.0
645,institutoeurofarma,32,2.0
646,institutoeurofarma,33,8.0
647,institutoeurofarma,34,12.0
648,institutoeurofarma,35,3.0
649,institutoeurofarma,36,8.0
650,integra,25,1.6666666666666667
651,integra,27,1.0
652,integra,31,1.0
653,integra,32,1.0
654,integra,33,1.0
655,integra,34,2.0
656,integra,35,1.0
657,integra,36,1.0
658,integradaeducativa,24,1.3333333333333333
659,integradaeducativa,25,1.0
660,integradaeducativa,26,1.0
661,integradaeducativa,30,1.0
662,integradaeducativa,31,1.0
663,integradaeducativa,32,1.6666666666666667
664,integradaeducativa,33,2.5714285714285716
665,integradaeducativa,34,2.8666666666666667
666,integradaeducativa,35,3.75
667,integradaeducativa,36,1.8
668,invictus,24,1.0
669,invictus,25,1.3333333333333333
670,invictus,27,1.0
671,invictus,32,1.0
672,invictus,35,1.5
673,invictus,36,1.0
674,invictus,37,2.0
675,ipdhsolucoes,24,1.375
676,ipdhsolucoes,26,6.0
677,ipdhsolucoes,30,1.5
678,isem,30,1.0
679,isem,36,1.0
680,ismart,29,9.0
681,ismart,34,1.0
682,jardimsaopaulo,25,72.0
683,jazzvestibular,34,4.0
684,jazzvestibular,35,2.0
685,jazzvestibular,36,4.0
686,joaorosa,24,1.0
687,joaorosa,32,1.0
