,namespace,Semana,Porcentagem de visualização de relatórios de SE por alunos
0,colegioiguatemy,25,1.0
1,novoemlasalle,34,1.0
2,colegiosete,25,1.0
3,colegiosantamaria,34,1.0
4,sasadapt,25,1.0
5,colegiouirapuru,28,1.0
6,portinari,27,0.9037735849056604
7,adrianochan,31,0.8580596451491129
8,meta,32,0.8421052631578947
9,cursosazambuja,25,0.810304449648712
10,colegiopremium,24,0.8061224489795918
11,portinari,31,0.7952586206896551
12,nucleocriativo,33,0.79296875
13,cursosazambuja,27,0.7896494156928213
14,cursosazambuja,26,0.7807692307692308
15,spdacruz,31,0.7402597402597403
16,cursosazambuja,28,0.7379807692307693
17,nucleocriativo,35,0.7378640776699029
18,colegiouirapuru,25,0.7272727272727273
19,spdacruz,24,0.7142857142857143
20,portinari,30,0.7035175879396985
21,colegiouirapuru,34,0.697428139183056
22,nucleocriativo,34,0.6862745098039216
23,nucleocriativo,32,0.6797385620915033
24,cursosazambuja,24,0.6649484536082474
25,cursosazambuja,34,0.654320987654321
26,spdacruz,32,0.6494413407821229
27,cursosazambuja,35,0.6384615384615384
28,colegiouirapuru,35,0.6352941176470588
29,santamariacn,31,0.631578947368421
30,nucleocriativo,36,0.6310679611650486
31,adrianochan,34,0.6291600633914421
32,colegiouirapuru,29,0.6228813559322034
33,liessin,27,0.6190476190476191
34,adrianochan,33,0.6003028009084027
35,cursosazambuja,30,0.583732057416268
36,portinari,32,0.5720279720279721
37,porto,31,0.5675675675675675
38,valdemiracoelho,33,0.5641025641025641
39,sasadapt,33,0.5625
40,colegioguilhermedealmeida,26,0.5610425240054869
41,porto,32,0.5603864734299517
42,portinari,24,0.5595238095238095
43,portinari,28,0.5481611208406305
44,alpha,31,0.536795471326606
45,escolaceciliameireles,29,0.5172413793103449
46,francobrasileiro,27,0.515625
47,cursosazambuja,32,0.5115740740740741
48,adrianochan,25,0.5093023255813953
49,eccos,27,0.5
50,positivoon,27,0.5
51,gamt,26,0.4891304347826087
52,eacorcovado,31,0.4849315068493151
53,colegioguilhermedealmeida,33,0.48406779661016947
54,alpha,26,0.4661016949152542
55,porto,30,0.4646017699115044
56,esperanza,34,0.46153846153846156
57,gamt,25,0.45977011494252873
58,invictus,32,0.45454545454545453
59,portinari,29,0.45098039215686275
60,colegiouirapuru,33,0.4462242562929062
61,cursobase,31,0.4444444444444444
62,spdacruz,25,0.43601895734597157
63,adrianochan,24,0.43500866551126516
64,spdacruz,34,0.42702702702702705
65,porto,33,0.42151162790697677
66,murilorocha,24,0.42105263157894735
67,cursosazambuja,31,0.41904761904761906
68,murilorocha,33,0.4172661870503597
69,acessoalmirantetamandare,25,0.4084507042253521
70,institutoeurofarma,30,0.40085287846481876
71,mariliamattoso,34,0.4
72,colegiouirapuru,36,0.3945720250521921
73,professoratalitha,24,0.391304347826087
74,adrianochan,35,0.3893666927286943
75,cursosazambuja,29,0.38461538461538464
76,acessohauer,26,0.37551020408163266
77,integra,27,0.375
78,colegioensitec,24,0.3717948717948718
79,ceprimeiromundo,24,0.37168141592920356
80,eacorcovado,25,0.3685220729366603
81,colegiopremium,35,0.3673469387755102
82,institutoeurofarma,33,0.36691542288557216
83,colegiouirapuru,24,0.36683417085427134
84,colegiobilac,31,0.36363636363636365
85,ceprimeiromundo,34,0.3611111111111111
86,colegiouirapuru,31,0.35926773455377575
87,invictus,27,0.35714285714285715
88,liessinbarra,24,0.35714285714285715
89,santamariacn,34,0.3508771929824561
90,portinari,35,0.3497615262321145
91,portinari,33,0.34951456310679613
92,eacorcovado,34,0.34713855421686746
93,porto,25,0.3457850579304834
94,mariliamattoso,24,0.3412698412698413
95,colegioguilhermedealmeida,34,0.33881748071979434
96,porto,35,0.33856893542757416
97,acessohauer,30,0.3333333333333333
98,colegiobilac,28,0.3318872017353579
99,mariliamattoso,31,0.3313008130081301
100,colegiobetelbrasileirosp,25,0.3284132841328413
101,antoniomelo,32,0.32786885245901637
102,overmossoro,31,0.32653061224489793
103,colegiocb,30,0.32608695652173914
104,isem,30,0.32
105,colegiocb,31,0.3193069306930693
106,overzonanorte,33,0.3188405797101449
107,portinari,34,0.31843575418994413
108,acessohauer,34,0.3170731707317073
109,santamariacn,33,0.3157894736842105
110,eacorcovado,33,0.31561461794019935
111,murilorocha,34,0.3142857142857143
112,faculdadeflamingo,31,0.3133514986376022
113,colegiojoaopaulo,31,0.30835734870317005
114,colegiobilac,27,0.3073286052009456
115,colegiojoaopaulo,24,0.3064516129032258
116,cursoenfase,32,0.30456852791878175
117,cursosazambuja,36,0.3041095890410959
118,colegiocb,24,0.29838709677419356
119,colegioiguatemy,33,0.294921875
120,invictus,35,0.29411764705882354
121,cursosazambuja,33,0.29190751445086704
122,pioxi,26,0.2903225806451613
123,alpha,30,0.2898550724637681
124,eacorcovado,26,0.2890625
125,mariliamattoso,30,0.2868525896414343
126,ciadosaber,34,0.2857142857142857
127,abdiasmartins,33,0.2815884476534296
128,acessoboqueirao,25,0.28125
129,santamariacn,35,0.2807017543859649
130,colegiojoaopaulo,25,0.2805755395683453
131,integradaeducativa,31,0.2804878048780488
132,acessoalmirantetamandare,26,0.28
133,mariliamattoso,33,0.27586206896551724
134,escolaceciliameireles,30,0.27586206896551724
135,colegioguilhermedealmeida,30,0.27586206896551724
136,colegiobilac,32,0.2755102040816326
137,cursobase,32,0.27419354838709675
138,colegiosete,29,0.27306903622693096
139,colegiodasamericas,24,0.27294685990338163
140,colegiofuturageracao,25,0.2727272727272727
141,colegiodasamericas,34,0.27167630057803466
142,colegiobilac,29,0.27115384615384613
143,colegiosete,32,0.26980038634900194
144,colegioguilhermedealmeida,32,0.2673913043478261
145,stellamarisjuveve,31,0.26488352027610007
146,acessohauer,33,0.26455026455026454
147,colegiocb,32,0.2643884892086331
148,porto,26,0.2630048465266559
149,antoniomelo,33,0.26229508196721313
150,colegioensitec,29,0.2619647355163728
151,colegiodasamericas,35,0.2584856396866841
152,colegioiguatemy,24,0.25738396624472576
153,colegiobilac,33,0.25705329153605017
154,acessoalmirantetamandare,31,0.2553191489361702
155,colegiosete,24,0.2545454545454545
156,invictus,25,0.2545454545454545
157,colegioensitec,34,0.2540983606557377
158,acessohauer,35,0.25396825396825395
159,jazzvestibular,34,0.25
160,overmossoro,35,0.25
161,escolaceciliameireles,28,0.25
162,calculo2,34,0.25
163,invictus,24,0.25
164,acessocampolargo,34,0.2446043165467626
165,liessin,26,0.24444444444444444
166,integra,25,0.24390243902439024
167,porto,27,0.24251069900142652
168,colegioensitec,28,0.24043715846994534
169,mariliamattoso,36,0.24
170,colegiosete,34,0.23809523809523808
171,pioxi,33,0.23776223776223776
172,francobrasileiro,31,0.234375
173,colegioeag,30,0.23404255319148937
174,integradaeducativa,33,0.23022847100175747
175,gamt,32,0.22950819672131148
176,casdinhosjc,33,0.22745098039215686
177,alpha,32,0.2260677466863034
178,anossaatmosfera,27,0.22486772486772486
179,colegiojoaopaulo,32,0.22340425531914893
180,arco,31,0.2222222222222222
181,eacorcovado,35,0.2214765100671141
182,colegioensitec,35,0.22033898305084745
183,anossaatmosfera,25,0.22006472491909385
184,stellamarisjuveve,24,0.21929824561403508
185,integradaeducativa,26,0.21875
186,colegioiguatemy,32,0.2182741116751269
187,mariliamattoso,35,0.2182741116751269
188,spdacruz,33,0.21787709497206703
189,colegiosete,35,0.21511017838405036
190,pioxi,32,0.2146341463414634
191,acessopinhais,32,0.21455938697318008
192,liessinbarra,27,0.21428571428571427
193,progressaoig,24,0.21367521367521367
194,eacorcovado,24,0.21248499399759904
195,colegioeag,24,0.21168582375478928
196,profederal,30,0.21121402580218326
197,acessosjpinhais,31,0.21112006446414183
198,colegioiguatemy,34,0.21089385474860337
199,ceprimeiromundo,27,0.20994475138121546
200,meta,31,0.20833333333333334
201,colegioensitec,25,0.20612813370473537
202,valdemiracoelho,31,0.20588235294117646
203,porto,24,0.20512820512820512
204,progressaoig,25,0.20512820512820512
205,santoamerico,30,0.20458083166555482
206,valdemiracoelho,36,0.20408163265306123
207,francobrasileiro,26,0.203125
208,acessoboqueirao,33,0.2028985507246377
209,acessofazendariogrande,26,0.2
210,ceespacolivre,35,0.2
211,colegiobilac,30,0.2
212,ceespacolivre,32,0.2
213,colegioguilhermedealmeida,24,0.1986970684039088
214,eacorcovado,30,0.19808306709265175
215,acessoalmirantetamandare,24,0.19767441860465115
216,colegioglobal,24,0.19642857142857142
217,colegiosete,31,0.19621749408983452
218,colegiobilac,35,0.19463087248322147
219,hamiltondarocha,36,0.19433198380566802
220,pioxi,31,0.1935483870967742
221,cats,29,0.19318181818181818
222,faculdadeflamingo,27,0.19148936170212766
223,murilorocha,31,0.1906474820143885
224,colegioensitec,26,0.189873417721519
225,acessocampolargo,24,0.18505338078291814
226,colegiodasamericas,33,0.18341708542713567
227,anossaatmosfera,31,0.1820388349514563
228,acessohauer,31,0.18115942028985507
229,colegiosete,33,0.18057142857142858
230,acessocampolargo,33,0.18032786885245902
231,colegioensitec,31,0.18023255813953487
232,colegioiguatemy,35,0.17963386727688788
233,acessofazendariogrande,25,0.1786833855799373
234,abdiasmartins,31,0.17857142857142858
235,liessinbarra,26,0.17857142857142858
236,psantagema,30,0.17777777777777778
237,colegiocb,34,0.17763157894736842
238,colegiobilac,36,0.17647058823529413
239,beityaacov,32,0.17647058823529413
240,anossaatmosfera,26,0.17637540453074432
241,integradaeducativa,25,0.17557251908396945
242,colegiointegral,27,0.17550058892815076
243,colegiobilac,34,0.174496644295302
244,psantagema,25,0.17293233082706766
245,overmarciliofurtado,32,0.1724137931034483
246,eccos,24,0.17167381974248927
247,progressaodc,28,0.17142857142857143
248,colegioensitec,30,0.1712707182320442
249,acessoalmirantetamandare,32,0.17117117117117117
250,qescola,31,0.1703056768558952
251,faculdadeflamingo,28,0.1702127659574468
252,acessosantafelicidade,31,0.1696969696969697
253,integradaeducativa,34,0.1693121693121693
254,santoamerico,31,0.16806578721946205
255,colegioeag,31,0.16805324459234608
256,acessocampolargo,30,0.16795865633074936
257,acessopinhais,33,0.16714697406340057
258,colegiobilac,24,0.16666666666666666
259,ipdhsolucoes,24,0.16537867078825347
260,acessosjpinhais,34,0.1642512077294686
261,acessocampolargo,31,0.16257668711656442
262,progressaoig,28,0.1623931623931624
263,eacorcovado,32,0.16224814422057265
264,stellamarisaguaverde,26,0.16216216216216217
265,integra,31,0.16216216216216217
266,ceespacolivre,25,0.16
267,colegiocb,25,0.15891472868217055
268,overpontanegra,30,0.15827338129496402
269,psantagema,24,0.1571753986332574
270,colegioecursoprogressao,26,0.15714285714285714
271,murilorocha,36,0.15601023017902813
272,psantagema,26,0.1559633027522936
273,colegioguilhermedealmeida,25,0.15555555555555556
274,colegioensitec,37,0.15476190476190477
275,esperanza,36,0.15384615384615385
276,esperanza,35,0.15384615384615385
