,namespace,grade,gerados
1065,sas,0,404.0
91,aescobjetivo,em 1a serie,180.0
1117,testevictorhugo,em 1a serie,150.0
92,aescobjetivo,em 2a serie,108.0
1061,santoamerico,em 3a serie,90.0
605,equipe,0,88.0
1059,santoamerico,em 1a serie,45.0
910,physicsmacapa,ef 7o ano,27.5
728,master,ef 9o ano,15.2
726,master,ef 7o ano,7.68
725,master,ef 6o ano,7.384615384615385
1035,qescola,ef 6o ano,5.0
722,master,ef 3o ano,0.43478260869565216
769,objetivolorena,ef 9o ano,0.0
770,objetivolorena,em 1a serie,0.0
773,objetivolorena,outro,0.0
771,objetivolorena,em 2a serie,0.0
767,objetivolorena,ef 7o ano,0.0
766,objetivolorena,ef 6o ano,0.0
765,objetivolorena,ef 5o ano,0.0
772,objetivolorena,em 3a serie,0.0
764,objetivolorena,ef 4o ano,0.0
763,objetivolorena,0,0.0
768,objetivolorena,ef 8o ano,0.0
776,osequim,0,0.0
774,objetivoteresina,0,0.0
775,oficinadoestudante,outro,0.0
761,nucleocriativo,em 1a serie,0.0
777,overabelcabral,0,0.0
778,overabelcabral,ef 1o ano,0.0
779,overabelcabral,ef 2o ano,0.0
780,overabelcabral,ef 3o ano,0.0
781,overabelcabral,ef 4o ano,0.0
782,overabelcabral,ef 5o ano,0.0
783,overabelcabral,ef 6o ano,0.0
784,overabelcabral,ef 7o ano,0.0
785,overabelcabral,ef 8o ano,0.0
786,overabelcabral,ef 9o ano,0.0
787,overabelcabral,em 1a serie,0.0
788,overabelcabral,em 2a serie,0.0
762,nucleopva,0,0.0
758,nucleocriativo,ef 7o ano,0.0
760,nucleocriativo,ef 9o ano,0.0
734,meta,outro,0.0
740,montessori,em 1a serie,0.0
739,monsenhorgoncalo,outro,0.0
738,moaciralves,ef 9o ano,0.0
737,moaciralves,ef 8o ano,0.0
736,minhalista,outro,0.0
735,minhalista,0,0.0
733,meta,0,0.0
742,montessori,em 3a serie,0.0
732,master,outro,0.0
731,master,em 3a serie,0.0
730,master,em 2a serie,0.0
729,master,em 1a serie,0.0
727,master,ef 8o ano,0.0
724,master,ef 5o ano,0.0
741,montessori,em 2a serie,0.0
743,mundialfranciscobeltrao,ef 6o ano,0.0
759,nucleocriativo,ef 8o ano,0.0
752,nucleocriativo,ef 1o ano,0.0
790,overjoaopessoa,0,0.0
757,nucleocriativo,ef 6o ano,0.0
756,nucleocriativo,ef 5o ano,0.0
755,nucleocriativo,ef 4o ano,0.0
754,nucleocriativo,ef 3o ano,0.0
753,nucleocriativo,ef 2o ano,0.0
751,novotempo,em 3a serie,0.0
744,murilorocha,0,0.0
750,novotempo,em 2a serie,0.0
749,novotempo,em 1a serie,0.0
748,novotempo,ef 9o ano,0.0
747,novotempo,ef 7o ano,0.0
746,novotempo,0,0.0
745,navegasas,ef 5o ano,0.0
789,overabelcabral,em 3a serie,0.0
0,acessoalmirantetamandare,ef 2o ano,0.0
791,overjoaopessoa,ef 9o ano,0.0
828,overpontanegra,ef 3o ano,0.0
844,overzonanorte,ef 6o ano,0.0
843,overzonanorte,ef 5o ano,0.0
842,overzonanorte,ef 4o ano,0.0
841,overzonanorte,ef 3o ano,0.0
840,overzonanorte,ef 2o ano,0.0
839,overzonanorte,ef 1o ano,0.0
838,overzonanorte,0,0.0
837,overpontanegra,em 3a serie,0.0
836,overpontanegra,em 2a serie,0.0
835,overpontanegra,em 1a serie,0.0
834,overpontanegra,ef 9o ano,0.0
833,overpontanegra,ef 8o ano,0.0
832,overpontanegra,ef 7o ano,0.0
831,overpontanegra,ef 6o ano,0.0
830,overpontanegra,ef 5o ano,0.0
845,overzonanorte,ef 7o ano,0.0
846,overzonanorte,ef 8o ano,0.0
847,overzonanorte,ef 9o ano,0.0
856,physicsalcindocacela,ef 9o ano,0.0
862,physicsalmirantebarroso,ef 2o ano,0.0
861,physicsalmirantebarroso,0,0.0
860,physicsalcindocacela,outro,0.0
859,physicsalcindocacela,em 3a serie,0.0
858,physicsalcindocacela,em 2a serie,0.0
857,physicsalcindocacela,em 1a serie,0.0
855,physicsalcindocacela,0,0.0
848,overzonanorte,em 1a serie,0.0
854,pesenglish,0,0.0
853,pearson,em 3a serie,0.0
852,pauloviana,ef 9o ano,0.0
851,overzonanorte,outro,0.0
850,overzonanorte,em 3a serie,0.0
849,overzonanorte,em 2a serie,0.0
829,overpontanegra,ef 4o ano,0.0
827,overpontanegra,ef 2o ano,0.0
723,master,ef 4o ano,0.0
826,overpontanegra,ef 1o ano,0.0
807,overmarciliofurtado,em 1a serie,0.0
806,overmarciliofurtado,ef 9o ano,0.0
805,overmarciliofurtado,ef 8o ano,0.0
804,overmarciliofurtado,ef 7o ano,0.0
803,overmarciliofurtado,ef 6o ano,0.0
802,overmarciliofurtado,0,0.0
801,overlimaesilva,ef 5o ano,0.0
800,overlimaesilva,ef 4o ano,0.0
799,overlimaesilva,ef 3o ano,0.0
798,overlimaesilva,ef 2o ano,0.0
797,overlimaesilva,ef 1o ano,0.0
796,overlimaesilva,0,0.0
795,overjoaopessoa,outro,0.0
794,overjoaopessoa,em 3a serie,0.0
793,overjoaopessoa,em 2a serie,0.0
808,overmarciliofurtado,em 2a serie,0.0
809,overmarciliofurtado,em 3a serie,0.0
810,overmossoro,0,0.0
819,overmossoro,em 1a serie,0.0
825,overpontanegra,0,0.0
824,overnascimentodecastro,outro,0.0
823,overnascimentodecastro,0,0.0
822,overmossoro,outro,0.0
821,overmossoro,em 3a serie,0.0
820,overmossoro,em 2a serie,0.0
818,overmossoro,ef 9o ano,0.0
811,overmossoro,ef 1o ano,0.0
817,overmossoro,ef 8o ano,0.0
816,overmossoro,ef 7o ano,0.0
815,overmossoro,ef 6o ano,0.0
814,overmossoro,ef 5o ano,0.0
