,namespace,grade,Porcentagem de exercícios de AAs em relatórios de AD
0,aescobjetivo,em 1a serie,0.57
1,aescobjetivo,em 2a serie,0.16
2,sas,0,0.29
3,master,ef 9o ano,0.08
4,santoamerico,em 3a serie,0.07
5,master,ef 6o ano,0.07
6,master,ef 7o ano,0.07
7,santoamerico,em 1a serie,0.04
8,testevictorhugo,em 1a serie,1.0
9,equipe,0,1.0
10,physicsmacapa,ef 7o ano,0.17
11,master,ef 3o ano,0.0
12,qescola,ef 6o ano,0.23
13,objetivolorena,outro,0.0
14,objetivolorena,ef 9o ano,0.0
15,objetivolorena,em 1a serie,0.0
16,objetivolorena,em 2a serie,0.0
17,objetivolorena,ef 7o ano,0.0
18,objetivolorena,ef 6o ano,0.0
19,objetivolorena,ef 5o ano,0.0
20,objetivolorena,em 3a serie,0.0
21,objetivolorena,ef 4o ano,0.0
22,objetivolorena,0,0.0
23,objetivolorena,ef 8o ano,0.0
24,osequim,0,0.0
25,objetivoteresina,0,0.0
26,oficinadoestudante,outro,0.0
27,nucleocriativo,em 1a serie,0.0
28,overabelcabral,0,0.0
29,overabelcabral,ef 1o ano,0.0
30,overabelcabral,ef 2o ano,0.0
31,overabelcabral,ef 3o ano,0.0
32,overabelcabral,ef 4o ano,0.0
33,overabelcabral,ef 5o ano,0.0
34,overabelcabral,ef 6o ano,0.0
35,overabelcabral,ef 7o ano,0.0
36,overabelcabral,ef 8o ano,0.0
37,overabelcabral,ef 9o ano,0.0
38,overabelcabral,em 1a serie,0.0
39,overabelcabral,em 2a serie,0.0
40,nucleopva,0,0.0
41,nucleocriativo,ef 7o ano,0.0
42,nucleocriativo,ef 9o ano,0.0
43,meta,outro,0.0
44,montessori,em 1a serie,0.0
45,monsenhorgoncalo,outro,0.0
46,moaciralves,ef 9o ano,0.0
47,moaciralves,ef 8o ano,0.0
48,minhalista,outro,0.0
49,minhalista,0,0.0
50,meta,0,0.0
51,montessori,em 3a serie,0.0
52,master,outro,0.0
53,master,em 3a serie,0.0
54,master,em 2a serie,0.0
55,master,em 1a serie,0.0
56,master,ef 8o ano,0.0
57,master,ef 5o ano,0.0
58,montessori,em 2a serie,0.0
59,mundialfranciscobeltrao,ef 6o ano,0.0
60,nucleocriativo,ef 8o ano,0.0
61,nucleocriativo,ef 1o ano,0.0
62,overjoaopessoa,0,0.0
63,nucleocriativo,ef 6o ano,0.0
64,nucleocriativo,ef 5o ano,0.0
65,nucleocriativo,ef 4o ano,0.0
66,nucleocriativo,ef 3o ano,0.0
67,nucleocriativo,ef 2o ano,0.0
68,novotempo,em 3a serie,0.0
69,murilorocha,0,0.0
70,novotempo,em 2a serie,0.0
71,novotempo,em 1a serie,0.0
72,novotempo,ef 9o ano,0.0
73,novotempo,ef 7o ano,0.0
74,novotempo,0,0.0
75,navegasas,ef 5o ano,0.0
76,overabelcabral,em 3a serie,0.0
77,acessoalmirantetamandare,ef 2o ano,0.0
