,namespace,grade,Porcentagem de AAs com classificação de habilidades iniciada,Porcentagem de AAs com classificação de habilidades finalizada,Porcentagem de AAs com classificação de habilidades finalizada (ao menos foi iniciada)
0,acessoalmirantetamandare,ef 3o ano,0.0,0.0,0.0
1,acessoalmirantetamandare,ef 5o ano,0.0,0.0,0.0
2,acessoalmirantetamandare,ef 6o ano,0.0,0.0,0.0
3,acessoalmirantetamandare,ef 7o ano,0.0,0.0,0.0
4,acessoalmirantetamandare,ef 8o ano,0.0,0.0,0.0
5,acessoalmirantetamandare,ef 9o ano,0.0,0.0,0.0
6,acessoalmirantetamandare,em 1a serie,0.0,0.0,0.0
7,acessoalmirantetamandare,em 2a serie,0.0,0.0,0.0
8,acessoalmirantetamandare,em 3a serie,0.0,0.0,0.0
9,acessoboqueirao,ef 8o ano,0.0,0.0,0.0
10,acessoboqueirao,ef 9o ano,0.0,0.0,0.0
11,acessoboqueirao,em 1a serie,0.0,0.0,0.0
12,acessoboqueirao,em 2a serie,0.0,0.0,0.0
13,acessoboqueirao,em 3a serie,0.0,0.0,0.0
14,acessoboqueirao,outro,0.0,0.0,0.0
15,acessocampolargo,ef 6o ano,0.0,0.0,0.0
16,acessocampolargo,ef 7o ano,0.0,0.0,0.0
17,acessocampolargo,ef 8o ano,0.0,0.0,0.0
18,acessocampolargo,ef 9o ano,0.0,0.0,0.0
19,acessocampolargo,em 1a serie,0.0,0.0,0.0
20,acessocampolargo,em 2a serie,0.0,0.0,0.0
21,acessocampolargo,em 3a serie,0.0,0.0,0.0
22,acessocampolargo,outro,0.0,0.0,0.0
23,acessocampolargokids,ef 3o ano,0.0,0.0,0.0
24,acessocampolargokids,ef 5o ano,0.0,0.0,0.0
25,acessofazendariogrande,ef 3o ano,0.0,0.0,0.0
26,acessofazendariogrande,ef 4o ano,0.0,0.0,0.0
27,acessofazendariogrande,ef 5o ano,0.0,0.0,0.0
28,acessofazendariogrande,ef 6o ano,0.0,0.0,0.0
29,acessofazendariogrande,ef 7o ano,0.0,0.0,0.0
30,acessofazendariogrande,ef 8o ano,0.0,0.0,0.0
31,acessofazendariogrande,ef 9o ano,0.0,0.0,0.0
32,acessofazendariogrande,em 1a serie,0.0,0.0,0.0
33,acessofazendariogrande,em 2a serie,0.0,0.0,0.0
34,acessofazendariogrande,em 3a serie,0.0,0.0,0.0
35,acessofazendariogrande,outro,0.0,0.0,0.0
36,acessohauer,ef 2o ano,0.0,0.0,0.0
37,acessohauer,ef 4o ano,0.0,0.0,0.0
38,acessohauer,ef 5o ano,0.0,0.0,0.0
39,acessohauer,ef 6o ano,0.0,0.0,0.0
40,acessohauer,ef 7o ano,0.0,0.0,0.0
41,acessopinhais,em 1a serie,0.0,0.0,0.0
42,acessopinhais,em 2a serie,0.0,0.0,0.0
43,acessopinhais,em 3a serie,0.0,0.0,0.0
44,acessopinhais,outro,0.0,0.0,0.0
45,acessosantafelicidade,ef 3o ano,0.0,0.0,0.0
46,acessosantafelicidade,ef 4o ano,0.0,0.0,0.0
47,acessosantafelicidade,ef 5o ano,0.0,0.0,0.0
48,acessosantafelicidade,ef 6o ano,0.0,0.0,0.0
49,acessosantafelicidade,ef 7o ano,0.0,0.0,0.0
50,acessosantafelicidade,ef 8o ano,0.0,0.0,0.0
51,acessosantafelicidade,ef 9o ano,0.0,0.0,0.0
52,acessosantafelicidade,em 1a serie,0.0,0.0,0.0
53,acessosantafelicidade,em 2a serie,0.0,0.0,0.0
54,acessosantafelicidade,em 3a serie,0.0,0.0,0.0
55,acessosantafelicidade,outro,0.0,0.0,0.0
56,acessosjpinhais,ef 2o ano,0.0,0.0,0.0
57,acessosjpinhais,ef 5o ano,0.0,0.0,0.0
58,acessosjpinhais,ef 6o ano,0.0,0.0,0.0
59,acessosjpinhais,ef 7o ano,0.0,0.0,0.0
60,acessosjpinhais,ef 8o ano,0.0,0.0,0.0
61,acessosjpinhais,ef 9o ano,0.0,0.0,0.0
62,acessosjpinhais,em 1a serie,0.0,0.0,0.0
63,acessosjpinhais,em 2a serie,0.0,0.0,0.0
64,acessosjpinhais,em 3a serie,0.0,0.0,0.0
65,acessosjpinhais,outro,0.0,0.0,0.0
66,adrianochan,0,0.0,0.0,0.0
67,adrianochan,outro,0.0,0.0,0.0
68,aescobjetivo,0,0.0,0.0,0.0
69,aescobjetivo,ef 3o ano,0.0,0.0,0.0
70,aescobjetivo,ef 4o ano,0.0,0.0,0.0
71,aescobjetivo,ef 5o ano,0.0,0.0,0.0
72,aescobjetivo,ef 6o ano,0.06666666666666667,0.0,0.0
73,aescobjetivo,ef 7o ano,0.0,0.0,0.0
74,aescobjetivo,ef 8o ano,0.0,0.0,0.0
75,aescobjetivo,ef 9o ano,0.0,0.0,0.0
76,aescobjetivo,em 1a serie,0.0,0.0,0.0
77,aescobjetivo,em 2a serie,0.0,0.0,0.0
78,aescobjetivo,em 3a serie,0.0,0.0,0.0
79,amadeus,0,0.0,0.0,0.0
80,amadeus,ef 2o ano,0.0,0.0,0.0
81,amadeus,ef 3o ano,0.0,0.0,0.0
82,amadeus,ef 4o ano,0.0,0.0,0.0
83,amadeus,ef 5o ano,0.0,0.0,0.0
84,amadeus,ef 6o ano,0.0,0.0,0.0
85,amadeus,ef 7o ano,0.0,0.0,0.0
86,amadeus,ef 8o ano,0.0,0.0,0.0
