,namespace,gerados
219,sas,202.0
114,equipe,88.0
10,aescobjetivo,38.57142857142857
231,testevictorhugo,30.0
217,santoamerico,7.826086956521739
188,physicsmacapa,5.0
155,master,2.036363636363636
209,qescola,0.20833333333333334
153,maplebearslz,0.0
154,mariliamattoso,0.0
161,mundialfranciscobeltrao,0.0
156,meta,0.0
157,minhalista,0.0
158,moaciralves,0.0
159,monsenhorgoncalo,0.0
152,magister,0.0
151,macvest,0.0
160,montessori,0.0
0,acessoalmirantetamandare,0.0
163,navegasas,0.0
162,murilorocha,0.0
149,liessinbarra,0.0
164,novotempo,0.0
165,nucleocriativo,0.0
166,nucleopva,0.0
167,objetivolorena,0.0
168,objetivoteresina,0.0
169,oficinadoestudante,0.0
170,osequim,0.0
171,overabelcabral,0.0
172,overjoaopessoa,0.0
173,overlimaesilva,0.0
174,overmarciliofurtado,0.0
150,litteratus,0.0
145,itamarati,0.0
148,lasalleaguasclaras,0.0
147,joaobelem,0.0
122,esperanza,0.0
123,estantemagica,0.0
124,faculdadeflamingo,0.0
125,fleming,0.0
126,forumcultural,0.0
127,francobrasileiro,0.0
128,fundacaobradesco,0.0
129,galois,0.0
130,garra,0.0
131,gerabixo,0.0
132,idaam,0.0
133,implantacao,0.0
134,insa,0.0
135,institutoauxiliadoradf,0.0
136,institutocristao,0.0
137,institutoeurofarma,0.0
138,institutosaojose,0.0
139,integra,0.0
140,integradaeducativa,0.0
141,invictus,0.0
142,iracemarufino,0.0
143,isem,0.0
144,ismart,0.0
176,overnascimentodecastro,0.0
146,jazzvestibular,0.0
175,overmossoro,0.0
179,pauloviana,0.0
177,overpontanegra,0.0
178,overzonanorte,0.0
208,psantagema,0.0
210,qescola.qmagico.com.br,0.0
211,rede,0.0
212,saberviver,0.0
213,saea,0.0
214,sagradafamilia,0.0
215,santadoroteia,0.0
216,santamariacn,0.0
218,santoantonio,0.0
220,sasadapt,0.0
221,seletivoeducallis,0.0
222,simbios,0.0
223,simuladoita,0.0
224,sobral,0.0
225,souhabilis,0.0
226,spdacruz,0.0
227,stellamarisaguaverde,0.0
228,stellamarisjuveve,0.0
229,stellamarisxaxim,0.0
230,studos,0.0
232,universitariolondrina,0.0
233,universobarcarena,0.0
234,universos,0.0
235,villalobos,0.0
236,vitae,0.0
207,provaspoliedro,0.0
206,progressaoig,0.0
205,progressaodc,0.0
191,pioxiicolegio,0.0
120,escolamaster,0.0
180,pearson,0.0
181,pesenglish,0.0
182,physicsalcindocacela,0.0
183,physicsalmirantebarroso,0.0
184,physicsaugustomontenegro,0.0
185,physicsbatistacampos,0.0
186,physicscidadenova,0.0
187,physicsconselheirofurtado,0.0
189,physicsumarizal,0.0
190,pioxi,0.0
192,plannetaosasco,0.0
204,profederal,0.0
193,plannetataboao,0.0
194,poliedro,0.0
