,namespace,Porcentagem de exercícios de AAs em relatórios de AD
0,aescobjetivo,0.1
1,master,0.01
2,santoamerico,0.02
3,sas,0.29
4,testevictorhugo,1.0
5,equipe,1.0
6,physicsmacapa,0.02
7,qescola,0.01
8,maplebearslz,0.0
9,mariliamattoso,0.0
10,mundialfranciscobeltrao,0.0
11,magister,0.0
12,meta,0.0
13,minhalista,0.0
14,moaciralves,0.0
15,monsenhorgoncalo,0.0
16,macvest,0.0
17,montessori,0.0
18,acessoalmirantetamandare,0.0
19,navegasas,0.0
20,murilorocha,0.0
21,liessinbarra,0.0
22,novotempo,0.0
23,nucleocriativo,0.0
24,nucleopva,0.0
25,objetivolorena,0.0
26,objetivoteresina,0.0
27,oficinadoestudante,0.0
28,osequim,0.0
29,overabelcabral,0.0
30,overjoaopessoa,0.0
31,overlimaesilva,0.0
32,overmarciliofurtado,0.0
33,litteratus,0.0
34,itamarati,0.0
35,lasalleaguasclaras,0.0
36,joaobelem,0.0
37,esperanza,0.0
38,estantemagica,0.0
39,faculdadeflamingo,0.0
40,fleming,0.0
41,forumcultural,0.0
42,francobrasileiro,0.0
43,fundacaobradesco,0.0
44,galois,0.0
45,garra,0.0
46,gerabixo,0.0
47,idaam,0.0
48,implantacao,0.0
49,insa,0.0
50,institutoauxiliadoradf,0.0
51,institutocristao,0.0
52,institutoeurofarma,0.0
53,institutosaojose,0.0
54,integra,0.0
55,integradaeducativa,0.0
56,invictus,0.0
57,iracemarufino,0.0
58,isem,0.0
59,ismart,0.0
60,overnascimentodecastro,0.0
61,jazzvestibular,0.0
62,overmossoro,0.0
63,pauloviana,0.0
64,overpontanegra,0.0
65,overzonanorte,0.0
66,psantagema,0.0
67,qescola.qmagico.com.br,0.0
68,rede,0.0
69,saberviver,0.0
70,saea,0.0
71,sagradafamilia,0.0
72,santadoroteia,0.0
73,santamariacn,0.0
74,santoantonio,0.0
75,sasadapt,0.0
76,seletivoeducallis,0.0
77,simbios,0.0
78,simuladoita,0.0
79,sobral,0.0
80,souhabilis,0.0
81,spdacruz,0.0
82,stellamarisaguaverde,0.0
83,stellamarisjuveve,0.0
84,stellamarisxaxim,0.0
85,studos,0.0
86,universitariolondrina,0.0
87,universobarcarena,0.0
88,universos,0.0
89,villalobos,0.0
90,vitae,0.0
91,provaspoliedro,0.0
92,progressaoig,0.0
93,progressaodc,0.0
94,pioxiicolegio,0.0
95,escolamaster,0.0
96,pearson,0.0
97,pesenglish,0.0
98,physicsalcindocacela,0.0
99,physicsalmirantebarroso,0.0
100,physicsaugustomontenegro,0.0
101,physicsbatistacampos,0.0
102,physicscidadenova,0.0
103,physicsconselheirofurtado,0.0
104,physicsumarizal,0.0
105,pioxi,0.0
106,plannetaosasco,0.0
107,profederal,0.0
108,plannetataboao,0.0
109,poliedro,0.0
110,poliedropv,0.0
111,poliedrotreinamento,0.0
112,portinari,0.0
113,porto,0.0
114,portoseguro,0.0
115,positivoon,0.0
116,prevest,0.0
117,primeirodemaio,0.0
118,prismapatrocinio,0.0
119,escprogressiva,0.0
120,escoladofuturo,0.0
121,acessoboqueirao,0.0
122,colegiobatistaindependente,0.0
123,ceespacolivre,0.0
124,cem,0.0
125,ceprimeiromundo,0.0
126,charlesdarwin,0.0
127,ciadosaber,0.0
128,cmdpii,0.0
129,cnslpb,0.0
130,cognitivo,0.0
131,colegioalphaunis,0.0
132,colegioanchietai,0.0
133,colegioanchietaii,0.0
134,colegioarena,0.0
135,colegiobetelbrasileirosp,0.0
136,colegiofuturageracao,0.0
137,colegiobianguloiv,0.0
138,colegiobilac,0.0
139,colegiobrasilia,0.0
140,colegiocb,0.0
141,colegiocognos,0.0
142,colegiodasamericas,0.0
143,colegiodompedrosegundo,0.0
144,colegioeag,0.0
145,colegioecursodesafio,0.0
146,colegioecursoprogressao,0.0
147,colegioeducallis,0.0
148,colegioensitec,0.0
149,cecbdf,0.0
150,ceabb,0.0
151,cbpdigital,0.0
152,cats,0.0
153,acessocampolargo,0.0
154,acessocampolargokids,0.0
155,acessofazendariogrande,0.0
156,acessohauer,0.0
157,acessopinhais,0.0
158,acessosantafelicidade,0.0
159,acessosjpinhais,0.0
160,adrianochan,0.0
161,alfacembilingue,0.0
162,amadeus,0.0
163,amais,0.0
164,amaisteste,0.0
165,anchietaba,0.0
166,apogeustoantonio2,0.0
167,aprovest,0.0
168,arena,0.0
169,arlindocavalcanti,0.0
170,beityaacov,0.0
171,bertelsmann,0.0
172,brasilcursinhos,0.0
173,calculo2,0.0
174,camerinocursos,0.0
175,casdinhosjc,0.0
176,casdvest,0.0
177,castelobruxo,0.0
178,colegioflamingo,0.0
179,colegioglobal,0.0
180,escoladinamicaiturama,0.0
181,dommga,0.0
182,cparaiso,0.0
183,crb,0.0
184,crescercampinas,0.0
185,cursinhoeach,0.0
186,cursobase,0.0
187,cursoenfase,0.0
188,cursoisfera,0.0
189,cursoleopoldo,0.0
190,cursoprogressao,0.0
191,cursosazambuja,0.0
192,dante,0.0
193,deltaeducacional,0.0
194,domus,0.0
195,colegioguilhermedealmeida,0.0
196,eacorcovado,0.0
197,eccos,0.0
198,educamais,0.0
199,educandarioterciocorreia,0.0
200,educarse,0.0
201,eduqo,0.0
202,einsteinassis,0.0
203,elitecuritibaemilianoperneta,0.0
204,eluneonline,0.0
205,escola,0.0
206,escolaceciliameireles,0.0
207,escoladeimpacto,0.0
208,cotemig,0.0
209,coopermundi,0.0
210,contemporaneolagoanova,0.0
211,contemporaneocidadeverde,0.0
212,colegioiguatemy,0.0
213,colegiointegral,0.0
214,colegiojoaopaulo,0.0
215,colegioliceu,0.0
216,colegiomagnum,0.0
217,colegiomodelo,0.0
218,colegiomundial,0.0
219,colegionobre,0.0
220,colegionovageracao,0.0
221,colegionovopatio,0.0
222,colegioplanck,0.0
223,colegiopremium,0.0
224,colegioprogresso,0.0
225,colegioradar,0.0
226,colegioriobranco,0.0
227,colegiosantamaria,0.0
228,colegioser,0.0
229,colegiosete,0.0
230,colegioshalomoficial,0.0
231,colegiouirapuru,0.0
232,colegiouniverso,0.0
233,colegioup,0.0
234,colsantacatarinape,0.0
235,conexaosaber,0.0
236,contemporaneo,0.0
237,wilsondeandradebarreto,0.0
