,namespace,Porcentagem de AAs com classificação de habilidades iniciada,Porcentagem de AAs com classificação de habilidades finalizada,Porcentagem de AAs com classificação de habilidades finalizada (ao menos foi iniciada)
0,acessoalmirantetamandare,0.0,0.0,0.0
1,acessoboqueirao,0.0,0.0,0.0
2,acessocampolargo,0.0,0.0,0.0
3,acessocampolargokids,0.0,0.0,0.0
4,acessofazendariogrande,0.0,0.0,0.0
5,acessohauer,0.0,0.0,0.0
6,acessopinhais,0.0,0.0,0.0
7,acessosantafelicidade,0.0,0.0,0.0
8,acessosjpinhais,0.0,0.0,0.0
9,adrianochan,0.0,0.0,0.0
10,aescobjetivo,0.009523809523809525,0.0,0.0
11,amadeus,0.0,0.0,0.0
12,amais,0.0,0.0,0.0
13,apogeustoantonio2,0.0,0.0,0.0
14,beityaacov,0.0,0.0,0.0
15,brasilcursinhos,0.0,0.0,0.0
16,casdinhosjc,0.0,0.0,0.0
17,cats,0.0,0.0,0.0
18,cbpdigital,0.02702702702702703,0.0,0.0
19,ceabb,0.0,0.0,0.0
20,ceespacolivre,0.03333333333333333,0.0,0.0
21,cem,0.0,0.0,0.0
22,ceprimeiromundo,0.0,0.0,0.0
23,ciadosaber,0.0,0.0,0.0
24,cmdpii,0.0,0.0,0.0
25,cnslpb,0.0,0.0,0.0
26,colegioalphaunis,0.0,0.0,0.0
27,colegioarena,0.0,0.0,0.0
28,colegiobatistaindependente,0.0,0.0,0.0
29,colegiobetelbrasileirosp,0.0,0.0,0.0
30,colegiobilac,0.0,0.0,0.0
31,colegiobrasilia,0.05078125,0.0,0.0
32,colegiocb,0.030927835051546393,0.0,0.0
33,colegiodasamericas,0.03571428571428571,0.0,0.0
34,colegioeag,0.0,0.0,0.0
35,colegioecursodesafio,0.0,0.0,0.0
36,colegioecursoprogressao,0.0,0.0,0.0
37,colegioeducallis,0.024390243902439025,0.0,0.0
38,colegioensitec,0.0,0.0,0.0
39,colegioflamingo,0.0,0.0,0.0
40,colegiofuturageracao,0.0,0.0,0.0
41,colegioglobal,0.0,0.0,0.0
42,colegioguilhermedealmeida,0.0,0.0,0.0
43,colegioiguatemy,0.0,0.0,0.0
44,colegiointegral,0.018867924528301886,0.0,0.0
45,colegiojoaopaulo,0.0,0.0,0.0
46,colegioliceu,0.0,0.0,0.0
47,colegiomagnum,0.0,0.0,0.0
48,colegionobre,0.0,0.0,0.0
49,colegionovageracao,0.25,0.0,0.0
50,colegioplanck,0.013157894736842105,0.0,0.0
51,colegiopremium,0.0,0.0,0.0
52,colegioser,0.0,0.0,0.0
53,colegiosete,0.0,0.0,0.0
54,colegiouirapuru,0.0,0.0,0.0
55,colegiouniverso,0.0,0.0,0.0
56,colegioup,0.0,0.0,0.0
57,conexaosaber,0.0,0.0,0.0
58,contemporaneocidadeverde,0.0,0.0,0.0
59,contemporaneolagoanova,0.0,0.0,0.0
60,crb,0.006802721088435374,0.0,0.0
61,crescercampinas,0.0,0.0,0.0
62,cursobase,0.0,0.0,0.0
63,cursoenfase,0.0,0.0,0.0
64,cursoisfera,0.0,0.0,0.0
65,cursoleopoldo,0.0,0.0,0.0
66,cursosazambuja,0.0,0.0,0.0
67,deltaeducacional,0.0,0.0,0.0
68,domus,0.0,0.0,0.0
69,eacorcovado,0.0,0.0,0.0
70,eccos,0.07692307692307693,0.02564102564102564,0.3333333333333333
71,educandarioterciocorreia,0.0,0.0,0.0
72,elitecuritibaemilianoperneta,0.0,0.0,0.0
73,eluneonline,0.0,0.0,0.0
74,escolaceciliameireles,0.0,0.0,0.0
75,escolamaster,0.0,0.0,0.0
76,faculdadeflamingo,0.0,0.0,0.0
77,fleming,0.0,0.0,0.0
78,idaam,0.0,0.0,0.0
79,insa,0.0,0.0,0.0
80,institutoauxiliadoradf,0.0,0.0,0.0
81,institutoeurofarma,0.0,0.0,0.0
82,integra,0.0,0.0,0.0
83,integradaeducativa,0.0,0.0,0.0
84,invictus,0.0,0.0,0.0
85,isem,0.0,0.0,0.0
86,itamarati,0.0,0.0,0.0
87,jazzvestibular,1.0,0.0,0.0
88,laboratoriosromildo,0.0,0.0,0.0
89,lasalleaguasclaras,0.0,0.0,0.0
90,litteratus,0.0,0.0,0.0
91,macvest,0.0,0.0,0.0
92,magister,0.0,0.0,0.0
93,maplebearslz,0.02112676056338028,0.0,0.0
94,mariliamattoso,0.0,0.0,0.0
95,master,0.00819672131147541,0.0,0.0
96,meta,0.0,0.0,0.0
97,moaciralves,0.0,0.0,0.0
98,montessori,0.0,0.0,0.0
99,murilorocha,0.0,0.0,0.0
100,novotempo,0.0,0.0,0.0
101,nucleocriativo,0.0,0.0,0.0
102,objetivolorena,0.0,0.0,0.0
103,osequim,0.0,0.0,0.0
104,overabelcabral,0.0,0.0,0.0
105,overjoaopessoa,0.0,0.0,0.0
106,overlimaesilva,0.0,0.0,0.0
107,overmarciliofurtado,0.0,0.0,0.0
108,overmossoro,0.0,0.0,0.0
109,overnascimentodecastro,0.0,0.0,0.0
110,overpontanegra,0.0,0.0,0.0
111,overzonanorte,0.0,0.0,0.0
112,pauloviana,0.0,0.0,0.0
113,physicsalcindocacela,0.0,0.0,0.0
114,physicsalmirantebarroso,0.0,0.0,0.0
115,physicsaugustomontenegro,0.0,0.0,0.0
116,physicsbatistacampos,0.0,0.0,0.0
117,physicscidadenova,0.0,0.0,0.0
118,physicsconselheirofurtado,0.0,0.0,0.0
119,physicsmacapa,0.0,0.0,0.0
120,physicsumarizal,0.0,0.0,0.0
121,pioxi,0.04,0.0,0.0
122,pioxiicolegio,0.0,0.0,0.0
123,plannetataboao,0.0,0.0,0.0
124,poliedro,0.0,0.0,0.0
125,poliedropv,0.0,0.0,0.0
126,poliedrotreinamento,0.0,0.0,0.0
127,portinari,0.0,0.0,0.0
128,porto,0.11570247933884298,0.049586776859504134,0.42857142857142855
129,portoseguro,0.0,0.0,0.0
130,prevest,0.0,0.0,0.0
131,prismapatrocinio,0.0,0.0,0.0
132,profederal,0.0,0.0,0.0
133,progressaodc,0.0,0.0,0.0
134,progressaoig,0.008771929824561403,0.0,0.0
135,provaspoliedro,0.0,0.0,0.0
136,psantagema,0.0,0.0,0.0
137,qescola,0.0,0.0,0.0
138,saea,0.0,0.0,0.0
139,sagradafamilia,0.0,0.0,0.0
