,namespace,Unnamed: 0,Porcentagem de administradores que visualizaram relatórios de AD
0,dommga,1,1.0
1,jardimsaopaulo,3,0.6666666666666666
2,beityaacov,3,0.6666666666666666
3,equipe,2,0.5
4,colegiocb,4,0.5
5,porto,4,0.5
6,saberviver,3,0.3333333333333333
7,cursoleopoldo,3,0.3333333333333333
8,institutoeurofarma,9,0.3333333333333333
9,aescobjetivo,19,0.3157894736842105
10,francobrasileiro,4,0.25
11,colegioalphaunis,4,0.25
12,ceabb,4,0.25
13,ismart,4,0.25
14,colegiomundial,9,0.2222222222222222
15,colegiobilac,5,0.2
16,colegionovageracao,5,0.2
17,magister,16,0.1875
18,physicscidadenova,28,0.17857142857142858
19,ceespacolivre,6,0.16666666666666666
20,physicsalmirantebarroso,39,0.15384615384615385
21,acessosantafelicidade,27,0.14814814814814814
22,colegioflamingo,7,0.14285714285714285
23,souhabilis,7,0.14285714285714285
24,santoamerico,7,0.14285714285714285
25,colegioarena,16,0.125
26,colegioglobal,8,0.125
27,physicsumarizal,25,0.12
28,physicsconselheirofurtado,26,0.11538461538461539
29,stellamarisjuveve,36,0.1111111111111111
30,physicsalcindocacela,27,0.1111111111111111
31,portinari,36,0.1111111111111111
32,casdinhosjc,36,0.1111111111111111
33,spdacruz,9,0.1111111111111111
34,acessoalmirantetamandare,29,0.10344827586206896
35,sas,39,0.10256410256410256
36,acessopinhais,30,0.1
37,eccos,11,0.09090909090909091
38,physicsmacapa,23,0.08695652173913043
39,master,95,0.08421052631578947
40,universitariolondrina,49,0.08163265306122448
41,colegioplanck,16,0.0625
42,acessoboqueirao,34,0.058823529411764705
43,colegiodasamericas,19,0.05263157894736842
44,alpha,21,0.047619047619047616
45,elitecuritibaemilianoperneta,22,0.045454545454545456
46,physicsaugustomontenegro,22,0.045454545454545456
47,colegiosete,22,0.045454545454545456
48,stellamarisaguaverde,23,0.043478260869565216
49,overjoaopessoa,23,0.043478260869565216
50,acessofazendariogrande,24,0.041666666666666664
51,contemporaneocidadeverde,25,0.04
52,contemporaneolagoanova,26,0.038461538461538464
53,physicsbatistacampos,30,0.03333333333333333
54,acessocampolargo,31,0.03225806451612903
55,overabelcabral,31,0.03225806451612903
56,colegiobrasilia,31,0.03225806451612903
57,casdvest,35,0.02857142857142857
58,crb,295,0.013559322033898305
59,novotempo,112,0.008928571428571428
60,lourencofilho,1,0.0
61,litteratus,5,0.0
62,nsressureicao,1,0.0
63,magma,1,0.0
64,magna,5,0.0
65,magno,4,0.0
66,linkandlearn,3,0.0
67,lighthouse,2,0.0
68,liessinbarra,3,0.0
69,madresavina,1,0.0
70,liessin,4,0.0
71,liderasas,2,0.0
72,lidera,9,0.0
73,liceusalesiano,1,0.0
74,liceujardim,10,0.0
75,liceufranco,1,0.0
76,libanobrasileiro,2,0.0
77,magnum,2,0.0
78,madretereza,2,0.0
79,macvest,30,0.0
80,lourdinascg,1,0.0
81,liviacarneiro,10,0.0
82,lucasmadsen,1,0.0
83,losango,1,0.0
84,logicareforcoescolar,1,0.0
85,nucec,3,0.0
86,lerote,2,0.0
87,luizgonzaga,48,0.0
88,livreaprender,1,0.0
89,lumen,3,0.0
90,lumiere,1,0.0
91,luminaedu,2,0.0
92,maanaim,1,0.0
93,macbrasiliaint,2,0.0
94,machadodeassispicos,3,0.0
95,mackenziebrasilia,4,0.0
96,mackenziesaopaulo,17,0.0
97,liviasoares,2,0.0
98,mackenzietambore,9,0.0
99,llesser,1,0.0
100,lasallesp,3,0.0
101,lepetitsp,2,0.0
102,joaosampaio,49,0.0
103,nuvemvoadora,2,0.0
104,josepinheiro,12,0.0
105,objetivoamericana,5,0.0
106,josemelo,5,0.0
107,josemariano,2,0.0
108,josehumbertoborges,3,0.0
109,joseflorencio,2,0.0
110,josecesario,1,0.0
111,josecabral,2,0.0
112,joracycruz,1,0.0
113,joaoxxiii,15,0.0
114,joaorosa,47,0.0
115,jpathias,1,0.0
116,joaopedrodealmeida,2,0.0
117,joaolyrafilho,1,0.0
118,objetivocentro,2,0.0
119,objetivoguaxupe,2,0.0
120,joaohmendonca,3,0.0
121,joaoferreira,48,0.0
122,joaobelem,48,0.0
123,jhg,1,0.0
124,jesusmariajose,3,0.0
125,jeanpiaget,2,0.0
126,jeanjacquesrousseau,2,0.0
127,josesoares,3,0.0
128,juarezwanderley,3,0.0
129,nucleo,4,0.0
130,laboratoriosromildo,2,0.0
131,leonor,1,0.0
132,leme,1,0.0
133,lealecarvalho,2,0.0
134,lavraguedes,2,0.0
135,manoelbatista,11,0.0
136,lasalledores,7,0.0
137,lasalleaguasclaras,2,0.0
138,lapisnamao,1,0.0
139,lapiseartes,2,0.0
140,lamark,1,0.0
141,lagracia,1,0.0
142,nucleocriativo,4,0.0
143,juntos,2,0.0
144,labatualidades,1,0.0
145,kzdireitodigital,1,0.0
146,kuadro,3,0.0
147,nucleopva,2,0.0
148,kl3,3,0.0
149,kiujo,1,0.0
150,kijuj,1,0.0
151,kidsbaby,2,0.0
152,khanacademy,1,0.0
153,kerygma,1,0.0
154,kepler,1,0.0
155,magnumagostiniano,4,0.0
156,marcosfreitas,2,0.0
157,manoelbernardino,12,0.0
158,mfecursos,4,0.0
159,mundialcc,2,0.0
160,msofia,2,0.0
161,msetemporario,2,0.0
162,mov,2,0.0
163,motivacao,2,0.0
164,motiva,3,0.0
165,moria,2,0.0
166,moppe,12,0.0
167,montessori,16,0.0
168,nsaparecida,1,0.0
169,montedasoliveiras,4,0.0
170,monsenhorgoncalo,50,0.0
171,monsenhorfrancisco,48,0.0
172,moniquebarreto,2,0.0
173,mocinhagomes,9,0.0
174,mobile,3,0.0
175,moaciralves,49,0.0
176,mls,2,0.0
177,miraflores,2,0.0
178,minhalista,3,0.0
179,milhaense,1,0.0
180,migueldecervantes,4,0.0
181,nsconceicao,3,0.0
182,mundialfranciscobeltrao,6,0.0
183,mundodeplatao,4,0.0
184,mundoencantado,1,0.0
185,nihongogakkou,1,0.0
186,novavisao,2,0.0
187,novageracaope,2,0.0
188,novooriente,1,0.0
189,novaepoca,1,0.0
190,novadimensao,3,0.0
191,novaalianca,4,0.0
192,nova,2,0.0
193,notredame,4,0.0
194,nossasenhoradesion,2,0.0
195,nilip,1,0.0
196,nextgestor,1,0.0
197,mupi,1,0.0
198,newtonpaiva,1,0.0
199,nesfa,3,0.0
200,nep,3,0.0
201,necicem,2,0.0
202,navegasas,3,0.0
203,nav,1,0.0
204,naia,1,0.0
205,nageljewishacademy,1,0.0
206,mutiraodesaomarcos,1,0.0
207,murilorocha,49,0.0
208,nsdasgracas,2,0.0
209,metodocerto,6,0.0
210,manoelfrancisco,9,0.0
211,metodistadosul,1,0.0
212,maristadomsilverio,11,0.0
213,jazzvestibular,2,0.0
214,maristacentronorte,1,0.0
215,marinanascimento,1,0.0
216,mariliamattoso,23,0.0
217,mariaolinda,48,0.0
218,marianair,2,0.0
219,mariamerces,11,0.0
220,marialuiza,2,0.0
221,marialeao,11,0.0
222,marialaura,49,0.0
223,mariaeunice,49,0.0
224,mariacarmo,14,0.0
225,mariaaugusta,1,0.0
226,novoemlasalle,1,0.0
227,marciliopires,3,0.0
228,marcelochumer,1,0.0
229,marcelinasbotucatu,1,0.0
230,maplebearslz,18,0.0
231,maper,2,0.0
232,manoelqueiroz,11,0.0
233,manoelpereira,1,0.0
234,manoelmarcelino,11,0.0
235,nsgloria,4,0.0
236,maristajoaopauloii,2,0.0
237,marketing,1,0.0
238,mayrink,2,0.0
239,meta,11,0.0
240,mestrezecaamancio,1,0.0
241,mestre,1,0.0
242,nsdasneves,1,0.0
