,namespace,Porcentagem de visualização dos relatórios de AD por alunos
0,colegiocb,0.5172413793103449
1,colegioplanck,0.30401234567901236
2,santoamerico,0.19767441860465115
3,testevictorhugo,0.15
4,porto,0.13043478260869565
5,dommga,0.10526315789473684
6,francobrasileiro,0.10317460317460317
7,master,0.09901671583087512
8,physicsbatistacampos,0.032225579053373615
9,physicsalmirantebarroso,0.02920443101711984
10,aescobjetivo,0.02564102564102564
11,physicsumarizal,0.025176233635448138
12,physicscidadenova,0.019133937562940583
13,sas,0.018518518518518517
14,jardimsaopaulo,0.01652892561983471
15,physicsmacapa,0.007049345417925478
16,physicsaugustomontenegro,0.002014098690835851
17,colegiomundial,0.0015360983102918587
18,magister,0.0
19,beityaacov,0.0
20,equipe,0.0
21,colegionovageracao,0.0
22,qescola,0.0
23,rede,0.0
24,saberviver,0.0
25,colegiodompedrosegundo,0.0
26,nucleopva,0.0
