,namespace,Unnamed: 0,Porcentagem de professores que visualizaram relatórios de AD
0,beityaacov,2,0.5
1,ismart,3,0.3333333333333333
2,equipe,3,0.3333333333333333
3,jardimsaopaulo,11,0.18181818181818182
4,educarse,15,0.13333333333333333
5,colegiocb,26,0.11538461538461539
6,spdacruz,32,0.09375
7,portinari,75,0.08
8,invictus,18,0.05555555555555555
9,acessofazendariogrande,37,0.05405405405405406
10,stellamarisaguaverde,39,0.05128205128205128
11,universitariolondrina,119,0.05042016806722689
12,mariliamattoso,62,0.04838709677419355
13,stellamarisjuveve,114,0.043859649122807015
14,stellamarisxaxim,48,0.041666666666666664
15,colegioalphaunis,25,0.04
16,physicsbatistacampos,52,0.038461538461538464
17,aescobjetivo,53,0.03773584905660377
18,santoamerico,107,0.037383177570093455
19,magister,28,0.03571428571428571
20,colegiobrasilia,58,0.034482758620689655
21,porto,68,0.029411764705882353
22,overmossoro,40,0.025
23,physicsaugustomontenegro,80,0.025
24,casdvest,150,0.02
25,acessoboqueirao,51,0.0196078431372549
26,colegioecursodesafio,63,0.015873015873015872
27,colegiojoaopaulo,72,0.013888888888888888
28,alpha,75,0.013333333333333334
29,master,86,0.011627906976744186
30,physicscidadenova,93,0.010752688172043012
31,ceprimeiromundo,111,0.009009009009009009
32,qescola,441,0.006802721088435374
33,manoelfrancisco,4,0.0
34,mackenziebrasilia,16,0.0
35,maristateresina,4,0.0
36,maristadomsilverio,58,0.0
37,mariaolinda,11,0.0
38,mackenzietambore,63,0.0
39,macvest,36,0.0
40,maededeus,5,0.0
41,marianair,11,0.0
42,magistral,2,0.0
43,mariamerces,1,0.0
44,magma,12,0.0
45,marialeao,4,0.0
46,magno,3,0.0
47,magnum,2,0.0
48,magnumagostiniano,3,0.0
49,marialaura,20,0.0
50,mariaeunice,15,0.0
51,mariacarmo,22,0.0
52,mariaaugusta,3,0.0
53,mariaantonia,1,0.0
54,manoelbatista,10,0.0
55,marcelochumer,1,0.0
56,manoelbernardino,11,0.0
57,maplebearslz,64,0.0
58,maper,35,0.0
59,manoelqueiroz,11,0.0
60,manoelmarcelino,2,0.0
61,mackenziesaopaulo,6,0.0
62,aba,5,0.0
63,macbrasiliaint,1,0.0
64,lauramatos,1,0.0
65,lasalledores,3,0.0
66,lasalleaguasclaras,4,0.0
67,lasalle,1,0.0
68,lapiseartes,1,0.0
69,laboratoriosromildo,2,0.0
70,lab,355,0.0
71,kuadro,1,0.0
72,kidsbaby,5,0.0
73,katrodrigues,1,0.0
74,katirodrigues,1,0.0
75,juntos,5,0.0
76,juarezwanderley,30,0.0
77,jpn,1,0.0
78,josesoares,6,0.0
79,josepinheiro,20,0.0
80,josepiaulino,29,0.0
81,josepaulino,31,0.0
82,josemelo,26,0.0
83,josemariano,2,0.0
84,lasallesp,106,0.0
