,namespace,Início da classificação / Visualizações do relatório,Finalização da classificação / Início da classificação,Finalização da classificação / Visualizações do relatório
0,porto,0.08333333333333333,0.2857142857142857,0.023809523809523808
1,colegiobrasilia,0.048484848484848485,0.0,0.0
2,cbpdigital,0.025974025974025976,0.0,0.0
3,eccos,0.04878048780487805,0.0,0.0
4,master,0.015037593984962405,0.0,0.0
5,villalobos,0.0273972602739726,0.0,0.0
6,aescobjetivo,0.013157894736842105,0.0,0.0
7,colegiocb,0.014492753623188406,0.0,0.0
8,colegiodasamericas,0.058823529411764705,0.0,0.0
9,colegioeducallis,0.01020408163265306,0.0,0.0
10,colegiointegral,0.009009009009009009,0.0,0.0
11,colegionovageracao,0.25,0.0,0.0
12,colegioplanck,0.01818181818181818,0.0,0.0
13,crb,0.0041841004184100415,0.0,0.0
14,maplebearslz,0.007692307692307693,0.0,0.0
15,pioxi,0.06666666666666667,0.0,0.0
16,acessoalmirantetamandare,0.0,0.0,0.0
17,acessoboqueirao,0.0,0.0,0.0
18,acessocampolargo,0.0,0.0,0.0
19,acessocampolargokids,0.0,0.0,0.0
20,acessofazendariogrande,0.0,0.0,0.0
21,acessohauer,0.0,0.0,0.0
22,acessopinhais,0.0,0.0,0.0
23,acessosantafelicidade,0.0,0.0,0.0
24,acessosjpinhais,0.0,0.0,0.0
25,adrianochan,0.0,0.0,0.0
26,amadeus,0.0,0.0,0.0
27,amais,0.0,0.0,0.0
28,apogeustoantonio2,0.0,0.0,0.0
29,beityaacov,0.0,0.0,0.0
30,brasilcursinhos,0.0,0.0,0.0
31,casdinhosjc,0.0,0.0,0.0
32,cats,0.0,0.0,0.0
33,ceabb,0.0,0.0,0.0
34,ceespacolivre,0.0,0.0,0.0
35,cem,0.0,0.0,0.0
36,ceprimeiromundo,0.0,0.0,0.0
37,ciadosaber,0.0,0.0,0.0
38,cmdpii,0.0,0.0,0.0
39,cnslpb,0.0,0.0,0.0
40,colegioalphaunis,0.0,0.0,0.0
41,colegioarena,0.0,0.0,0.0
42,colegiobatistaindependente,0.0,0.0,0.0
