,namespace,Porcentagem de visualização dos relatórios de AD
0,colegiocb,0.4827586206896552
1,colegioplanck,0.21379310344827587
2,ceprimeiromundo,0.16489361702127658
3,mariliamattoso,0.13548387096774195
4,santoamerico,0.1308139534883721
5,dommga,0.10526315789473684
6,francobrasileiro,0.07936507936507936
7,master,0.061553588987217314
8,magister,0.047619047619047616
9,aescobjetivo,0.026997840172786176
10,testevictorhugo,0.025
11,sas,0.018518518518518517
12,jardimsaopaulo,0.01652892561983471
13,beityaacov,0.0
14,equipe,0.0
15,colegiomundial,0.0
16,nucleopva,0.0
17,qescola,0.0
18,rede,0.0
19,saberviver,0.0
20,colegiodompedrosegundo,0.0
