,index,namespace,Porcentagem de professores que visualizaram relatórios de AD
0,837,ismart,0.5
1,608,equipe,0.5
2,121,beityaacov,0.5
3,847,jardimsaopaulo,0.18181818181818182
4,572,educarse,0.13333333333333333
5,297,colegiocb,0.11538461538461539
6,1304,spdacruz,0.09375
7,916,magister,0.07142857142857142
8,11,acessofazendariogrande,0.05405405405405406
9,1085,portinari,0.05333333333333334
10,1346,universitariolondrina,0.05084745762711865
11,939,mariliamattoso,0.04838709677419355
12,1308,stellamarisjuveve,0.043859649122807015
13,1309,stellamarisxaxim,0.041666666666666664
14,271,colegioalphaunis,0.04
15,26,aescobjetivo,0.03773584905660377
16,1196,santoamerico,0.02830188679245283
17,1065,physicsaugustomontenegro,0.02666666666666667
18,1307,stellamarisaguaverde,0.025
19,1034,overmossoro,0.025
20,156,casdvest,0.02
21,1066,physicsbatistacampos,0.019230769230769232
22,317,colegioecursodesafio,0.015873015873015872
23,354,colegiojoaopaulo,0.013888888888888888
24,35,alpha,0.013333333333333334
25,943,master,0.011494252873563218
26,1067,physicscidadenova,0.010638297872340425
27,1144,qescola,0.00684931506849315
28,928,maplebearslz,0.0
29,0,aba,0.0
30,927,maper,0.0
31,926,manoelqueiroz,0.0
32,930,mariaantonia,0.0
33,925,manoelmarcelino,0.0
34,924,manoelfrancisco,0.0
35,923,manoelbernardino,0.0
36,922,manoelbatista,0.0
37,921,magnumagostiniano,0.0
38,920,magnum,0.0
39,929,marcelochumer,0.0
40,933,mariaeunice,0.0
41,931,mariaaugusta,0.0
42,932,mariacarmo,0.0
43,949,matriz,0.0
44,948,materdei,0.0
45,947,matematica,0.0
46,946,mastersul,0.0
47,945,mastersolucoes,0.0
48,944,mastersaoluis,0.0
49,942,marqueslima,0.0
50,941,maristateresina,0.0
51,940,maristadomsilverio,0.0
52,938,mariaolinda,0.0
53,937,marianair,0.0
54,936,mariamerces,0.0
55,935,marialeao,0.0
56,934,marialaura,0.0
57,918,magma,0.0
58,919,magno,0.0
59,911,mackenziebrasilia,0.0
60,917,magistral,0.0
61,885,lasalledores,0.0
62,893,liceujardim,0.0
63,892,lgp,0.0
64,891,lerote,0.0
65,890,lepetitsp,0.0
66,889,leonor,0.0
67,888,lealecarvalho,0.0
68,887,lauramatos,0.0
69,886,lasallesp,0.0
70,884,lasalleaguasclaras,0.0
71,915,maededeus,0.0
72,883,lasalle,0.0
73,882,lapiseartes,0.0
74,881,laboratoriosromildo,0.0
75,880,lab,0.0
76,879,kuadro,0.0
77,878,kidsbaby,0.0
78,877,katrodrigues,0.0
79,876,katirodrigues,0.0
80,894,liderasas,0.0
81,895,liessin,0.0
82,896,liessinbarra,0.0
83,897,lighthouse,0.0
84,914,macvest,0.0
85,913,mackenzietambore,0.0
86,912,mackenziesaopaulo,0.0
87,951,maxime,0.0
88,910,macbrasiliaint,0.0
89,909,maanaim,0.0
90,908,luminaedu,0.0
91,907,lumiere,0.0
92,906,lumen,0.0
93,905,luizgonzaga,0.0
94,904,lourencofilho,0.0
95,903,lourenco,0.0
96,902,lkioio,0.0
97,901,livreaprender,0.0
98,900,liviasoares,0.0
99,899,litteratus,0.0
100,898,limanogueira,0.0
101,950,maxeducacional,0.0
102,958,metodistadosul,0.0
103,952,medcel,0.0
104,1014,objetivolorena,0.0
105,1012,objetivohortolandia,0.0
106,1011,objetivocentro,0.0
107,1010,objetivoamericana,0.0
108,1009,nucleocriativo,0.0
109,1008,nucleo,0.0
110,1007,nsgloria,0.0
111,1006,nsfatima,0.0
112,1005,nsdasneves,0.0
113,1004,nsdasgracas,0.0
114,1003,nsconceicao,0.0
115,1002,novotempo,0.0
116,1001,novavisao,0.0
117,1000,novaepoca,0.0
118,999,novadimensao,0.0
119,998,novaalianca,0.0
120,997,notredame,0.0
121,996,nossasenhoradesion,0.0
122,1013,objetivoitanhandu,0.0
123,1015,objetivomairinque,0.0
124,994,nesfa,0.0
125,1016,objetivoportal,0.0
126,1033,overmarciliofurtado,0.0
127,1032,overlimaesilva,0.0
128,1031,overjoaopessoa,0.0
129,1030,overabelcabral,0.0
130,1029,ouse,0.0
131,1028,oswalddeandrade,0.0
132,1027,oswald,0.0
133,1026,olivierfurtado,0.0
134,1025,oliveiranetto,0.0
135,1024,olavonunes,0.0
136,1023,oficinadoestudante,0.0
137,1022,odariconascimento,0.0
138,1021,obrasilparacristo,0.0
139,1020,objetivozonanorte,0.0
140,1019,objetivovgp,0.0
141,1018,objetivoteresina,0.0
142,1017,objetivoraiodesol,0.0
143,995,nihongogakkou,0.0
144,993,neppraiadacosta,0.0
145,953,melquiadescamelo,0.0
146,972,monsenhorgoncalo,0.0
147,970,mojuca,0.0
148,969,mocinhagomes,0.0
149,968,mobile,0.0
150,967,moaciralves,0.0
151,966,mls,0.0
152,965,ministrodafazenda,0.0
153,964,minhalista,0.0
154,963,milenamadeira,0.0
155,962,migueldecervantes,0.0
156,961,mfecursos,0.0
157,960,metropolitanojunior,0.0
158,959,metodocerto,0.0
159,874,juarezwanderley,0.0
160,957,meta,0.0
161,956,mestre,0.0
162,955,mentoring,0.0
163,954,mendesrios,0.0
164,971,monsenhorfrancisco,0.0
165,973,montedasoliveiras,0.0
166,992,nepitaparica,0.0
167,974,montenegrofilho,0.0
168,991,nepesitaparica,0.0
169,990,nep,0.0
170,989,neila,0.0
171,988,necicem,0.0
172,987,near,0.0
173,986,navegasas,0.0
174,985,naia,0.0
175,984,murilorocha,0.0
176,983,mundoencantado,0.0
177,982,mundodeplatao,0.0
178,981,mundoarteceb,0.0
179,980,mundialfranciscobeltrao,0.0
180,979,msetemporario,0.0
181,978,motivacao,0.0
182,977,motiva,0.0
183,976,moria,0.0
184,975,moppe,0.0
185,875,juntos,0.0
186,866,joseflorencio,0.0
187,873,jpn,0.0
188,753,gaylussac,0.0
189,761,geraldob,0.0
190,760,geracaocolegioecurso,0.0
191,759,geracao2001,0.0
192,758,gerabixo,0.0
193,757,georgestein,0.0
194,756,genesislife,0.0
195,755,geneduc,0.0
196,754,gegsjcampos,0.0
197,752,garra,0.0
198,763,giramundo,0.0
199,751,gamt,0.0
200,750,galois,0.0
201,749,gaga,0.0
202,748,gacc,0.0
203,747,fundacaobradesco,0.0
204,746,ftec,0.0
205,745,ftd,0.0
206,744,francobrasileiro,0.0
207,762,ginasioanchieta,0.0
208,764,goncalomartins,0.0
209,872,josesoares,0.0
210,775,hamiltondarocha,0.0
211,783,idealbsb,0.0
212,782,idb,0.0
213,781,idaam,0.0
214,780,iceducacao,0.0
215,779,ias,0.0
216,778,iabcd,0.0
217,777,humus,0.0
218,776,herciliovilanova,0.0
219,774,hackiandoaeduc,0.0
220,765,grandepasso,0.0
221,773,habillis,0.0
222,772,habilisescolaecurso,0.0
223,771,gustavo,0.0
224,770,guroo,0.0
225,769,guilhermefilho,0.0
226,768,gualberto,0.0
227,767,guairaca,0.0
228,766,gremioescolarserrano,0.0
229,743,franciscopinto,0.0
230,742,franciscoperes,0.0
231,741,franciscolobo,0.0
232,710,evolucao,0.0
233,718,famacanguarn,0.0
234,717,faculdadeflamingo,0.0
235,716,faculdadeamadeus,0.0
236,715,externatocrespo,0.0
237,714,experimente,0.0
238,713,experimentacaogratuita,0.0
239,712,excelente,0.0
240,711,exato,0.0
241,709,evdl,0.0
242,740,franciscanopioxii,0.0
243,708,evangelicobetel,0.0
244,707,evangelicagoianesia,0.0
245,706,evangelhosimples,0.0
246,705,evangcriancafeliz,0.0
247,704,euquerotchu,0.0
248,703,etepsjc,0.0
249,702,estreladedavi,0.0
250,701,estreladamanha,0.0
251,719,fame,0.0
252,720,fariabrito,0.0
253,721,fazeducacao,0.0
254,722,fecap,0.0
255,739,forumcultural,0.0
256,738,formacao,0.0
257,737,fontenova,0.0
258,736,florence,0.0
259,735,fleming,0.0
260,734,fito,0.0
261,733,fisicainloco,0.0
262,732,fisicadf,0.0
263,731,fisica,0.0
264,730,finalizandabagaca,0.0
265,729,filipegoncalves,0.0
266,728,filgueiras,0.0
267,727,fiep,0.0
268,726,fide,0.0
269,725,fernaogaivota,0.0
270,724,fepcrato,0.0
271,723,felipemanoelcampos,0.0
272,784,iecm,0.0
273,785,iegcolegioecurso,0.0
274,786,ienec,0.0
275,841,itamarati,0.0
276,850,jeanjacquesrousseau,0.0
277,849,jazzvestibular,0.0
278,848,java,0.0
279,846,jardimaprender,0.0
280,845,janainadias,0.0
281,844,jam,0.0
282,843,jaimekratz,0.0
283,842,ivv,0.0
284,840,itamarataizes,0.0
285,829,iracemarufino,0.0
286,839,italo,0.0
287,838,ita,0.0
288,836,isj,0.0
289,835,isemear,0.0
290,834,isem,0.0
291,833,isec,0.0
292,832,isadoralemos,0.0
293,831,isaacnewtonsp,0.0
294,851,jeanpiaget,0.0
295,852,jesusmariajose,0.0
296,853,jeucnovageracao,0.0
297,854,jlinstvve,0.0
298,871,josepinheiro,0.0
299,870,josepiaulino,0.0
300,869,josepaulino,0.0
301,868,josemelo,0.0
302,867,josemariano,0.0
303,1036,overpontanegra,0.0
304,865,josecabral,0.0
305,864,jorgeaugusto,0.0
306,863,joracycruz,0.0
307,862,joaoxxiii,0.0
308,861,joaosampaio,0.0
309,860,joaorosa,0.0
310,859,joaopedrodealmeida,0.0
311,858,joaohmendonca,0.0
312,857,joaogoulartjp,0.0
313,856,joaoferreira,0.0
314,855,joaobelem,0.0
315,830,iracilvianunes,0.0
316,828,ipresbiterianocf,0.0
317,787,iescamp,0.0
318,797,insa,0.0
319,805,institutocristao,0.0
320,804,institutocaminhar,0.0
321,803,institutoauxiliadoradf,0.0
322,802,institutoauxiliadora,0.0
323,801,inspiresjc,0.0
324,800,inspire,0.0
325,799,inspiracao,0.0
326,798,inspira,0.0
327,796,informacao,0.0
328,827,ipetucurui,0.0
329,795,imundoideal,0.0
330,794,implantacaoremota,0.0
331,793,imeducacao,0.0
332,792,imaculada,0.0
333,791,igmk,0.0
334,790,igd,0.0
335,789,ieveralucia,0.0
336,788,iesementes,0.0
337,806,institutocristaoeducacao,0.0
338,807,institutoeducacaosp,0.0
339,808,institutoeurofarma,0.0
340,809,institutoideia,0.0
341,826,ipesimonton,0.0
342,825,iperesende,0.0
343,824,ipepirai,0.0
344,823,ipenilopolis,0.0
345,822,ipemg,0.0
346,821,ipec,0.0
347,820,ipdhsolucoes,0.0
348,819,ipcabofrio,0.0
349,818,invictus,0.0
350,817,invertida,0.0
351,816,integradotatui,0.0
352,815,integradaeducativa,0.0
353,814,integra,0.0
354,813,institutotecnicodoplanalto,0.0
355,812,institutosaojose,0.0
356,811,institutomariaauxiliadora,0.0
357,810,institutokairos,0.0
358,1035,overnascimentodecastro,0.0
359,1045,paulovi,0.0
360,1037,overzonanorte,0.0
361,1265,sidarta,0.0
362,1273,singularidades,0.0
363,1272,sincroniza,0.0
364,1271,simulados,0.0
365,1270,simuladoita,0.0
366,1269,simplificaquepassa,0.0
367,1268,simontonsapezal,0.0
368,1267,simontondf,0.0
369,1266,simbios,0.0
370,1264,shekinah,0.0
371,1296,smevilaura,0.0
372,1263,shalomblumenau,0.0
373,1262,sfhfakhfakfakj,0.0
374,1261,setrem,0.0
375,1260,setedesetembro,0.0
376,1259,sesitaubate,0.0
377,1258,sesisumare,0.0
378,1257,sesisjdoriopreto,0.0
379,1256,sesisbc,0.0
380,1274,sistemadeensinogpi,0.0
381,1275,sistemaeducacionalmaster,0.0
382,1276,sistemafb,0.0
383,1277,sistemaincentivo,0.0
384,1294,smerousseau,0.0
385,1293,smepresbiterianopprudente,0.0
386,1292,smemundodeplatao,0.0
387,1291,smemhorebe,0.0
388,1290,smelemeitapeva,0.0
389,1289,smelamarck,0.0
390,1288,smeisaacnewton,0.0
391,1287,smeipebotucatu,0.0
392,1286,smecristaodecastro,0.0
393,1285,smecolegiorgf,0.0
394,1284,smecolegiojjr,0.0
395,1283,smecolegioevangelicoluz,0.0
396,1282,smecbvm,0.0
397,1281,sme,0.0
398,1280,smartz,0.0
399,1279,sjoseegito,0.0
400,1278,sistemaprima,0.0
401,1255,sesisaocarlos,0.0
402,1254,sesisantos,0.0
403,1253,sesiportoferreira,0.0
404,1232,serjundiai,0.0
405,1230,seomega,0.0
406,1229,senninha,0.0
407,1228,senhorbonfim,0.0
408,1227,senaitocantins,0.0
409,1226,senaismo,0.0
410,1225,senaiourobranco,0.0
411,1224,senai,0.0
412,1223,semearjacarei,0.0
413,1222,semeares,0.0
414,1221,selecao,0.0
415,1220,segurancadigital,0.0
416,1219,scopum,0.0
417,1218,saturninopereira,0.0
418,1217,saseducacao,0.0
419,1216,sasadaptteste,0.0
420,1215,sasadaptrelatorios,0.0
421,1214,sasadaptfund,0.0
422,1231,serios,0.0
423,1233,sersorocaba,0.0
424,1252,sesipinda,0.0
425,1234,sesi207,0.0
426,1251,sesiparaguacupaulista,0.0
427,1250,sesilimeira,0.0
428,1249,sesiitatiba,0.0
429,1248,sesiipiranga,0.0
430,1247,sesiigaracudotiete,0.0
431,1246,sesihorto,0.0
432,1245,sesigru,0.0
433,1244,sesidescalvado,0.0
434,1243,sesicruzeiro,0.0
435,1242,sesicrixas,0.0
436,1241,sesicotia,0.0
437,1240,sesicampinas,0.0
438,1239,sesicacapava,0.0
439,1238,sesibarrabonita,0.0
440,1237,sesiapucarana,0.0
441,1236,sesiamericana,0.0
442,1235,sesialvaresmachado,0.0
443,1295,smetatui,0.0
444,1297,sociedadebread,0.0
445,1038,padreeustaquio,0.0
446,1355,venceslauchaves,0.0
447,1363,vieirasantos,0.0
448,1362,vicentecravo,0.0
449,1361,viaquatro,0.0
450,1360,vetor,0.0
451,1359,vestibularcidadao,0.0
452,1358,vertice,0.0
453,1357,veramagaldi,0.0
454,1356,veracruz,0.0
455,1354,vcmakercmf,0.0
456,1298,sociedadeevangelica,0.0
457,1353,vcmaker,0.0
458,1352,valsaab,0.0
459,1351,valdemiracoelho,0.0
460,1350,uri,0.0
461,1349,universos,0.0
462,1348,universobarcarena,0.0
463,1347,universitas,0.0
464,1345,universitario,0.0
465,1364,viladainfanciaeusebio,0.0
466,1365,viladainfanciafortaleza,0.0
467,1366,vilagustavo,0.0
468,1367,vilaolimpia,0.0
469,1384,zefinharibeiro,0.0
470,1383,zecarioca,0.0
471,1382,zacariasliberato,0.0
472,1381,yduqs,0.0
473,1380,xvdenovembro,0.0
474,1379,www,0.0
475,1378,wilsondeandradebarreto,0.0
476,1377,wererockingitbabe,0.0
477,1376,walfridocampos,0.0
478,1375,vmcursos,0.0
