,creation,namespace,grade,id,?column?
0,2021-06-21,educandarioterciocorreia,ef 3o ano,164027,-1 days +23:57:22.777049
1,2021-06-21,acessofazendariogrande,ef 5o ano,163816,0 days 01:35:06.817641
2,2021-06-21,acessocampolargokids,ef 5o ano,163818,0 days 00:02:20.466770
3,2021-06-21,colegioup,ef 6o ano,163293,0 days 03:59:04.253612
4,2021-06-21,psantagema,ef 6o ano,163605,2 days 23:31:10.204636
5,2021-06-21,psantagema,ef 6o ano,163610,2 days 23:22:13.088562
6,2021-06-21,spdacruz,ef 6o ano,163673,0 days 00:45:32.674042
7,2021-06-21,colegioup,ef 6o ano,163679,0 days 02:55:18.412784
8,2021-06-21,colegiofuturageracao,ef 6o ano,163693,-1 days +23:59:58.052321
9,2021-06-21,spdacruz,ef 6o ano,163718,0 days 00:03:59.637831
10,2021-06-21,colegiofuturageracao,ef 6o ano,163862,0 days 00:03:28.858675
11,2021-06-21,integradaeducativa,ef 6o ano,163920,0 days 00:56:06.010061
12,2021-06-21,colegiofuturageracao,ef 6o ano,164002,0 days 01:00:14.999874
13,2021-06-21,pioxi,ef 6o ano,164044,0 days 00:38:28.810554
14,2021-06-21,pioxi,ef 6o ano,164102,7 days 03:08:58.954473
15,2021-06-21,educandarioterciocorreia,ef 7o ano,163326,0 days 01:45:37.755114
16,2021-06-21,integradaeducativa,ef 7o ano,163649,-1 days +23:33:14.794888
17,2021-06-21,acessosantafelicidade,ef 7o ano,163734,0 days 17:30:24.900176
18,2021-06-21,acessocampolargo,ef 7o ano,163806,0 days 00:48:34.418824
19,2021-06-21,acessohauer,ef 7o ano,163807,0 days 00:07:44.611070
20,2021-06-21,colegiofuturageracao,ef 7o ano,164036,0 days 02:04:45.491037
21,2021-06-21,educandarioterciocorreia,ef 8o ano,163578,0 days 05:29:21.680031
22,2021-06-21,pioxi,ef 8o ano,163692,0 days 00:24:46.217734
23,2021-06-21,colegiodasamericas,ef 8o ano,163796,0 days 02:01:26.365472
24,2021-06-21,acessocampolargo,ef 8o ano,163815,0 days 02:06:16.861330
25,2021-06-21,colegiobatistaindependente,ef 9o ano,163389,-1 days +23:59:52.574141
26,2021-06-21,acessocampolargo,ef 9o ano,163829,0 days 01:51:41.329873
27,2021-06-21,spdacruz,ef 9o ano,164020,0 days 00:52:06.840353
28,2021-06-21,spdacruz,ef 9o ano,164028,0 days 00:48:23.449178
29,2021-06-21,educandarioterciocorreia,ef 9o ano,164041,0 days 00:43:21.770867
30,2021-06-21,spdacruz,ef 9o ano,164104,0 days 11:55:59.416241
31,2021-06-21,acessocampolargo,em 1a serie,163836,0 days 01:08:55.578722
32,2021-06-21,acessocampolargo,em 1a serie,163850,0 days 02:58:45.677601
33,2021-06-21,colegiojoaopaulo,em 1a serie,164050,0 days 01:22:57.194588
34,2021-06-21,colegioup,em 2a serie,163452,0 days 01:19:24.687642
35,2021-06-21,porto,em 2a serie,163648,0 days 01:13:08.087399
36,2021-06-21,acessocampolargo,em 2a serie,163843,0 days 01:09:07.154567
37,2021-06-21,acessocampolargo,em 2a serie,163860,0 days 02:48:07.823422
38,2021-06-21,spdacruz,em 2a serie,163917,0 days 02:39:07.644008
39,2021-06-21,spdacruz,em 2a serie,164026,0 days 04:59:22.981844
40,2021-06-21,colegiojoaopaulo,em 2a serie,164059,0 days 01:24:01.271565
41,2021-06-21,spdacruz,em 3a serie,163954,0 days 02:07:00.328486
42,2021-06-21,spdacruz,em 3a serie,163982,0 days 02:40:17.220450
0,2021-06-22,colegiofuturageracao,ef 3o ano,164201,0 days 02:46:20.442715
1,2021-06-22,colegiofuturageracao,ef 5o ano,164225,0 days 02:49:35.898590
2,2021-06-22,integra,ef 5o ano,164587,1 days 06:46:17.636268
3,2021-06-22,educandarioterciocorreia,ef 6o ano,164148,0 days 16:39:23.932733
4,2021-06-22,pioxi,ef 6o ano,164384,0 days 00:23:58.687146
5,2021-06-22,spdacruz,ef 6o ano,164446,0 days 17:41:32.869193
6,2021-06-22,spdacruz,ef 6o ano,164521,0 days 00:12:18.403120
7,2021-06-22,spdacruz,ef 6o ano,164552,0 days 01:53:47.332026
8,2021-06-22,integradaeducativa,ef 7o ano,164139,0 days 04:33:25.957488
9,2021-06-22,integradaeducativa,ef 7o ano,164151,0 days 09:25:57.769576
10,2021-06-22,integradaeducativa,ef 7o ano,164152,0 days 01:07:49.867227
11,2021-06-22,colegiobatistaindependente,ef 7o ano,164212,-1 days +23:59:56.546618
12,2021-06-22,colegioup,ef 7o ano,164284,0 days 16:45:19.479096
13,2021-06-22,psantagema,ef 7o ano,164312,0 days 02:30:23.906440
14,2021-06-22,pioxi,ef 7o ano,164379,0 days 00:29:53.777189
