,namespace,grade,Porcentagem de visualização de relatórios de AA
0,acesso,em 3a serie,0.0
1,acesso,outro,0.0
2,acessoalmirantetamandare,ef 2o ano,0.2
3,acessoalmirantetamandare,ef 3o ano,0.3055555555555556
4,acessoalmirantetamandare,ef 4o ano,0.2222222222222222
5,acessoalmirantetamandare,ef 5o ano,0.7051282051282052
6,acessoalmirantetamandare,ef 6o ano,0.5526315789473685
7,acessoalmirantetamandare,ef 7o ano,0.631578947368421
8,acessoalmirantetamandare,ef 8o ano,0.6390532544378699
9,acessoalmirantetamandare,ef 9o ano,0.5063025210084033
10,acessoalmirantetamandare,em 1a serie,0.3804195804195804
11,acessoalmirantetamandare,em 2a serie,0.49184782608695654
12,acessoalmirantetamandare,em 3a serie,0.7619047619047619
13,acessoalmirantetamandare,outro,0.8
14,acessoboqueirao,ef 8o ano,0.5052631578947369
15,acessoboqueirao,ef 9o ano,0.38089862271393093
16,acessoboqueirao,em 1a serie,0.3484881444420274
17,acessoboqueirao,em 2a serie,0.3128834355828221
18,acessoboqueirao,em 3a serie,0.5694444444444444
19,acessoboqueirao,outro,1.0
20,acessocampolargo,ef 6o ano,0.6416666666666667
21,acessocampolargo,ef 7o ano,0.5981481481481481
22,acessocampolargo,ef 8o ano,0.5684523809523809
23,acessocampolargo,ef 9o ano,0.5152224824355972
24,acessocampolargo,em 1a serie,0.4055179593961478
25,acessocampolargo,em 2a serie,0.47309136420525655
26,acessocampolargo,em 3a serie,0.5952380952380952
27,acessocampolargo,outro,1.0
28,acessocampolargokids,ef 2o ano,0.24705882352941178
29,acessocampolargokids,ef 3o ano,0.19696969696969696
30,acessocampolargokids,ef 4o ano,0.15476190476190477
31,acessocampolargokids,ef 5o ano,0.8222222222222222
32,acessoemilianoperneta,em 2a serie,0.0
33,acessoemilianoperneta,em 3a serie,0.0
34,acessoemilianoperneta,outro,0.0
35,acessofazendariogrande,ef 2o ano,0.14285714285714285
36,acessofazendariogrande,ef 3o ano,0.24696356275303644
37,acessofazendariogrande,ef 4o ano,0.27472527472527475
38,acessofazendariogrande,ef 5o ano,0.49743589743589745
39,acessofazendariogrande,ef 6o ano,0.5538971807628524
40,acessofazendariogrande,ef 7o ano,0.5659340659340659
41,acessofazendariogrande,ef 8o ano,0.5961538461538461
42,acessofazendariogrande,ef 9o ano,0.48055555555555557
43,acessofazendariogrande,em 1a serie,0.343349358974359
44,acessofazendariogrande,em 2a serie,0.38249118683901295
45,acessofazendariogrande,em 3a serie,0.6359649122807017
46,acessofazendariogrande,outro,1.0
47,acessohauer,ef 2o ano,0.2222222222222222
48,acessohauer,ef 3o ano,0.32
49,acessohauer,ef 4o ano,0.22966507177033493
50,acessohauer,ef 5o ano,0.5381679389312977
51,acessohauer,ef 6o ano,0.6687548942834769
52,acessohauer,ef 7o ano,0.5853193517635844
53,acessopinhais,em 1a serie,0.4334811529933481
54,acessopinhais,em 2a serie,0.36592592592592593
55,acessopinhais,em 3a serie,0.7982456140350878
56,acessopinhais,outro,1.0
57,acessosantafelicidade,ef 2o ano,0.2857142857142857
58,acessosantafelicidade,ef 3o ano,0.24390243902439024
59,acessosantafelicidade,ef 4o ano,0.31666666666666665
60,acessosantafelicidade,ef 5o ano,0.6238095238095238
61,acessosantafelicidade,ef 6o ano,0.6140350877192983
62,acessosantafelicidade,ef 7o ano,0.5303678357570573
63,acessosantafelicidade,ef 8o ano,0.615609756097561
64,acessosantafelicidade,ef 9o ano,0.3894799054373522
65,acessosantafelicidade,em 1a serie,0.3228498074454429
66,acessosantafelicidade,em 2a serie,0.3278122843340235
67,acessosantafelicidade,em 3a serie,0.7916666666666666
68,acessosantafelicidade,outro,1.0
69,acessosjpinhais,ef 2o ano,0.08441558441558442
70,acessosjpinhais,ef 3o ano,0.19408502772643252
71,acessosjpinhais,ef 4o ano,0.17832957110609482
72,acessosjpinhais,ef 5o ano,0.42902711323763953
73,acessosjpinhais,ef 6o ano,0.5174291938997821
74,acessosjpinhais,ef 7o ano,0.48465873512836566
75,acessosjpinhais,ef 8o ano,0.4738389182833627
76,acessosjpinhais,ef 9o ano,0.4181737979708866
77,acessosjpinhais,em 1a serie,0.39245283018867927
78,acessosjpinhais,em 2a serie,0.3776541961577351
79,acessosjpinhais,em 3a serie,0.5579268292682927
80,acessosjpinhais,outro,1.0
81,adrianochan,outro,0.23477046604992144
82,aescobjetivo,ef 1o ano,0.5476190476190477
83,aescobjetivo,ef 2o ano,0.46264367816091956
84,aescobjetivo,ef 3o ano,0.28705882352941176
85,aescobjetivo,ef 4o ano,0.525679758308157
86,aescobjetivo,ef 5o ano,0.40939597315436244
87,aescobjetivo,ef 6o ano,0.37106382978723407
88,aescobjetivo,ef 7o ano,0.40524781341107874
89,aescobjetivo,ef 8o ano,0.3821281599059377
90,aescobjetivo,ef 9o ano,0.345
91,aescobjetivo,em 1a serie,0.2767749699157641
92,aescobjetivo,em 2a serie,0.26634382566585957
93,aescobjetivo,em 3a serie,0.24783549783549783
94,agathoseducacional,em 1a serie,0.0
95,albertsabin,em 1a serie,0.0
96,alfacembilingue,em 1a serie,0.0
97,alfeurosa,ef 3o ano,0.0
98,alfeurosa,ef 7o ano,0.0
99,alfeurosa,ef 9o ano,0.0
100,alfeurosa,em 1a serie,0.0
101,alfeurosa,em 2a serie,0.0
102,alfeurosa,em 3a serie,0.0
103,alfeurosa,outro,0.0
104,alpha,ef 3o ano,0.0
105,alpha,ef 7o ano,0.0
106,alpha,ef 9o ano,0.0
107,alpha,em 1a serie,0.0
108,alpha,em 2a serie,0.0
109,alpha,em 3a serie,0.0
110,alpha,outro,0.0
111,amadeus,ef 2o ano,0.1391304347826087
112,amadeus,ef 3o ano,0.1388888888888889
113,amadeus,ef 4o ano,0.2537878787878788
114,amadeus,ef 5o ano,0.19230769230769232
115,amadeus,ef 6o ano,0.3800383877159309
116,amadeus,ef 7o ano,0.40153452685422
117,amadeus,ef 8o ano,0.23597232897770945
118,amadeus,ef 9o ano,0.2520018841262365
119,amadeus,em 1a serie,0.34566949370341815
120,amadeus,em 2a serie,0.6751968503937008
121,amadeus,em 3a serie,0.03076923076923077
122,amadeus,outro,0.0
123,amais,ef 2o ano,0.0
124,amais,ef 3o ano,0.0
125,amais,ef 9o ano,0.0
126,amais,em 1a serie,0.0
127,amais,em 2a serie,0.0
128,amais,outro,0.0
129,amaismaker,ef 2o ano,0.0
130,amaismaker,ef 5o ano,0.0
131,amaismaker,em 1a serie,0.0
132,amaismaker,em 2a serie,0.0
133,amaismaker,outro,0.0
