,namespace,grade,Porcentagem de engajamento em AAs
1026,rede,ef 9o ano,1.0
135,cbpdigital,ef 2o ano,1.0
342,colegiofuturageracao,ef 5o ano,1.0
341,colegiofuturageracao,ef 4o ano,1.0
930,pioxiicolegio,ef 6o ano,1.0
340,colegiofuturageracao,ef 3o ano,1.0
802,overmossoro,ef 5o ano,1.0
640,integra,ef 3o ano,1.0
643,integra,ef 6o ano,1.0
644,integra,ef 7o ano,1.0
328,colegioensitec,ef 4o ano,1.0
645,integra,ef 8o ano,1.0
54,acessosantafelicidade,ef 2o ano,1.0
266,colegiocb,ef 4o ano,1.0
1050,sasadapt,ef 1o ano,1.0
1052,seletivoeducallis,ef 5o ano,1.0
421,colegionovageracao,em 3a serie,1.0
420,colegionovageracao,em 2a serie,1.0
315,colegioeducallis,ef 3o ano,1.0
418,colegionovageracao,ef 9o ano,1.0
416,colegionovageracao,ef 5o ano,1.0
413,colegionovageracao,ef 2o ano,1.0
950,portinari,ef 3o ano,1.0
840,pearson,em 3a serie,1.0
951,portinari,ef 4o ano,1.0
231,colegiobatistaindependente,outro,1.0
174,ceprimeiromundo,ef 3o ano,1.0
354,colegioglobal,ef 8o ano,1.0
223,colegiobatistaindependente,ef 5o ano,1.0
137,cbpdigital,ef 4o ano,1.0
1099,testevictorhugo,ef 7o ano,1.0
353,colegioglobal,ef 7o ano,1.0
995,progressaoig,em 2a serie,1.0
1033,santadoroteia,em 1a serie,1.0
565,eacorcovado,outro,1.0
1016,psantagema,outro,1.0
249,colegiobilac,ef 8o ano,0.9986173522295195
581,educandarioterciocorreia,ef 9o ano,0.9980519480519481
136,cbpdigital,ef 3o ano,0.9975609756097561
642,integra,ef 5o ano,0.9974358974358974
1061,spdacruz,ef 6o ano,0.997164461247637
639,integra,ef 2o ano,0.9963369963369964
648,integradaeducativa,ef 7o ano,0.9962164207340144
653,integradaeducativa,em 3a serie,0.9947423764458465
316,colegioeducallis,ef 4o ano,0.9946294307196563
952,portinari,ef 5o ano,0.9942857142857143
262,colegiobrasilia,em 3a serie,0.9940625
346,colegiofuturageracao,ef 9o ano,0.9933166248955723
383,colegiointegral,ef 8o ano,0.9925787844682048
1063,spdacruz,ef 8o ano,0.9923146473779385
382,colegiointegral,ef 7o ano,0.9917174098081581
813,overpontanegra,ef 1o ano,0.9910714285714286
931,pioxiicolegio,ef 7o ano,0.9906542056074766
466,colegiouirapuru,ef 4o ano,0.9903640256959315
932,pioxiicolegio,ef 8o ano,0.9902912621359223
651,integradaeducativa,em 1a serie,0.9897280966767371
322,colegioeducallis,em 1a serie,0.9888888888888889
579,educandarioterciocorreia,ef 7o ano,0.9885416666666667
162,cem,ef 4o ano,0.9877450980392157
138,cbpdigital,ef 5o ano,0.9876543209876543
381,colegiointegral,ef 6o ano,0.9874209737339503
785,overlimaesilva,ef 1o ano,0.987012987012987
261,colegiobrasilia,em 2a serie,0.9863765863765864
649,integradaeducativa,ef 8o ano,0.9862929623567921
384,colegiointegral,ef 9o ano,0.9858326429163214
1014,psantagema,em 2a serie,0.9857142857142858
1062,spdacruz,ef 7o ano,0.9853833766877245
1105,universitariolondrina,ef 5o ano,0.9852216748768473
1065,spdacruz,em 1a serie,0.9846090279929759
786,overlimaesilva,ef 2o ano,0.984375
991,progressaoig,ef 6o ano,0.984375
243,colegiobilac,ef 2o ano,0.9837962962962963
379,colegiointegral,ef 4o ano,0.983643798273512
377,colegiointegral,ef 2o ano,0.9834274952919021
358,colegioglobal,em 3a serie,0.9826732673267327
1011,psantagema,ef 8o ano,0.9826435246995995
163,cem,ef 5o ano,0.9821251241310824
327,colegioensitec,ef 3o ano,0.9814323607427056
314,colegioeducallis,ef 2o ano,0.9814090019569471
935,pioxiicolegio,em 2a serie,0.9806853582554517
324,colegioeducallis,em 3a serie,0.98
1064,spdacruz,ef 9o ano,0.97998585572843
521,coopermundi,ef 6o ano,0.9777777777777777
318,colegioeducallis,ef 6o ano,0.9765777488614183
323,colegioeducallis,em 2a serie,0.9764705882352941
308,colegioecursoprogressao,ef 8o ano,0.9761904761904762
578,educandarioterciocorreia,ef 6o ano,0.976027397260274
378,colegiointegral,ef 3o ano,0.9741935483870968
1104,universitariolondrina,ef 4o ano,0.9739583333333334
248,colegiobilac,ef 7o ano,0.9733987603305785
268,colegiocb,ef 6o ano,0.9733831426570161
321,colegioeducallis,ef 9o ano,0.971380872883377
237,colegiobetelbrasileirosp,em 2a serie,0.971000935453695
244,colegiobilac,ef 3o ano,0.9709752321981424
934,pioxiicolegio,em 1a serie,0.9701263705630924
258,colegiobrasilia,ef 8o ano,0.97
1067,spdacruz,em 3a serie,0.9690729483282675
465,colegiouirapuru,ef 3o ano,0.9686274509803922
386,colegiointegral,em 2a serie,0.9682094168862413
307,colegioecursoprogressao,ef 7o ano,0.9668094218415417
207,colegioalphaunis,ef 9o ano,0.9666666666666667
274,colegiocb,em 3a serie,0.9650858306662787
647,integradaeducativa,ef 6o ano,0.9642456008985398
650,integradaeducativa,ef 9o ano,0.9636403222294796
320,colegioeducallis,ef 8o ano,0.9635937832659144
575,educandarioterciocorreia,ef 3o ano,0.9635416666666666
166,cem,ef 8o ano,0.9633898305084746
267,colegiocb,ef 5o ano,0.9633333333333334
245,colegiobilac,ef 4o ano,0.9632802937576499
255,colegiobrasilia,ef 5o ano,0.9624029423784226
329,colegioensitec,ef 5o ano,0.9614499424626007
1103,universitariolondrina,ef 3o ano,0.9607843137254902
996,progressaoig,em 3a serie,0.9606825368414772
206,colegioalphaunis,ef 8o ano,0.9604989604989606
580,educandarioterciocorreia,ef 8o ano,0.9592178770949721
242,colegiobilac,ef 1o ano,0.9586269196025293
468,colegiouirapuru,ef 6o ano,0.9577981651376147
157,ceespacolivre,em 1a serie,0.956989247311828
326,colegioensitec,ef 2o ano,0.9555555555555556
652,integradaeducativa,em 2a serie,0.9551597051597052
479,colegiouniverso,ef 9o ano,0.9545341614906833
356,colegioglobal,em 1a serie,0.9532453245324533
257,colegiobrasilia,ef 7o ano,0.9528046421663443
169,cem,em 2a serie,0.9521072796934866
256,colegiobrasilia,ef 6o ano,0.9517398508699254
1015,psantagema,em 3a serie,0.9510403916768666
176,ceprimeiromundo,ef 5o ano,0.9508333333333333
380,colegiointegral,ef 5o ano,0.9503253253253253
319,colegioeducallis,ef 7o ano,0.9495262038290466
254,colegiobrasilia,ef 4o ano,0.9494219653179191
923,pioxi,ef 7o ano,0.9492192459058018
