,namespace,grade,Número de AAs por turma
0,acessoalmirantetamandare,ef 2o ano,4.0
1,acessoalmirantetamandare,ef 3o ano,9.0
2,acessoalmirantetamandare,ef 4o ano,6.0
3,acessoalmirantetamandare,ef 5o ano,12.0
4,acessoalmirantetamandare,ef 6o ano,18.0
5,acessoalmirantetamandare,ef 7o ano,19.0
6,acessoalmirantetamandare,ef 8o ano,13.0
7,acessoalmirantetamandare,ef 9o ano,34.0
8,acessoalmirantetamandare,em 1a serie,47.0
9,acessoalmirantetamandare,em 2a serie,46.0
10,acessoalmirantetamandare,em 3a serie,7.0
11,acessoalmirantetamandare,outro,1.0
12,acessoboqueirao,ef 8o ano,10.5
13,acessoboqueirao,ef 9o ano,14.5
14,acessoboqueirao,em 1a serie,11.75
15,acessoboqueirao,em 2a serie,47.0
16,acessoboqueirao,em 3a serie,6.0
17,acessoboqueirao,outro,6.0
18,acessocampolargo,ef 6o ano,16.0
19,acessocampolargo,ef 7o ano,18.0
20,acessocampolargo,ef 8o ano,21.0
21,acessocampolargo,ef 9o ano,28.0
22,acessocampolargo,em 1a serie,40.0
23,acessocampolargo,em 2a serie,34.0
24,acessocampolargo,em 3a serie,7.0
25,acessocampolargo,outro,6.0
26,acessocampolargokids,ef 2o ano,2.5
27,acessocampolargokids,ef 3o ano,3.0
28,acessocampolargokids,ef 4o ano,8.0
29,acessocampolargokids,ef 5o ano,4.5
30,acessofazendariogrande,ef 2o ano,2.0
31,acessofazendariogrande,ef 3o ano,13.0
32,acessofazendariogrande,ef 4o ano,13.0
33,acessofazendariogrande,ef 5o ano,13.0
34,acessofazendariogrande,ef 6o ano,21.0
35,acessofazendariogrande,ef 7o ano,21.0
36,acessofazendariogrande,ef 8o ano,18.0
37,acessofazendariogrande,ef 9o ano,45.0
38,acessofazendariogrande,em 1a serie,48.0
39,acessofazendariogrande,em 2a serie,46.0
40,acessofazendariogrande,em 3a serie,6.0
41,acessofazendariogrande,outro,6.0
42,acessohauer,ef 2o ano,6.0
43,acessohauer,ef 3o ano,5.0
44,acessohauer,ef 4o ano,7.5
45,acessohauer,ef 5o ano,10.5
46,acessohauer,ef 6o ano,8.333333333333334
47,acessohauer,ef 7o ano,8.0
48,acessopinhais,em 1a serie,44.0
49,acessopinhais,em 2a serie,45.0
50,acessopinhais,em 3a serie,6.0
51,acessopinhais,outro,6.0
52,acessosantafelicidade,ef 2o ano,5.0
53,acessosantafelicidade,ef 3o ano,7.0
54,acessosantafelicidade,ef 4o ano,6.0
55,acessosantafelicidade,ef 5o ano,14.0
56,acessosantafelicidade,ef 6o ano,19.0
57,acessosantafelicidade,ef 7o ano,19.5
58,acessosantafelicidade,ef 8o ano,15.5
59,acessosantafelicidade,ef 9o ano,36.0
60,acessosantafelicidade,em 1a serie,41.0
61,acessosantafelicidade,em 2a serie,42.0
62,acessosantafelicidade,em 3a serie,6.0
63,acessosantafelicidade,outro,6.0
64,acessosjpinhais,ef 2o ano,3.25
65,acessosjpinhais,ef 3o ano,3.0
66,acessosjpinhais,ef 4o ano,1.7142857142857142
67,acessosjpinhais,ef 5o ano,9.5
68,acessosjpinhais,ef 6o ano,12.666666666666666
69,acessosjpinhais,ef 7o ano,13.666666666666666
70,acessosjpinhais,ef 8o ano,12.666666666666666
71,acessosjpinhais,ef 9o ano,19.333333333333332
72,acessosjpinhais,em 1a serie,50.0
73,acessosjpinhais,em 2a serie,46.0
74,acessosjpinhais,em 3a serie,8.0
75,acessosjpinhais,outro,8.0
76,adrianochan,outro,0.059233449477351915
77,aescobjetivo,ef 1o ano,8.0
78,aescobjetivo,ef 2o ano,9.5
79,aescobjetivo,ef 3o ano,17.0
80,aescobjetivo,ef 4o ano,5.5
81,aescobjetivo,ef 5o ano,6.5
82,aescobjetivo,ef 6o ano,13.0
83,aescobjetivo,ef 7o ano,12.5
84,aescobjetivo,ef 8o ano,13.5
85,aescobjetivo,ef 9o ano,12.5
86,aescobjetivo,em 1a serie,11.333333333333334
87,aescobjetivo,em 2a serie,11.8
88,aescobjetivo,em 3a serie,14.666666666666666
89,amadeus,ef 2o ano,2.5
90,amadeus,ef 3o ano,4.0
91,amadeus,ef 4o ano,4.0
92,amadeus,ef 5o ano,3.5
93,amadeus,ef 6o ano,8.333333333333334
94,amadeus,ef 7o ano,11.5
95,amadeus,ef 8o ano,7.0
96,amadeus,ef 9o ano,5.615384615384615
97,amadeus,em 1a serie,7.0
98,amadeus,em 2a serie,4.0
99,amadeus,em 3a serie,0.3333333333333333
100,amais,em 3a serie,2.0
101,amais,outro,2.0
102,amaisteste,ef 6o ano,1.0
103,amaisteste,ef 9o ano,1.0
104,amaisteste,em 1a serie,1.0
105,amaisteste,em 3a serie,1.0
106,apogeustoantonio2,ef 9o ano,2.0
107,apogeustoantonio2,outro,1.5384615384615385
108,aprovest,outro,0.3333333333333333
109,beityaacov,em 3a serie,1.0
110,brasilcursinhos,outro,1.6666666666666667
111,camerinocursos,outro,1.0
112,casdinhosjc,ef 8o ano,5.0
113,casdinhosjc,ef 9o ano,1.2
114,casdvest,outro,3.6666666666666665
115,cats,outro,6.0
116,cbpdigital,ef 2o ano,4.0
117,cbpdigital,ef 3o ano,4.5
118,cbpdigital,ef 4o ano,4.0
119,cbpdigital,ef 5o ano,4.5
120,cbpdigital,ef 6o ano,4.5
121,cbpdigital,ef 7o ano,3.3333333333333335
122,cbpdigital,ef 8o ano,3.6666666666666665
123,cbpdigital,ef 9o ano,4.0
124,ceabb,ef 3o ano,4.0
125,ceabb,ef 4o ano,1.0
126,ceabb,ef 5o ano,1.0
127,ceabb,ef 6o ano,22.0
128,ceabb,ef 7o ano,24.0
129,ceabb,ef 8o ano,21.0
130,ceabb,ef 9o ano,18.0
131,cecbdf,em 1a serie,0.5
132,cecbdf,em 2a serie,0.5
133,cecbdf,em 3a serie,0.5
134,ceespacolivre,ef 5o ano,4.0
135,ceespacolivre,ef 6o ano,5.333333333333333
136,ceespacolivre,ef 7o ano,3.5
137,ceespacolivre,ef 8o ano,2.6666666666666665
138,ceespacolivre,ef 9o ano,4.0
139,ceespacolivre,em 1a serie,9.0
140,ceespacolivre,em 2a serie,6.5
141,cem,ef 2o ano,6.0
142,cem,ef 3o ano,7.0
143,cem,ef 4o ano,6.0
144,cem,ef 5o ano,6.0
145,cem,ef 6o ano,10.0
146,cem,ef 7o ano,9.0
147,cem,ef 8o ano,9.0
148,cem,ef 9o ano,12.0
149,cem,em 1a serie,14.0
150,cem,em 2a serie,12.0
151,cem,em 3a serie,12.0
152,ceprimeiromundo,ef 1o ano,2.0
153,ceprimeiromundo,ef 2o ano,1.0
154,ceprimeiromundo,ef 3o ano,1.0
155,ceprimeiromundo,ef 4o ano,1.3333333333333333
156,ceprimeiromundo,ef 5o ano,2.0
157,ceprimeiromundo,ef 6o ano,6.333333333333333
158,ceprimeiromundo,ef 7o ano,5.333333333333333
159,ceprimeiromundo,ef 8o ano,6.0
160,ceprimeiromundo,ef 9o ano,6.166666666666667
161,ceprimeiromundo,em 1a serie,8.0
162,ceprimeiromundo,em 2a serie,9.4
163,ceprimeiromundo,em 3a serie,2.0
164,ceprimeiromundo,outro,37.0
165,ciadosaber,ef 2o ano,1.0
166,ciadosaber,ef 3o ano,3.5
167,ciadosaber,ef 4o ano,3.5
168,ciadosaber,ef 5o ano,4.0
169,ciadosaber,ef 6o ano,4.8
170,ciadosaber,ef 7o ano,7.0
171,ciadosaber,ef 8o ano,2.3333333333333335
172,ciadosaber,ef 9o ano,6.5
173,cmdpii,em 2a serie,9.0
174,cnslpb,ef 6o ano,2.0
175,cnslpb,ef 7o ano,1.0
176,cnslpb,ef 8o ano,1.0
177,cnslpb,ef 9o ano,4.0
178,cnslpb,em 1a serie,6.666666666666667
179,cnslpb,em 2a serie,6.666666666666667
180,cnslpb,em 3a serie,7.0
181,colegioalphaunis,ef 6o ano,6.5
182,colegioalphaunis,ef 7o ano,6.5
183,colegioalphaunis,ef 8o ano,11.0
184,colegioalphaunis,ef 9o ano,8.0
185,colegioalphaunis,em 1a serie,13.0
186,colegioalphaunis,em 2a serie,13.0
187,colegioalphaunis,em 3a serie,14.0
188,colegioanchietai,em 1a serie,1.5
189,colegioanchietai,em 2a serie,3.0
190,colegioanchietai,em 3a serie,3.0
191,colegioanchietaii,em 1a serie,1.0
192,colegioanchietaii,em 2a serie,3.0
193,colegioanchietaii,em 3a serie,3.0
194,colegioarena,em 1a serie,19.0
195,colegioarena,em 2a serie,18.0
196,colegioarena,em 3a serie,19.0
197,colegioarena,outro,2.0
198,colegiobatistaindependente,ef 5o ano,6.0
199,colegiobatistaindependente,ef 6o ano,25.0
200,colegiobatistaindependente,ef 7o ano,24.0
201,colegiobatistaindependente,ef 8o ano,15.333333333333334
202,colegiobatistaindependente,ef 9o ano,19.5
203,colegiobatistaindependente,em 1a serie,18.5
204,colegiobatistaindependente,em 2a serie,25.0
205,colegiobatistaindependente,em 3a serie,14.5
206,colegiobatistaindependente,outro,1.0
207,colegiobetelbrasileirosp,ef 6o ano,3.0
208,colegiobetelbrasileirosp,ef 7o ano,2.7142857142857144
209,colegiobetelbrasileirosp,ef 8o ano,2.7142857142857144
210,colegiobetelbrasileirosp,ef 9o ano,2.625
211,colegiobetelbrasileirosp,em 1a serie,2.2857142857142856
212,colegiobetelbrasileirosp,em 2a serie,2.6
213,colegiobetelbrasileirosp,em 3a serie,3.6666666666666665
214,colegiobianguloiv,em 1a serie,0.6
215,colegiobianguloiv,em 2a serie,1.0
216,colegiobianguloiv,em 3a serie,1.0
217,colegiobilac,ef 1o ano,11.0
218,colegiobilac,ef 2o ano,12.0
219,colegiobilac,ef 3o ano,15.0
220,colegiobilac,ef 4o ano,17.0
221,colegiobilac,ef 5o ano,18.0
222,colegiobilac,ef 6o ano,21.0
223,colegiobilac,ef 7o ano,21.0
224,colegiobilac,ef 8o ano,21.0
225,colegiobilac,ef 9o ano,23.0
226,colegiobrasilia,ef 2o ano,12.75
227,colegiobrasilia,ef 3o ano,11.25
228,colegiobrasilia,ef 4o ano,24.333333333333332
229,colegiobrasilia,ef 5o ano,14.6
230,colegiobrasilia,ef 6o ano,3.25
231,colegiobrasilia,ef 7o ano,6.0
232,colegiobrasilia,ef 8o ano,5.375
233,colegiobrasilia,ef 9o ano,8.333333333333334
234,colegiobrasilia,em 1a serie,7.0
235,colegiobrasilia,em 2a serie,8.25
236,colegiobrasilia,em 3a serie,17.0
237,colegiobrasilia,outro,1.75
238,colegiocb,ef 3o ano,2.5
239,colegiocb,ef 4o ano,4.0
240,colegiocb,ef 5o ano,5.5
241,colegiocb,ef 6o ano,3.3333333333333335
242,colegiocb,ef 7o ano,3.0
243,colegiocb,ef 8o ano,3.3333333333333335
244,colegiocb,ef 9o ano,4.666666666666667
245,colegiocb,em 1a serie,4.4
246,colegiocb,em 2a serie,3.8
