,namespace,grade,numero_ex
0,acessoalmirantetamandare,ef 2o ano,77.0
1,acessoalmirantetamandare,ef 3o ano,97.0
2,acessoalmirantetamandare,ef 4o ano,58.0
3,acessoalmirantetamandare,ef 5o ano,103.0
4,acessoalmirantetamandare,ef 6o ano,165.0
5,acessoalmirantetamandare,ef 7o ano,160.0
6,acessoalmirantetamandare,ef 8o ano,113.0
7,acessoalmirantetamandare,ef 9o ano,384.0
8,acessoalmirantetamandare,em 1a serie,800.0
9,acessoalmirantetamandare,em 2a serie,795.0
10,acessoalmirantetamandare,em 3a serie,598.0
11,acessoalmirantetamandare,outro,20.0
12,acessoboqueirao,ef 8o ano,172.75
13,acessoboqueirao,ef 9o ano,386.5
14,acessoboqueirao,em 1a serie,513.0
15,acessoboqueirao,em 2a serie,768.0
16,acessoboqueirao,em 3a serie,764.0
17,acessoboqueirao,outro,764.0
18,acessocampolargo,ef 6o ano,141.0
19,acessocampolargo,ef 7o ano,159.0
20,acessocampolargo,ef 8o ano,184.0
21,acessocampolargo,ef 9o ano,367.0
22,acessocampolargo,em 1a serie,800.0
23,acessocampolargo,em 2a serie,581.0
24,acessocampolargo,em 3a serie,598.0
25,acessocampolargo,outro,578.0
26,acessocampolargokids,ef 2o ano,48.0
27,acessocampolargokids,ef 3o ano,67.0
28,acessocampolargokids,ef 4o ano,79.0
29,acessocampolargokids,ef 5o ano,76.0
30,acessofazendariogrande,ef 2o ano,19.0
31,acessofazendariogrande,ef 3o ano,140.0
32,acessofazendariogrande,ef 4o ano,127.0
33,acessofazendariogrande,ef 5o ano,113.0
34,acessofazendariogrande,ef 6o ano,162.0
35,acessofazendariogrande,ef 7o ano,170.0
36,acessofazendariogrande,ef 8o ano,147.0
37,acessofazendariogrande,ef 9o ano,656.0
38,acessofazendariogrande,em 1a serie,783.0
39,acessofazendariogrande,em 2a serie,769.0
40,acessofazendariogrande,em 3a serie,578.0
41,acessofazendariogrande,outro,578.0
42,acessohauer,ef 2o ano,58.0
43,acessohauer,ef 3o ano,56.0
44,acessohauer,ef 4o ano,83.5
45,acessohauer,ef 5o ano,109.0
46,acessohauer,ef 6o ano,125.33333333333333
47,acessohauer,ef 7o ano,120.66666666666667
48,acessopinhais,em 1a serie,757.0
49,acessopinhais,em 2a serie,758.0
50,acessopinhais,em 3a serie,578.0
51,acessopinhais,outro,578.0
52,acessosantafelicidade,ef 2o ano,48.0
53,acessosantafelicidade,ef 3o ano,78.0
54,acessosantafelicidade,ef 4o ano,60.0
55,acessosantafelicidade,ef 5o ano,121.0
56,acessosantafelicidade,ef 6o ano,160.0
57,acessosantafelicidade,ef 7o ano,181.0
58,acessosantafelicidade,ef 8o ano,149.0
59,acessosantafelicidade,ef 9o ano,434.0
60,acessosantafelicidade,em 1a serie,749.0
61,acessosantafelicidade,em 2a serie,754.0
62,acessosantafelicidade,em 3a serie,578.0
63,acessosantafelicidade,outro,578.0
64,acessosjpinhais,ef 2o ano,98.75
65,acessosjpinhais,ef 3o ano,106.75
66,acessosjpinhais,ef 4o ano,75.0
67,acessosjpinhais,ef 5o ano,158.0
68,acessosjpinhais,ef 6o ano,171.0
69,acessosjpinhais,ef 7o ano,189.0
70,acessosjpinhais,ef 8o ano,181.0
71,acessosjpinhais,ef 9o ano,306.3333333333333
72,acessosjpinhais,em 1a serie,794.0
73,acessosjpinhais,em 2a serie,763.0
74,acessosjpinhais,em 3a serie,731.0
75,acessosjpinhais,outro,731.0
76,adrianochan,outro,261.3937282229965
77,aescobjetivo,ef 1o ano,52.0
78,aescobjetivo,ef 2o ano,69.0
79,aescobjetivo,ef 3o ano,87.0
80,aescobjetivo,ef 4o ano,68.5
81,aescobjetivo,ef 5o ano,76.5
