,namespace,grade,Tempo de correção por aluno por questão
0,acessoalmirantetamandare,ef 6o ano,0 days 03:49:53.791758750
1,acessoalmirantetamandare,ef 7o ano,0 days 01:29:10.170030
2,acessoalmirantetamandare,ef 9o ano,0 days 00:42:31.273143
3,acessoalmirantetamandare,em 1a serie,0 days 01:47:26.196918666
4,acessocampolargo,ef 7o ano,0 days 01:29:57.358614333
5,acessocampolargo,ef 8o ano,0 days 01:13:51.728738
6,acessocampolargo,ef 9o ano,0 days 01:43:17.744517750
7,acessocampolargo,em 1a serie,0 days 01:31:30.917669
8,acessocampolargo,em 2a serie,0 days 01:27:57.043432
9,acessocampolargokids,ef 5o ano,0 days 00:00:47.135788500
10,acessofazendariogrande,ef 5o ano,0 days 04:58:50.947726500
11,acessofazendariogrande,ef 7o ano,0 days 12:36:20.513536
12,acessofazendariogrande,ef 8o ano,0 days 07:34:05.683774
13,acessohauer,ef 5o ano,0 days 01:09:04.412228714
14,acessohauer,ef 7o ano,0 days 01:01:36.167706272
15,acessosantafelicidade,ef 5o ano,0 days 02:04:40.395790250
16,acessosantafelicidade,ef 6o ano,0 days 00:49:07.630223
17,acessosantafelicidade,ef 7o ano,0 days 05:28:04.743714250
18,acessosantafelicidade,ef 8o ano,0 days 02:05:53.559933500
19,acessosjpinhais,ef 7o ano,0 days 01:30:13.896946
20,acessosjpinhais,ef 9o ano,0 days 00:28:39.122563333
21,aescobjetivo,ef 1o ano,0 days 01:58:20.234811
22,aescobjetivo,ef 2o ano,0 days 00:37:29.184233250
23,aescobjetivo,ef 3o ano,0 days 00:31:11.643383
24,aescobjetivo,ef 4o ano,0 days 00:08:06.219848
25,amadeus,ef 6o ano,0 days 04:46:47.334577333
26,amadeus,ef 7o ano,0 days 00:01:36.912826
27,amadeus,ef 8o ano,0 days 03:29:54.992495
28,amadeus,ef 9o ano,5 days 14:33:34.924788437
29,ceespacolivre,ef 5o ano,0 days 07:29:55.208023
