,namespace,Porcentagem de administrantes que visualizaram relatórios de AA
0,abb,0.0
1,abdiasmartins,0.0
2,abgarrenault,0.0
3,abiliomartins,0.0
4,abm,0.0
5,academia,0.0
6,academiaboaviagem,0.0
7,academiacrista,0.0
8,academiadasespecificas,0.0
9,academicgeek,0.0
10,acesso,0.0
11,acessoalmirantetamandare,0.13793103448275862
12,acessoapogeu,0.0
13,acessoboqueirao,0.14705882352941177
14,acessocampolardo,0.0
15,acessocampolargo,0.0967741935483871
16,acessocampolargokids,0.09523809523809523
17,acessoemilianoperneta,0.0
18,acessofazendariogrande,0.125
19,acessohauer,0.09523809523809523
20,acessopinhais,0.1
21,acessoportao,0.09090909090909091
22,acessosantafelicidade,0.2962962962962963
23,acessosjpinhais,0.2
24,acqio,0.0
25,adeajuda,0.0
26,adilsonfranco,0.0
27,adrianochan,0.9230769230769231
28,adventistacaxias,0.0
29,adventus,0.0
30,aeai,0.0
31,aees,0.0
32,aescobjetivo,0.631578947368421
33,agape,0.0
34,agathos,0.0
35,agathoseducacional,0.0
36,agoramath,0.0
37,agostiniano,0.0
38,aguiasdosaber,0.0
39,ahuscao,0.0
40,akmaestra,0.0
41,albertocabral,0.0
42,albertsabin,0.0
43,alfacembilingue,0.0
44,alferomendes,0.0
45,alfeurosa,0.0
46,almirantebarroso,0.0
47,alpha,0.0
48,alphaacompanhamento,0.0
49,alpheurosa,0.0
50,alternativocursoecolegio,0.0
51,alura,0.0
52,amadeus,0.2894736842105263
53,amais,0.0297029702970297
54,amaismaker,0.0
55,amaisteste,0.0
56,americanobatistadapraiadacosta,0.0
57,analise,0.0
58,anchieta,0.0
59,anchietaba,0.0
60,anglocassianoricardo,0.0
61,anglojacarei,0.0
62,anima,0.0
63,animalnaopercebe,0.0
64,anitagoncalves,0.5
65,anossaatmosfera,0.0
66,antaresbarbosadefreitas,0.0
67,antaresfatima,0.0
68,antaresirmamaria,0.0
69,antaresjardins,0.0
70,antarespapicu,0.0
71,antarespraiadeiracema,0.0
72,antaressantosdumont,0.0
73,antaresseisbocas,0.0
74,antoniairene,0.0
75,antoniocesar,0.0
76,antoniolima,0.0
77,antoniomelo,0.0
78,antonioportela,0.0
79,antoniovieira,0.0
80,anyway,0.0
81,aocubo,0.0
82,aocubovestibular,0.0
83,aog,0.0
84,apogeu,0.010309278350515464
85,apogeuarcoiris,0.0
86,apogeubenfica,0.0
87,apogeucemap,0.0
88,apogeudivinopolis,0.0
89,apogeumbcursos,0.0
90,apogeunovohorizonte,0.0
91,apogeuparademinas,0.0
92,apogeupiaget,0.0
93,apogeupousoalegre,0.0
94,apogeustoantonio1,0.0
95,apogeustoantonio2,0.38461538461538464
96,apogeuuba,0.0
97,apotec,0.0
98,aprendaquimica,0.0
99,aprendemesmo,0.0
100,aprovest,0.5
101,arbos,0.0
102,arbosscs,0.0
103,arcadenoe,0.0
104,arco,0.0
105,arena,0.0
106,aridesa,0.0
107,arlindocavalcanti,0.0
108,arp,0.0
109,arquidiocesano,0.0
110,arturferreira,0.0
111,arturtavares,0.0
112,asario,0.0
113,asdfghfdsa,0.0
114,asjiu,0.0
115,assisbrasil,0.0
116,ateneulondrina,0.0
117,ativaaprendizagem,0.0
118,atmo,0.0
119,atuall,0.0
120,augustolaranja,0.0
121,aurora,0.0
122,autores,0.0
123,auxiliadorarj,0.0
124,avaliacaoapogeu,0.06060606060606061
125,babycamp,0.0
126,babyhouse,0.0
127,bahema,0.0
128,bancodequestoes,0.0
129,bancodequestoesgratuito,0.0
130,baraodemaua,0.0
131,barquinhodepapeldf,0.0
132,barraazul,0.0
133,barradevbarranull,0.0
134,batistaagnusdei,0.0
135,batistaburitis,0.0
136,batistadaprimeira,0.0
137,batistaibicui,0.0
138,batistaindependente,0.0
139,batistamaranata,0.0
140,batistanovasiao,0.0
141,batistaregular,0.0
142,batistariopretense,0.0
143,batistasantosdumont,0.0
144,batistasaovicente,0.0
145,batistashalon,0.0
146,batistavistaalegre,0.0
147,beityaacov,0.6666666666666666
148,benjaminconstant,0.0
149,benjamitacardona,0.0
150,berlaar,0.0
151,bernardosayao,0.0
152,bertelsmann,0.0
153,betesda,0.0
154,betuel,0.0
155,bilac,0.0
156,biologiabarauna,0.0
157,biologiaprofluis,0.0
158,blueschooleducacional,0.0
159,blumenaucoc,0.0
160,boaviagem,0.0
161,bondienglish,0.0
162,bonfim,0.0
163,borapassar,0.0
164,borgesamorim,0.0
165,bosquemananciais,0.0
166,bozano,0.0
167,bragaenglish,0.0
168,brasilcursinhos,0.11764705882352941
169,brasilsoft,0.0
170,buddys,0.0
171,bumerangeprofissoes,0.0
172,buser,0.0
173,c7s,0.0
174,cacbab,0.0
175,cadern,0.0
176,calculo2,1.0
177,cam,0.0
178,camerinocursos,1.0
179,camp,0.0
180,campeia,0.0
181,campossalles,0.0
182,canalrevisao,0.0
183,capacitacaoinspira,0.0
184,capellakids,0.0
185,cappta,0.0
186,cardealarcoverde,0.0
187,carlospicaza,0.0
188,carpediem,0.0
189,cascavelense,0.0
190,casdinhosjc,0.25
191,casdvest,0.2
192,castelinhodosaber,0.0
193,castelobruxo,0.0
194,castelodeeducacao,0.0
195,castroalves,0.0
196,catamaravita,0.0
197,catarinense,0.0
198,catolica,0.0
199,cats,1.0
200,caur,0.0
201,cav,0.0
202,cbas,0.0
203,cbatistanovasiao,0.0
204,cbbrasileiro,0.0
205,cbic,0.0
206,cbpalmas,0.0
207,cbpdigital,0.8333333333333334
208,ccdivitoriaregia,0.0
209,cce,0.0
210,cci,0.0
211,ccncertificadora,0.0
212,ccpa,0.0
213,ccserrinha,0.0
214,cct,0.0
215,cdf,0.0
216,cdi,0.0
217,ceabb,0.5
218,ceac,0.0
219,cealegriadesaber,0.0
220,ceantenorreis,0.0
221,ceantoniocarlosmagalhaes,0.0
222,cearacruz,0.0
223,ceasf,0.0
224,cebeijaflor,0.0
225,cebnossasenhoraaparecida,0.0
226,cebnsa,0.0
227,cecb,0.5
228,cecbdf,1.0
229,ceccataguases,0.0
230,cecenecista,0.0
231,cecgama,0.0
232,cecharlesdarwin,0.0
233,cedac,0.0
234,cedecisivo,0.0
235,ceescolita,0.0
236,ceespacolivre,0.5
237,cefa,0.0
238,cegetsemani,0.0
239,cei,0.0
240,ceitaipaiva,0.0
241,ceivanilsoncosta,0.0
242,cejosueroberto,0.0
243,cekerigma,0.0
244,celauracabral,0.0
245,celp,0.0
246,cem,0.7142857142857143
247,cema,0.0
248,cemanoelgoncalves,0.0
249,cemardf,0.0
250,cemaristasaojose,0.0
251,cemj,0.0
252,cemluciamayvore,0.0
253,cemonza,0.0
254,cempacanguaretamarn,0.0
255,cenaza,0.0
256,cenecistaml,0.0
257,cenic,0.0
258,cenpec,0.0
259,censic,0.0
260,centec,0.0
261,centreensinoetreinamento,0.0
262,centroarcadenoe,0.0
263,centrodeensinomoderno,0.0
264,centrodeensinosementinhadofuturo,0.0
265,centrodeensinoserrano,0.0
266,centroeaviv,0.0
267,centroedcordeiro,0.0
268,centroeditalva,0.0
269,centroeducacionalaprendiz,0.0
270,centroeducacionalaviv,0.0
271,centroeducacionalbrasileirinho,0.0
272,centroeducacionalelo,0.0
273,centroeducacionalimpar,0.0
274,centroeducacionalinovacao,0.0
275,centroeducacionalkolping,0.0
276,centroeducacionalmeta,0.0
277,centroeducacionalsonhodedeus,0.0
278,centroedupincelmagico,0.0
279,centroescolaranamelia,0.0
280,centrosuperiordetecnologia,0.0
281,cep,0.0
282,cepaulista,0.0
283,cepaulofreire,0.0
284,cepe,0.0
285,cepep,0.0
286,ceportoseguro,0.0
287,cepotencial,0.0
288,cepquinzedenovembro,0.0
289,ceprabotucatu,0.0
290,cepresbiterianodebayeux,0.0
291,ceprimeiromundo,0.28125
292,ceprojetar,0.0
293,cepvilhena,0.0
294,cerecantointerativo,0.0
