,namespace,Porcentagem de visualização de relatórios de AA
0,acesso,0.0
1,acessoalmirantetamandare,0.4973958333333333
2,acessoboqueirao,0.3839325914967518
3,acessocampolargo,0.4911350455675228
4,acessocampolargokids,0.3276283618581907
5,acessoemilianoperneta,0.0
6,acessofazendariogrande,0.4316023912788653
7,acessohauer,0.5469569779643232
8,acessopinhais,0.4179431072210066
9,acessoportao,0.0
10,acessosantafelicidade,0.41237668161434976
11,acessosjpinhais,0.4110960408189627
12,adrianochan,0.2114115058157812
13,aescobjetivo,0.29953123505213813
14,agathoseducacional,0.0
15,albertsabin,0.0
16,alfacembilingue,0.0
17,alfeurosa,0.0
18,alpha,0.0
19,amadeus,0.3386330525115601
20,amais,0.0
21,amaismaker,0.0
22,amaisteste,0.08333333333333333
23,anchietaba,0.0
24,anitagoncalves,0.0
25,anossaatmosfera,0.0
26,apogeubenfica,0.0
27,apogeupousoalegre,0.0
28,apogeustoantonio1,0.0
29,apogeustoantonio2,0.3474747474747475
30,aprovest,0.8588235294117647
31,arena,0.0
32,arlindocavalcanti,0.0
33,atmo,0.0
34,augustolaranja,0.0
35,avaliacaoapogeu,0.0
36,bahema,0.0
37,beityaacov,0.0
38,benjaminconstant,0.0
39,bertelsmann,0.019230769230769232
40,blueschooleducacional,0.0
41,boaviagem,0.0
42,borapassar,0.0
43,bosquemananciais,0.0
44,brasilcursinhos,0.442257217847769
45,calculo2,0.18229166666666666
46,camerinocursos,0.05362776025236593
47,capacitacaoinspira,0.0
48,casdinhosjc,0.29142330156778357
49,casdvest,0.055407090682344555
50,catamaravita,0.0
51,catarinense,0.0
52,cats,0.38636363636363635
53,caur,0.0
54,cav,0.0
55,cbpdigital,0.7461240310077519
56,ceabb,0.15378289473684212
57,cecbdf,0.0
58,ceespacolivre,0.10887428101889893
59,cem,0.7754985754985755
60,ceprimeiromundo,0.15967314487632508
61,cepseguro,0.0
62,cfc,0.0
63,cfimaculadaconceicao,0.0
64,charlesdarwin,0.0
65,ciadosaber,0.2988929889298893
66,cicserratalhada,0.0
67,classea,0.0
68,cmdpii,0.0
69,cnslpb,0.17373175816539263
70,cognita,0.0
71,cognitivo,0.0
72,colcardealarcoverde,0.0
73,colcognicao,0.0
74,colegio15,0.0
75,colegioagnes,0.0
76,colegioalbertsabin,0.0
77,colegioalphaunis,0.5415977961432507
78,colegioanchietai,0.0
79,colegioanchietaii,0.06060606060606061
80,colegioarena,0.37795733302330986
81,colegiobatistaindependente,0.67946959304984
82,colegiobetelbrasileirosp,0.7764397905759163
83,colegiobianguloiv,0.018518518518518517
84,colegiobilac,0.17924695068057275
85,colegiobrasilia,0.4058309630231613
86,colegiocb,0.5986218776916451
87,colegiocfi,0.0
88,colegiocognos,0.0
89,colegiodasamericas,0.6784932106876916
90,colegiodelta,0.0
91,colegiodompe,0.0
92,colegiodompedrosegundo,0.5555555555555556
93,colegiodosjesuitas,0.0
94,colegiodourado,0.0
95,colegioeag,0.40836012861736337
96,colegioeccos,0.0
97,colegioecursodesafio,0.3039959534648457
98,colegioecursoover,0.0
99,colegioecursoprogressao,0.6149892118289123
100,colegioecursoviver,0.0
101,colegioeducallis,0.5822847273624475
102,colegioensitec,0.6359593392630242
103,colegioexatus,0.0
104,colegioeximius,0.0
105,colegiofera,0.0
106,colegioflamingo,0.411522633744856
107,colegiofuturageracao,0.6787479406919276
108,colegioglobal,0.6808165910563837
109,colegioguilhermedealmeida,0.505607476635514
110,colegioiguatemy,0.40052461662631156
111,colegiointegral,0.7358943577430972
112,colegioitamarati,0.0
113,colegiojoaopaulo,0.638964167419452
114,colegioliceu,0.07466666666666667
115,colegiomagnum,0.2725490196078431
116,colegiomarilia,0.0
117,colegiomartinus,0.0
118,colegiomodelo,0.02
119,colegiomundial,0.3629032258064516
120,colegionobre,0.0
121,colegionovageracao,0.28444444444444444
122,colegionovopatio,0.2608695652173913
123,colegiopadreeustaquio,0.0
124,colegiopassionista,0.0
125,colegiopioxii,0.0
126,colegioplanck,0.5637969094922737
127,colegiopontualrecife,0.0
128,colegiopremium,0.4036796536796537
129,colegioprogresso,0.0
130,colegioradar,0.0
131,colegioreacao,0.0
132,colegioriobranco,0.0
133,colegiosaberviver,0.0
134,colegiosalesianorn,0.0
135,colegiosantadoroteia,0.0
136,colegiosantamaria,0.037037037037037035
137,colegiosaojudas,0.0
138,colegiosaoluis,0.0
139,colegioser,0.3125748502994012
140,colegiosete,0.42567606361600735
141,colegioshalomoficial,0.16666666666666666
142,colegiosoma,0.0
143,colegiosuperacao,0.0
144,colegiouirapuru,0.21294539321104786
145,colegiounidadejardim,0.0
146,colegiouniverso,0.3719892952720785
147,colegioup,0.4077633076242256
148,coleguium,0.0
149,colevolucao,0.0
150,colhemerlindacorreia,0.0
151,colmariatereza,0.0
152,colprimeiraclasse,0.0
153,colsantacatarinape,0.0
154,colsantamaria,0.0
155,colshalom,0.0
156,colsorriso,0.0
157,colterceiromilenio,0.0
158,colveracruz,0.0
159,conexaosaber,0.12394705174488568
160,conib,0.0
161,contemporaneo,0.0
162,contemporaneocidadeverde,0.5262297518204785
163,contemporaneolagoanova,0.6516240681576145
164,coopermundi,0.13043478260869565
165,cotemig,0.0
166,cparaiso,0.05555555555555555
167,crb,0.21731021620501484
168,crescercampinas,0.35916186190409227
169,cruzeiro,0.0
170,culturainglesa,0.0
171,cursinhoeach,0.20408163265306123
172,cursobase,0.9523809523809523
173,cursoenfase,0.165402124430956
174,cursoisfera,0.4033467974610502
175,cursoleopoldo,0.23627075351213284
176,cursoprogressao,0.16666666666666666
177,cursosazambuja,0.5929752066115702
178,czcnet,0.0
179,dante,0.02040816326530612
180,dantealighieri,0.0
181,darwin,0.0
182,delta,0.0
183,deltaeducacional,0.2106969205834684
184,demo,0.0
185,diocesanocaruaru,0.0
186,dionysia,0.0
187,dokimos,0.0
188,dombosco,0.0
189,domboscopetrolina,0.0
190,dominius,0.0
191,dommga,0.5460526315789473
192,domus,0.47549019607843135
193,eacorcovado,0.41638225255972694
194,eccos,0.7128623188405797
195,educamais,0.0
196,educandarioterciocorreia,0.308411214953271
197,educarse,0.07636363636363637
198,eduqo,0.0
199,einsteinassis,0.31932773109243695
200,elitecuritiba,0.0
201,elitecuritibaemilianoperneta,0.45921325051759837
202,eluneonline,0.3333333333333333
203,elvirabrandao,0.0
204,ensinando,0.0
205,equipe,0.0
206,equipea,0.0
207,escola,0.0
208,escolaalpha,0.0
209,escolacastanheiras,0.0
210,escolaceciliameireles,0.20159680638722555
211,escoladeimpacto,0.0
212,escoladofuturo,0.0
213,escoladomingossavio,0.0
214,escolaidaam,0.0
215,escolainternacional,0.0
216,escolajardimdasnacoes,0.0
217,escolamaster,0.27613412228796846
218,escolapresbiterianadecanal,0.0
219,escprogressiva,0.0
220,escreva,0.0
221,esmg,0.0
222,esperanza,0.0
223,estantemagica,0.0
224,estreladamanha,0.0
225,evolucaojpa,0.0
226,faculdadeflamingo,0.6474820143884892
227,forumcultural,0.0
228,franciscanopioxii,0.0
229,francobrasileiro,0.04296875
230,fundacaobradesco,0.0
231,galois,0.0
232,garra,0.2257142857142857
233,gaylussac,0.0
234,gerabixo,0.021834061135371178
235,geracaoatual,0.0
236,grandepasso,0.0
237,idaam,0.49137931034482757
238,idb,0.0
239,igmk,0.0
240,imaculada,0.0
241,implantacao,0.0
242,insa,0.07717041800643087
243,institutoauxiliadoradf,0.2139917695473251
244,institutocristao,0.05898876404494382
245,institutoeurofarma,0.6823204419889503
246,institutoideia,0.0
247,institutomariaauxiliadora,0.0
248,institutosaojose,0.10945273631840796
249,integra,0.730593607305936
250,integradaeducativa,0.6897905759162304
251,invictus,0.5208526413345691
252,iracemarufino,0.25
253,isem,0.6935020126509488
254,isemear,0.0
255,ismart,0.20408163265306123
256,itamarati,0.73
257,jardimsaopaulo,0.0
258,jazzvestibular,0.48148148148148145
259,jeanpiaget,0.0
260,joaobelem,0.2894736842105263
261,josemelo,0.0
262,josepiaulino,0.0
263,lasalleaguasclaras,0.02756892230576441
264,lasallesp,0.0
265,lerote,0.0
266,liceujardim,0.0
267,liderasas,0.0
268,liessin,0.0
269,liessinbarra,0.2857142857142857
270,litteratus,0.021739130434782608
271,macvest,0.5618374558303887
272,magister,0.6519230769230769
273,magno,0.0
274,magnum,0.0
275,magnumagostiniano,0.0
276,maplebearslz,0.44989525139664804
277,mariliamattoso,0.6320754716981132
278,maristadomsilverio,0.0
279,master,0.22021439509954058
280,meta,0.007874015748031496
281,metodocerto,0.0
282,minhalista,0.25
283,moaciralves,0.04672897196261682
284,mobile,0.0
285,monsenhorgoncalo,0.0
286,montessori,0.1744186046511628
287,motiva,0.0
288,mundialfranciscobeltrao,0.045454545454545456
289,murilorocha,0.08188585607940446
290,navegasas,0.0
291,nossasenhoradesion,0.0
292,notredame,0.0
293,novageracaope,0.0
294,novotempo,0.36787564766839376
295,nsdasgracas,0.0
296,nucleo,0.0
297,nucleocriativo,0.16955995155429957
298,nucleopva,0.5223214285714286
299,objetivoamericana,0.0
300,objetivohortolandia,0.0
301,objetivolorena,0.24138896667600113
