,namespace,Porcentagem de relatórios de AA visualizados por docente
0,abiliomartins,0.0
1,acessoalmirantetamandare,0.8192791005291005
2,acessoboqueirao,0.8
3,acessocampolargo,0.6428571428571429
4,acessocampolargokids,0.8916666666666668
5,acessofazendariogrande,0.6347402597402596
6,acessohauer,0.9533730158730158
7,acessopinhais,0.9791666666666666
8,acessosjpinhais,0.5996698032010149
9,adrianochan,0.5523415977961432
10,aescobjetivo,0.6306084151147011
11,alfacembilingue,1.0
12,alpha,0.0
13,amadeus,0.5484438401105068
14,amais,1.0
15,amaisteste,0.038461538461538464
16,anchietaba,0.5
17,antoniomelo,0.0
18,aprovest,0.0
19,arena,0.0
20,arlindocavalcanti,0.5
21,barraazul,0.0
22,brasilcursinhos,1.0
23,casdinhosjc,0.5
24,castelobruxo,1.0
25,cats,0.3333333333333333
26,cbpdigital,0.4295542927965136
27,ceabb,0.9092592592592593
28,ceespacolivre,0.7777218152218153
29,cem,0.8813095238095237
30,ceprimeiromundo,0.7317479911565933
31,charlesdarwin,0.0
32,ciadosaber,0.7043117489341745
33,cnslpb,0.5858762449671541
34,cognitivo,0.0
35,colegioalphaunis,0.7351190476190476
36,colegioarena,0.25857889977955767
37,colegiobatistaindependente,0.7742835200816737
38,colegiobetelbrasileirosp,0.9752747252747253
39,colegiobilac,0.8504602415128731
40,colegiobrasilia,0.7046858249821573
41,colegiocb,0.8755831920604646
42,colegiodasamericas,0.6479509698519393
43,colegioeag,0.6208333333333333
44,colegioecursodesafio,0.4917385426857477
45,colegioecursoprogressao,0.899774139022141
46,colegioeducallis,0.7277500817260543
47,colegioensitec,0.8238257575757576
48,colegioflamingo,0.5983293455515677
49,colegiofuturageracao,0.6884246188594015
50,colegioglobal,0.7660314499429333
51,colegioguilhermedealmeida,1.0
52,colegioiguatemy,0.7884025889830844
53,colegiointegral,0.49357920511703907
54,colegiojoaopaulo,0.7780765604295016
55,colegiomagnum,0.0
56,colegionobre,1.0
57,colegionovageracao,0.16975308641975306
58,colegiopremium,0.8528673835125449
59,colegioprogresso,0.0
60,colegioradar,0.0
61,colegiosantamaria,0.6666666666666666
62,colegioser,0.4
63,colegiosete,0.6808915485386072
64,colegioshalomoficial,0.35
65,colegiouirapuru,0.6996488696488696
66,colegiouniverso,0.359457671957672
67,colegioup,0.48630637729586057
68,conexaosaber,0.7753103378103378
69,contemporaneo,0.5694444444444444
70,contemporaneocidadeverde,0.6578790726817043
71,contemporaneolagoanova,0.7149210357543692
72,coopermundi,0.25
73,cotemig,0.6
74,cparaiso,1.0
75,crescercampinas,0.475873321087556
76,cursinhoeach,0.125
77,cursobase,1.0
78,cursoenfase,0.0
79,cursoisfera,0.5714285714285714
80,cursosazambuja,0.17967032967032967
81,deltaeducacional,0.1398658788751668
82,dommga,0.0
83,eacorcovado,0.8166666666666668
84,eccos,0.9067460317460319
