,namespace,Porcentagem de engajamento em AAs
177,pearson,1.0
207,rede,1.0
216,sasadapt,1.0
136,integra,0.9877740303541316
55,colegioeducallis,0.968202245455809
222,spdacruz,0.967674716115163
69,colegionovageracao,0.966541588492808
46,colegiobilac,0.9650974151383589
107,educandarioterciocorreia,0.948017519594283
203,progressaoig,0.9479694410936872
59,colegioglobal,0.9323511811472374
137,integradaeducativa,0.9268941238155874
47,colegiobrasilia,0.9218662769946033
44,colegiobetelbrasileirosp,0.9178489702517163
17,aprovest,0.9176470588235294
48,colegiocb,0.9147661618925986
170,overlimaesilva,0.9143446852425181
187,pioxi,0.9130338637208881
32,cem,0.9023450048185031
188,pioxiicolegio,0.8970841013914491
62,colegiointegral,0.8940315882204883
54,colegioecursoprogressao,0.8916011985510055
88,coopermundi,0.8840579710144928
212,santamariacn,0.8764222625062676
202,progressaodc,0.8712940169110565
196,portoseguro,0.8677405311275577
50,colegiodasamericas,0.8603101597971579
205,psantagema,0.8562667261373773
43,colegiobatistaindependente,0.8455123113582208
208,saberviver,0.8446601941747572
129,idaam,0.8363459399332592
56,colegioensitec,0.8236985562810759
28,cbpdigital,0.8227412731006161
58,colegiofuturageracao,0.8135166862317625
67,colegiomundial,0.7932148626817448
150,maplebearslz,0.779054635728443
140,isem,0.769123070618768
80,colegiouirapuru,0.7500058794478023
39,colegioalphaunis,0.7491257382654647
149,magister,0.7391512444160817
190,plannetataboao,0.7328706570916638
57,colegioflamingo,0.7311882123291984
3,acessocampolargokids,0.7210473313192346
134,institutoeurofarma,0.7205551754471704
194,portinari,0.7188836258404481
182,physicsbatistacampos,0.7182930975858551
27,cats,0.7159916354831609
195,porto,0.7143517646454441
143,jazzvestibular,0.7111111111111111
105,eccos,0.7028668267193899
142,itamarati,0.6933333333333334
111,elitecuritibaemilianoperneta,0.6871981294693905
158,mundialfranciscobeltrao,0.6818181818181818
5,acessohauer,0.6774221503264198
138,invictus,0.6750212404418012
168,overabelcabral,0.6587947145464336
71,colegioplanck,0.6443671319389138
82,colegioup,0.6400601588979588
83,colsantacatarinape,0.6351803644477501
180,physicsalmirantebarroso,0.6219790699425302
183,physicscidadenova,0.6213470798328441
103,domus,0.610056925996205
154,minhalista,0.6041666666666666
92,crescercampinas,0.6016151737423131
210,sagradafamilia,0.5987743105496842
70,colegionovopatio,0.5961538461538461
52,colegioeag,0.5917300380228137
151,mariliamattoso,0.591505759680178
171,overmarciliofurtado,0.5892979730462117
161,novotempo,0.5866944485786575
200,prismapatrocinio,0.5790142249750669
104,eacorcovado,0.5763747454175153
231,villalobos,0.5703172256200013
102,dommga,0.5628277335404933
87,contemporaneolagoanova,0.5622214685165758
148,macvest,0.5581395348837209
184,physicsconselheirofurtado,0.5575631588615052
7,acessosantafelicidade,0.5573945230468998
135,institutosaojose,0.556733660389302
110,einsteinassis,0.5566860465116279
211,santadoroteia,0.5503793626707132
186,physicsumarizal,0.548634851178267
12,amadeus,0.5460613619356448
0,acessoalmirantetamandare,0.5408916035378575
175,overzonanorte,0.5321654701205965
145,lasalleaguasclaras,0.516425176770604
228,universitariolondrina,0.5160959746399585
53,colegioecursodesafio,0.5143878583473862
118,escolamaster,0.5071599045346062
132,institutoauxiliadoradf,0.5064233848445354
31,ceespacolivre,0.5062336909249058
1,acessoboqueirao,0.5060034074303531
78,colegiosete,0.5056054515764351
2,acessocampolargo,0.5000886367665307
197,positivoon,0.5
119,escprogressiva,0.49502487562189057
6,acessopinhais,0.4943395813260927
219,simuladoita,0.48948933374822806
174,overpontanegra,0.48507928295340413
91,crb,0.48348652149774846
4,acessofazendariogrande,0.4775366012516637
72,colegiopremium,0.4772111148763131
185,physicsmacapa,0.4737042682926829
181,physicsaugustomontenegro,0.46919216206880204
63,colegiojoaopaulo,0.46753681607737335
