,namespace,Número de AAs por turma
0,acessoalmirantetamandare,15.285714285714286
1,acessoboqueirao,10.421052631578947
2,acessocampolargo,19.25
3,acessocampolargokids,4.0
4,acessofazendariogrande,20.0
5,acessohauer,7.461538461538462
6,acessopinhais,22.75
7,acessosantafelicidade,17.285714285714285
8,acessosjpinhais,9.647058823529411
9,adrianochan,0.058419243986254296
10,aescobjetivo,11.107142857142858
11,alfacembilingue,1.0
12,amadeus,5.0
13,amais,1.6666666666666667
14,amaisteste,0.5
15,anchietaba,1.0
16,apogeustoantonio2,1.3333333333333333
17,aprovest,0.3333333333333333
18,arena,1.0
19,arlindocavalcanti,1.0
20,beityaacov,1.0
21,bertelsmann,2.5
22,brasilcursinhos,1.2857142857142858
23,calculo2,2.0
24,camerinocursos,0.14285714285714285
25,casdinhosjc,1.1428571428571428
26,casdvest,2.2
27,castelobruxo,1.0
28,cats,6.0
29,cbpdigital,2.2962962962962963
30,ceabb,13.0
31,cecbdf,0.5
32,ceespacolivre,4.739130434782608
33,cem,8.692307692307692
34,ceprimeiromundo,4.164179104477612
35,charlesdarwin,1.0
36,ciadosaber,4.173913043478261
37,cmdpii,9.0
38,cnslpb,3.6956521739130435
39,cognitivo,1.0
40,colegioalphaunis,8.0
41,colegioanchietai,2.25
42,colegioanchietaii,1.8
43,colegioarena,2.642857142857143
44,colegiobatistaindependente,12.05
45,colegiobetelbrasileirosp,2.7209302325581395
46,colegiobianguloiv,0.8181818181818182
47,colegiobilac,17.0
48,colegiobrasilia,8.121212121212121
49,colegiocb,3.75
50,colegiocognos,0.5
51,colegiodasamericas,1.78
52,colegiodompedrosegundo,0.5
53,colegioeag,1.0769230769230769
54,colegioecursodesafio,6.333333333333333
55,colegioecursoprogressao,6.678571428571429
56,colegioeducallis,1.9411764705882353
57,colegioensitec,5.695652173913044
58,colegioflamingo,15.0
59,colegiofuturageracao,8.75
60,colegioglobal,6.869565217391305
61,colegioguilhermedealmeida,1.0
62,colegioiguatemy,7.909090909090909
63,colegiointegral,4.953947368421052
64,colegiojoaopaulo,5.380952380952381
65,colegioliceu,1.5
66,colegiomagnum,0.3076923076923077
67,colegiomodelo,1.0
