,namespace,numero_ex
0,acessoalmirantetamandare,247.64285714285714
1,acessoboqueirao,429.10526315789474
2,acessocampolargo,426.0
3,acessocampolargokids,65.85714285714286
4,acessofazendariogrande,353.5
5,acessohauer,96.6923076923077
6,acessopinhais,667.75
7,acessosantafelicidade,301.42857142857144
8,acessosjpinhais,215.6764705882353
9,adrianochan,262.1512027491409
10,aescobjetivo,401.32142857142856
11,alfacembilingue,3.0
12,amadeus,138.04761904761904
13,amais,93.33333333333333
14,amaisteste,5.0
15,anchietaba,24.0
16,apogeustoantonio2,198.2
17,aprovest,51.0
18,arena,1.0
19,arlindocavalcanti,12.0
20,beityaacov,5.0
21,bertelsmann,19.0
22,brasilcursinhos,89.66666666666667
23,calculo2,4.0
24,camerinocursos,10.0
25,casdinhosjc,131.0
26,casdvest,215.4
27,castelobruxo,1.0
28,cats,413.0
29,cbpdigital,45.592592592592595
30,ceabb,114.28571428571429
31,cecbdf,221.0
32,ceespacolivre,93.82608695652173
33,cem,60.92307692307692
34,ceprimeiromundo,107.40298507462687
35,charlesdarwin,3.0
36,ciadosaber,41.34782608695652
37,cmdpii,663.0
38,cnslpb,57.43478260869565
39,cognitivo,3.0
40,colegioalphaunis,156.0
41,colegioanchietai,216.0
42,colegioanchietaii,173.0
43,colegioarena,91.0
44,colegiobatistaindependente,146.7
45,colegiobetelbrasileirosp,13.44186046511628
46,colegiobianguloiv,181.0
47,colegiobilac,195.5
48,colegiobrasilia,155.5909090909091
49,colegiocb,36.025
50,colegiocognos,2.0
51,colegiodasamericas,16.89
52,colegiodompedrosegundo,78.0
53,colegioeag,11.23076923076923
54,colegioecursodesafio,100.91666666666667
55,colegioecursoprogressao,58.86904761904762
56,colegioeducallis,52.47899159663866
57,colegioensitec,69.47826086956522
58,colegioflamingo,212.16666666666666
59,colegiofuturageracao,87.125
60,colegioglobal,77.08695652173913
61,colegioguilhermedealmeida,29.4
62,colegioiguatemy,102.0909090909091
63,colegiointegral,94.32894736842105
64,colegiojoaopaulo,156.1904761904762
65,colegioliceu,221.0
66,colegiomagnum,186.0
67,colegiomodelo,7.25
68,colegiomundial,60.8
69,colegionobre,3.0
70,colegionovageracao,22.11111111111111
71,colegionovopatio,67.75
72,colegioplanck,27.20394736842105
73,colegiopremium,115.38888888888889
74,colegioprogresso,2.0
75,colegioradar,3.0
76,colegioriobranco,2.0
77,colegiosantamaria,12.0
78,colegioser,51.333333333333336
79,colegiosete,190.3030303030303
80,colegioshalomoficial,10.0
81,colegiouirapuru,32.98039215686274
82,colegiouniverso,184.11111111111111
83,colegioup,153.67857142857142
84,colsantacatarinape,87.0
85,conexaosaber,70.8
86,contemporaneo,46.0
87,contemporaneocidadeverde,165.5
88,contemporaneolagoanova,199.41176470588235
89,coopermundi,1.0
90,cotemig,1.0
91,cparaiso,3.5
92,crb,119.66666666666667
93,crescercampinas,109.0
94,cursinhoeach,50.0
95,cursobase,50.0
96,cursoenfase,204.6
97,cursoisfera,196.4
98,cursoleopoldo,135.0
99,cursoprogressao,10.0
100,cursosazambuja,121.9
101,dante,8.0
102,deltaeducacional,141.0
103,dommga,271.0
104,domus,186.0
105,eacorcovado,8.7
106,eccos,20.903225806451612
107,educamais,5.0
108,educandarioterciocorreia,123.85714285714286
109,educarse,186.0
110,eduqo,4.0
111,einsteinassis,26.285714285714285
112,elitecuritibaemilianoperneta,491.8
113,eluneonline,12.0
114,equipe,44.0
115,escola,3.0
116,escolaceciliameireles,124.6
117,escoladeimpacto,28.666666666666668
118,escoladinamicaiturama,44.0
119,escoladofuturo,3.0
120,escolamaster,239.76923076923077
121,escprogressiva,134.0
122,esperanza,5.0
123,estantemagica,91.0
124,faculdadeflamingo,16.555555555555557
125,fleming,100.0
126,forumcultural,5.0
127,francobrasileiro,510.6666666666667
128,fundacaobradesco,3.0
129,galois,5.0
130,garra,380.0
131,gerabixo,100.0
132,idaam,186.0
133,implantacao,8.333333333333334
134,insa,226.0
135,institutoauxiliadoradf,221.0
136,institutocristao,60.2
137,institutoeurofarma,36.42857142857143
138,institutosaojose,221.0
139,integra,29.444444444444443
140,integradaeducativa,11.914285714285715
141,invictus,152.16666666666666
142,iracemarufino,1.0
143,isem,51.32
144,ismart,50.0
145,itamarati,16.5
146,jazzvestibular,150.0
147,joaobelem,10.0
148,lasalleaguasclaras,221.0
149,liessinbarra,10.0
150,litteratus,48.0
151,macvest,160.0
152,magister,45.09090909090909
153,maplebearslz,48.507462686567166
154,mariliamattoso,332.9230769230769
155,master,165.13846153846154
156,meta,7.0
157,minhalista,25.0
158,moaciralves,10.0
159,monsenhorgoncalo,10.0
160,montessori,248.0
161,mundialfranciscobeltrao,5.0
162,murilorocha,10.0
163,navegasas,3.0
164,novotempo,139.22222222222223
165,nucleocriativo,110.4
166,nucleopva,90.0
167,objetivolorena,47.95412844036697
168,objetivoteresina,3.0
169,oficinadoestudante,50.0
170,osequim,25.0
171,overabelcabral,124.72727272727273
172,overjoaopessoa,295.3333333333333
173,overlimaesilva,80.75
