,namespace,Tempo médio entre criação e publicação de AA por questão
,,
0,acessoalmirantetamandare,0 days 03:03:17.641400177
1,acessoboqueirao,0 days 03:36:32.146260952
2,acessocampolargo,0 days 02:04:08.422230113
3,acessocampolargokids,0 days 05:33:47.752570022
4,acessofazendariogrande,0 days 04:41:41.161928744
5,acessohauer,0 days 02:49:25.997268947
6,acessopinhais,0 days 06:26:18.070199202
7,acessosantafelicidade,0 days 02:28:09.119479672
8,acessosjpinhais,0 days 02:27:18.961581529
9,adrianochan,0 days 00:04:26.538573432
10,aescobjetivo,0 days 02:34:50.979874884
11,alfacembilingue,0 days 00:00:52.239046666
12,amadeus,0 days 00:08:10.428873665
13,amais,0 days 00:01:01.464682676
14,amaisteste,0 days 00:00:38.489844277
15,anchietaba,0 days 00:00:03.459326500
16,apogeustoantonio2,0 days 02:46:25.652633075
17,aprovest,0 days 00:00:18.639025117
18,arlindocavalcanti,1 days 16:16:07.798336583
19,beityaacov,0 days 00:00:31.977221829
20,bertelsmann,0 days 00:00:42.893195166
21,brasilcursinhos,0 days 00:29:00.384148481
22,camerinocursos,0 days 00:03:31.711544100
23,casdinhosjc,0 days 00:02:03.199563539
24,casdvest,0 days 00:00:30.107480933
25,castelobruxo,0 days 00:01:19.877886
26,cats,0 days 00:08:57.045351407
27,cbpdigital,0 days 02:47:43.169018902
28,ceabb,0 days 00:02:56.497545035
29,cecbdf,0 days 00:03:04.130342525
30,ceespacolivre,0 days 01:51:43.312174640
31,cem,0 days 00:25:36.617743802
32,ceprimeiromundo,0 days 04:07:27.756325623
33,charlesdarwin,0 days 00:01:20.733232333
34,ciadosaber,0 days 00:08:27.934356103
35,cmdpii,0 days 00:03:16.772383052
36,cnslpb,0 days 01:01:29.670838188
37,cognitivo,0 days 00:01:55.267756
38,colegioalphaunis,0 days 00:45:27.487672562
39,colegioanchietai,0 days 00:03:24.914912275
40,colegioanchietaii,0 days 00:03:21.476639456
41,colegioarena,0 days 09:06:35.951113328
42,colegiobatistaindependente,0 days 00:10:52.678661815
43,colegiobetelbrasileirosp,0 days 00:32:34.152903866
44,colegiobianguloiv,0 days 00:03:19.342626067
45,colegiobilac,0 days 00:11:57.486642399
46,colegiobrasilia,0 days 00:02:55.014534890
47,colegiocb,0 days 00:05:55.172541108
48,colegiocognos,0 days 00:01:47.076044750
49,colegiodasamericas,0 days 00:07:58.640101654
50,colegiodompedrosegundo,0 days 00:00:31.815813012
51,colegioeag,0 days 00:26:41.148070398
52,colegioecursodesafio,0 days 00:01:22.792052735
53,colegioecursoprogressao,0 days 00:31:30.613758806
54,colegioeducallis,0 days 04:49:28.190064804
55,colegioensitec,0 days 01:56:21.455162086
56,colegioflamingo,0 days 00:01:08.731187304
57,colegiofuturageracao,0 days 00:28:30.950259959
58,colegioglobal,0 days 01:33:04.660872414
59,colegioguilhermedealmeida,0 days 00:01:23.292550927
60,colegioiguatemy,0 days 01:54:13.244644087
61,colegiointegral,0 days 00:06:44.880898621
62,colegiojoaopaulo,0 days 00:22:00.311662091
63,colegioliceu,0 days 00:19:19.381483952
64,colegiomagnum,0 days 00:02:48.349719148
65,colegiomartinus,0 days 00:00:16.847940
66,colegiomodelo,0 days 00:00:23.570148444
67,colegiomundial,0 days 00:32:17.245509603
68,colegionobre,0 days 22:52:23.553646125
69,colegionovageracao,0 days 00:00:12.136444295
70,colegionovopatio,0 days 00:45:10.869533141
71,colegioplanck,0 days 04:55:31.794231584
72,colegiopremium,0 days 04:07:51.181405212
73,colegioprogresso,0 days 00:00:46.818010500
74,colegioradar,0 days 00:00:31.244826666
75,colegioriobranco,0 days 00:00:57.105265
76,colegiosantamaria,0 days 00:01:19.346150134
77,colegioser,0 days 00:07:34.929735747
78,colegiosete,0 days 04:09:49.889692027
79,colegiouirapuru,0 days 00:51:38.492128624
80,colegiouniverso,0 days 00:03:24.265377688
81,colegioup,0 days 09:12:33.144194329
82,conexaosaber,0 days 00:05:22.975464701
83,contemporaneo,0 days 00:25:32.598957633
84,contemporaneocidadeverde,0 days 00:35:21.490715684
85,contemporaneolagoanova,0 days 00:07:52.744610599
86,cparaiso,0 days 00:00:35.584747750
87,crb,0 days 00:48:26.084944768
88,crescercampinas,0 days 00:55:18.085554220
89,cursinhoeach,0 days 00:05:27.037504360
90,cursobase,0 days 01:04:02.475763633
91,cursoenfase,0 days 00:02:15.326694389
92,cursoisfera,0 days 00:01:25.586516354
93,cursoleopoldo,0 days 00:00:28.938877444
94,cursoprogressao,0 days 00:00:09.129074700
95,cursosazambuja,0 days 00:39:57.400644002
96,dante,0 days 00:00:26.786021250
97,deltaeducacional,0 days 05:23:47.828013914
98,dommga,0 days 01:04:14.236295508
99,domus,0 days 00:00:33.219222259
100,eacorcovado,0 days 01:23:05.283440171
101,eccos,0 days 00:38:12.330296880
102,educamais,0 days 00:01:18.966572966
103,educandarioterciocorreia,0 days 00:11:57.686382272
104,educarse,0 days 03:40:47.410171774
105,eduqo,0 days 00:00:40.465015750
106,einsteinassis,0 days 00:00:47.260267372
107,elitecuritiba,0 days 00:01:12.178483222
108,elitecuritibaemilianoperneta,0 days 01:51:40.726922946
109,eluneonline,0 days 00:00:08.372961549
110,equipe,0 days 00:00:04.566755500
111,escola,0 days 17:40:59.224543
112,escolaceciliameireles,0 days 00:00:41.969985937
113,escoladeimpacto,0 days 00:00:29.827507895
114,escolajardimdasnacoes,0 days 00:01:22.834591
115,escolamaster,0 days 00:01:01.355560719
116,esperanza,0 days 00:00:25.716117600
117,estantemagica,0 days 00:00:01.525147428
118,faculdadeflamingo,0 days 02:23:08.309588833
119,fleming,0 days 00:00:25.016254020
120,francobrasileiro,1 days 00:56:49.835640778
121,fundacaobradesco,2 days 02:03:45.947558
122,galois,0 days 00:01:21.922843200
123,garra,0 days 00:01:28.316153658
124,gerabixo,0 days 00:00:31.560656027
125,idaam,0 days 00:02:23.772285994
126,implantacao,0 days 00:01:48.813565290
127,insa,0 days 00:00:06.542062424
128,institutoauxiliadoradf,0 days 00:14:30.674502674
129,institutocristao,0 days 02:17:11.326124768
130,institutoeurofarma,0 days 01:20:43.185438774
131,institutosaojose,0 days 00:12:37.716639937
132,integra,0 days 03:12:13.281811606
133,integradaeducativa,0 days 10:33:41.659539189
134,invictus,0 days 00:00:29.733984537
135,iracemarufino,0 days 00:10:08.835354
136,isem,0 days 00:14:58.342219601
137,itamarati,0 days 00:00:29.542230975
138,jardimsaopaulo,0 days 05:25:43.993444152
139,jazzvestibular,0 days 00:13:28.661483633
140,joaobelem,0 days 00:00:13.668831282
141,lasalleaguasclaras,0 days 00:11:05.117583357
142,liessinbarra,0 days 00:01:13.021736100
143,litteratus,0 days 00:02:19.662198200
144,macvest,0 days 00:01:13.160233393
145,magister,0 days 00:47:43.343357542
146,maplebearslz,0 days 18:33:17.513428074
147,mariliamattoso,0 days 00:12:10.142066248
148,master,0 days 11:38:32.919268350
149,meta,0 days 00:03:32.204421
150,minhalista,0 days 00:00:41.610990448
151,moaciralves,0 days 23:32:28.666827250
152,montessori,0 days 00:04:50.309138334
153,murilorocha,0 days 00:01:42.496986170
154,navegasas,0 days 00:00:13.834520333
155,novotempo,0 days 00:03:54.607829134
156,nucleocriativo,0 days 00:29:25.238566748
157,nucleopva,0 days 00:00:03.405857866
158,objetivolorena,0 days 00:56:37.754034136
159,objetivoteresina,0 days 00:00:58.507467583
160,oficinadoestudante,0 days 00:07:43.043854909
161,osequim,0 days 01:11:52.090209800
162,overabelcabral,0 days 00:05:07.658311615
163,overjoaopessoa,0 days 00:01:20.011930096
164,overlimaesilva,0 days 00:01:09.431332204
165,overmarciliofurtado,0 days 00:00:51.198148193
166,overmossoro,0 days 00:04:31.160229180
167,overnascimentodecastro,0 days 00:01:59.847555492
168,overpontanegra,0 days 00:02:31.455872689
169,overzonanorte,0 days 00:02:20.892695922
170,pauloviana,0 days 00:00:10.206103
171,pearson,0 days 00:00:47.319482500
172,pesenglish,0 days 00:01:48.045821
173,physicsalcindocacela,0 days 00:02:12.947995626
174,physicsalmirantebarroso,0 days 00:03:11.292885472
175,physicsaugustomontenegro,0 days 00:03:01.965439920
176,physicsbatistacampos,0 days 00:01:09.889948904
177,physicscidadenova,0 days 00:00:46.941602131
178,physicsconselheirofurtado,0 days 00:15:34.415348681
179,physicsmacapa,0 days 00:01:15.822686957
180,physicsumarizal,0 days 00:00:53.267424857
181,pioxi,0 days 07:13:11.828245270
