,namespace,Tempo médio entre publicação e ínicio de AA
0,acessoalmirantetamandare,1 days 20:34:45.699795805
1,acessoboqueirao,1 days 14:25:35.792046782
2,acessocampolargo,2 days 02:36:02.429604288
3,acessocampolargokids,1 days 11:32:17.138506416
4,acessofazendariogrande,0 days 19:55:32.863286991
5,acessohauer,1 days 18:20:01.708669669
6,acessopinhais,1 days 00:20:57.255139
7,acessosantafelicidade,2 days 04:07:16.489925703
8,acessosjpinhais,2 days 01:47:57.018437884
9,adrianochan,0 days 23:32:17.803194421
10,aescobjetivo,4 days 04:45:00.699500556
11,alfacembilingue,-1 days +23:58:43.752502
12,amadeus,1 days 17:31:51.579406069
13,amais,1 days 19:25:09.364053230
14,amaisteste,0 days 00:00:40.130825500
15,anchietaba,-1 days +23:58:11.878763
16,apogeustoantonio2,0 days 13:23:39.767945680
17,aprovest,0 days 02:54:49.610401
18,arlindocavalcanti,9 days 23:36:47.802858
19,beityaacov,0 days 13:01:20.904738666
20,bertelsmann,-1 days +23:58:55.958033667
21,brasilcursinhos,1 days 04:20:56.914630869
22,camerinocursos,0 days 00:00:10.224126
23,casdinhosjc,0 days 03:33:01.643656833
24,casdvest,0 days 07:44:12.954714666
25,castelobruxo,-1 days +23:59:47.571447
26,cats,0 days 05:31:21.181730333
27,cbpdigital,2 days 08:44:23.710290135
28,ceabb,0 days 20:32:00.503302655
29,cecbdf,0 days 04:05:52.168602666
30,ceespacolivre,3 days 18:51:07.202801156
31,cem,3 days 01:53:41.966780574
32,ceprimeiromundo,8 days 08:32:00.508421416
33,charlesdarwin,-1 days +23:58:49.061433500
34,ciadosaber,4 days 01:40:38.513045316
35,cmdpii,0 days 04:05:46.950164888
36,cnslpb,1 days 01:41:26.491363105
37,cognitivo,0 days 00:06:32.839527
38,colegioalphaunis,6 days 03:40:15.225649047
39,colegioanchietai,0 days 04:05:25.804815555
40,colegioanchietaii,0 days 04:05:47.222064333
41,colegioarena,1 days 06:08:03.256597323
42,colegiobatistaindependente,1 days 08:05:50.041846152
43,colegiobetelbrasileirosp,4 days 01:02:09.812628345
44,colegiobianguloiv,0 days 04:05:10.650987888
45,colegiobilac,2 days 07:27:47.694933751
46,colegiobrasilia,2 days 14:48:23.491981656
47,colegiocb,4 days 11:48:20.336233015
