,namespace,Semana,Porcentagem de relatórios de AA visualizados por docente
0,abiliomartins,37,0.0
1,acessoalmirantetamandare,25,1.0
2,acessoalmirantetamandare,26,1.0
3,acessoalmirantetamandare,27,0.9333333333333333
4,acessoalmirantetamandare,31,1.0
5,acessoalmirantetamandare,32,0.875
6,acessoalmirantetamandare,33,0.6
7,acessoalmirantetamandare,34,0.8333333333333334
8,acessoalmirantetamandare,35,0.5952380952380951
9,acessoalmirantetamandare,36,0.4
10,acessoalmirantetamandare,37,0.35
11,acessoboqueirao,25,1.0
12,acessoboqueirao,29,1.0
13,acessoboqueirao,30,1.0
14,acessoboqueirao,31,1.0
15,acessoboqueirao,32,1.0
16,acessoboqueirao,33,1.0
17,acessoboqueirao,34,1.0
18,acessoboqueirao,35,1.0
19,acessoboqueirao,36,1.0
20,acessoboqueirao,37,0.0
21,acessocampolargo,25,0.5
22,acessocampolargo,26,1.0
23,acessocampolargo,32,0.0
24,acessocampolargo,35,1.0
25,acessocampolargo,36,1.0
26,acessocampolargo,37,0.6666666666666666
27,acessocampolargokids,25,1.0
28,acessocampolargokids,26,1.0
29,acessocampolargokids,27,1.0
30,acessocampolargokids,31,1.0
31,acessocampolargokids,32,1.0
32,acessocampolargokids,33,1.0
33,acessocampolargokids,34,0.5
34,acessocampolargokids,35,1.0
35,acessocampolargokids,36,0.5
36,acessocampolargokids,37,0.3333333333333333
37,acessofazendariogrande,25,0.8333333333333334
38,acessofazendariogrande,26,0.75
39,acessofazendariogrande,27,0.9375
40,acessofazendariogrande,31,0.75
41,acessofazendariogrande,32,0.8
42,acessofazendariogrande,33,1.0
43,acessofazendariogrande,34,0.8333333333333334
44,acessofazendariogrande,35,0.5
45,acessofazendariogrande,36,0.4166666666666667
46,acessofazendariogrande,37,0.24107142857142858
47,acessohauer,25,1.0
48,acessohauer,26,1.0
49,acessohauer,27,1.0
50,acessohauer,31,1.0
51,acessohauer,32,1.0
52,acessohauer,33,1.0
53,acessohauer,35,1.0
54,acessohauer,36,0.9
55,acessohauer,37,0.3333333333333333
56,acessopinhais,25,1.0
57,acessopinhais,26,1.0
58,acessopinhais,27,0.9583333333333334
59,acessopinhais,35,1.0
60,acessosjpinhais,25,0.6512698412698412
61,acessosjpinhais,26,0.9002976190476191
62,acessosjpinhais,27,0.8999118165784833
63,acessosjpinhais,28,1.0
64,acessosjpinhais,29,1.0
65,acessosjpinhais,30,0.5
66,acessosjpinhais,31,0.9285714285714286
67,acessosjpinhais,32,0.8571428571428571
68,acessosjpinhais,33,0.6217948717948717
69,acessosjpinhais,34,0.9
70,acessosjpinhais,35,0.35805555555555557
71,acessosjpinhais,36,0.8181818181818182
72,acessosjpinhais,37,0.37885714285714295
73,adrianochan,25,1.0
74,adrianochan,26,0.6363636363636364
75,adrianochan,31,0.6666666666666666
76,adrianochan,32,0.5151515151515151
77,adrianochan,33,1.0
