,namespace,Semana,Porcentagem de engajamento em AAs
715,integradaeducativa,35,1.0
388,colegioglobal,26,1.0
486,colegiouirapuru,26,1.0
205,ceespacolivre,35,1.0
853,overlimaesilva,31,1.0
204,ceespacolivre,34,1.0
734,isem,34,1.0
359,colegioeducallis,37,1.0
1107,rede,35,1.0
271,colegiobatistaindependente,32,1.0
35,acessocampolargokids,25,1.0
328,colegioeag,27,1.0
875,overmossoro,30,1.0
277,colegiobetelbrasileirosp,25,1.0
326,colegiodasamericas,37,1.0
317,colegiodasamericas,25,1.0
452,colegioplanck,29,1.0
1202,testevictorhugo,37,1.0
297,colegiobrasilia,30,1.0
208,cem,25,1.0
1191,stellamarisxaxim,27,1.0
1067,progressaoig,30,1.0
1066,progressaoig,28,1.0
1131,santoamerico,28,1.0
636,elitecuritibaemilianoperneta,29,1.0
700,institutoeurofarma,36,1.0
379,colegiofuturageracao,25,1.0
1145,sasadapt,25,1.0
917,physicsalcindocacela,35,1.0
910,pearson,31,1.0
616,eccos,36,1.0
704,integra,25,1.0
615,eccos,35,1.0
608,eacorcovado,37,1.0
854,overlimaesilva,32,1.0
1200,testevictorhugo,32,1.0
384,colegiofuturageracao,34,1.0
286,colegiobilac,30,0.9962952799121844
1163,spdacruz,25,0.9955499930468641
1167,spdacruz,33,0.995347277528608
288,colegiobilac,32,0.9951219512195122
22,acessoboqueirao,36,0.9946808510638298
582,cursosazambuja,27,0.9940828402366864
287,colegiobilac,31,0.9933236574746008
711,integradaeducativa,31,0.9922337278106509
17,acessoboqueirao,31,0.991411501120239
1057,progressaodc,31,0.9898477157360406
851,overlimaesilva,25,0.9896907216494846
371,colegioflamingo,25,0.9896613190730837
754,magister,30,0.9895245769540693
1194,stellamarisxaxim,32,0.9891402714932127
298,colegiobrasilia,31,0.987887818125015
705,integra,34,0.9876385336743393
383,colegiofuturageracao,33,0.9873737373737373
62,acessohauer,34,0.9868421052631579
63,acessohauer,35,0.9868421052631579
278,colegiobetelbrasileirosp,31,0.9867549668874173
155,brasilcursinhos,27,0.986013986013986
1164,spdacruz,26,0.9859055673009162
387,colegioglobal,25,0.9855353677897336
362,colegioensitec,29,0.9855047748976807
290,colegiobilac,34,0.9851016429963798
299,colegiobrasilia,32,0.9842614491507202
503,colegioup,31,0.9833333333333333
1119,santamariacn,29,0.9832402234636871
709,integradaeducativa,29,0.9831932773109243
291,colegiobilac,35,0.9831763122476447
857,overlimaesilva,35,0.9831223628691983
273,colegiobatistaindependente,34,0.983041500068937
