,namespace,Semana,Número de AAs por turma
0,acessoalmirantetamandare,25,5.0
1,acessoalmirantetamandare,26,2.7142857142857144
2,acessoalmirantetamandare,27,3.9166666666666665
3,acessoalmirantetamandare,30,0.6666666666666666
4,acessoalmirantetamandare,31,0.9090909090909091
5,acessoalmirantetamandare,32,1.1666666666666667
6,acessoalmirantetamandare,33,1.1666666666666667
7,acessoalmirantetamandare,34,1.4
8,acessoalmirantetamandare,35,2.4285714285714284
9,acessoalmirantetamandare,36,1.2857142857142858
10,acessoalmirantetamandare,37,2.6
11,acessoboqueirao,25,2.6666666666666665
12,acessoboqueirao,26,3.1666666666666665
13,acessoboqueirao,27,2.923076923076923
14,acessoboqueirao,28,1.0
15,acessoboqueirao,29,0.3333333333333333
16,acessoboqueirao,30,0.75
17,acessoboqueirao,31,0.5833333333333334
18,acessoboqueirao,32,0.8571428571428571
19,acessoboqueirao,33,0.7058823529411765
20,acessoboqueirao,34,0.7058823529411765
21,acessoboqueirao,35,2.25
22,acessoboqueirao,36,0.5
23,acessoboqueirao,37,1.2
24,acessocampolargo,25,2.75
25,acessocampolargo,26,3.3333333333333335
26,acessocampolargo,27,4.875
27,acessocampolargo,30,0.5
28,acessocampolargo,31,1.0
29,acessocampolargo,32,0.75
30,acessocampolargo,33,2.125
31,acessocampolargo,34,1.125
32,acessocampolargo,35,2.8333333333333335
33,acessocampolargo,36,2.3333333333333335
34,acessocampolargo,37,3.3333333333333335
35,acessocampolargokids,25,0.5
36,acessocampolargokids,26,0.6
37,acessocampolargokids,27,0.5714285714285714
38,acessocampolargokids,31,0.5714285714285714
39,acessocampolargokids,32,0.5714285714285714
40,acessocampolargokids,33,0.5714285714285714
41,acessocampolargokids,34,0.6666666666666666
42,acessocampolargokids,36,1.0
43,acessocampolargokids,37,0.6
44,acessofazendariogrande,25,4.444444444444445
45,acessofazendariogrande,26,4.0
46,acessofazendariogrande,27,4.363636363636363
47,acessofazendariogrande,30,0.5
48,acessofazendariogrande,31,1.0
49,acessofazendariogrande,32,1.1666666666666667
50,acessofazendariogrande,33,1.1818181818181819
51,acessofazendariogrande,34,2.090909090909091
52,acessofazendariogrande,35,4.285714285714286
53,acessofazendariogrande,36,2.1666666666666665
54,acessofazendariogrande,37,3.111111111111111
55,acessohauer,25,1.25
56,acessohauer,26,1.0
57,acessohauer,27,1.1666666666666667
58,acessohauer,29,1.0
59,acessohauer,31,0.8333333333333334
60,acessohauer,32,1.0
61,acessohauer,33,0.8333333333333334
62,acessohauer,34,0.75
63,acessohauer,35,0.75
64,acessohauer,36,0.8
65,acessohauer,37,1.4545454545454546
66,acessopinhais,25,4.75
67,acessopinhais,26,8.0
68,acessopinhais,27,5.25
69,acessopinhais,30,0.5
70,acessopinhais,31,1.0
71,acessopinhais,32,0.75
72,acessopinhais,33,1.25
73,acessopinhais,34,0.75
74,acessopinhais,35,7.5
75,acessopinhais,37,3.0
76,acessosantafelicidade,25,4.090909090909091
77,acessosantafelicidade,26,3.0
78,acessosantafelicidade,27,4.0
79,acessosantafelicidade,30,0.5
80,acessosantafelicidade,31,1.0
81,acessosantafelicidade,32,1.2142857142857142
82,acessosantafelicidade,33,1.1428571428571428
83,acessosantafelicidade,34,1.3846153846153846
84,acessosantafelicidade,35,3.111111111111111
85,acessosantafelicidade,36,1.3333333333333333
86,acessosantafelicidade,37,2.5555555555555554
87,acessosjpinhais,25,2.8333333333333335
88,acessosjpinhais,26,1.3
89,acessosjpinhais,27,2.0606060606060606
90,acessosjpinhais,28,0.4
91,acessosjpinhais,29,3.0
92,acessosjpinhais,30,0.5
93,acessosjpinhais,31,0.5666666666666667
94,acessosjpinhais,32,0.7241379310344828
95,acessosjpinhais,33,0.6129032258064516
96,acessosjpinhais,34,1.2173913043478262
97,acessosjpinhais,35,2.176470588235294
98,acessosjpinhais,36,0.7142857142857143
99,acessosjpinhais,37,1.48
100,adrianochan,25,0.008
101,adrianochan,26,0.007352941176470588
102,adrianochan,31,0.01990049751243781
103,adrianochan,32,0.014925373134328358
104,adrianochan,33,0.009852216748768473
105,adrianochan,34,0.014705882352941176
106,adrianochan,35,0.0049504950495049506
107,adrianochan,36,0.0034965034965034965
108,adrianochan,37,0.0035714285714285713
109,aescobjetivo,25,1.4615384615384615
110,aescobjetivo,26,1.0
111,aescobjetivo,28,0.3333333333333333
112,aescobjetivo,29,0.8333333333333334
113,aescobjetivo,30,0.7333333333333333
114,aescobjetivo,31,2.0434782608695654
115,aescobjetivo,32,1.96
116,aescobjetivo,33,1.7727272727272727
117,aescobjetivo,34,2.6363636363636362
118,aescobjetivo,35,1.6470588235294117
119,aescobjetivo,36,1.3636363636363635
120,aescobjetivo,37,0.7894736842105263
121,alfacembilingue,25,1.0
122,amadeus,29,2.0
123,amadeus,30,0.65
124,amadeus,31,2.7333333333333334
125,amadeus,32,0.7222222222222222
126,amadeus,33,0.7666666666666667
127,amadeus,34,1.206896551724138
128,amadeus,35,1.0555555555555556
129,amadeus,36,1.1818181818181819
130,amadeus,37,1.037037037037037
131,amais,33,1.5
132,amais,34,1.0
133,amaisteste,28,0.5
134,amaisteste,33,0.5
135,anchietaba,30,1.0
136,apogeustoantonio2,25,0.1111111111111111
137,apogeustoantonio2,26,0.6666666666666666
138,apogeustoantonio2,28,1.0
139,apogeustoantonio2,29,0.6
140,apogeustoantonio2,31,1.0
141,apogeustoantonio2,32,0.46153846153846156
142,apogeustoantonio2,34,1.0
143,apogeustoantonio2,35,0.4
144,apogeustoantonio2,36,0.75
145,aprovest,27,0.3333333333333333
146,arena,37,1.0
147,arlindocavalcanti,25,1.0
148,beityaacov,32,1.0
149,beityaacov,33,1.0
150,bertelsmann,28,1.0
151,bertelsmann,31,1.0
152,bertelsmann,35,0.5
153,bertelsmann,37,0.5
154,brasilcursinhos,25,0.5
155,brasilcursinhos,27,0.5
156,brasilcursinhos,28,1.5
157,brasilcursinhos,29,1.6666666666666667
158,brasilcursinhos,30,1.0
159,brasilcursinhos,34,0.75
160,brasilcursinhos,35,1.1666666666666667
161,brasilcursinhos,37,1.0
162,calculo2,37,2.0
163,camerinocursos,29,0.14285714285714285
164,casdinhosjc,25,0.5
165,casdinhosjc,27,0.25
166,casdinhosjc,31,0.25
167,casdinhosjc,33,0.25
