,namespace,Semana,numero_ex
1141,santoamerico,27,1084.0
1157,sas,33,745.0
238,cmdpii,34,660.0
681,francobrasileiro,28,361.0
1156,sas,32,340.0
601,dommga,25,271.0
682,francobrasileiro,30,270.0
1175,souhabilis,36,265.0
1086,provaspoliedro,27,244.66666666666666
1123,sagradafamilia,34,233.25
1167,souhabilis,26,225.0
698,institutoauxiliadoradf,34,221.0
435,colegioliceu,33,221.0
748,lasalleaguasclaras,34,221.0
285,colegiobianguloiv,34,220.0
1125,santadoroteia,34,220.0
198,cecbdf,34,220.0
665,escolamaster,33,216.3846153846154
259,colegioanchietaii,34,215.0
257,colegioanchietai,34,215.0
1154,sas,30,202.0
706,institutosaojose,33,192.42857142857142
891,overnascimentodecastro,25,186.0
940,physicsaugustomontenegro,37,186.0
808,montessori,37,186.0
1054,profederal,31,180.0
261,colegioarena,31,168.75
528,contemporaneolagoanova,33,159.0
521,contemporaneocidadeverde,33,142.0
67,acessopinhais,26,140.0
851,overjoaopessoa,25,137.6
668,escprogressiva,37,134.0
696,insa,34,132.0
1251,vitae,28,130.0
183,cats,35,127.0
797,master,36,126.66666666666667
72,acessopinhais,33,126.0
933,physicsalmirantebarroso,37,124.0
496,colegiouniverso,25,122.66666666666667
787,master,26,122.43243243243244
752,litteratus,37,122.0
635,elitecuritibaemilianoperneta,26,120.0
196,ceabb,35,119.4
432,colegiojoaopaulo,33,117.82352941176471
963,physicsmacapa,25,116.71428571428571
117,aescobjetivo,34,116.31818181818181
955,physicsconselheirofurtado,25,113.4
12,acessoboqueirao,26,111.0
856,overjoaopessoa,35,108.33333333333333
1194,stellamarisjuveve,29,108.0
934,physicsaugustomontenegro,25,107.57142857142857
948,physicscidadenova,25,106.92857142857143
685,garra,30,104.0
642,elitecuritibaemilianoperneta,34,102.0
587,cursosazambuja,31,101.0
881,overmossoro,25,101.0
137,apogeustoantonio2,26,101.0
68,acessopinhais,27,100.5
707,institutosaojose,34,100.0
1079,progressaoig,33,99.66666666666667
1055,profederal,32,98.83333333333333
69,acessopinhais,30,98.0
92,acessosjpinhais,30,98.0
79,acessosantafelicidade,30,98.0
1193,stellamarisjuveve,27,98.0
47,acessofazendariogrande,30,98.0
348,colegioecursoprogressao,33,97.61538461538461
66,acessopinhais,25,97.0
600,deltaeducacional,37,97.0
1217,universitariolondrina,26,96.56
1068,progressaodc,33,96.33333333333333
941,physicsbatistacampos,25,96.25
529,contemporaneolagoanova,34,96.22222222222223
893,overnascimentodecastro,33,96.0
436,colegiomagnum,33,96.0
641,elitecuritibaemilianoperneta,33,96.0
687,garra,36,96.0
691,idaam,33,96.0
959,physicsconselheirofurtado,33,96.0
628,educarse,32,96.0
1162,simbios,33,96.0
180,cats,29,96.0
815,novotempo,33,96.0
602,domus,33,96.0
806,montessori,33,96.0
178,casdvest,36,95.0
484,colegiosete,37,94.64516129032258
597,deltaeducacional,34,94.0
181,cats,30,94.0
923,physicsalcindocacela,33,93.42857142857143
103,adrianochan,32,93.02985074626865
105,adrianochan,34,92.83823529411765
73,acessopinhais,34,92.5
962,physicsconselheirofurtado,37,92.33333333333333
670,estantemagica,27,91.0
184,cats,37,91.0
924,physicsalcindocacela,34,90.73684210526316
268,colegiobatistaindependente,25,90.63636363636364
854,overjoaopessoa,33,90.25
144,apogeustoantonio2,36,90.25
690,gerabixo,36,90.0
972,physicsumarizal,34,90.0
756,macvest,33,90.0
754,macvest,27,90.0
951,physicscidadenova,34,90.0
629,educarse,33,90.0
692,idaam,34,90.0
930,physicsalmirantebarroso,34,90.0
894,overnascimentodecastro,34,90.0
686,garra,31,90.0
960,physicsconselheirofurtado,34,90.0
637,elitecuritibaemilianoperneta,29,90.0
437,colegiomagnum,34,90.0
965,physicsmacapa,34,90.0
154,brasilcursinhos,25,90.0
155,brasilcursinhos,27,90.0
688,garra,37,90.0
603,domus,34,90.0
161,brasilcursinhos,37,90.0
816,novotempo,34,90.0
937,physicsaugustomontenegro,34,90.0
1155,sas,31,90.0
1163,simbios,34,90.0
1204,stellamarisxaxim,27,90.0
807,montessori,34,90.0
522,contemporaneocidadeverde,34,90.0
824,nucleopva,28,90.0
878,overmarciliofurtado,35,89.25
25,acessocampolargo,26,88.66666666666667
1216,universitariolondrina,25,88.63333333333334
139,apogeustoantonio2,29,88.6
74,acessopinhais,35,88.5
697,insa,36,87.33333333333333
160,brasilcursinhos,35,87.33333333333333
509,colsantacatarinape,37,87.0
968,physicsmacapa,37,86.625
906,overzonanorte,25,86.54545454545455
403,colegioiguatemy,26,86.0
1205,stellamarisxaxim,29,86.0
855,overjoaopessoa,34,85.71428571428571
30,acessocampolargo,33,85.25
966,physicsmacapa,35,85.0
132,amais,34,85.0
