,namespace,Semana,Tempo de correção por aluno por questão
0,acessoalmirantetamandare,26,0 days 02:22:47.477453
1,acessoalmirantetamandare,27,0 days 06:14:06.976555
2,acessoalmirantetamandare,31,0 days 01:24:31.664797
3,acessoalmirantetamandare,32,0 days 01:51:01.723615500
4,acessoalmirantetamandare,33,0 days 01:43:22.404363
5,acessoalmirantetamandare,34,0 days 00:58:25.080462
6,acessoalmirantetamandare,37,0 days 00:21:15.106179
7,acessocampolargo,25,0 days 01:50:12.692048428
8,acessocampolargo,26,0 days 00:38:55.347048666
9,acessocampolargo,27,0 days 03:23:32.365186500
10,acessocampolargo,33,0 days 01:48:55.444331333
11,acessocampolargo,34,0 days 00:18:33.316964
12,acessocampolargo,35,0 days 00:24:04.977819333
13,acessocampolargokids,25,0 days 00:02:20.466770
14,acessocampolargokids,31,0 days 00:37:44.912210
15,acessocampolargokids,33,-1 days +23:21:27.661970
16,acessocampolargokids,34,0 days 00:01:35.502204
17,acessofazendariogrande,25,0 days 01:35:06.817641
18,acessofazendariogrande,27,0 days 09:44:41.494486400
19,acessohauer,25,0 days 00:07:44.611070
20,acessohauer,27,0 days 02:05:01.319668
21,acessohauer,31,0 days 01:38:06.635639250
22,acessohauer,33,0 days 01:03:22.476793750
23,acessohauer,34,0 days 00:34:23.791359
24,acessohauer,35,0 days 00:39:56.621598666
25,acessosantafelicidade,25,0 days 17:30:24.900176
26,acessosantafelicidade,27,0 days 01:23:03.820697
27,acessosantafelicidade,31,0 days 00:23:54.185584
28,acessosantafelicidade,33,0 days 01:39:52.439440750
29,acessosantafelicidade,34,0 days 02:55:14.855693666
30,acessosantafelicidade,35,0 days 01:39:11.965159333
31,acessosjpinhais,26,0 days 01:04:50.502981
32,acessosjpinhais,27,0 days 02:04:46.495054
33,acessosjpinhais,31,0 days 01:40:57.999844
34,acessosjpinhais,32,0 days 00:19:12.419866
35,acessosjpinhais,33,0 days 00:10:24.597832
36,acessosjpinhais,35,0 days 00:01:54.444843
37,aescobjetivo,31,0 days 00:27:03.113654
38,aescobjetivo,32,0 days 00:34:38.909824333
39,aescobjetivo,33,0 days 01:14:45.939097
40,amadeus,29,2 days 03:29:15.707920
41,amadeus,30,0 days 02:20:14.594680
42,amadeus,32,4 days 13:25:54.416679800
43,amadeus,33,15 days 12:14:11.741419750
44,amadeus,35,2 days 11:22:19.103042
45,amadeus,36,0 days 00:01:36.912826
46,amadeus,37,0 days 02:41:10.917265250
47,ceespacolivre,26,0 days 03:17:48.247210
48,ceespacolivre,27,0 days 04:56:11.761685
49,ceespacolivre,28,0 days 07:29:55.208023
50,ceespacolivre,32,0 days 23:53:32.620144250
51,ceespacolivre,33,0 days 19:34:15.721217857
52,ceespacolivre,34,0 days 08:46:03.569679500
53,ceespacolivre,35,0 days 05:30:06.084224
54,ciadosaber,33,0 days 20:21:35.009736
55,colegioalphaunis,25,0 days 02:21:44.737852666
56,colegioalphaunis,26,0 days 00:55:49.246731
57,colegioalphaunis,27,0 days 07:41:26.118745400
58,colegioalphaunis,33,0 days 01:35:02.191421
59,colegioalphaunis,34,0 days 00:02:49.506340
60,colegiobatistaindependente,25,0 days 00:25:44.495312625
61,colegiobatistaindependente,26,0 days 04:06:16.126973125
62,colegiobatistaindependente,27,0 days 20:40:30.622150
63,colegiobatistaindependente,33,1 days 09:15:39.074954500
64,colegiobatistaindependente,34,0 days 01:18:48.474555076
65,colegiobatistaindependente,35,4 days 05:00:39.552546500
66,colegiobatistaindependente,37,0 days 00:00:52.778746666
67,colegiobetelbrasileirosp,25,0 days 05:31:57.758637
68,colegiobetelbrasileirosp,32,0 days 05:48:17.805245454
69,colegiobetelbrasileirosp,33,0 days 17:14:13.302842
70,colegiobetelbrasileirosp,34,0 days 19:17:24.828096333
71,colegiobilac,29,0 days 00:50:29.548369
72,colegiobilac,30,0 days 01:25:13.255407222
73,colegiobilac,31,0 days 01:38:57.695010800
74,colegiobilac,32,0 days 00:17:58.780965
75,colegiobilac,34,0 days 01:09:32.309769
76,colegiobilac,35,0 days 01:01:59.049265
77,colegiobilac,36,0 days 01:43:14.683810714
78,colegiobrasilia,32,0 days 01:20:05.682933
79,colegiobrasilia,34,0 days 10:52:03.978870
80,colegiobrasilia,37,0 days 03:46:17.262368
81,colegiocb,31,0 days 03:45:31.951193
82,colegiocb,32,0 days 01:39:31.291798
83,colegiocb,34,0 days 01:24:23.132727700
84,colegiocb,35,0 days 00:31:04.840017166
85,colegiodasamericas,25,0 days 02:01:26.365472
86,colegiodasamericas,26,0 days 05:11:40.189967875
87,colegiodasamericas,30,0 days 05:56:48.272546678
88,colegiodasamericas,31,1 days 21:39:44.512771
89,colegiodasamericas,33,-2 days +01:27:34.186888
90,colegiodasamericas,36,0 days 00:14:34.697749200
91,colegioecursodesafio,36,0 days 02:25:23.324568
92,colegioecursodesafio,37,0 days 00:30:55.244207400
93,colegioecursoprogressao,34,0 days 06:43:36.928329
94,colegioeducallis,25,2 days 18:30:10.007053
95,colegioeducallis,31,0 days 08:10:30.646516
96,colegioeducallis,32,1 days 21:25:25.687177909
97,colegioeducallis,33,1 days 11:25:28.074325200
98,colegioeducallis,34,0 days 06:43:33.228495625
99,colegioeducallis,35,0 days 17:39:29.884639454
100,colegioeducallis,36,0 days 21:01:44.426753642
101,colegioeducallis,37,0 days 18:49:21.831153500
102,colegioensitec,25,0 days 00:11:18.398222
103,colegioensitec,29,0 days 00:27:29.287577
104,colegioensitec,30,0 days 00:18:08.530597
105,colegioensitec,31,0 days 00:03:10.102010
106,colegioensitec,32,0 days 00:10:51.348791666
107,colegioflamingo,25,0 days 04:24:30.680410500
108,colegioflamingo,34,0 days 02:20:30.537488
109,colegiofuturageracao,25,0 days 02:09:16.878525636
110,colegiofuturageracao,32,0 days 00:43:50.245384900
111,colegiofuturageracao,33,0 days 00:05:34.600503333
112,colegiofuturageracao,34,0 days 04:11:10.699596800
113,colegiofuturageracao,35,0 days 02:36:02.928648800
114,colegiofuturageracao,37,0 days 00:00:27.139039
115,colegioglobal,25,0 days 00:45:36.381617
