,namespace,Semana,Tempo médio entre criação e publicação de AA por questão
,,,
0,acessoalmirantetamandare,23,0 days 01:27:49.527805670
1,acessoalmirantetamandare,24,0 days 03:27:58.363629605
2,acessoalmirantetamandare,25,0 days 03:58:23.802532423
3,acessoalmirantetamandare,26,0 days 01:22:22.490941524
4,acessoalmirantetamandare,27,0 days 04:42:16.377315031
5,acessoalmirantetamandare,30,0 days 00:03:21.136975080
6,acessoalmirantetamandare,31,0 days 06:29:31.696182892
7,acessoalmirantetamandare,32,0 days 02:20:09.388227697
8,acessoalmirantetamandare,33,0 days 00:47:03.730032529
9,acessoalmirantetamandare,34,0 days 01:07:50.253320794
10,acessoalmirantetamandare,35,0 days 00:36:30.318995562
11,acessoboqueirao,23,0 days 04:33:56.823730995
12,acessoboqueirao,24,0 days 03:12:21.964778585
13,acessoboqueirao,25,0 days 03:14:40.037023373
14,acessoboqueirao,26,0 days 02:53:53.259194989
15,acessoboqueirao,27,0 days 05:42:24.781547398
16,acessoboqueirao,28,0 days 00:00:24.181052200
17,acessoboqueirao,29,0 days 00:03:32.655546666
18,acessoboqueirao,30,0 days 00:21:10.564666603
19,acessoboqueirao,31,0 days 06:17:46.324419493
20,acessoboqueirao,32,0 days 02:35:13.838119564
21,acessoboqueirao,33,0 days 02:16:31.646211482
22,acessoboqueirao,34,0 days 03:55:29.853750863
23,acessoboqueirao,35,0 days 02:56:06.000410836
24,acessocampolargo,23,0 days 01:42:37.075129914
25,acessocampolargo,24,0 days 01:16:33.149207032
26,acessocampolargo,25,0 days 02:19:54.887583755
27,acessocampolargo,26,0 days 00:40:44.843255755
28,acessocampolargo,27,0 days 03:56:46.250545664
29,acessocampolargo,30,0 days 00:04:05.693050535
30,acessocampolargo,31,0 days 03:55:38.908319874
31,acessocampolargo,32,0 days 01:00:48.040066809
32,acessocampolargo,33,0 days 01:16:52.972267359
33,acessocampolargo,34,0 days 00:46:27.779545607
34,acessocampolargo,35,0 days 00:07:34.067946820
35,acessocampolargokids,23,0 days 02:36:51.684282
36,acessocampolargokids,24,0 days 06:09:55.949069142
37,acessocampolargokids,25,0 days 02:06:52.661470375
38,acessocampolargokids,26,0 days 02:06:17.992989347
39,acessocampolargokids,27,0 days 00:37:46.531465927
40,acessocampolargokids,31,0 days 02:09:56.244547551
41,acessocampolargokids,32,0 days 12:30:40.349314544
42,acessocampolargokids,33,0 days 09:35:41.435656220
43,acessocampolargokids,34,0 days 08:21:06.771977
44,acessofazendariogrande,23,0 days 01:11:16.182903811
45,acessofazendariogrande,24,0 days 03:56:57.404470121
46,acessofazendariogrande,25,0 days 04:27:41.017538033
47,acessofazendariogrande,26,0 days 05:51:09.164949662
48,acessofazendariogrande,27,0 days 03:10:34.044778041
