,namespace,Semana,Tempo médio entre publicação e ínicio de AA
0,acessoalmirantetamandare,23,1 days 14:23:25.394718333
1,acessoalmirantetamandare,24,1 days 05:33:50.204645458
2,acessoalmirantetamandare,25,1 days 15:38:31.385327225
3,acessoalmirantetamandare,26,2 days 11:37:57.715887736
4,acessoalmirantetamandare,27,1 days 08:20:24.835438404
5,acessoalmirantetamandare,30,1 days 17:59:24.100767750
6,acessoalmirantetamandare,31,2 days 20:44:34.565151400
7,acessoalmirantetamandare,32,2 days 14:23:47.799490214
8,acessoalmirantetamandare,33,3 days 00:36:39.964706428
9,acessoalmirantetamandare,34,2 days 07:42:51.123972785
10,acessoalmirantetamandare,35,1 days 10:29:56.410139428
11,acessoboqueirao,23,1 days 06:40:40.321382333
12,acessoboqueirao,24,1 days 10:25:07.110934619
13,acessoboqueirao,25,1 days 08:10:34.641126475
14,acessoboqueirao,26,2 days 05:10:04.519258210
15,acessoboqueirao,27,1 days 03:36:57.516017051
16,acessoboqueirao,28,0 days 10:14:33.174733
17,acessoboqueirao,29,0 days 15:23:02.697338
18,acessoboqueirao,30,3 days 07:49:15.527699444
19,acessoboqueirao,31,2 days 14:12:04.165991142
20,acessoboqueirao,32,2 days 08:20:28.129237250
21,acessoboqueirao,33,1 days 20:06:29.695978250
22,acessoboqueirao,34,2 days 00:17:10.487992090
23,acessoboqueirao,35,0 days 18:47:06.230221294
24,acessocampolargo,23,1 days 17:13:07.223507307
25,acessocampolargo,24,1 days 23:21:58.380275360
26,acessocampolargo,25,2 days 01:17:11.776454045
27,acessocampolargo,26,1 days 04:58:00.942108500
28,acessocampolargo,27,2 days 06:44:13.210814076
29,acessocampolargo,30,0 days 19:36:27.545465750
30,acessocampolargo,31,3 days 17:49:08.089919833
31,acessocampolargo,32,0 days 23:14:34.567143666
32,acessocampolargo,33,2 days 11:50:16.559268647
33,acessocampolargo,34,3 days 03:00:03.255853222
34,acessocampolargo,35,1 days 11:42:28.580988500
35,acessocampolargokids,23,2 days 04:36:50.732097
36,acessocampolargokids,24,1 days 03:47:08.554054
37,acessocampolargokids,25,2 days 05:25:00.237821
38,acessocampolargokids,26,1 days 06:42:03.899174
39,acessocampolargokids,27,1 days 22:16:51.618848500
40,acessocampolargokids,31,4 days 04:07:56.635346500
