,namespace,Acesso à relatórios de AA por aluno
0,,0.0
1,abm,0.0
2,acesso,0.0
3,acessoalmirantetamandare,0.460658456021666
4,acessoboqueirao,0.290720020564554
5,acessocampolargo,0.3624397727071124
6,acessocampolargokids,0.3622564935064935
7,acessoemilianoperneta,0.0
8,acessofazendariogrande,0.4367167707989273
9,acessohauer,0.567410603204588
10,acessopinhais,0.39783691561611956
11,acessosantafelicidade,0.4469698699066802
12,acessosjpinhais,0.44083269054744634
13,adrianochan,0.08458925939601968
14,aescobjetivo,0.448226304955211
15,agape,0.0
16,albertsabin,0.0
17,alfacembilingue,0.0
18,alfeurosa,0.0
19,alpha,0.0
20,alternativocursoecolegio,0.0
21,alua,0.0
22,alura,0.0
23,amadeus,0.26783537746748526
24,amais,0.0
25,amaisensino,0.0
26,amaismaker,0.0
27,amaisteste,0.20666666666666667
28,anchieta,0.0
29,anchietaba,0.0
30,anglocassianoricardo,0.0
31,anglojacarei,0.0
32,anossaatmosfera,0.0
33,antares,0.0
34,antaressantosdumont,0.0
35,aocubo,0.0
36,apogeubenfica,0.0
37,apogeupousoalegre,0.0
38,apogeustoantonio1,0.0
39,apogeustoantonio2,0.37617969116543776
40,apotec,0.0
41,aprovest,0.8588235294117647
42,arbos,0.0
43,arcadenoe,0.0
44,arena,0.0
45,aridesa,0.0
46,arlindocavalcanti,0.0
47,arvoredelivros,0.0
48,ateneulondrina,0.0
49,atmo,0.0
50,augustolaranja,0.0
51,autores,0.0
52,avaliacaoapogeu,0.0
53,bahema,0.0
54,bancodequestoes,0.0
55,band,0.0
56,beityaacov,0.014245014245014245
57,benjaminconstant,0.0
58,bertelsmann,0.0
59,blueschooleducacional,0.0
60,boaviagem,0.0
61,bomjesus,0.0
62,bonfim,0.0
63,borapassar,0.0
64,bosquemananciais,0.0
65,brasilcursinhos,0.15437062937062937
66,caderno,0.0
67,cam,0.0
68,camerinocursos,0.035
69,caminhar,0.0
70,campossalles,0.0
71,canalrevisao,0.0
72,capacitacaoinspira,0.0
73,casdinhosjc,0.45276672635868187
74,casdvest,0.028698159237081394
75,catamaravita,0.0
76,catarinense,0.0
77,cats,0.3687943262411348
78,caur,0.0
79,cav,0.0
80,cbpdigital,0.3344935688862274
81,ccdivitoriaregia,0.0
82,cdi,0.0
83,ceabb,0.16220662507427214
84,cebapm,0.0
85,cecbdf,0.0
86,cedac,0.0
87,ceespacolivre,0.15154419244337036
88,cei,0.0
89,cem,0.7253250323815852
90,ceme,0.0
91,cenpec,0.0
92,cepotencial,0.0
93,ceprimeiromundo,0.16018708378285357
94,cepseguro,0.0
95,cermac,0.0
96,cfc,0.0
97,cfimaculadaconceicao,0.0
98,charlesdarwin,0.0
99,ciadosaber,0.5075171735360812
100,classea,0.0
101,cmdpii,0.0
102,cnslpb,0.2600270057299402
103,cocrenascenca,0.0
104,coebb,0.0
105,cognita,0.0
106,cognitivo,0.0
107,colband,0.0
108,colegioalbertsabin,0.0
109,colegioalphaunis,0.46208676685337063
110,colegioamericana,0.0
111,colegioanglomorumbi,0.0
112,colegioarena,0.14261300192327075
113,colegioathena,0.0
114,colegiobatistaindependente,0.6524353738709205
115,colegiobatistamineiro,0.0
116,colegiobetelbrasileirosp,0.6841031459305168
117,colegiobilac,0.2178267418096816
118,colegiobrasilia,0.37081446998179335
119,colegiocastro,0.0
120,colegiocatamara,0.0
121,colegiocb,0.5765804229426148
122,colegiocognos,0.0
123,colegiodasamericas,0.6085823213087195
124,colegiodelta,0.0
125,colegiodom,0.0
126,colegiodompedrosegundo,0.0
127,colegiodosalvador,0.0
128,colegioeag,0.42358651802722336
129,colegioeccos,0.0
130,colegioecursodesafio,0.25092258531468076
131,colegioecursoprogressao,0.5461197343692712
132,colegioeducallis,0.4609804339202521
133,colegioelo,0.0
134,colegioensitec,0.5556538882927774
135,colegioestrutural,0.0
136,colegioexatus,0.0
137,colegiofarroupilha,0.0
138,colegioflamingo,0.15998719107896325
139,colegiofuturageracao,0.6877327935222669
140,colegiogalileu,0.0
141,colegiogetsemani,0.0
142,colegioglobal,0.6470519004427078
143,colegioguilhermedealmeida,0.28395797869308387
144,colegioidealbrasilia,0.0
145,colegioiguatemy,0.49845815969839563
146,colegiointegral,0.1965282226116369
147,colegiointegralsolar,0.0
148,colegioitamarati,0.0
149,colegiojoaopaulo,0.3520128861014283
150,colegioliceu,0.0
151,colegioliliental,0.0
152,colegioluizacora,0.0
153,colegiomagnum,0.35859983657717504
154,colegiomarilia,0.0
155,colegiomartinus,0.0
156,colegiomaster,0.0
157,colegiomastersp,0.0
158,colegiomeninojesus,0.0
159,colegiomodelo,0.0
160,colegiomundial,0.3647955950340242
161,colegionivardomoura,0.0
162,colegionobre,0.0
163,colegionovopatio,0.0
164,colegiopadreeustaquio,0.0
165,colegiopassionista,0.0
166,colegiopioxii,0.0
167,colegiopitagoraspe,0.0
168,colegioplanck,0.45361431863159296
169,colegiopremium,0.4813768545419922
170,colegioprogresso,0.0
171,colegiopurissimo,0.0
172,colegioquadrangular,0.0
173,colegioradar,0.0
174,colegioriobranco,0.0
175,colegiosaberviver,0.0
176,colegiosalesianorn,0.0
177,colegiosantadoroteia,0.0
178,colegiosantamaria,0.0
179,colegiosantamariaminas,0.0
180,colegiosaojudas,0.0
181,colegiosaoluis,0.0
182,colegiosepp,0.0
183,colegioser,0.0
184,colegiosete,0.43636671220866136
185,colegiouirapuru,0.2228459191569319
186,colegiounidadejardim,0.0
187,colegiouniversitario,0.0
188,colegiouniverso,0.5405897844886821
189,colegioup,0.5245879573667687
190,colegiovalparaiso,0.0
191,coleguium,0.0
192,colprogressao,0.0
193,conexaosaber,0.12685555999434375
194,congresso,0.0
195,conhecereducacional,0.0
196,conib,0.0
197,contemporaneo,0.0
198,contemporaneocidadeverde,0.4282323276352726
199,contemporaneolagoanova,0.5459223857247774
200,conteudos,0.0
201,cparaiso,0.0
202,cpv,0.0
203,crb,0.5300204678000217
204,crbdemonstracao,0.0
205,crescercampinas,0.2504628656973961
206,cruzeiro,0.0
207,csmabh,0.0
208,cssg,0.0
209,csvp,0.0
210,culturainglesa,0.0
211,cursinhoeach,0.0
212,cursinhoines,0.0
213,cursobase,0.0
214,cursoenfase,0.06340409588001361
215,cursoisfera,0.10754985754985756
216,cursoleopoldo,0.26318294308014467
217,cursoprogressao,0.0
218,cursosazambuja,0.2710336263317962
219,dante,0.0
220,dantealighieri,0.0
221,darwin,0.0
222,darwinvilavelha,0.0
223,dcc,0.0
224,degrau,0.0
225,delta,0.0
226,deltaeducacional,0.19942647565598381
227,demo,0.0
228,descomplica,0.0
229,devry,0.0
230,dimensao,0.0
231,dionysia,0.0
232,discere,0.0
233,dlp,0.0
234,dokimos,0.0
235,dombosco,0.0
236,dominius,0.0
237,dommga,0.5460526315789473
238,domolinda,0.0
239,domus,0.29563492063492064
240,e24h,0.0
241,eacorcovado,0.41042328119817595
242,eadsaude,0.0
243,eag,0.0
244,eccos,0.18510906422442677
245,edhumbertodecampos,0.0
246,educacional,0.0
247,educamais,0.0
248,educamob,0.0
249,educandarioterciocorreia,0.3808695652173912
250,educarse,0.041463414634146344
251,eduqo,0.0
252,einsteinassis,0.42029288209194776
253,elev,0.0
254,elitecuritiba,0.009333333333333334
255,elitecuritibaemilianoperneta,0.22590668457648552
256,eloeducacional,0.0
257,elvirabrandao,0.0
258,embaixadores,0.0
259,emece,0.0
260,ensinando,0.0
261,equipe,0.0
262,equipea,0.0
263,equiperecife,0.0
264,escola,0.0
265,escolaalpha,0.0
266,escolabatistacriativa,0.0
267,escolabemmequer,0.0
268,escolacastanheiras,0.0
269,escolacasulo,0.0
270,escolaceciliameireles,0.19491129785247424
271,escoladeimpacto,0.0
272,escoladofuturo,0.0
273,escoladomingossavio,0.0
274,escolaidaam,0.0
275,escolaimpacto,0.0
276,escolainternacional,0.0
277,escolajardimdasnacoes,0.0
278,escolamaster,0.4194190664070507
279,escolan10,0.0
280,escolapaulofreire,0.0
281,escolapresbiterianadecanal,0.0
282,escolasantamaria,0.0
283,escolasanti,0.0
284,escreva,0.0
285,esmg,0.0
286,esramada,0.0
287,estantemagica,0.0
288,estreladamanha,0.0
289,estudar,0.0
290,evangelicobebedouro,0.0
291,evolucao,0.0
292,faculdadeflamingo,0.0
293,fame,0.0
294,fariasbrito,0.0
295,fisica,0.0
296,flamingo,0.0
297,fleming,0.0
298,florestasenadorcanedo,0.0
299,fmit,0.0
300,forumcultural,0.0
301,franciscanopioxii,0.0
302,francobrasileiro,0.01854283380018674
303,ftd,0.0
304,ftec,0.0
305,fund1,0.0
306,fundacaobradesco,0.0
307,gacc,0.0
308,gaga,0.0
309,galois,0.0
310,garra,0.0
311,gaylussac,0.0
312,gegsjcampos,0.0
313,genius,0.0
314,gerabixo,0.09461426491994179
315,geracao2001,0.0
316,geraeduca,0.0
317,gracinha,0.0
318,grandepasso,0.0
319,guairaca,0.0
320,habilis,0.0
321,harmoniabilingue,0.0
322,iabcd,0.0
323,idaam,0.3079642337284258
324,idb,0.0
325,iescamp,0.0
326,igmk,0.0
327,imaculada,0.0
328,imhpicos,0.0
329,impacta,0.0
330,implantacao,0.001075268817204301
331,infinitelearning,0.0
332,informacao,0.18365695792880257
333,inovacao,0.0
334,inovacaoeducacional,0.0
335,insa,0.1361111111111111
336,inspira,0.0
337,inspire,0.0
338,institutoauxiliadoradf,0.0
339,institutocaminhar,0.0
340,institutocristao,0.125415390327671
341,institutoeducacionaldeamericana,0.0
342,institutoeurofarma,0.3225
343,institutoideia,0.0
344,institutomariaauxiliadora,0.0
345,institutosaojose,0.0
346,integra,0.5766847123464772
347,integradaeducativa,0.5929084035216937
348,invictus,0.6503082378221108
349,ipdhsolucoes,0.0
350,iracemarufino,0.2
351,isec,0.0
352,isem,0.7012362459457978
