,namespace,Porcentagem de engajamento em AAs
0,testevictorhugo,1.0
1,sasadapt,1.0
2,spdacruz,0.9794797474430454
3,colegioeducallis,0.9548227677160452
4,integradaeducativa,0.9359244987993522
5,integra,0.9351535836177475
6,santamariacn,0.9260993144959037
7,colegioglobal,0.9260327524969607
8,progressaoig,0.9258801236661015
9,aprovest,0.9176470588235294
10,educandarioterciocorreia,0.9115848753016894
11,colegiobrasilia,0.9103872765502339
12,pioxi,0.9098727397424313
13,colegiobetelbrasileirosp,0.9005530222179101
14,overlimaesilva,0.9001560062402496
15,cem,0.8932312651087833
16,colegioecursoprogressao,0.8918165160408709
17,colegiodasamericas,0.8874209259362928
18,colegiointegral,0.8768460154137414
19,progressaodc,0.8709554785841007
20,colegiouirapuru,0.8685645676922854
21,colegiocb,0.8633654688869413
22,ceespacolivre,0.8631452064230057
23,pioxiicolegio,0.8566335870507756
24,idaam,0.8536160122742171
25,saberviver,0.8446601941747572
26,colegioensitec,0.8079615334292817
27,colegiobatistaindependente,0.7969995019920318
28,colegiomundial,0.7822623473181094
29,colegioflamingo,0.7777836747691328
30,psantagema,0.7699193658603253
31,einsteinassis,0.7583133812184092
32,maplebearslz,0.7581153600780576
33,invictus,0.7569717000619707
34,isem,0.7422822635223073
35,magister,0.7392458842272969
36,plannetataboao,0.7328706570916638
37,porto,0.7292372972856248
38,colegioalphaunis,0.7280229247148013
39,colegiofuturageracao,0.7265881853855127
40,colegioeag,0.7248134328358209
41,cats,0.7168639053254438
42,prismapatrocinio,0.7148700823081029
43,itamarati,0.7079207920792079
44,colegiobilac,0.6975875581680138
45,casdinhosjc,0.6963229911594121
46,cbpdigital,0.6778437662562857
47,eccos,0.6744700221095071
48,portinari,0.6727337539218909
49,beityaacov,0.6702127659574468
50,villalobos,0.6697432148405373
51,physicsbatistacampos,0.6569597291087194
52,ciadosaber,0.6531173834420945
53,cnslpb,0.6446743533811156
54,colegioplanck,0.642448295136948
55,colegioup,0.6395764322563128
