,namespace,grade,Média de AAs por turma,Média de exercícios por turma
0,master,em 3a serie,0.1426056338028169,1.0
1,ceprimeiromundo,outro,0.2535211267605634,0.8878894106753092
2,universitariolondrina,em 3a serie,1.0,0.7762418149348502
3,universitariolondrina,em 2a serie,0.8802816901408451,0.7619551557642701
4,universitariolondrina,em 1a serie,0.8591549295774648,0.7497850386930353
5,santoamerico,em 3a serie,0.301056338028169,0.6706792777300086
6,santoamerico,em 1a serie,0.20598591549295775,0.6087704213241617
7,mariliamattoso,em 3a serie,0.2323943661971831,0.5831073483696012
8,aescobjetivo,em 3a serie,0.3028169014084507,0.5518883524042595
9,mariliamattoso,em 2a serie,0.323943661971831,0.5201402209140816
10,acessocampolargo,em 1a serie,0.2676056338028169,0.5132614590912097
11,mariliamattoso,em 1a serie,0.29577464788732394,0.5063826972683378
12,santoamerico,em 2a serie,0.15070422535211267,0.4855347575897877
13,acessoalmirantetamandare,em 1a serie,0.30985915492957744,0.483629869700377
14,acessoalmirantetamandare,em 2a serie,0.3028169014084507,0.47833851445201403
15,acessosjpinhais,em 1a serie,0.31690140845070425,0.47198888815397844
16,acessofazendariogrande,em 2a serie,0.30985915492957744,0.47145975262914214
17,acessofazendariogrande,em 1a serie,0.30985915492957744,0.46987234605463324
18,acessosjpinhais,em 2a serie,0.31690140845070425,0.46669753290561544
19,acessoboqueirao,em 2a serie,0.3028169014084507,0.46140617765725245
20,acessopinhais,em 2a serie,0.2746478873239437,0.45505655135921685
21,acessopinhais,em 1a serie,0.2746478873239437,0.45505655135921685
22,acessosantafelicidade,em 2a serie,0.2605633802816901,0.4513526026853628
23,overmarciliofurtado,em 2a serie,0.4507042253521127,0.4497651961108539
24,acessosantafelicidade,em 1a serie,0.2535211267605634,0.4487069250611813
25,overpontanegra,em 1a serie,0.4084507042253521,0.442886434287982
26,overzonanorte,em 1a serie,0.4084507042253521,0.4407698921886368
27,overpontanegra,em 2a serie,0.45774647887323944,0.4407698921886368
28,overabelcabral,em 2a serie,0.4154929577464789,0.43759507903961903
29,overzonanorte,em 2a serie,0.4084507042253521,0.43547853694027383
30,overabelcabral,em 1a serie,0.38028169014084506,0.43494940141543753
31,acessoalmirantetamandare,em 3a serie,0.06338028169014084,0.42119187776969375
