,namespace,Criação de AA
,,
0,manoelbatista,0.0
1,arlindocavalcanti,0.0
2,colegiomundial,0.0
3,master,0.0
4,colegionovopatio,0.0
5,maplebearslz,0.0
6,fundacaobradesco,0.0
7,positivoon,0.0
8,simuladoita,0.0
9,francobrasileiro,0.0
10,apogeustoantonio2,0.0
11,moaciralves,0.0
12,santamariacn,0.0
13,primeirodemaio,0.0
14,colegioarena,0.0
15,pioxi,0.0
16,plannetataboao,0.0
17,amais,0.0
18,colegiopremium,0.0
19,escola,0.0
20,ceprimeiromundo,0.0
21,acessopinhais,0.0
22,colegiosete,0.0
23,acessocampolargokids,0.0
24,saberviver,0.013295964820478743
25,colegioeducallis,0.025946223557490492
26,integradaeducativa,0.06038868297056422
27,colegioup,0.10420592295507924
28,acessofazendariogrande,0.1760739944359804
29,portinari,0.18523270756575683
30,colegioeag,0.20249984491692744
31,provaspoliedro,0.25174472140409465
32,cursobase,0.30481290912670084
33,jazzvestibular,0.3131574647074069
34,colegioguilhermedealmeida,0.3289196780792123
35,colegioliceu,0.34006180787093476
36,eccos,0.34951385655512673
37,aescobjetivo,0.36347856950549523
38,stellamarisxaxim,0.3918857837507391
39,elitecuritibaemilianoperneta,0.3933228649558691
40,acessoboqueirao,0.40536019611706786
41,cbpdigital,0.4359283641997779
42,acessohauer,0.4383279200193421
43,porto,0.47514507991466826
44,acessoalmirantetamandare,0.4763035988759749
45,pioxiicolegio,0.4792128168718774
46,sas,0.4964012562282612
47,sagradafamilia,0.5173115181022813
48,colegioiguatemy,0.5243623236562502
49,acessosjpinhais,0.5545246096598975
50,cursosazambuja,0.5609517180658596
51,deltaeducacional,0.5798310603501737
52,acessosantafelicidade,0.5862468405229478
53,ceespacolivre,0.5901114569192083
54,osequim,0.5924069239525771
55,escoladinamicaiturama,0.5966686400618039
56,acessocampolargo,0.6016340119586837
57,colegioglobal,0.6352331915844975
58,institutosaojose,0.6422692871778783
59,colegioplanck,0.6459708582237902
60,integra,0.6462925347177237
61,stellamarisaguaverde,0.6945478759322347
62,educarse,0.7011500257206787
63,santoamerico,0.730406013472194
64,qescola,0.7346605193285214
65,cnslpb,0.7456051903528916
66,objetivolorena,0.7529397470289116
67,colegiojoaopaulo,0.7560671306574271
68,cats,0.7652787516200508
69,crescercampinas,0.7958923469490852
70,colegioalphaunis,0.7963491145631096
71,eacorcovado,0.7998900662129059
72,jardimsaopaulo,0.8015761709245357
73,stellamarisjuveve,0.8024518570735698
74,poliedro,0.8067950191805952
75,escolaceciliameireles,0.8179888346564393
76,poliedropv,0.8215350664157872
77,nucleocriativo,0.8243732973816947
78,simbios,0.8343538598700715
79,spdacruz,0.8380885330118908
80,colegiouirapuru,0.8405693068812026
81,magister,0.8407175970184937
82,colegioensitec,0.8430075567638179
83,physicsconselheirofurtado,0.847474446021912
84,colegiofuturageracao,0.8598116461369466
85,contemporaneocidadeverde,0.8618595543781182
86,universitariolondrina,0.8652129421981656
87,montessori,0.8680229983624234
88,gerabixo,0.8688936531556998
89,institutocristao,0.868899929996706
