,namespace,Publicação da AA
0,acessoalmirantetamandare,0.5240136052645191
1,acessoboqueirao,0.49206027680489994
2,acessocampolargo,0.6107980871113327
3,acessocampolargokids,0.4332288172441715
4,acessofazendariogrande,0.25566268521101837
5,acessohauer,0.490265619018875
6,acessopinhais,0.27424533874622337
7,acessosantafelicidade,0.6274557310292022
8,acessosjpinhais,0.6083108071927747
9,adrianochan,0.24984031453520653
10,aescobjetivo,1.0
11,alfacembilingue,0.0
12,amadeus,0.4670532216532082
13,amais,1.0
14,amaisteste,0.0002837559460216066
15,anchietaba,0.0
16,apogeustoantonio2,0.15713112971492463
17,aprovest,0.034156666340132674
18,arlindocavalcanti,1.0
19,beityaacov,0.0
20,bertelsmann,0.0
21,brasilcursinhos,0.3597921709352314
22,camerinocursos,1.04686944236682e-06
23,casdinhosjc,0.05585385623990309
24,casdvest,0.08379618153753511
25,castelobruxo,1.0
26,cats,0.04829692035847126
27,cbpdigital,0.7670609465276095
28,ceabb,0.5141646317636457
29,cecbdf,0.048049685653210134
30,ceespacolivre,1.0
31,cem,0.9288900915229352
32,ceprimeiromundo,1.0
33,charlesdarwin,0.0
34,ciadosaber,1.0
35,cmdpii,0.04319918725997722
36,cnslpb,0.2947292345576743
37,cognitivo,0.001248110933810161
38,colegioalphaunis,1.0
39,colegioanchietai,0.047963757769960154
40,colegioanchietaii,0.04803356332728708
41,colegioarena,0.37053368913158546
42,colegiobatistaindependente,0.45683616085754897
43,colegiobetelbrasileirosp,1.0
44,colegiobianguloiv,0.047914366674171156
45,colegiobilac,0.8292380840931415
46,colegiobrasilia,0.7468244636003247
47,colegiocb,1.0
48,colegiocognos,0.0
49,colegiodasamericas,1.0
50,colegiodompedrosegundo,0.5422472588641274
51,colegioeag,1.0
52,colegioecursodesafio,1.0
53,colegioecursoprogressao,1.0
54,colegioeducallis,0.37644379459729505
55,colegioensitec,1.0
56,colegiofarroupilha,0.0
57,colegioflamingo,0.4106198416254993
58,colegiofuturageracao,1.0
59,colegioglobal,1.0
60,colegioguilhermedealmeida,0.7075081539664531
61,colegioiguatemy,0.9523410367929087
62,colegiointegral,1.0
63,colegiojoaopaulo,0.9738102001981855
64,colegioliceu,0.12756128313518114
65,colegiomagnum,1.0
66,colegiomartinus,0.0
67,colegiomodelo,0.0001323726959303341
68,colegiomundial,0.0
69,colegionobre,0.0
70,colegionovageracao,0.0
71,colegionovopatio,0.7734105205753131
72,colegioplanck,1.0
73,colegiopremium,0.20749382307539585
74,colegioprogresso,0.00042483804958919535
75,colegioradar,0.007704548273714246
76,colegioriobranco,0.0
77,colegiosantamaria,0.0
78,colegiosaoluis,0.00026887250306097365
79,colegioser,1.0
80,colegiosete,0.3840024641940826
81,colegiouirapuru,0.3519243070828107
82,colegiouniverso,0.7344864033769433
83,colegioup,0.3856779400886373
84,conexaosaber,1.0
85,contemporaneo,1.0
86,contemporaneocidadeverde,0.8865987375440573
87,contemporaneolagoanova,0.9989121430561876
88,cparaiso,0.0
89,crb,1.0
90,crescercampinas,0.7903576587497866
91,cursinhoeach,0.08578968675833279
92,cursobase,0.7334179578870456
93,cursoenfase,0.5191969798504845
94,cursoisfera,0.42577753036511845
95,cursoleopoldo,0.2641462940404892
96,cursoprogressao,0.00028858935352049175
97,cursosazambuja,0.7880172179537676
98,dante,0.0
99,deltaeducacional,0.20200724771368322
100,dommga,1.0
101,domus,0.6378125722624707
102,eacorcovado,0.5693964607908978
103,eccos,0.6126213501669091
104,educamais,0.3879958194231208
105,educandarioterciocorreia,0.28677388695059314
106,educarse,0.32812425687975805
107,eduqo,0.0007071320230864403
108,einsteinassis,0.4906384975297719
109,elitecuritiba,0.8398203238892755
110,elitecuritibaemilianoperneta,0.7626578900265973
111,eluneonline,0.00022226566124382318
112,equipe,0.0
113,escola,7.255825149959666e-06
114,escolaceciliameireles,0.9156454541624355
115,escoladeimpacto,0.1736835136228261
116,escoladinamicaiturama,1.0
117,escolajardimdasnacoes,0.0054375927728759
118,escolamaster,0.3892954343815543
119,esperanza,0.00034608129823150225
120,estantemagica,0.00014544413188806687
121,faculdadeflamingo,0.9569262235118683
122,fleming,0.0003492037267619221
123,francobrasileiro,0.0034280202417180756
124,fundacaobradesco,0.0
125,galois,8.677665769164503e-05
126,garra,0.0946416677628194
127,gerabixo,0.04240890439162969
128,idaam,0.5076262317948359
129,implantacao,0.10601253485981416
130,informacao,0.7761408659067198
131,insa,1.0
132,institutoauxiliadoradf,0.03586298362271795
133,institutocristao,0.2711170866630753
134,institutoeurofarma,1.0
135,institutosaojose,0.10352231310425394
136,integra,1.0
137,integradaeducativa,0.8124604761862562
138,invictus,0.5904024020840858
139,iracemarufino,0.0002944699919230217
140,isem,1.0
141,itamarati,0.13867960424836348
142,jardimsaopaulo,0.3917744557948187
143,jazzvestibular,0.0002023889015776059
144,joaobelem,0.289459578474298
145,laboratoriosromildo,0.012117997400065594
146,lasalleaguasclaras,0.09373596350417121
147,liessinbarra,0.08494743941083654
148,litteratus,0.6329854093012335
149,macvest,0.06373429520530897
150,magister,1.0
151,manoelbatista,1.0
152,maplebearslz,0.593106719881454
153,mariliamattoso,0.7077274791007697
154,master,1.0
155,mastersolucoes,0.0
156,meta,8.30912330375366e-05
157,minhalista,0.00015257000358476718
158,moaciralves,1.0
159,montessori,0.5804252702532681
160,murilorocha,0.10206908554102907
161,navegasas,0.0003056992686887668
162,novotempo,0.46410862116525775
163,nucleocriativo,0.8452914477031918
164,nucleopva,1.0
165,objetivolorena,0.8463309205798389
166,objetivoteresina,0.0
167,oficinadoestudante,1.0
