,namespace,count
0,smecolegiojjr,1
1,cristaoantenorthomazi,2
2,sesiapucarana,3
3,educandarioterciocorreia,12
4,escolajoaocalvino,1
5,mariaantonia,1
6,domolinda,1
7,athenasequipe,1
8,sas,7
9,jaimekratz,1
10,casdinhosjc,121
11,overjoaopessoa,31
12,alua,3
13,www,11
14,sasadapt,14
15,ceespacolivre,32
16,antonioportela,3
17,cssg,3
18,colegioguilhermedealmeida,65
19,sidarta,3
20,colegionobre,2
21,implantacao,1
22,esm,1
23,sosmamaecoruja,6
24,cappta,8
25,crecei,4
26,pertinhodanatureza,1
27,lumen,5
28,apogeumbcursos,1
29,aprendaquimica,1
30,escolacristal,1
31,colegiosiglan,2
32,veramagaldi,1
33,institutoauxiliadora,2
34,fame,2
35,bernardosayao,19
36,colegioraiodesol,21
37,novotempo,78
38,ipemg,3
39,colegiosaberviver,2
40,tiquinhodegente,10
41,batistavistaalegre,2
42,isec,1
43,ecml,3
44,colegiocastelo,3
45,dommga,2
46,lourenco,1
47,simplificaquepassa,5
48,alpha,75
49,saobento,2
50,amaisteste,13
51,renanbrito,1
52,seomega,1
53,batistaibicui,2
54,santoantoniojesus,1
55,equipe,3
56,alphaacompanhamento,4
57,cursoisfera,14
58,principius,30
59,lasalledores,3
60,eeacg,1
61,saojosecaxiasdosul,2
62,censacampos,4
63,cep,2
64,soniamariaos,1
65,djanirapereira,3
66,adventistasjrp,2
67,ecportoseguro,1
68,iceducacao,1
69,sasadaptrelatorios,19
70,escolaarrudacamara,1
71,colhemerlindacorreia,3
72,zecarioca,15
73,lerote,2
74,professorflavio,1
75,apogeucemap,1
76,colegiocatamara,1
77,gamt,5
78,catamaravita,20
79,marcelochumer,1
80,manoelmarcelino,2
81,maplebearslz,64
82,cepseguro,1
83,sesicrixas,7
84,batistariopretense,3
85,testehabilitacao,1
86,physicsconselheirofurtado,73
87,rosanaponte,4
88,litteratus,24
89,ipdhsolucoes,20
90,cemanoelgoncalves,1
91,katrodrigues,1
92,escolaaconchego,1
93,walfridocampos,1
94,ceme,1
95,decisao,4
96,sesibarrabonita,4
97,educglauberrocha,1
98,presbiterianacastanheira,2
99,colegiomaristaroque,1
100,colegioeducare,1
101,universitas,31
102,charlesdarwin,2
103,colegiodourado,4
104,maanaim,3
105,colegioshalomoficial,5
106,escolaeboasnovas,2
107,ivv,1
108,radial,2
109,setrem,1
110,colegiooficina,1
111,lasalle,1
112,mackenziebrasilia,16
113,magister,28
114,acessofazendariogrande,37
115,fisicadf,1
116,ipcabofrio,2
117,csa,1
118,redeapogeu,2
119,colegioarca,1
120,colegionivardomoura,1
121,ftec,52
122,escolapppp,1
123,recantointerativo,2
124,colegiointegral,111
125,ipepirai,2
126,itamarati,88
127,colegio15,1
128,cursoleopoldo,1
129,lauramatos,1
130,sscc,1
131,andersonaraujo,1
132,smecristaodecastro,7
133,centroeaviv,1
134,colegiolebiste,1
135,raiodesol,3
136,plannetataboao,25
137,colegionovageracao,27
138,colegioanchietai,1
139,fontenova,3
140,formacao,8
141,colsagradafamila,1
142,escolavida,13
143,sesiigaracudotiete,4
144,colegiockids,1
145,domboscopetrolina,3
146,colegiolamarck,2
147,cicrel,4
148,universitario,9
149,colegiomontesclaros,2
150,iperesende,3
151,emovi,3
152,ieveralucia,1
153,apogeubenfica,3
154,saladacristiane,1
155,portoseguro,30
156,magnumagostiniano,3
157,cristaodapenha,5
158,mundoarteceb,1
159,physicsmacapa,64
160,santamariace,4
161,integradaeducativa,30
162,deltaeducacional,24
163,cambauba,1
164,saojoao,4
165,vmcursos,1
166,joseflorencio,4
167,santamariacn,21
168,primeirachance,1
169,vetor,2
170,ipec,2
171,uniaomissnorte,2
172,positivomaster,13
173,master,85
174,escolinhacaca,6
175,estreladedavi,2
176,caur,6
177,escolahwallon,1
178,stellamarisjuveve,114
179,colegioprimeiromundo,1
180,cfsantoantonio,4
181,colegioequipevicosa,1
182,professoradechines,2
183,ebei,2
184,tialo,11
185,tabernaculo,4
186,externatocrespo,1
187,presbiterianoaraguaia,1
188,experimentacaogratuita,4
189,colegiouirapuru,72
190,betesda,2
191,colband,5
192,eibedica,1
193,darwin,122
194,metropolitanojunior,1
195,semearjacarei,2
196,anglojacarei,36
197,excelente,1
198,todalicao,1
199,overnascimentodecastro,21
200,cedecisivo,1
201,cesc,3
202,colegioprogresso,2
203,cnslpb,24
204,monsenhorgoncalo,46
205,luminaedu,1
206,nsgloria,1
207,manoelfrancisco,4
208,ctbmsa,17
209,cursinhoeach,1
210,colsantacatarinape,2
211,sincroniza,1
212,colegiouniversitario,17
213,arena,2
214,eepensareagir,1
215,invictus,18
216,dionysia,7
217,colegiocrescer,2
218,antaressantosdumont,24
219,eeejds,1
220,luizgonzaga,13
221,eadcmm,2
222,saomiguelbh,1
223,universobarcarena,56
224,colegioalberteinstein,70
225,iabcd,10
226,sesiamericana,5
227,batistasaovicente,2
228,colegioabre,10
229,colegiopolivalente,1
230,profederal,24
231,viaquatro,1
232,comenius,1
233,overabelcabral,74
234,idaam,101
235,mundialfranciscobeltrao,4
236,escolajosearaujobezerra,18
237,cam,14
238,provaspoliedro,255
239,augustolaranja,1
240,presbericocardoso,1
241,cpchamberlain,1
242,joaobelem,20
243,dokimos,60
244,hackiandoaeduc,1
245,saodomingos,1
246,pedromurilo,14
247,joaosampaio,34
248,educamais,2
249,dorothea,4
250,aeai,1
251,setedesetembro,32
252,boaviagem,55
253,clubedopimpolho,3
254,physicsbatistacampos,52
255,perpetuosocorro,1
256,certus,3
257,erasmobraga,2
258,csdb,4
259,concordia,1
260,simontondf,1
261,vcmaker,399
262,ministrodafazenda,1
263,unilan,1
264,vilagustavo,1
265,einsteinassis,24
266,espacolivre,2
267,colegiopresbiterianobras,2
268,zacariasliberato,3
269,rede,2
270,simuladoita,9
271,populardeteresina,1
272,mastersolucoes,18
273,colegioitamarati,1
274,renascereducacao,1
275,plural,1
276,raimundoalves,5
277,escola,1
278,smevilaura,5
279,juntos,5
280,mackenzietambore,63
281,edificandogeracoes,2
282,capacitacaoinspira,3
283,escoladavila,2
284,nsfatima,17
285,antaresbarbosadefreitas,22
286,mariacarmo,22
287,forumcultural,2
288,patronatoitapaje,1
289,lasalleaguasclaras,4
290,saseducacao,27
291,devry,2
292,chamberlain,1
293,xvdenovembro,1
294,amais,787
295,pvv,2
296,objetivoteresina,2
297,josepaulino,31
298,colegiopromundo,2
299,crescercampinas,34
300,ceteb,4
301,colegioexternatosjbv,5
302,redemarista,19
303,batistaagnusdei,1
304,inspiresjc,2
305,colegiofantastico,3
306,auxiliadorarj,2
307,escolaomega,1
308,ipesimonton,3
309,colegiosoledade,1
310,andrews,1
311,institutosaojose,4
312,campeia,1
313,milenamadeira,1
314,cepaulofreire,2
315,smemhorebe,5
316,limanogueira,1
317,colegiobetelbrasileirosp,34
318,mariaeunice,15
319,poiujkl,3
320,cmirj,3
321,cesaber,1
322,cnsditabira,1
323,conradochaves,13
324,fide,3
325,escolakodomo,1
326,colegiometropolitan,3
327,presbiterianadogama,2
328,coopermundi,4
329,riscorabisco,2
330,christianschool,2
331,sesiportoferreira,1
332,sesiitatiba,1
333,colsantamaria,2
334,goncalomartins,8
335,colegiosm,1
336,colegiosoma,3
337,antarespapicu,40
338,elitecuritiba,34
339,pentagono,181
340,cats,37
341,novavisao,1
342,sistemafb,3
343,colegiocastro,1
344,macbrasiliaint,1
345,escolajesusbompastor,1
346,crb,1
347,colprimeiraclasse,3
348,semeares,3
349,fepcrato,3
350,mastersaoluis,1
351,centroeducacionalaviv,4
352,smemundodeplatao,5
353,prodteste,22
354,pearson,1
355,eeagm,1
356,saoroque,2
357,csaci,4
358,franciscanopioxii,3
359,cantinhodosaber,1
360,conhecereducacional,30
361,progressaodc,24
362,agoramath,1
363,universitariolondrina,119
364,acesso,18
365,escolasoito,4
366,escolacristaempiedade,7
367,melquiadescamelo,6
368,dombosco,23
369,escolainterativa,1
370,josepinheiro,20
371,primeirodemaio,40
372,jam,1
373,colegiogalileu,23
374,sonhodecrianca,9
375,igmk,2
376,campossalles,87
377,colegiopassionista,5
378,maededeus,5
379,santacruz,2
380,colegioecursoprogressao,32
381,renan,1
382,colegioecursoover,2
383,colegioeneum,1
384,wererockingitbabe,2
385,aescobjetivo,53
386,escolaidaam,2
387,bancoeduqo,1
388,mocinhagomes,3
389,iescamp,1
390,escolavitoriaregia,16
391,pcf,36
392,objetivozonanorte,1
393,colegioagnes,1
394,elolacerdaf,1
395,colegioocteto,1
396,colegiopitagoras,1
397,eblighthouse,1
398,escolamundo,1
399,colegiosaojudas,2
400,educardpaschoal,1
401,ceadsp,3
402,sesi207,1
403,ruibarbosa,3
404,escolacristacandeias,7
405,pulamuralha,1
406,sesisjdoriopreto,7
407,colegiomarilia,65
408,cognitivo,2
409,diocesanocaruaru,4
410,presbjuina,1
411,egocg,2
412,acessoalmirantetamandare,41
413,neila,1
414,escoladalivia,2
415,riobrancocampinas,3
416,colegioatenas,1
417,motiva,8
418,cursoforca,2
419,colegiomariahelena,8
420,sistemaprima,21
421,maristateresina,4
422,eag,3
423,wilsondeandradebarreto,1
424,colegiodomboscomanaus,6
425,conteudos,1
426,cebapm,2
427,moppe,47
428,colegioanglobras,1
429,abdiasmartins,29
430,celp,2
431,colbatistadecamamu,1
432,apogeudivinopolis,4
433,colegioalbertsabin,2
434,ceribeirogil,1
435,colegiopitagoraspe,21
436,kuadro,1
437,santoantonio,14
438,physicsalcindocacela,88
439,conexaosaber,31
440,ckadima,1
441,cruzeiro,2
442,colegiobianguloiv,29
443,projetodeventoempopa,1
444,itamarataizes,2
445,ceprimeiromundo,111
446,escolacrescimento,2
447,nihongogakkou,1
448,escolacristasumare,2
449,institutokairos,13
450,metodistadosul,2
451,finalizandabagaca,1
452,colegioeag,42
453,acessosantafelicidade,52
454,smetatui,3
455,coracao,4
456,cocaraucaria,42
457,cursoclaudiomuniz,1
458,montedasoliveiras,2
459,eia,2
460,contemporaneocidadeverde,74
461,evolucao,4
462,altopadraocuritiba,2
463,academiaboaviagem,2
464,saoluiz,3
465,ccdivitoriaregia,3
466,geneduc,4
467,tvve,2
468,colegiosp,1
469,avaliacaoapogeu,1
470,educar,2
471,edhumbertodecampos,15
472,mobile,1
473,joracycruz,2
474,magno,3
475,projetogauss,1
476,demo,1
477,colegiosete,42
478,colegion1,1
479,profdelano,1
480,unevale,1
481,cemaristasaojose,3
482,colegioiguatemy,32
483,pedrogeo,1
484,senai,1
485,cecriativus,1
486,cdi,9
487,coleguium,3
488,ejjg,1
489,apogeustoantonio2,76
490,cmc,1
491,colegioecursodesafio,63
492,nsconceicao,3
493,pequenosamuel,2
494,jeucnovageracao,1
495,oswald,26
496,criancaesperanca,10
497,cebnossasenhoraaparecida,15
498,inspiracao,1
499,josemelo,26
500,abiliomartins,21
501,novageracaope,4
502,castelobruxo,3
503,escolapresbiterianadecanal,32
504,colegioeccos,3
505,cnec,2
506,colegiomodelo,5
507,testegracie,1
508,arlindocavalcanti,18
509,colsaberviver,2
510,colegiocanarinho,5
511,earcadenoe,1
512,escolajardimdasnacoes,2
513,barraazul,10
514,saturninopereira,3
515,eacr,1
516,cbbrasileiro,1
517,jesusmariajose,6
518,gremioescolarserrano,1
519,sfhfakhfakfakj,1
520,integradotatui,1
521,studos,1
522,cursologhus,1
523,integra,32
524,escolasplugadas,51
525,elos,1
526,culturainglesa,4
527,genesislife,1
528,colegiosaoluis,2
529,habilisescolaecurso,9
530,elev,21
531,mentoring,6
532,click,1
533,guilhermefilho,19
534,colegioeximius,3
535,escolacristaba,2
536,isaacnewtonsp,2
537,ensinoteclondrina,3
538,colegiocriativo,3
539,escoladeimpacto,1
540,jpn,1
541,santamaria,2
542,adeajuda,2
543,presbiterianomacae,2
544,censaparecida,2
545,tadeubio,1
546,centrinhoplanaltina,1
547,colegiocdc,1
548,duque,4
549,colcardealarcoverde,1
550,babycamp,3
551,ulbraconcordia,1
552,ecaminhodosanjos,1
553,colveracruz,1
554,selecao,44
555,colegiomundoideal,1
556,compa,1
557,geracaoatual,2
558,lasallesp,106
559,colegiosuperacao,1
560,dhrczs,3
561,centroraiodesol,1
562,aba,5
563,faculdadeflamingo,62
564,colegiojoaopaulo,72
565,magnum,2
566,oliveiranetto,4
567,marialaura,20
568,colegiograciosa,1
569,ceprojetar,3
570,pioxii,7
571,colegiosalesianorn,1
572,catarinense,3
573,primeiromundo,15
574,cermac,36
575,guairaca,3
576,colegioagape,1
577,cbpdigital,21
578,carlosvasconcelos,1
579,josesoares,6
580,senaiourobranco,1
581,domboscogru,1
582,liderasas,2
583,igd,4
584,eacorcovado,110
585,institutoeurofarma,1
586,escolainternacional,2
587,universos,4
588,antaresfatima,44
589,contemporaneo,50
590,colegioecursoviver,1
591,mojuca,3
592,colegiosantoscarneiro,1
593,colegiodimensao,1
594,meta,8
595,apotec,13
596,colegioalvaromelo,2
597,escolaluterana,1
598,paulovi,13
599,renascer,1
600,hamiltondarocha,18
601,zuleideconstantino,1
602,oswalddeandrade,3
603,santoagostinholeblon,3
604,positivosemeador,10
605,sistemaincentivo,27
606,colegiofenix,2
607,simontonsapezal,3
608,playpen,1
609,educandario,3
610,escolafrozi,1
611,sesiipiranga,2
612,colterceiromilenio,4
613,fariabrito,1
614,objetivoitanhandu,1
615,jeanpiaget,2
