,namespace,Semana,creation,Número de AAs criadas,user_id
0,acessoalmirantetamandare,0,2021-09-28,1,41
1,acessoalmirantetamandare,0,2021-10-01,2,41
2,acessoboqueirao,0,2021-10-01,1,52
3,acessofazendariogrande,0,2021-09-27,1,37
4,acessofazendariogrande,0,2021-09-28,2,37
5,acessofazendariogrande,0,2021-10-02,2,37
6,acessosjpinhais,0,2021-10-01,1,66
7,aescobjetivo,0,2021-09-24,6,53
8,aescobjetivo,0,2021-09-25,2,53
9,aescobjetivo,0,2021-09-26,6,53
10,aescobjetivo,0,2021-09-27,15,53
11,aescobjetivo,0,2021-09-28,10,53
12,aescobjetivo,0,2021-09-29,10,53
13,aescobjetivo,0,2021-09-30,17,53
14,aescobjetivo,0,2021-10-01,6,53
15,amadeus,0,2021-09-26,2,116
16,cats,0,2021-09-24,4,38
17,cats,0,2021-09-29,1,38
18,cbpdigital,0,2021-09-24,5,21
19,ceespacolivre,0,2021-09-24,2,32
20,ceespacolivre,0,2021-09-25,3,32
21,ceespacolivre,0,2021-09-28,1,32
22,ceespacolivre,0,2021-09-29,2,32
23,ceespacolivre,0,2021-09-30,3,32
24,ceespacolivre,0,2021-10-02,1,32
25,cem,0,2021-09-28,1,27
26,cem,0,2021-09-29,2,27
27,ceprimeiromundo,0,2021-09-24,3,112
28,ceprimeiromundo,0,2021-09-25,2,112
29,ceprimeiromundo,0,2021-09-26,1,112
30,ceprimeiromundo,0,2021-09-28,2,112
31,ceprimeiromundo,0,2021-10-01,5,112
32,ciadosaber,0,2021-09-24,5,18
33,ciadosaber,0,2021-09-27,2,18
34,ciadosaber,0,2021-09-28,3,18
35,ciadosaber,0,2021-10-01,2,18
36,cnslpb,0,2021-09-24,2,24
37,cnslpb,0,2021-09-28,9,24
38,cnslpb,0,2021-09-29,1,24
39,cnslpb,0,2021-09-30,3,24
40,cnslpb,0,2021-10-01,4,24
41,colegioalphaunis,0,2021-09-30,1,28
42,colegioarena,0,2021-09-24,3,71
43,colegioarena,0,2021-09-26,2,71
44,colegioarena,0,2021-09-27,20,71
45,colegioarena,0,2021-09-28,11,71
46,colegioarena,0,2021-09-29,10,71
47,colegioarena,0,2021-09-30,3,71
48,colegioarena,0,2021-10-01,5,71
49,colegiobatistaindependente,0,2021-09-24,7,17
50,colegiobatistaindependente,0,2021-09-25,3,17
51,colegiobatistaindependente,0,2021-09-26,13,17
52,colegiobatistaindependente,0,2021-09-27,15,17
53,colegiobatistaindependente,0,2021-09-28,23,17
54,colegiobatistaindependente,0,2021-09-29,24,17
55,colegiobatistaindependente,0,2021-09-30,4,17
56,colegiobatistaindependente,0,2021-10-01,5,17
57,colegiobatistaindependente,0,2021-10-02,1,17
58,colegiobilac,0,2021-10-02,1,18
59,colegiobrasilia,0,2021-09-24,11,58
60,colegiobrasilia,0,2021-09-25,5,58
61,colegiobrasilia,0,2021-09-26,20,58
62,colegiobrasilia,0,2021-09-27,18,58
63,colegiobrasilia,0,2021-09-28,21,58
64,colegiobrasilia,0,2021-09-29,28,58
65,colegiobrasilia,0,2021-09-30,27,58
66,colegiobrasilia,0,2021-10-01,10,58
67,colegiocb,0,2021-09-24,4,27
68,colegiocb,0,2021-09-26,2,27
69,colegiocb,0,2021-09-27,6,27
70,colegiocb,0,2021-09-28,13,27
71,colegiocb,0,2021-09-29,7,27
72,colegiocb,0,2021-09-30,5,27
73,colegiocb,0,2021-10-01,5,27
74,colegiocb,0,2021-10-02,17,27
75,colegioeag,0,2021-09-29,1,43
76,colegioecursodesafio,0,2021-09-24,6,63
77,colegioecursodesafio,0,2021-09-25,20,63
78,colegioecursodesafio,0,2021-09-26,28,63
79,colegioecursodesafio,0,2021-09-27,23,63
80,colegioecursodesafio,0,2021-09-28,6,63
81,colegioecursodesafio,0,2021-09-30,22,63
82,colegioecursodesafio,0,2021-10-01,15,63
83,colegioecursodesafio,0,2021-10-02,29,63
84,colegioecursoprogressao,0,2021-09-24,2,32
85,colegioecursoprogressao,0,2021-09-25,2,32
86,colegioecursoprogressao,0,2021-09-26,5,32
87,colegioecursoprogressao,0,2021-09-27,2,32
88,colegioecursoprogressao,0,2021-09-28,3,32
89,colegioecursoprogressao,0,2021-09-29,10,32
90,colegioecursoprogressao,0,2021-09-30,19,32
91,colegioecursoprogressao,0,2021-10-01,14,32
92,colegioecursoprogressao,0,2021-10-02,18,32
93,colegioensitec,0,2021-09-24,1,34
94,colegioensitec,0,2021-09-25,2,34
95,colegioensitec,0,2021-09-26,5,34
96,colegioensitec,0,2021-09-27,1,34
97,colegioensitec,0,2021-09-30,1,34
98,colegioensitec,0,2021-10-01,1,34
99,colegioensitec,0,2021-10-02,7,34
100,colegioflamingo,0,2021-09-24,7,12
101,colegioflamingo,0,2021-09-29,3,12
102,colegiofuturageracao,0,2021-09-26,1,15
103,colegiofuturageracao,0,2021-09-28,4,15
104,colegiofuturageracao,0,2021-09-29,3,15
105,colegiofuturageracao,0,2021-09-30,2,15
106,colegioglobal,0,2021-09-27,1,32
107,colegioglobal,0,2021-09-29,1,32
108,colegioglobal,0,2021-09-30,4,32
109,colegioglobal,0,2021-10-01,1,32
110,colegioglobal,0,2021-10-02,2,32
111,colegioiguatemy,0,2021-09-24,2,32
112,colegioiguatemy,0,2021-09-25,3,32
113,colegioiguatemy,0,2021-09-26,6,32
114,colegioiguatemy,0,2021-09-27,16,32
115,colegioiguatemy,0,2021-09-28,8,32
116,colegioiguatemy,0,2021-09-29,5,32
117,colegioiguatemy,0,2021-09-30,1,32
118,colegiointegral,0,2021-09-24,4,106
119,colegiointegral,0,2021-09-25,7,106
120,colegiointegral,0,2021-09-26,2,106
121,colegiointegral,0,2021-09-27,11,106
122,colegiointegral,0,2021-09-28,18,106
123,colegiointegral,0,2021-09-29,14,106
124,colegiointegral,0,2021-09-30,14,106
125,colegiointegral,0,2021-10-01,5,106
126,colegiointegral,0,2021-10-02,16,106
127,colegiojoaopaulo,0,2021-09-24,1,72
128,colegiojoaopaulo,0,2021-09-26,1,72
129,colegiojoaopaulo,0,2021-09-27,19,72
130,colegiojoaopaulo,0,2021-09-28,7,72
131,colegiojoaopaulo,0,2021-09-29,16,72
132,colegiojoaopaulo,0,2021-09-30,9,72
133,colegiojoaopaulo,0,2021-10-01,1,72
134,colegiomagnum,0,2021-09-25,1,136
135,colegionovageracao,0,2021-09-26,1,27
136,colegionovageracao,0,2021-09-27,8,27
137,colegionovageracao,0,2021-09-28,4,27
138,colegionovageracao,0,2021-09-29,47,27
139,colegionovageracao,0,2021-09-30,1,27
140,colegionovageracao,0,2021-10-01,2,27
141,colegiouirapuru,0,2021-09-25,3,72
