,namespace,Semana,creation,Número de conteúdos criados,user_id
0,abdiasmartins,0,2021-09-25,1,29
1,abdiasmartins,0,2021-09-27,2,29
2,abdiasmartins,0,2021-09-29,2,29
3,abdiasmartins,0,2021-10-01,1,29
4,abiliomartins,0,2021-09-29,2,21
5,abiliomartins,0,2021-10-01,2,21
6,acessoalmirantetamandare,0,2021-09-24,12,41
7,acessoalmirantetamandare,0,2021-09-25,8,41
8,acessoalmirantetamandare,0,2021-09-26,10,41
9,acessoalmirantetamandare,0,2021-09-27,43,41
10,acessoalmirantetamandare,0,2021-09-28,62,41
11,acessoalmirantetamandare,0,2021-09-29,50,41
12,acessoalmirantetamandare,0,2021-09-30,12,41
13,acessoalmirantetamandare,0,2021-10-01,2,41
14,acessoalmirantetamandare,0,2021-10-02,22,41
15,acessoboqueirao,0,2021-09-24,19,52
16,acessoboqueirao,0,2021-09-25,7,52
17,acessoboqueirao,0,2021-09-26,9,52
18,acessoboqueirao,0,2021-09-27,23,52
19,acessoboqueirao,0,2021-09-28,25,52
20,acessoboqueirao,0,2021-09-29,14,52
21,acessoboqueirao,0,2021-09-30,22,52
22,acessoboqueirao,0,2021-10-01,13,52
23,acessocampolargo,0,2021-09-24,35,39
24,acessocampolargo,0,2021-09-25,12,39
25,acessocampolargo,0,2021-09-26,15,39
26,acessocampolargo,0,2021-09-27,35,39
27,acessocampolargo,0,2021-09-28,32,39
28,acessocampolargo,0,2021-09-29,55,39
29,acessocampolargo,0,2021-09-30,62,39
30,acessocampolargo,0,2021-10-01,16,39
31,acessocampolargo,0,2021-10-02,18,39
32,acessocampolargokids,0,2021-09-24,9,12
33,acessocampolargokids,0,2021-09-25,1,12
34,acessocampolargokids,0,2021-09-27,13,12
35,acessocampolargokids,0,2021-09-28,10,12
36,acessocampolargokids,0,2021-09-29,6,12
37,acessocampolargokids,0,2021-09-30,12,12
38,acessocampolargokids,0,2021-10-01,6,12
39,acessocampolargokids,0,2021-10-02,1,12
40,acessofazendariogrande,0,2021-09-24,28,37
41,acessofazendariogrande,0,2021-09-25,10,37
42,acessofazendariogrande,0,2021-09-26,2,37
