,namespace,Semana,creation,Número de visualizações de relatórios de atividade avaliativa,user_id
0,acessoalmirantetamandare,0,2021-09-24,24,41
1,acessoalmirantetamandare,0,2021-09-25,10,41
2,acessoalmirantetamandare,0,2021-09-26,28,41
3,acessoalmirantetamandare,0,2021-09-27,67,41
4,acessoalmirantetamandare,0,2021-09-28,46,41
5,acessoalmirantetamandare,0,2021-09-29,85,41
6,acessoalmirantetamandare,0,2021-09-30,24,41
7,acessoalmirantetamandare,0,2021-10-01,35,41
8,acessoalmirantetamandare,0,2021-10-02,2,41
9,acessoboqueirao,0,2021-09-24,34,52
10,acessoboqueirao,0,2021-09-25,58,52
11,acessoboqueirao,0,2021-09-26,94,52
12,acessoboqueirao,0,2021-09-27,49,52
13,acessoboqueirao,0,2021-09-28,40,52
14,acessoboqueirao,0,2021-09-29,97,52
15,acessoboqueirao,0,2021-09-30,32,52
16,acessoboqueirao,0,2021-10-01,61,52
17,acessoboqueirao,0,2021-10-02,2,52
18,acessocampolargo,0,2021-09-24,12,39
19,acessocampolargo,0,2021-09-25,18,39
20,acessocampolargo,0,2021-09-26,33,39
21,acessocampolargo,0,2021-09-27,26,39
22,acessocampolargo,0,2021-09-28,15,39
23,acessocampolargo,0,2021-09-29,15,39
24,acessocampolargo,0,2021-09-30,16,39
25,acessocampolargo,0,2021-10-01,7,39
26,acessocampolargo,0,2021-10-02,15,39
27,acessocampolargokids,0,2021-09-24,1,12
28,acessocampolargokids,0,2021-09-27,17,12
29,acessofazendariogrande,0,2021-09-24,10,37
30,acessofazendariogrande,0,2021-09-25,27,37
31,acessofazendariogrande,0,2021-09-26,59,37
32,acessofazendariogrande,0,2021-09-27,13,37
33,acessofazendariogrande,0,2021-09-28,36,37
34,acessofazendariogrande,0,2021-09-29,84,37
35,acessofazendariogrande,0,2021-09-30,49,37
36,acessofazendariogrande,0,2021-10-01,63,37
37,acessofazendariogrande,0,2021-10-02,28,37
38,acessohauer,0,2021-09-24,3,23
39,acessohauer,0,2021-09-25,3,23
40,acessohauer,0,2021-09-26,5,23
41,acessohauer,0,2021-09-27,13,23
42,acessohauer,0,2021-09-28,14,23
43,acessohauer,0,2021-09-29,5,23
44,acessohauer,0,2021-09-30,2,23
45,acessohauer,0,2021-10-01,17,23
46,acessopinhais,0,2021-09-25,7,28
47,acessopinhais,0,2021-09-26,9,28
48,acessopinhais,0,2021-09-27,11,28
49,acessopinhais,0,2021-09-28,59,28
50,acessopinhais,0,2021-09-29,71,28
51,acessopinhais,0,2021-09-30,25,28
52,acessopinhais,0,2021-10-01,11,28
53,acessosantafelicidade,0,2021-09-24,57,52
54,acessosantafelicidade,0,2021-09-25,44,52
55,acessosantafelicidade,0,2021-09-26,60,52
56,acessosantafelicidade,0,2021-09-27,77,52
57,acessosantafelicidade,0,2021-09-28,89,52
58,acessosantafelicidade,0,2021-09-29,99,52
59,acessosantafelicidade,0,2021-09-30,29,52
60,acessosantafelicidade,0,2021-10-01,12,52
61,acessosantafelicidade,0,2021-10-02,1,52
62,acessosjpinhais,0,2021-09-24,48,66
63,acessosjpinhais,0,2021-09-25,61,66
64,acessosjpinhais,0,2021-09-26,38,66
65,acessosjpinhais,0,2021-09-27,72,66
66,acessosjpinhais,0,2021-09-28,48,66
67,acessosjpinhais,0,2021-09-29,99,66
68,acessosjpinhais,0,2021-09-30,71,66
69,acessosjpinhais,0,2021-10-01,82,66
70,acessosjpinhais,0,2021-10-02,57,66
71,adrianochan,0,2021-09-24,29,11
72,adrianochan,0,2021-09-25,7,11
73,adrianochan,0,2021-09-26,16,11
74,adrianochan,0,2021-09-27,21,11
75,adrianochan,0,2021-09-28,23,11
76,adrianochan,0,2021-09-29,23,11
77,adrianochan,0,2021-09-30,31,11
78,adrianochan,0,2021-10-01,38,11
79,adrianochan,0,2021-10-02,4,11
80,aescobjetivo,0,2021-09-24,39,53
81,aescobjetivo,0,2021-09-25,12,53
82,aescobjetivo,0,2021-09-26,17,53
83,aescobjetivo,0,2021-09-27,40,53
84,aescobjetivo,0,2021-09-28,63,53
85,aescobjetivo,0,2021-09-29,60,53
86,aescobjetivo,0,2021-09-30,64,53
87,aescobjetivo,0,2021-10-01,34,53
88,aescobjetivo,0,2021-10-02,4,53
89,alpha,0,2021-10-01,4,76
90,amadeus,0,2021-09-24,74,116
91,amadeus,0,2021-09-25,10,116
92,amadeus,0,2021-09-26,55,116
93,amadeus,0,2021-09-27,107,116
94,amadeus,0,2021-09-28,118,116
95,amadeus,0,2021-09-29,121,116
96,amadeus,0,2021-09-30,132,116
97,amadeus,0,2021-10-01,173,116
98,amadeus,0,2021-10-02,94,116
99,amais,0,2021-09-24,24,787
100,amais,0,2021-09-25,2,787
101,amais,0,2021-09-26,12,787
102,amais,0,2021-09-27,12,787
103,amais,0,2021-09-28,22,787
104,amais,0,2021-09-29,20,787
105,amais,0,2021-09-30,20,787
106,amais,0,2021-10-01,15,787
107,amais,0,2021-10-02,5,787
