,namespace,Semana,creation,Número de visualizações de relatórios de caderno,user_id
0,abdiasmartins,0,2021-09-24,4,29
1,abdiasmartins,0,2021-09-28,1,29
2,abdiasmartins,0,2021-09-29,1,29
3,acessoalmirantetamandare,0,2021-09-28,4,41
4,acessoboqueirao,0,2021-09-24,3,52
5,acessoboqueirao,0,2021-09-25,4,52
6,acessoboqueirao,0,2021-09-26,7,52
7,acessoboqueirao,0,2021-09-27,16,52
8,acessoboqueirao,0,2021-09-28,2,52
9,acessoboqueirao,0,2021-09-29,4,52
10,acessoboqueirao,0,2021-09-30,1,52
11,acessoboqueirao,0,2021-10-01,1,52
12,acessocampolargo,0,2021-09-25,4,39
13,acessocampolargo,0,2021-09-26,5,39
14,acessocampolargo,0,2021-09-30,1,39
15,acessocampolargo,0,2021-10-01,2,39
16,acessofazendariogrande,0,2021-09-30,1,37
17,acessofazendariogrande,0,2021-10-01,1,37
18,acessopinhais,0,2021-09-27,2,28
19,acessopinhais,0,2021-09-28,6,28
20,acessopinhais,0,2021-09-29,3,28
21,acessopinhais,0,2021-09-30,3,28
22,acessopinhais,0,2021-10-01,1,28
23,acessopinhais,0,2021-10-02,2,28
24,acessosantafelicidade,0,2021-09-24,2,52
25,acessosantafelicidade,0,2021-09-26,6,52
26,acessosantafelicidade,0,2021-09-30,1,52
27,acessosjpinhais,0,2021-09-24,9,66
28,acessosjpinhais,0,2021-09-27,7,66
29,acessosjpinhais,0,2021-09-28,44,66
30,acessosjpinhais,0,2021-09-29,24,66
31,acessosjpinhais,0,2021-09-30,31,66
32,acessosjpinhais,0,2021-10-01,14,66
33,aescobjetivo,0,2021-09-24,3,53
34,aescobjetivo,0,2021-09-27,1,53
35,alpha,0,2021-09-24,4,76
36,alpha,0,2021-09-27,5,76
37,alpha,0,2021-09-28,4,76
38,alpha,0,2021-10-01,4,76
39,amadeus,0,2021-09-24,5,116
40,amadeus,0,2021-09-25,1,116
41,amadeus,0,2021-09-26,4,116
42,amadeus,0,2021-09-27,4,116
43,amadeus,0,2021-09-28,5,116
44,amadeus,0,2021-09-29,8,116
45,amadeus,0,2021-09-30,10,116
46,amadeus,0,2021-10-01,9,116
47,amadeus,0,2021-10-02,10,116
48,antoniolima,0,2021-09-24,3,13
49,antoniolima,0,2021-09-25,3,13
50,brasilcursinhos,0,2021-09-25,2,162
51,brasilcursinhos,0,2021-09-26,2,162
52,brasilcursinhos,0,2021-09-27,3,162
53,brasilcursinhos,0,2021-09-28,7,162
54,brasilcursinhos,0,2021-09-29,1,162
55,brasilcursinhos,0,2021-09-30,1,162
56,brasilcursinhos,0,2021-10-01,5,162
57,brasilcursinhos,0,2021-10-02,6,162
58,casdvest,0,2021-09-25,1,150
59,casdvest,0,2021-10-02,1,150
60,cats,0,2021-09-24,1,38
