,namespace,Semana,creation,Número de visualizações de relatórios de lista,user_id
0,acessoalmirantetamandare,0,2021-09-24,2,41
1,acessoalmirantetamandare,0,2021-09-25,2,41
2,acessoalmirantetamandare,0,2021-09-27,83,41
3,acessoalmirantetamandare,0,2021-09-28,3,41
4,acessoalmirantetamandare,0,2021-09-29,8,41
5,acessoalmirantetamandare,0,2021-09-30,4,41
6,acessoalmirantetamandare,0,2021-10-01,2,41
7,acessoalmirantetamandare,0,2021-10-02,1,41
8,acessoboqueirao,0,2021-09-24,5,52
9,acessoboqueirao,0,2021-09-25,6,52
10,acessoboqueirao,0,2021-09-26,16,52
11,acessoboqueirao,0,2021-09-27,8,52
12,acessoboqueirao,0,2021-09-28,9,52
13,acessoboqueirao,0,2021-09-29,10,52
14,acessoboqueirao,0,2021-09-30,4,52
15,acessoboqueirao,0,2021-10-01,8,52
16,acessocampolargo,0,2021-09-24,5,39
17,acessocampolargo,0,2021-09-25,8,39
18,acessocampolargo,0,2021-09-26,17,39
19,acessocampolargo,0,2021-09-27,14,39
20,acessocampolargo,0,2021-09-28,5,39
21,acessocampolargo,0,2021-09-30,5,39
22,acessocampolargo,0,2021-10-01,4,39
23,acessocampolargo,0,2021-10-02,1,39
24,acessofazendariogrande,0,2021-09-24,102,37
25,acessofazendariogrande,0,2021-09-25,17,37
26,acessofazendariogrande,0,2021-09-26,18,37
27,acessofazendariogrande,0,2021-09-27,12,37
28,acessofazendariogrande,0,2021-09-28,35,37
29,acessofazendariogrande,0,2021-09-29,38,37
30,acessofazendariogrande,0,2021-09-30,45,37
31,acessofazendariogrande,0,2021-10-01,11,37
32,acessofazendariogrande,0,2021-10-02,6,37
33,acessohauer,0,2021-09-27,4,23
34,acessopinhais,0,2021-09-27,1,28
35,acessopinhais,0,2021-09-28,9,28
36,acessopinhais,0,2021-09-29,21,28
37,acessopinhais,0,2021-09-30,8,28
38,acessopinhais,0,2021-10-01,9,28
39,acessopinhais,0,2021-10-02,2,28
40,acessoportao,0,2021-10-01,1,48
41,acessosantafelicidade,0,2021-09-24,6,52
42,acessosantafelicidade,0,2021-09-26,7,52
43,acessosantafelicidade,0,2021-09-27,1,52
44,acessosantafelicidade,0,2021-09-28,12,52
45,acessosantafelicidade,0,2021-09-29,5,52
46,acessosantafelicidade,0,2021-09-30,4,52
47,acessosjpinhais,0,2021-09-24,8,66
48,acessosjpinhais,0,2021-09-27,15,66
49,acessosjpinhais,0,2021-09-28,36,66
50,acessosjpinhais,0,2021-09-29,36,66
51,acessosjpinhais,0,2021-09-30,69,66
52,acessosjpinhais,0,2021-10-01,51,66
53,acessosjpinhais,0,2021-10-02,2,66
54,adrianochan,0,2021-09-28,2,11
55,alpha,0,2021-09-24,32,76
56,alpha,0,2021-09-26,1,76
57,alpha,0,2021-09-27,43,76
58,alpha,0,2021-09-28,25,76
59,alpha,0,2021-09-29,26,76
60,alpha,0,2021-09-30,57,76
61,alpha,0,2021-10-01,15,76
62,alpha,0,2021-10-02,1,76
63,amadeus,0,2021-09-24,17,116
64,amadeus,0,2021-09-25,14,116
65,amadeus,0,2021-09-26,26,116
66,amadeus,0,2021-09-27,17,116
67,amadeus,0,2021-09-28,24,116
68,amadeus,0,2021-09-29,4,116
69,amadeus,0,2021-09-30,33,116
70,amadeus,0,2021-10-01,11,116
71,brasilcursinhos,0,2021-09-25,2,162
72,brasilcursinhos,0,2021-09-26,1,162
73,brasilcursinhos,0,2021-09-27,5,162
74,brasilcursinhos,0,2021-09-28,5,162
75,brasilcursinhos,0,2021-09-29,3,162
76,brasilcursinhos,0,2021-09-30,22,162
77,brasilcursinhos,0,2021-10-01,8,162
78,brasilcursinhos,0,2021-10-02,8,162
79,casdinhosjc,0,2021-10-02,1,123
80,casdvest,0,2021-09-25,2,150
81,casdvest,0,2021-09-28,1,150
82,casdvest,0,2021-09-29,1,150
83,cats,0,2021-10-01,1,38
84,ceespacolivre,0,2021-09-29,4,32
85,cem,0,2021-09-24,16,27
86,cem,0,2021-09-25,28,27
87,cem,0,2021-09-26,32,27
88,cem,0,2021-09-27,14,27
89,cem,0,2021-09-28,22,27
90,cem,0,2021-09-29,17,27
91,cem,0,2021-09-30,47,27
92,cem,0,2021-10-01,17,27
93,cem,0,2021-10-02,8,27
94,ceprimeiromundo,0,2021-09-29,6,112
95,ceprimeiromundo,0,2021-09-30,22,112
96,ceprimeiromundo,0,2021-10-01,1,112
97,ciadosaber,0,2021-09-27,2,18
98,colegiobilac,0,2021-09-24,3,18
99,colegiobilac,0,2021-09-25,4,18
100,colegiobilac,0,2021-09-27,10,18
101,colegiobilac,0,2021-09-28,16,18
102,colegiobilac,0,2021-09-29,18,18
103,colegiobrasilia,0,2021-09-24,42,58
104,colegiobrasilia,0,2021-09-25,19,58
105,colegiobrasilia,0,2021-09-26,6,58
106,colegiobrasilia,0,2021-09-27,30,58
107,colegiobrasilia,0,2021-09-28,14,58
108,colegiobrasilia,0,2021-09-29,23,58
109,colegiobrasilia,0,2021-09-30,16,58
110,colegiobrasilia,0,2021-10-01,25,58
111,colegiobrasilia,0,2021-10-02,7,58
112,colegiocb,0,2021-09-24,10,27
113,colegiocb,0,2021-09-26,3,27
114,colegiocb,0,2021-09-27,30,27
115,colegiocb,0,2021-09-28,4,27
116,colegiocb,0,2021-09-29,4,27
117,colegiocb,0,2021-09-30,57,27
118,colegiocb,0,2021-10-01,18,27
119,colegiodasamericas,0,2021-09-24,39,55
120,colegiodasamericas,0,2021-09-26,16,55
121,colegiodasamericas,0,2021-09-27,48,55
122,colegiodasamericas,0,2021-09-28,16,55
123,colegiodasamericas,0,2021-09-29,40,55
124,colegiodasamericas,0,2021-09-30,52,55
125,colegiodasamericas,0,2021-10-01,39,55
126,colegiodasamericas,0,2021-10-02,5,55
127,colegioeag,0,2021-09-24,36,43
128,colegioeag,0,2021-09-26,3,43
129,colegioeag,0,2021-09-27,4,43
130,colegioeag,0,2021-09-28,12,43
131,colegioeag,0,2021-09-29,11,43
132,colegioeag,0,2021-09-30,4,43
133,colegioeag,0,2021-10-01,3,43
134,colegioecursodesafio,0,2021-09-24,14,63
135,colegioecursodesafio,0,2021-09-25,6,63
136,colegioecursodesafio,0,2021-09-26,1,63
137,colegioecursodesafio,0,2021-09-27,32,63
138,colegioecursodesafio,0,2021-09-28,20,63
139,colegioecursodesafio,0,2021-09-29,9,63
140,colegioecursodesafio,0,2021-09-30,6,63
141,colegioecursodesafio,0,2021-10-01,4,63
142,colegioecursodesafio,0,2021-10-02,31,63
143,colegioecursoprogressao,0,2021-09-27,1,32
144,colegioecursoprogressao,0,2021-09-29,7,32
145,colegioensitec,0,2021-09-24,4,34
146,colegioensitec,0,2021-09-27,15,34
147,colegioensitec,0,2021-09-28,4,34
148,colegioensitec,0,2021-09-29,8,34
149,colegioensitec,0,2021-10-01,1,34
150,colegioflamingo,0,2021-09-24,1,12
151,colegioflamingo,0,2021-09-27,5,12
152,colegioflamingo,0,2021-09-28,16,12
153,colegioflamingo,0,2021-09-29,26,12
154,colegioflamingo,0,2021-10-01,20,12
155,colegioflamingo,0,2021-10-02,67,12
156,colegioguilhermedealmeida,0,2021-09-24,16,65
157,colegioguilhermedealmeida,0,2021-09-26,1,65
158,colegioguilhermedealmeida,0,2021-09-27,26,65
159,colegioguilhermedealmeida,0,2021-09-28,34,65
160,colegioguilhermedealmeida,0,2021-09-29,43,65
161,colegioguilhermedealmeida,0,2021-09-30,34,65
