,namespace,Porcentagem de engajamento em tarefas de casa
57,colegiovivopiracicaba,1.0
84,invictus,0.7724571828032156
55,colegiouirapuru,0.7652811735941321
76,gamt,0.7611019736842105
7,acessohauer,0.7361626682918722
82,integra,0.6723471781426797
108,meta,0.6666666666666666
36,colegiobilac,0.6036818339701285
44,colegioensitec,0.5986238532110092
32,ciadosaber,0.5833333333333334
118,objetivolorena,0.5771213598996795
37,colegiobrasilia,0.5659428697718106
153,spdacruz,0.5547105618652124
6,acessofazendariogrande,0.5518573551263002
29,ceespacolivre,0.5323706377858003
64,eccos,0.5268253968253969
150,sasadapt,0.5172413793103449
47,colegioguilhermedealmeida,0.5060407752328215
96,lidera,0.5
114,novoemlasalle,0.5
89,itamarati,0.49467265725288834
143,psantagema,0.4930555555555556
125,overzonanorte,0.4898989898989899
39,colegiodasamericas,0.48976377952755906
48,colegioiguatemy,0.4739528850579522
66,einsteinassis,0.46974185357596276
54,colegiosete,0.46169208424110386
62,cursosazambuja,0.4585954769597007
38,colegiocb,0.4577791062621432
42,colegioecursoprogressao,0.4489624565191316
119,overabelcabral,0.44797059044189363
63,eacorcovado,0.44136191677175285
142,progressaoig,0.44
5,acessocampolargokids,0.43537151702786375
9,acessosantafelicidade,0.4218018018018018
156,stellamarisxaxim,0.4200958286358512
123,overmossoro,0.41790680653818
141,progressaodc,0.4145150034891835
134,physicsmacapa,0.40484429065743943
10,acessosjpinhais,0.4012535737849131
3,acessoboqueirao,0.39848879624804584
4,acessocampolargo,0.3917096172825968
28,ceabb,0.38979026513652554
30,cem,0.36887332908975173
56,colegiouniverso,0.36363636363636365
122,overmarciliofurtado,0.3623013130615066
40,colegioeag,0.35681856232580583
83,integradaeducativa,0.3521887436043206
68,elitecuritibaemilianoperneta,0.34936998854524626
135,physicsumarizal,0.3378302417088252
137,portinari,0.33250658027940877
16,anossaatmosfera,0.31213872832369943
2,acessoalmirantetamandare,0.3078605132926689
45,colegioflamingo,0.3001819284414797
129,physicsalmirantebarroso,0.29753656658968436
14,amadeus,0.29437891461322624
107,mariliamattoso,0.2890106128038343
43,colegioeducallis,0.28342245989304815
50,colegiojoaopaulo,0.2824333800841515
18,antoniolima,0.2788104089219331
31,ceprimeiromundo,0.270633994554648
131,physicsbatistacampos,0.27028787286700534
12,aescobjetivo,0.2689456109570434
49,colegiointegral,0.263803421216056
158,universobarcarena,0.2589706260169564
46,colegiofuturageracao,0.2549880287310455
73,faculdadeflamingo,0.2537524557956778
20,arco,0.25
157,universitariolondrina,0.24355777223607647
35,colegiobetelbrasileirosp,0.24180591259640102
13,alpha,0.23626503183211506
34,colegioarena,0.22376480195998366
41,colegioecursodesafio,0.22009971766684688
130,physicsaugustomontenegro,0.21884911644766653
138,porto,0.21873391662377767
59,conradochaves,0.21554589619023268
81,institutoeurofarma,0.21264367816091953
132,physicscidadenova,0.21153342070773262
161,villalobos,0.20128077729932647
58,conexaosaber,0.20127706829539144
136,pioxi,0.197123453921037
8,acessopinhais,0.19558535903883767
146,rede,0.19444444444444445
78,hamiltondarocha,0.19436495707682147
155,stellamarisjuveve,0.1894714727332753
87,isem,0.1877286799887419
148,santoamerico,0.186460110557565
140,profederal,0.17122040072859745
71,escoladeimpacto,0.16666666666666666
154,stellamarisaguaverde,0.16646344695965648
113,murilorocha,0.1591487628551064
110,mocinhagomes,0.1581196581196581
117,nucleocriativo,0.15700934579439252
80,insa,0.14856307842182173
121,overlimaesilva,0.1483539974348012
116,nsfatima,0.1475195822454308
11,adrianochan,0.14285714285714285
15,amaisteste,0.14285714285714285
124,overpontanegra,0.12152905198776759
86,iracemarufino,0.11764705882352941
100,macvest,0.11751662971175167
128,pesenglish,0.11428571428571428
90,jazzvestibular,0.1111111111111111
19,antoniomelo,0.11073253833049404
65,educamais,0.1
51,colegiopremium,0.09117647058823529
103,mariaeunice,0.08952380952380952
0,abdiasmartins,0.08434959349593496
93,joaosampaio,0.08395522388059702
104,marialaura,0.08219844357976654
120,overjoaopessoa,0.07834101382488479
105,marianair,0.06925343811394892
106,mariaolinda,0.06914893617021277
23,benjaminconstant,0.06666666666666667
91,joaobelem,0.053467000835421885
115,novotempo,0.05154639175257732
25,brasilcursinhos,0.0499893639651138
109,moaciralves,0.0497131931166348
160,vicentecravo,0.0463768115942029
77,guilhermefilho,0.04375
98,liessinbarra,0.03896103896103896
26,casdinhosjc,0.03137254901960784
151,senhorbonfim,0.03125
67,eldapereira,0.029927007299270073
162,zacariasliberato,0.02631578947368421
159,valdemiracoelho,0.02488572879634332
17,antoniairene,0.024844720496894408
75,franciscoperes,0.017142857142857144
145,raimundoalves,0.016666666666666666
1,abiliomartins,0.015151515151515152
92,joaorosa,0.012844036697247707
