,name,grupo,namespace
0,A+ Digital,Physics,physicsconselheirofurtado
1,A+ Digital,Physics,physicsalmirantebarroso
2,A+ Digital,Physics,physicsumarizal
3,A+ Digital,Physics,physicsmacapa
4,A+ Digital,Physics,physicsbatistacampos
5,A+ Digital,Magnum,colegiomagnum
6,A+ Digital,Domus e Montessori,domus
7,A+ Digital,Domus e Montessori,montessori
8,A+ Digital,Acesso,acessosjpinhais
9,A+ Digital,Simbios,simbios
10,A+ Digital,Acesso,acessoalmirantetamandare
11,A+ Digital,Ênfase,cursoenfase
12,A+ Digital,Physics,physicsalcindocacela
13,A+ Digital,Acesso,acessoboqueirao
14,A+ Digital,Over,overmarciliofurtado
15,A+ Digital,Over,overabelcabral
16,A+ Digital,Physics,physicsaugustomontenegro
17,A+ Digital,Over,overmossoro
18,A+ Digital,Acesso,acessocampolargo
19,A+ Digital,Universitário,universitariolondrina
20,A+ Digital,Over,overzonanorte
21,A+ Digital,Marília Mattoso,mariliamattoso
22,A+ Digital,Itamarati,itamarati
23,A+ Digital,Acesso,acessocampolargokids
24,A+ Digital,Contemporaneo,contemporaneocidadeverde
25,A+ Digital,João Paulo,colegiojoaopaulo
26,A+ Digital,Contemporaneo,contemporaneolagoanova
27,A+ Digital,Physics,physicstrescoracoes
28,A+ Digital,Stella Maris,stellamarisxaxim
29,A+ Digital,Idaam,idaam
30,A+ Digital,Acesso,acessoemilianoperneta
31,A+ Digital,Acesso,acessofazendariogrande
32,A+ Digital,Acesso,acessohauer
33,A+ Digital,Acesso,acessopinhais
34,A+ Digital,Acesso,acessosantafelicidade
35,A+ Digital,Stella Maris,stellamarisjuveve
36,A+ Digital,Stella Maris,stellamarisaguaverde
37,A+ Digital,Novo Tempo,novotempo
38,A+ Digital,Elite,eliteemilianoperneta
39,A+ Digital,Portinari,portinari
40,A+ Digital,Elite,elitecuritiba
41,A+ Digital,Elite,elitecuritibaemilianoperneta
42,A+ Digital,Primeiro Mundo,ceprimeiromundo
43,A+ Digital,Over,overnascimentodecastro
44,A+ Digital,Over,overlimaesilva
45,A+ Digital,Over,overpontanegra
46,A+ Digital,Over,overjoaopessoa
47,SAS - Programa de Avaliação Seriada,Prospecção Adapt,saojosecaxiasdosul
48,SAS - Programa de Avaliação Seriada,Prospecção Adapt,colegiosantadoroteia
49,SAS - Programa de Avaliação Seriada,Interno,sasadaptem
50,SAS - Programa de Avaliação Seriada,Interno,sasadaptfund
51,SAS - Programa de Avaliação Seriada,Prospecção Adapt,colegionobre
52,SAS - Programa de Avaliação Seriada,Prospecção Adapt,anchietaba
53,SAS - Programa de Avaliação Seriada,Prospecção Adapt,cparaiso
54,SAS - Programa de Avaliação Seriada,Prospecção Adapt,bosquemananciais
55,SAS - Programa de Avaliação Seriada,Prospecção Adapt,saea
56,SAS - Programa de Avaliação Seriada,Prospecção Adapt,colegioexatus
57,SAS - Programa de Avaliação Seriada,Prospecção Adapt,franciscanopioxii
58,SAS - Programa de Avaliação Seriada,Prospecção Adapt,saoluiz
59,SAS - Programa de Avaliação Seriada,Prospecção Adapt,oswalddeandrade
60,SAS - Programa de Avaliação Seriada,Prospecção Adapt,benjaminconstant
61,SAS - Programa de Avaliação Seriada,Prospecção PAS,cmdpii
62,SAS - Programa de Avaliação Seriada,Prospecção PAS,institutosaojose
63,SAS - Programa de Avaliação Seriada,Prospecção Adapt,santoagostinholeblon
64,SAS - Programa de Avaliação Seriada,Prospecção Adapt,redefilhasdejesus
65,SAS - Programa de Avaliação Seriada,Prospecção Adapt,colegioradar
66,SAS - Programa de Avaliação Seriada,Prospecção PAS,lasalleaguasclaras
67,SAS - Programa de Avaliação Seriada,Prospecção PAS,institutoauxiliadoradf
68,SAS - Programa de Avaliação Seriada,Prospecção PAS,cecbdf
69,SAS - Programa de Avaliação Seriada,Prospecção Adapt,colegioeccos
70,SAS - Programa de Avaliação Seriada,Prospecção Adapt,imaculada
71,SAS - Programa de Avaliação Seriada,Pilotos 2021,plataformaamais
72,SAS - Programa de Avaliação Seriada,Adapt,porto
73,SAS - Programa de Avaliação Seriada,Prospecção Adapt,santoagostinho
74,SAS - Programa de Avaliação Seriada,Adapt,liessin
75,SAS - Programa de Avaliação Seriada,PAS,colegiobiangulo
76,SAS - Programa de Avaliação Seriada,Prospecção Adapt,santoantonio
77,SAS - Programa de Avaliação Seriada,Prospecção Adapt,santoagostinhomg
78,SAS - Programa de Avaliação Seriada,Prospecção Adapt,augustolaranja
79,SAS - Programa de Avaliação Seriada,Interno,santoamericoteste
80,SAS - Programa de Avaliação Seriada,Prospecção Adapt,motiva
81,SAS - Programa de Avaliação Seriada,Prospecção Adapt,albertsabin
82,SAS - Programa de Avaliação Seriada,Prospecção Adapt,colegiomartinus
83,SAS - Programa de Avaliação Seriada,Prospecção Adapt,arena
84,SAS - Programa de Avaliação Seriada,Prospecção Adapt,cfc
85,SAS - Programa de Avaliação Seriada,Prospecção Adapt,colegiosaoluis
86,SAS - Programa de Avaliação Seriada,Prospecção Adapt,veracruz
87,SAS - Programa de Avaliação Seriada,Adapt,santoamerico
88,SAS - Programa de Avaliação Seriada,Prospecção Adapt,escolainternacional
89,SAS - Programa de Avaliação Seriada,Pilotos 2021,ismart
90,SAS - Programa de Avaliação Seriada,Prospecção Adapt,navegasas
91,SAS - Programa de Avaliação Seriada,Prospecção Adapt,jardimsaopaulo
92,SAS - Programa de Avaliação Seriada,Prospecção Adapt,classea
93,SAS - Programa de Avaliação Seriada,Prospecção Adapt,saobento
94,SAS - Programa de Avaliação Seriada,Prospecção Adapt,cruzeiro
95,SAS - Programa de Avaliação Seriada,Prospecção Adapt,notredame
96,SAS - Programa de Avaliação Seriada,Prospecção Adapt,escoladofuturo
97,SAS - Programa de Avaliação Seriada,Prospecção Adapt,lerote
98,SAS - Programa de Avaliação Seriada,Prospecção Adapt,equipe
99,SAS - Programa de Avaliação Seriada,Prospecção Adapt,gaylussac
100,SAS - Programa de Avaliação Seriada,Prospecção Adapt,santamaria
101,SAS - Programa de Avaliação Seriada,Prospecção Adapt,magnum
102,SAS - Programa de Avaliação Seriada,Prospecção Adapt,tomasdeaquino
103,SAS - Programa de Avaliação Seriada,Prospecção Adapt,darwin
104,SAS - Programa de Avaliação Seriada,Prospecção Adapt,redeapogeu
105,SAS - Programa de Avaliação Seriada,Interno,liderasas
106,SAS - Programa de Avaliação Seriada,Prospecção Adapt,riobrancocampinas
107,SAS - Programa de Avaliação Seriada,Prospecção Adapt,escolaidaam
108,SAS - Programa de Avaliação Seriada,Prospecção Adapt,charlesdarwin
109,SAS - Programa de Avaliação Seriada,Prospecção Adapt,playpen
110,SAS - Programa de Avaliação Seriada,Prospecção Adapt,atmo
111,SAS - Programa de Avaliação Seriada,Prospecção Adapt,colegiosalesianorn
112,SAS - Programa de Avaliação Seriada,Prospecção PAS,portalsas
113,SAS - Programa de Avaliação Seriada,Adapt,francobrasileiro
114,SAS - Programa de Avaliação Seriada,PAS,santadoroteia
115,SAS - Programa de Avaliação Seriada,PAS,escolamaster
116,SAS - Programa de Avaliação Seriada,Prospecção Adapt,catarinense
117,SAS - Programa de Avaliação Seriada,Prospecção Adapt,grandepasso
118,SAS - Programa de Avaliação Seriada,Prospecção PAS,galois
119,SAS - Programa de Avaliação Seriada,Prospecção Adapt,dante
120,SAS - Programa de Avaliação Seriada,Interno,saseducacao
121,SAS - Programa de Avaliação Seriada,Adapt,liessinbarra
122,SAS - Programa de Avaliação Seriada,Interno,sasadapt
123,SAS - Programa de Avaliação Seriada,PAS,colegioliceu
124,SAS - Programa de Avaliação Seriada,PAS,colegioanchietai
125,SAS - Programa de Avaliação Seriada,PAS,blueschooleducacional
126,SAS - Programa de Avaliação Seriada,PAS,colegioanchietaii
127,SAS - Programa de Avaliação Seriada,Prospecção Adapt,mobile
128,SAS - Programa de Avaliação Seriada,Prospecção Adapt,vertice
129,SAS - Programa de Avaliação Seriada,Prospecção Adapt,dantealighieri
130,SAS - Programa de Avaliação Seriada,Prospecção Adapt,colegioriobranco
131,SAS - Programa de Avaliação Seriada,Prospecção Adapt,colegiosaberviver
132,SAS - Programa de Avaliação Seriada,Prospecção Adapt,colegiosantamaria
133,SAS - Programa de Avaliação Seriada,Prospecção Adapt,coreeschool
134,SAS - Programa de Avaliação Seriada,Prospecção Adapt,forumcultural
135,SAS - Programa de Avaliação Seriada,Adapt,portoseguro
136,SAS - Programa de Avaliação Seriada,PAS,colegiobianguloiv
137,SAS - Programa de Avaliação Seriada,Prospecção Adapt,jeanpiaget
138,SAS - Programa de Avaliação Seriada,Prospecção Adapt,cav
139,SAS - Programa de Avaliação Seriada,Prospecção Adapt,santamarcelina
140,SAS - Programa de Avaliação Seriada,Prospecção Adapt,vitalbrazil
141,SAS - Programa de Avaliação Seriada,Prospecção Adapt,nossasenhoradesion
142,SAS - Programa de Avaliação Seriada,Prospecção Adapt,nucleo
143,SAS - Programa de Avaliação Seriada,Prospecção Adapt,objetivoteresina
144,SAS - Programa de Avaliação Seriada,Prospecção Adapt,visaorecife
145,SAS - Programa de Avaliação Seriada,Prospecção Adapt,beityaacov
146,SAS - Programa de Avaliação Seriada,Prospecção Adapt,cognitivo
147,SAS - Programa de Avaliação Seriada,PAS,sagradafamilia
148,SAS - Programa de Avaliação Seriada,Prospecção Adapt,magno
149,SAS - Programa de Avaliação Seriada,PAS,podion
150,SAS - Programa de Avaliação Seriada,Prospecção Adapt,serios
151,SAS - Programa de Avaliação Seriada,Prospecção Adapt,escolajardimdasnacoes
152,SAS - Programa de Avaliação Seriada,Prospecção Adapt,colegiosaojudas
153,SAS - Programa de Avaliação Seriada,Prospecção Adapt,alfacembilingue
154,SAS - Programa de Avaliação Seriada,Prospecção Adapt,dommga
155,SAS - Programa de Avaliação Seriada,Pilotos 2021,idb
156,SAS - Programa de Avaliação Seriada,Prospecção Adapt,colegiodosjesuitas
157,SAS - Programa de Avaliação Seriada,Pilotos 2021,redeinspira
158,SAS - Programa de Avaliação Seriada,Prospecção Adapt,santacruz
159,SAS - Programa de Avaliação Seriada,Prospecção Adapt,esmg
160,SAS - Programa de Avaliação Seriada,Prospecção Adapt,elvirabrandao
161,SAS - Programa de Avaliação Seriada,Prospecção Adapt,bahema
162,SAS - Programa de Avaliação Seriada,Prospecção Adapt,fundacaobradesco
163,SAS - Programa de Avaliação Seriada,Prospecção Adapt,cognita
164,SAS - Programa de Avaliação Seriada,Prospecção Adapt,palmares
165,SAS - Programa de Avaliação Seriada,Prospecção Adapt,magnumagostiniano
166,SAS - Programa de Avaliação Seriada,Prospecção Adapt,colegioprogresso
167,APOGEU,Militar,apogeustoantonio2
168,APOGEU,Integra,integra
169,Teste,xxx,meta
170,Positivo,,colegioeag
171,Positivo,,cotemig
172,Master Soluções,EF,colegiocanarinho
173,Master Soluções,INFANTIL,colegioevoluir
174,Master Soluções,INFANTIL,escolasantaclara
175,Master Soluções,INFANTIL,colegiotelescastelao
176,Master Soluções,INFANTIL,colegiotelesmourabrasil
177,Master Soluções,-,contratos2021
178,Master Soluções,EF,sosmamaecoruja
179,Master Soluções,INFANTIL,viladainfanciaeusebio
180,Master Soluções,INFANTIL,viladainfanciafortaleza
181,Master Soluções,INFANTIL,marqueslima
182,Master Soluções,INFANTIL,escolacristaboaviagem
183,Master Soluções,EF,duquecastilho
184,Master Soluções,INFANTIL,rosadesaron
185,Master Soluções,EF,espacoeducar
186,Master Soluções,INFANTIL,senninha
187,Master Soluções,EF,tiathais
188,Master Soluções,EF,master
189,Master Soluções,EF,paulovi
190,Master Soluções,EF,recriar
191,Master Soluções,INFANTIL,vitaldidonet
192,Master Soluções,EF,sistemaeducacionalmaster
193,Master Soluções,EF,escolabedelandia
194,Master Soluções,EF,rosanaponte
195,Master Soluções,EF,educacaoinfantilsemear
196,Master Soluções,EF,educaprime
197,Master Soluções,INFANTIL,kidsbaby
198,Master Soluções,EF,escolavida
199,Master Soluções,EF,escolinhacaca
200,Master Soluções,EF,sonhodecrianca
201,Master Soluções,INFANTIL,centroarcadenoe
202,Master Soluções,INFANTIL,colegiovitoria
203,Master Soluções,INFANTIL,materdei
204,Master Soluções,INFANTIL,pluricrecheescola
205,Master Soluções,-,msetemporario
206,Master Soluções,INFANTIL,escolacristacandeias
207,Master Soluções,INFANTIL,escolacristaemaldeia
208,Master Soluções,iNFANTIL,escolacristaempiedade
209,Master Soluções,INFANTIL,escolacristanavarzea
210,Master Soluções,EF,habilisescolaecurso
211,Master Soluções,EF,institutokairos
212,Master Soluções,INFANTIL,babycamp
213,Master Soluções,INFANTIL,babyhouse
214,Master Soluções,INFANTIL,colsaberviver
215,Master Soluções,EF,tiquinhodegente
216,Master Soluções,EF,primeiromundo
217,Educa +,IPU,antoniolima
218,Educa +,IPU,senhorbonfim
219,Educa +,IPU,monsenhorgoncalo
220,Educa +,BONITO,albertocabral
221,Educa +,BONITO,cicerofranklin
222,Educa +,BONITO,herciliovilanova
223,Educa +,BONITO,josesoares
224,Educa +,BONITO,antoniocesar
225,Educa +,BONITO,antonioportela
226,Educa +,BONITO,pauloviana
227,Educa +,BONITO,pedromurilo
228,Educa +,BONITO,tialo
229,Educa +,IPU,joaoferreira
230,Educa +,IPU,moaciralves
231,Educa +,IPU,antoniomelo
232,Educa +,IPU,valdemiracoelho
233,Educa +,IPU,monsenhorfrancisco
234,Educa +,IPU,joaobelem
235,Educa +,IPU,franciscoperes
236,Educa +,BONITO,nsconceicao
237,Educa +,BONITO,saosebastiao
238,Educa +,UMIRIM,vicentecravo
239,Educa +,BONITO,marialeao
240,Educa +,BONITO,engenhomoscou
241,Educa +,BONITO,domhelder
242,Educa +,BONITO,manoelbernardino
243,Educa +,BONITO,manoelmarcelino
244,Educa +,BONITO,mariamerces
245,Educa +,BONITO,manoelbatista
246,Educa +,BONITO,bernardosayao
247,Educa +,BONITO,joaoxxiii
248,Educa +,BONITO,mariacarmo
249,Educa +,BONITO,arturtavares
250,Educa +,BONITO,manoelqueiroz
251,Educa +,BONITO,zecarioca
252,Educa +,BONITO,benjamitacardona
253,Educa +,BONITO,liviacarneiro
254,Educa +,IPU,marialaura
255,Educa +,IPU,mariaeunice
256,Educa +,IPU,eldapereira
257,Educa +,IPU,murilorocha
258,Educa +,IPU,iracemarufino
259,Educa +,IPU,goncalomartins
260,Educa +,IPU,joaorosa
261,Educa +,IPU,luizgonzaga
262,Educa +,IPU,abiliomartins
263,Educa +,IPU,conradochaves
264,Educa +,IPU,melquiadescamelo
265,Educa +,IPU,guilhermefilho
266,Educa +,IPU,criancaesperanca
267,Educa +,IPU,pedrocamelo
268,Educa +,IPU,joaosampaio
269,Educa +,IPU,mariaolinda
270,Educa +,IPU,abdiasmartins
271,Educa +,IPU,antoniairene
272,Educa +,IPU,nsfatima
273,Educa +,UMIRIM,josepinheiro
274,Educa +,UMIRIM,manoelfrancisco
275,Educa +,IPU,formacoesipu
276,Educa +,UMIRIM,mocinhagomes
277,Educa +,UMIRIM,zacariasliberato
278,Educa +,UMIRIM,raimundoalves
279,Educa +,UMIRIM,franciscopinto
280,Educa +,BONITO,arlindocavalcanti
281,Educa +,UMIRIM,hamiltondarocha
282,Educa +,BONITO,josecabral
283,Educa +,BONITO,barraazul
284,Educa +,BONITO,josemariano
285,Educa +,BONITO,djanirapereira
286,Educa +,BONITO,josepiaulino
287,QBR 2021.1,Grupo 1,spdacruz
288,QBR 2021.1,Grupo 2,villalobos
289,QBR 2021.1,Grupo 1,aescobjetivo
290,QBR 2021.1,Grupo 1,ceespacolivre
291,QBR 2021.1,Grupo 1,colegiobetelbrasileirosp
292,QBR 2021.1,Grupo 1,colegiobilac
293,QBR 2021.1,Grupo 1,colegiocb
294,QBR 2021.1,Grupo 1,colegioguilhermedealmeida
295,QBR 2021.1,Grupo 1,colegioiguatemy
296,QBR 2021.1,Grupo 1,einsteinassis
297,QBR 2021.1,Grupo 1,escolaceciliameireles
298,QBR 2021.1,Grupo 1,integradaeducativa
299,QBR 2021.1,Grupo 1,isem
300,QBR 2021.1,Grupo 1,objetivolorena
301,QBR 2021.1,Grupo 1,oficinadoestudante
302,QBR 2021.1,Grupo 4,educarse
303,QBR 2021.1,Grupo 4,institutoeurofarma
304,QBR 2021.1,Grupo 4,adrianochan
305,QBR 2021.1,Grupo 4,profederal
306,QBR 2021.1,Grupo 4,anossaatmosfera
307,QBR 2021.1,Grupo 4,cursobase
308,QBR 2021.1,Grupo 4,cursoisfera
309,QBR 2021.1,Grupo 4,cursoleopoldo
310,QBR 2021.1,Grupo 4,cursosazambuja
311,QBR 2021.1,Grupo 4,gamt
312,QBR 2021.1,Grupo 4,laboratoriosromildo
313,QBR 2021.1,Grupo 6,faculdadeflamingo
314,QBR 2021.1,Grupo 8,crescercampinas
