,namespace,Interações A.A,Interações Cadernos,Produto
0,acessoalmirantetamandare,296.0,1154.0,Pedagógico
1,acessoboqueirao,1059.0,5100.0,Pedagógico
2,acessocampolargo,481.0,4702.0,Pedagógico
3,acessocampolargokids,65.0,415.0,Pedagógico
4,acessofazendariogrande,647.0,2135.0,Pedagógico
5,acessohauer,539.0,7336.0,Pedagógico
6,acessopinhais,217.0,1000.0,Pedagógico
7,acessosantafelicidade,892.0,5817.0,Pedagógico
8,acessosjpinhais,945.0,13589.0,Pedagógico
9,adrianochan,659.0,4950.0,Pedagógico
10,aescobjetivo,1177.0,7501.0,Pedagógico
11,amadeus,1467.0,14210.0,Pedagógico
12,apogeustoantonio2,30.0,947.0,Pedagógico
13,brasilcursinhos,99.0,1496.0,Pedagógico
14,casdvest,43.0,510.0,Pedagógico
15,cbpdigital,1487.0,0.0,Diagnóstico
16,ceabb,77.0,1265.0,Pedagógico
17,ceespacolivre,235.0,2535.0,Pedagógico
18,cem,382.0,4116.0,Pedagógico
19,ceprimeiromundo,498.0,4105.0,Pedagógico
20,ciadosaber,139.0,760.0,Pedagógico
21,cnslpb,206.0,0.0,Diagnóstico
22,colegioalphaunis,748.0,0.0,Diagnóstico
23,colegioarena,2652.0,1289.0,Pedagógico
24,colegiobatistaindependente,676.0,0.0,Diagnóstico
25,colegiobetelbrasileirosp,721.0,420.0,Pedagógico
26,colegiobilac,478.0,1728.0,Pedagógico
27,colegiobrasilia,5201.0,84087.0,Pedagógico
28,colegiocb,1402.0,5981.0,Pedagógico
29,colegiodasamericas,181.0,6782.0,Pedagógico
30,colegioeag,114.0,29208.0,Pedagógico
31,colegioecursoprogressao,5399.0,1786.0,Pedagógico
32,colegioeducallis,1280.0,595.0,Pedagógico
33,colegioensitec,665.0,3649.0,Pedagógico
34,colegioflamingo,506.0,1040.0,Pedagógico
35,colegiofuturageracao,208.0,574.0,Pedagógico
36,colegioglobal,1134.0,0.0,Diagnóstico
37,colegioguilhermedealmeida,335.0,16039.0,Pedagógico
38,colegioiguatemy,405.0,12199.0,Pedagógico
39,colegiointegral,1013.0,30787.0,Pedagógico
40,colegiojoaopaulo,226.0,4695.0,Pedagógico
41,colegioliceu,83.0,579.0,Pedagógico
42,colegiomagnum,194.0,0.0,Diagnóstico
43,colegionovageracao,86.0,0.0,Diagnóstico
44,colegioplanck,173.0,366.0,Pedagógico
45,colegioser,642.0,0.0,Diagnóstico
46,colegiosete,1457.0,3237.0,Pedagógico
47,colegiouirapuru,425.0,1653.0,Pedagógico
48,conexaosaber,81.0,779.0,Pedagógico
49,contemporaneocidadeverde,35.0,0.0,Diagnóstico
50,contemporaneolagoanova,122.0,0.0,Diagnóstico
51,crb,1093.0,0.0,Diagnóstico
52,crescercampinas,4272.0,0.0,Diagnóstico
53,cursoisfera,166.0,288.0,Pedagógico
54,cursoleopoldo,43.0,536.0,Pedagógico
55,cursosazambuja,211.0,4668.0,Pedagógico
56,domus,55.0,0.0,Diagnóstico
57,eccos,336.0,7353.0,Pedagógico
58,educandarioterciocorreia,300.0,0.0,Diagnóstico
59,elitecuritibaemilianoperneta,118.0,1990.0,Pedagógico
60,escolamaster,148.0,52.0,Pedagógico
61,faculdadeflamingo,516.0,21757.0,Pedagógico
62,idaam,193.0,56.0,Pedagógico
63,insa,151.0,1110.0,Pedagógico
64,institutoauxiliadoradf,114.0,0.0,Diagnóstico
65,institutosaojose,101.0,0.0,Diagnóstico
66,integra,207.0,6725.0,Pedagógico
67,integradaeducativa,498.0,5446.0,Pedagógico
68,invictus,230.0,3311.0,Pedagógico
69,itamarati,27.0,3668.0,Pedagógico
70,laboratoriosromildo,22.0,514.0,Pedagógico
71,lasalleaguasclaras,457.0,0.0,Diagnóstico
72,maplebearslz,1501.0,0.0,Diagnóstico
73,mariliamattoso,1646.0,6071.0,Pedagógico
74,master,6770.0,109.0,Pedagógico
75,novotempo,80.0,42.0,Pedagógico
76,nucleocriativo,201.0,567.0,Pedagógico
77,objetivolorena,1312.0,8030.0,Pedagógico
78,osequim,853.0,0.0,Diagnóstico
79,overabelcabral,2422.0,11038.0,Pedagógico
80,overjoaopessoa,112.0,175.0,Pedagógico
81,overlimaesilva,652.0,479.0,Pedagógico
82,overmarciliofurtado,859.0,7770.0,Pedagógico
83,overmossoro,201.0,1269.0,Pedagógico
84,overnascimentodecastro,49.0,1251.0,Pedagógico
85,overpontanegra,1160.0,5036.0,Pedagógico
86,overzonanorte,488.0,2473.0,Pedagógico
87,physicsalcindocacela,352.0,3978.0,Pedagógico
88,physicsalmirantebarroso,311.0,5523.0,Pedagógico
89,physicsaugustomontenegro,171.0,4594.0,Pedagógico
90,physicscidadenova,345.0,5712.0,Pedagógico
91,physicsconselheirofurtado,546.0,2158.0,Pedagógico
92,physicsmacapa,68.0,705.0,Pedagógico
93,physicsumarizal,164.0,4476.0,Pedagógico
94,pioxi,318.0,8405.0,Pedagógico
95,pioxiicolegio,508.0,0.0,Diagnóstico
96,poliedropv,173.0,0.0,Diagnóstico
97,portinari,2310.0,11623.0,Pedagógico
98,porto,3360.0,4818.0,Pedagógico
99,portoseguro,1463.0,0.0,Diagnóstico
100,prevest,26.0,0.0,Diagnóstico
101,prismapatrocinio,3225.0,0.0,Diagnóstico
102,profederal,190.0,2451.0,Pedagógico
103,progressaodc,1253.0,704.0,Pedagógico
104,progressaoig,1577.0,440.0,Pedagógico
105,provaspoliedro,3246.0,0.0,Diagnóstico
106,psantagema,52.0,905.0,Pedagógico
107,sagradafamilia,183.0,61.0,Pedagógico
108,santamariacn,40.0,35.0,Pedagógico
109,santoamerico,451.0,14490.0,Pedagógico
110,souhabilis,39.0,0.0,Diagnóstico
111,spdacruz,1282.0,6406.0,Pedagógico
112,stellamarisaguaverde,66.0,2407.0,Pedagógico
113,stellamarisjuveve,842.0,9720.0,Pedagógico
114,stellamarisxaxim,405.0,8579.0,Pedagógico
115,universitariolondrina,2991.0,17622.0,Pedagógico
116,universobarcarena,42.0,4314.0,Pedagógico
117,villalobos,1140.0,15132.0,Pedagógico
118,abdiasmartins,0.0,242.0,Pedagógico
